id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4363209991156413,HqwnB4QPP,发布了头条文章：《技术扫盲：宝马Valvetronic电子气门真正的工作原理。》  技术扫盲：宝马Valvetronic电子气门真正的工作原理。 ,,,,2019-04-20,微博 weibo.com,209,71,232,,
4466067483270880,IrIIsdIU8,我觉得长途跋涉还是油车好，3分钟加了40升，剩余续航707公里。 ,https://wx3.sinaimg.cn/large/6e3c7645ly1gbddscwyb0j21400u0q63.jpg,,,2020-01-29,坚果手机 R1,52,69,4,,
4462576757022211,IqfUftsNt,我发表了头条文章:《高压电池维修（结尾观点犀利）》 530le高压电池维修 ,,,,2020-01-19,坚果手机 R1,384,167,248,,
4462494821140435,IqdM64MG7,车子不要乱借。看看这位，借给朋友开，亏冷却液了也继续开，水温干到142度。缸盖温度178度。嗯，离换发动机不远了。 粗粗算了一下，亏了6升防冻液！！！ 总共这车也就加8升的样子水温过高最直接的危害就是容易活塞融化，粘缸。其次，缸盖会因为热应力过大变形，导致各种漏油漏水，油水互串。百害而无一利。有任何报警，一定不要轻视。因为厂家不会索赔已经报警，车主无视报警依然强行驾驶导致的损失。通过和车主的沟通，缺6升防冻液的情况下，这车最少跑了70公里。,"https://wx4.sinaimg.cn/large/6e3c7645ly1gb1zj0823yj20u00w1hdv.jpg,https://wx4.sinaimg.cn/large/6e3c7645ly1gb1zj1il16j21hc0u04iz.jpg",,,2020-01-19,坚果手机 R1,66,52,8,,
4460579944675282,IppXAjCfM,这 ,"https://wx3.sinaimg.cn/large/6e3c7645ly1gavvn0pcdij21hc0u0wkp.jpg,https://wx2.sinaimg.cn/large/6e3c7645ly1gavvn13p5yj21hc0u0wji.jpg,https://wx4.sinaimg.cn/large/6e3c7645ly1gavvn1gw2vj21hc0u0dka.jpg",,,2020-01-14,坚果手机 R1,46,53,7,,
4459805663628245,Ip5OKfdS5,早 ,https://wx2.sinaimg.cn/large/6e3c7645ly1gatepmhydrj20u01han2l.jpg,,,2020-01-12,坚果手机 R1,47,26,12,,
4459465883162988,IoWYIdgPW,早 ,https://wx2.sinaimg.cn/large/6e3c7645ly1gasboltpzpj20u01hctfx.jpg,,,2020-01-11,坚果手机 R1,33,41,10,,
4459259473933575,IoRBNgviL,尘埃落定，下班 ,"https://wx2.sinaimg.cn/large/6e3c7645ly1garnzdsp05j20s70hv1kx.jpg,https://wx1.sinaimg.cn/large/6e3c7645ly1garnzfin0zj20u00k5k91.jpg",,,2020-01-10,坚果手机 R1,56,36,36,,
4457296924977363,Io2yokSQ3,全乱套了 ,https://wx4.sinaimg.cn/large/6e3c7645ly1galekkne7ij20q21loq8k.jpg,,,2020-01-05,坚果手机 R1,52,43,10,,
4457013864192872,InVbQhAKY,有些人，甚至来维修保养。才知道自己买的是三缸车，这样的人不是一个半个，我就碰见好多个了。 ,https://wx1.sinaimg.cn/large/6e3c7645ly1gaki28th5jj20u00u0ace.jpg,,,2020-01-04,坚果手机 R1,77,41,7,,
4455646705344000,InlCKmqdy,我发表了头条文章:《差一点，我就掉进坑里去了。》 差一点，我就掉进坑里去了。 ,,,,2019-12-31,坚果手机 R1,136,78,25,,
4455117694370657,In7Rvil0t,为了在冬季跑出更好的里程，我可谓绞尽脑汁。对于没有电池加热的车型，就要自己规划充电时间，让车充满后，刚刚好就是你要出行的时间。这么做是保证电池的温度与活性。有条件的不要像我一样露天充电，在车库充电更加佳。关闭所有用电设备，（除仪表需要看速度之外，日间行车灯，包括中控大屏我都关了。）设置ECO模式，空调，座椅加热，关闭所有门窗，降低风阻。穿上我最厚的衣服，棉鞋，戴上耳包。开启限速器设置最高66，使用黄金右脚跑法，尽量匀速行驶。最终对于这台体重2吨的X1 PHEV ，NEDC续航61公里的混动车，最终在零下3度的北京跑出55公里后。发动机启动介入。好了，我要去泡脚去了@38号美系性能控,"https://wx3.sinaimg.cn/large/6e3c7645ly1gaeg1r9l0mj21hc0u0ag4.jpg,https://wx2.sinaimg.cn/large/6e3c7645ly1gaeg1s1oy6j21hc0u0thx.jpg,https://wx2.sinaimg.cn/large/6e3c7645ly1gaeg1tagg7j21hc0u0ag8.jpg",,,2019-12-30,坚果手机 R1,46,29,6,,38号美系性能控
4454013993400226,ImF9legym,#冒个泡# 北方的冬天，如果你头朝下停车，有几率排气管内部的水会堆积并且冰堵。第二天无论如何你也无法启动车辆。而且没有故障码，经验少的师傅能修到哭。最重要的是，大部分修理厂车间的温度都不足以让冰化开。所以检查好几天没修好的都有。解决方法1，不要车头朝斜坡下停车2，停车之前轰几脚大油门，排排水。。判断是不是排气管冰堵也很简单，手摸着排气管出气口，另一个人去启动，如果手感觉不到多少排气量，就是堵了好在国6车有了GPF颗粒物过滤器，为了监控颗粒物是否堵满需要再生，通常都有排气背压传感器，相比国6之前的车冰堵不会报码，国6的车能检测到排气背压过大报出故障码。缺点是GPF里会堵的死死的。左图是老款N52  E90  右图是新款X1国6B,"https://wx2.sinaimg.cn/large/6e3c7645ly1gaaxbjwd5pj20u01hctgm.jpg,https://wx3.sinaimg.cn/large/6e3c7645ly1gaaxg53hpgj21hc0po436.jpg,https://wx4.sinaimg.cn/large/6e3c7645ly1gaaxg5btr7j20hs0dcwgj.jpg",,,2019-12-27,坚果手机 R1,66,25,18,冒个泡,
4453375707871368,ImoxQx1Hy,我发表了头条文章:《十代思域更换CVT变速箱油作业》 思域更换CVT变速箱油作业 ,,,,2019-12-25,坚果手机 R1,116,97,69,,
4453087341589820,Imh2K6FAg,"今天我的十代思域CVT,重力换油，放出4.5升变速箱油。还有加上滴答流淌的一些，基本放出来4.7升左右。所以买一桶油，4升的肯定不够。大家可以组团换油。两台车用三桶油这样子。这样不浪费。详细的文章稍后更新。 ",https://wx2.sinaimg.cn/large/6e3c7645ly1ga7z2mv91nj21hc0u0wil.jpg,,,2019-12-24,坚果手机 R1,57,76,1,,
4452996462845822,ImeGabWkm,开整 ,https://wx1.sinaimg.cn/large/6e3c7645ly1ga7oos57hqj21hc0u046o.jpg,,,2019-12-24,坚果手机 R1,44,66,5,,
4452014207389478,IlP7Sv0l8,这哥们绝对大神，自己制作带蜂鸣器的试灯。修车利器。 ,"https://wx1.sinaimg.cn/large/6e3c7645ly1ga4jv8mdquj20u01hc425.jpg,https://wx1.sinaimg.cn/large/6e3c7645ly1ga4jv93g9aj20u01hc77w.jpg,https://wx1.sinaimg.cn/large/6e3c7645ly1ga4jv9pz1ej20u01hcgox.jpg",,,2019-12-21,坚果手机 R1,25,27,0,,
