id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4057730274737014,EodPljSjs,做你的底气 生日快乐🎈@白澍白澍 ,https://ww3.sinaimg.cn/large/006lW3Sagw1f9d4w3jweqj30yi0qldpa.jpg,,,2016-12-28,iPhone 6s Plus,53,3,6,,白澍白澍
4046139961320875,Ejmji5xCr,#白澍# 161031 依旧那句 “永远年轻 永远热泪盈眶” @白澍白澍 젊어 (Prod. by Dok2) ,"https://ww3.sinaimg.cn/large/006lW3Sagw1fa4d0f2rflj388bccg4qq.jpg,https://ww1.sinaimg.cn/large/006lW3Sagw1fa4d0yhqzlj388bccgx6p.jpg,https://ww1.sinaimg.cn/large/006lW3Sagw1fa5a88ogw6j388bccgqv5.jpg,https://ww4.sinaimg.cn/large/006lW3Sagw1fa5putct9wj388bccgnpd.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1fa21w09wtdj388bccge81.jpg,https://ww2.sinaimg.cn/large/006lW3Sagw1fa5pv73j7vj388bccge81.jpg",,,2016-11-26,iPhone 6s Plus,116,21,116,白澍,白澍白澍
4045432453935593,Ej3U9gvPj,#白澍# 161031上班 雨点在你肩头落成了花 @白澍白澍 ,"https://ww2.sinaimg.cn/large/006lW3Sagw1fa3gl2qrauj388bccg4qq.jpg,https://ww4.sinaimg.cn/large/006lW3Sagw1fa21va3iamj388bccgkjl.jpg",,,2016-11-24,iPhone 6s Plus,82,24,52,白澍,白澍白澍
4036774781281786,EfqGa5nrY,@白澍白澍 ,"https://ww3.sinaimg.cn/large/006lW3Sagw1f9bua0ktymj310s1inwup.jpg,https://ww4.sinaimg.cn/large/006lW3Sagw1f9bua45ts2j310f1k04ck.jpg,https://ww2.sinaimg.cn/large/006lW3Sagw1f9buaggubtj30vd1bvqov.jpg,https://ww4.sinaimg.cn/large/006lW3Sagw1f9buaa4uvzj311i1lbx23.jpg,https://ww4.sinaimg.cn/large/006lW3Sagw1f9bu8jk380j314c1p0qru.jpg,https://ww1.sinaimg.cn/large/006lW3Sagw1f9buac1sxtj30yi08zdh1.jpg",,,2016-10-31,iPhone 6s Plus,44,5,21,,白澍白澍
4036753428030184,Efq7IxH16,80%完美的日子,https://ww3.sinaimg.cn/large/006lW3Sagw1f9brt9a172j31621r9kjl.jpg,,,2016-10-31,iPhone 6s Plus,46,5,14,,
3994567143184141,DDG7Edml7,#超星星学园白澍# 160707 上海 @白澍白澍 ,"https://ww4.sinaimg.cn/large/006lW3Sagw1f5l6ssr8b8j30nv0zk0xi.jpg,https://ww2.sinaimg.cn/large/006lW3Sagw1f5l6svntooj30zk0psahh.jpg,https://ww4.sinaimg.cn/large/006lW3Sagw1f5l6sxcc4fj30zl0rgdkx.jpg,https://ww1.sinaimg.cn/large/006lW3Sagw1f5l6sqyrg9j30zk0uydmh.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1f5l6syqpjvj30zl0r2afk.jpg,https://ww4.sinaimg.cn/large/006lW3Sagw1f5l6t0qs05j30zl0qytdn.jpg,https://ww1.sinaimg.cn/large/006lW3Sagw1f5l6t2ecjtj30zl0rudkk.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1f5l6t5tz1ij30zk0t6dn0.jpg,https://ww2.sinaimg.cn/large/006lW3Sagw1f5l6t6mmc7j30a109q74h.jpg",,,2016-07-07,iPhone 6s Plus,105,6,74,超星星学园白澍,白澍白澍
3986008288598555,DA5t2A4Sn,#超星星学园白澍# 160613 HGH 二次出发 PEK 到达 好不容易辛苦你 @白澍白澍 ,"https://ww3.sinaimg.cn/large/006lW3Sagw1f4tvtwadksj31ok14htt0.jpg,https://ww4.sinaimg.cn/large/006lW3Sagw1f4tvtz4peoj31bm0uxtig.jpg,https://ww1.sinaimg.cn/large/006lW3Sagw1f4tvu3wnrkj31eu0wowu9.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1f4tvu8dtc5j31fw0ykk45.jpg",,,2016-06-13,iPhone 6s Plus,76,4,54,超星星学园白澍,白澍白澍
3985844123353257,DA1cge4kN,#超星星学园白澍# 160613 HGH @白澍白澍 ,"https://ww4.sinaimg.cn/large/006lW3Sagw1f4tcz4k2j7j31re15uhdu.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1f4tczhwm1sj31lp121hdt.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1f4tcymjs3kj30wb1cw1kx.jpg",,,2016-06-13,iPhone 6s Plus,56,3,40,超星星学园白澍,白澍白澍
3966422226773422,DrRWCsq4K,#超能星学园白澍# 160414 설렘주의 @白澍白澍 ,"https://ww3.sinaimg.cn/large/006lW3Sagw1f32jdbq9wlj32io1ogkjo.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1f334fejvdrj323v35s1l0.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1f334j7bmnpj335s23vnpf.jpg,https://ww1.sinaimg.cn/large/006lW3Sagw1f334k1r56jj323v35s4qs.jpg,https://ww3.sinaimg.cn/large/006lW3Sagw1f334kayya3j323v35s1kx.jpg,https://ww1.sinaimg.cn/large/006lW3Sagw1f334qj27ryj323v35se7a.jpg",,,2016-04-20,iPhone 6s Plus,67,9,58,超能星学园白澍,白澍白澍
3964140034890601,DqUzFkwgF,#超能星学园白澍# 160414 HGH @白澍白澍 ,"https://ww2.sinaimg.cn/large/006lW3Sajw1f2w4alx5fmj30mg0y6jys.jpg,https://ww1.sinaimg.cn/large/006lW3Sajw1f2w4aqnca6j312w1k4h3a.jpg,https://ww4.sinaimg.cn/large/006lW3Sajw1f2w4b022i2j31f70xrh33.jpg",,,2016-04-14,iPhone 6s Plus,48,5,26,超能星学园白澍,白澍白澍
3964056400828144,DqSoM3tra,#超能星学园白澍# 160414 PEK🙃早起去爬山-929乐团 @白澍白澍 ,"https://ww4.sinaimg.cn/large/006lW3Sajw1f2vuoofa9ej319j1wye81.jpg,https://ww2.sinaimg.cn/large/006lW3Sajw1f2vuownsu0j31kx11k4l4.jpg,https://ww3.sinaimg.cn/large/006lW3Sajw1f2vuo82iolj322n1d4e81.jpg,https://ww4.sinaimg.cn/large/006lW3Sajw1f2vup6ucnsj31et1euk54.jpg",,,2016-04-14,iPhone 6s Plus,123,24,100,超能星学园白澍,白澍白澍
3961394774891637,DpL9Pkwxn,#超能星学园白澍# 万适存哥哥好 万适存哥哥好帅 万适存哥哥好帅呀🤗 好久不见 @白澍白澍 ,"https://ww2.sinaimg.cn/large/006lW3Sajw1f2nd09yregj324u1fhx4c.jpg,https://ww1.sinaimg.cn/large/006lW3Sajw1f2nd0lkr48j31zi1cx7q9.jpg",,,2016-04-06,iPhone 6s Plus,119,20,86,超能星学园白澍,白澍白澍
