id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4429104349182344,Icd8uCwKk,体面分手有一个弊端，就是容易造成误会，导致至少ー方觉得感情还有回旋的余地，因此徒增烦恼。建议大家分手后互殴到住院，出院之后你刮我车，我造你谣，从源头解决失恋后念念不忘、走不出来的问题。 ,https://wx1.sinaimg.cn/large/3ba161e7gy1g83gpwyu0oj20p00dwjsf.jpg,,,2019-10-19,iPhone客户端,1,0,1,,
4423270700767359,I9Lno3dCL,哑剧表演：倔强的伞。 Jegem的微博视频 ,,"http://f.video.weibocdn.com/0041c6v4lx07xuLcBoY801041200dJIm0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=8a8eb669d0cac305811135221ca7e104&Expires=1579062755&ssig=Ge01lYQB7N&KID=unistore,video",,2019-10-03,iPhone客户端,3,1,0,,
4421798852314765,I995r9IaV,帕拉伊巴——你可以用最温柔美好的诗句形容它的柔美姿色，却无法用语言描述它灼人心灵的能量！ Jegem的微博视频 ,,"http://f.video.weibocdn.com/001jxALplx07xohy2Qpq010412007yHK0E010.mp4?label=mp4_720p&template=1280x720.24.0&trans_finger=3a98437b06ee9a5433eaf30fb06ab149&Expires=1579062755&ssig=VKuQGezjVY&KID=unistore,video",,2019-09-29,iPhone客户端,0,0,0,,
4421180788739538,I8T0yAFyi,超美了 Jegem的微博视频 ,,"http://f.video.weibocdn.com/003wGxcJlx07xlyTfx6M010412004xaG0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=5b30fbcb26e39894a9d03bc4fe6abe3b&Expires=1579062755&ssig=7ExJT%2F41vP&KID=unistore,video",,2019-09-27,iPhone客户端,0,0,0,,
4421180096672350,I8SZrrZMy,35克拉多海洋之心 Jegem的微博视频 ,,"http://f.video.weibocdn.com/002XuxhBlx07xlyH3AcE010412003cc40E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=5b30fbcb26e39894a9d03bc4fe6abe3b&Expires=1579062755&ssig=oVXArf2q9K&KID=unistore,video",,2019-09-27,iPhone客户端,0,0,0,,
4420710833034541,I8GMzcJqd,7.11克拉，一粒偏皇家蓝的矢车菊，这切工的火彩，达到钻石级水准，在蓝宝石里面真的不多见，全净。 Jegem的微博视频 ,,"http://f.video.weibocdn.com/0005djxblx07xjuDUCSQ010412002XQb0E010.mp4?label=mp4_720p&template=720x960.25.0&trans_finger=4440dc8749be91c3c809349839ab63e4&Expires=1579062755&ssig=9%2BfMD2%2FcgB&KID=unistore,video",,2019-09-26,iPhone客户端,0,0,0,,
4417394309353065,I7ivkDf9T,5MB IBM硬盘，1956年。 ,https://wx1.sinaimg.cn/large/3ba161e7gy1g723u57jfgj20ji0im420.jpg,,,2019-09-17,iPhone客户端,2,0,0,,
4417121418766698,I7bpbAMCm,2.2克拉小桃心海蓝宝这颗很闪，总价不高 Jegem的微博视频 ,,"http://f.video.weibocdn.com/003vC0YZlx07x3H8CKcg010412003BhI0E010.mp4?label=mp4_720p&template=544x544.24.0&trans_finger=3e5d616a0b846b231c063771e4afedd3&Expires=1579062755&ssig=7HlGXkMYft&KID=unistore,video",,2019-09-16,iPhone客户端,0,0,0,,
4417116423490440,I7bh8eE1q,漂亮的粉碧玺，9.94克拉做简洁的Tiffany款超合适 Jegem的微博视频 ,,"http://f.video.weibocdn.com/0005CJ8wlx07x3FM9kMo010412004lBp0E010.mp4?label=mp4_720p&template=544x544.24.0&trans_finger=3e5d616a0b846b231c063771e4afedd3&Expires=1579062755&ssig=GiGjYWw2hd&KID=unistore,video",,2019-09-16,iPhone客户端,0,0,0,,
4416360001988763,I6RB68lmP,不管我们的选择有多复杂，我们多擅长支配运气，随机性总是最后的裁判，我们仅剩的只有尊严。 ,https://wx1.sinaimg.cn/large/3ba161e7gy1g6yt1v9ql4j20qo0qo75z.jpg,,,2019-09-14,iPhone客户端,0,0,0,,
4415970535565033,I6HsVnlIB,但愿人长久，千里共婵娟。🐬 ,https://wx1.sinaimg.cn/large/3ba161e7ly1g6xkbkvtchj20si0jsmzy.jpg,,,2019-09-13,iPhone客户端,0,0,0,,
4413610711262356,I5I4L5ioA,分享图片 ,https://wx2.sinaimg.cn/large/3ba161e7ly1g6q1at2ohdj20lu0glt9x.jpg,,,2019-09-06,iPhone客户端,0,0,0,,
4412744788865659,I5ly6Bcmv,分享图片 ,"https://wx2.sinaimg.cn/large/3ba161e7ly3g6n9u9s55oj20h00h0acl.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly3g6n9u9ep1hj20c40c4ac4.jpg",,,2019-09-04,绿洲APP,0,0,0,,
4410682277297191,I4tTtuCkD,你用普通话念“1893”，你就学会了山东话的“一把旧伞”；你用普通话念“一把旧伞”，你就学会了河南话的“1893”。 #普通话##山东话##河南话# ,https://wx2.sinaimg.cn/large/3ba161e7gy1g6goye6axfj20c80c8taa.jpg,,,2019-08-29,iPhone客户端,0,0,0,"普通话,山东话,河南话",
4410264847428050,I4j2cvang,分享图片 ,"https://wx2.sinaimg.cn/large/3ba161e7ly1g6fd0qyonwj20pw0ogdiu.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g6fd0rigebj20u00v2dkg.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g6fd0s228yj20ty0v4gsf.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g6fd0vf34wj20u00u0wl5.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g6fd0xkielj20zk0zkdo9.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g6fd0zr5i3j20zk0zkgvl.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g6fd119rgoj20oj0nr0xl.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g6fd1293cmj20hg0lcq4k.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g6fd13fcu3j20go0klgqn.jpg",,,2019-08-28,iPhone客户端,0,0,0,,
4409647244869195,I42Y4kqHp,分享图片 ,"https://wx4.sinaimg.cn/large/3ba161e7ly1g6de37u65cj20m80m8ju8.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g6de3c7jc9j20u00u0tcz.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g6de38zg1jj20u00u0qea.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g6de3creanj20u00u0dkb.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g6de37awfvj20go0klgqn.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g6de3aw1ptj20u00u0jv8.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g6de3d9odsj20u0140wjl.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g6de3ebicjj20u00u0jwq.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g6de3a1192j20u01acaje.jpg",,,2019-08-26,iPhone客户端,0,0,0,,
4408437817535341,I3xvnvChL,#珠宝##宝石# ,"https://wx2.sinaimg.cn/large/3ba161e7ly1g69j5rwjcaj20u00i2q5c.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g69j5s4pkkj20u00u0gur.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g69j5t3ynxj22c0340hdt.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g69j5tjtf4j20u0140wjl.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g69j5ygrcyj210q0qi79a.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g69j5rlacxj20u00u0jv8.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g69j5triu7j20u00u0dkb.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g69j5ues89j20lc0le0vf.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g69j5ush3vj20zk0zkgvl.jpg",,,2019-08-23,iPhone客户端,0,0,0,"珠宝,宝石",
4403001454084483,I1g53h8yL,你不妨大胆一些：爱一个人、攀一座山、追一个梦。 很多事我都不了解，很多问题也没有答案，但我相信，上天给我们生命，一定是为了让我们创造奇迹的。——《大鱼海棠》 ,https://wx2.sinaimg.cn/large/3ba161e7ly1g5s6tz6wnxj20yi17rdub.jpg,,,2019-08-08,iPhone客户端,0,0,2,,
4399729347394945,HFQpMv1Lj,This is what the earth and moon look like from Saturn。(Credit: NASA/JPL-Caltech) ,https://wx3.sinaimg.cn/large/3ba161e7gy1g5hr1ppkibj20g40dyjrj.jpg,,,2019-07-30,iPhone客户端,0,0,1,,
4397876756749690,HF4dJsjTY,分享图片 ,"https://wx3.sinaimg.cn/large/3ba161e7gy1g5bu9kc46ej20u01hcdq3.jpg,https://wx4.sinaimg.cn/large/3ba161e7gy1g5bua3gxgkj21kw11wtg8.jpg",,,2019-07-25,iPhone客户端,0,0,0,,
4397876576615867,HF4drrL5x,分享图片 ,"https://wx4.sinaimg.cn/large/3ba161e7gy1g5bu98opayj20c80utq3y.jpg,https://wx1.sinaimg.cn/large/3ba161e7gy1g5bu99q5i6j20c80c6q45.jpg",,,2019-07-25,iPhone客户端,0,0,1,,
4395415543229462,HE2c2dy86,惊艳！#73岁奶奶压轴表演钢管舞#。近日，第二届中国钢管运动锦标赛在北京举行。73岁的戴大丽已经连续两年压轴表演。戴大丽64岁那年，想尝试新的生活，从此便爱上了钢管舞，她说：“73，对我来说就是个数字而已。我自己还很年轻，我享受在空中飞舞的感觉。” 视频-这个奶奶火了！73岁仍在钢管上翩翩起舞 ,,http://ask.ivideo.sina.com.cn/v_play_ipad.php?vid=29765728901&tags=weibocard,,2019-07-18,iPhone客户端,0,0,0,73岁奶奶压轴表演钢管舞,
4395184030558717,HDWaD2llz,高手在民间，流氓在泼墨。 ,https://wx2.sinaimg.cn/large/3ba161e7ly1g5390kqiopj20m80p3q4m.jpg,,,2019-07-17,iPhone客户端,1,0,0,,
4394064046589629,HDt2crEgl,分享图片 ,"https://wx3.sinaimg.cn/large/3ba161e7ly1g4zoe8w0ieg208k04m1l1.gif,https://wx2.sinaimg.cn/large/3ba161e7ly1g4zoddvt9rj20ne0uun04.jpg",,,2019-07-14,iPhone客户端,0,0,0,,
4391848543544298,HCxoOeS26,世界有时候就需要这种较真的人。 ,https://wx2.sinaimg.cn/large/3ba161e7ly1g4sly5lh66g205k09u4qq.gif,,,2019-07-08,iPhone客户端,4,0,1,,
4391123336515628,HCex7rl0M,分享图片 ,https://wx1.sinaimg.cn/large/3ba161e7ly1g4qansnrqaj20oe2a9tic.jpg,,,2019-07-06,iPhone客户端,0,0,0,,
4389373648815100,HBv12AZd2,分享图片 ,https://wx1.sinaimg.cn/large/3ba161e7ly1g4kpplttauj20u01acaje.jpg,,,2019-07-01,iPhone客户端,0,0,0,,
4389014251607755,HBlFn6Kfx,分享图片 ,https://wx4.sinaimg.cn/large/3ba161e7ly1g4jkfox4y4j20cx06zt94.jpg,,,2019-06-30,iPhone客户端,0,0,0,,
4388817689122802,HBgykChfY,#逼哥##李志# ,"https://wx3.sinaimg.cn/large/3ba161e7ly1g4ixuxykacj20tl12v7fx.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g4ixuzubrzj20ku0ku41c.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g4ixup56d3g208c08c3yo.gif",,,2019-06-30,iPhone客户端,0,0,0,"逼哥,李志",
4388634431887598,HBbML7V38,上海动物园？！#垃圾分类# ,https://wx3.sinaimg.cn/large/3ba161e7ly1g4icsegdtlg20b40684qr.gif,,,2019-06-29,iPhone客户端,2,0,0,垃圾分类,
4384324893994263,HznFTgL5B,一首号称史上最强催眠神曲的纯音乐，全长8分钟，传说从来没有人躺在床上能清醒的听完全曲，转起试试吧 音乐铺子的微博视频 ,,"http://f.us.sinaimg.cn/00353hGDlx07ujyRyekg01041200zOzj0E010.mp4?label=mp4_hd&template=496x360.28.0&Expires=1579062778&ssig=4EzrM%2FhoNT&KID=unistore,video",,2019-06-18,iPhone客户端,1,0,0,,
4382038800551059,HyqcE2jm3,一次看懂 1997-2019 全球市值前十公司变迁。 Jegem的微博视频 ,,"http://f.us.sinaimg.cn/001h3LL8lx07uzhzEzdS01041200CEHq0E010.mp4?label=mp4_hd&template=852x480.28.0&Expires=1579062778&ssig=v0L00w9WXe&KID=unistore,video",,2019-06-11,iPhone客户端,1,0,0,,
4380470823476591,HxLpEeAq3,分享图片 ,https://wx2.sinaimg.cn/large/3ba161e7ly1g3sb8ipok0j21111jk4qq.jpg,,,2019-06-07,iPhone客户端,0,0,0,,
4380329194050789,HxHJdgZNj,全新 Mac os 默认 #壁纸##超高清# ,"https://wx2.sinaimg.cn/large/3ba161e7ly1g3ruye5ly9j24n44n4he0.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g3ruy3gcbjj24n44n4qvc.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g3ruyob9j3j22h42h4he3.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g3ruywz1yfj22h42h4qve.jpg",,,2019-06-06,iPhone客户端,3,0,0,"壁纸,超高清",
4380327612971348,HxHGFcsYY,看到这俩背影，我陷入了沉思…不管是不是出自小学生之手，这随手一画的技术，让人佩服。还是那句老话：#高手在民间# 。 ,"https://wx3.sinaimg.cn/large/3ba161e7ly1g3rurzpngjj20j60pkaem.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g3rus04o5mj20j60eetbr.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g3rus0bk2jj209y09h3yz.jpg",,,2019-06-06,iPhone客户端,1,0,0,高手在民间,
4380327449645562,HxHGoEtfA,猫妈妈将做恶梦的猫宝宝抱在怀里！每次看到这个图，都感觉好有爱！ ,https://wx1.sinaimg.cn/large/3ba161e7ly1g3rurnmbuig20a007ikjo.gif,,,2019-06-06,iPhone客户端,1,0,0,,
4379835213863499,HxuStgd4v,#遛狗请拴绳##狗##一言不合就开咬# Jegem的微博视频 ,,"http://f.us.sinaimg.cn/003LCBfilx07upAffs9a01041200pObA0E010.mp4?label=mp4_hd&template=624x368.28.0&Expires=1579062778&ssig=FOww3S6Zv8&KID=unistore,video",,2019-06-05,iPhone客户端,0,0,3,"遛狗请拴绳,狗,一言不合就开咬",
4379036341802822,Hxa5Y7yZM,高瞻远瞩 ,https://wx3.sinaimg.cn/large/3ba161e7ly1g3nqglhv4vj20yi0yiq4b.jpg,,,2019-06-03,iPhone客户端,0,0,0,,
4378081046993381,HwLfatlit,分享图片 ,https://wx2.sinaimg.cn/large/3ba161e7ly1g3korw09ohj20rn0rn44g.jpg,,,2019-05-31,iPhone客户端,0,0,0,,
4378080825358987,HwLeOmu7h,分享图片 ,https://wx2.sinaimg.cn/large/3ba161e7ly1g3koqyz3b9j20oy0ovtli.jpg,,,2019-05-31,iPhone客户端,0,0,0,,
4377740491165848,HwCnT4Ti0,谁不想要这样的爱情呢。❤️ ,https://wx2.sinaimg.cn/large/3ba161e7ly1g3jlnres1jg20c00lcu1c.gif,,,2019-05-30,iPhone客户端,0,0,0,,
4377602057829881,HwyMBwQUp,如果一个人想要做一件真正忠于自己内心的事情，那么往往只能一个人独自去做。——理查德·耶茨（Photo by Mikael Jansson） ,https://wx4.sinaimg.cn/large/3ba161e7ly1g3j5rhqbdrj20u00u0dkb.jpg,,,2019-05-30,iPhone客户端,1,1,1,,
4377381709661092,Hwt3cExi4,分享图片 ,"https://wx3.sinaimg.cn/large/3ba161e7ly1g3igg9psrcj21b81b71kx.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g3iggcp13cj20u01bbn7k.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g3iggg8l39j20u00u0n7h.jpg",,,2019-05-29,iPhone客户端,0,0,1,,
4377379050453599,HwsYV1U07,分享图片 ,"https://wx1.sinaimg.cn/large/3ba161e7ly1g3ig58fsdgj20j60pk3za.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g3ig57fyt8j22c02c0hdt.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g3ig5gjfc6j21jk111k6p.jpg",,,2019-05-29,iPhone客户端,0,0,0,,
4377358603160777,HwsrWdggh,活着。 ,"https://wx4.sinaimg.cn/large/3ba161e7ly1g3idsf4avkj20j60bydji.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g3idsdlqpmj20j60buad1.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g3idscupdvj20j40dmtbo.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g3idse6y6mj20j40bywgc.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g3idsjffk1j20j60budio.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g3idsfwo70j20j60budix.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g3idsgxdywj20j60cq78a.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g3idshu13hj20j60cqq6k.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g3idsbx7xgj20j40c0q6n.jpg",,,2019-05-29,iPhone客户端,0,0,0,,
4376311634424569,Hw1dhiz21,花 · 月 · 夜 ,"https://wx3.sinaimg.cn/large/3ba161e7ly1g3f1jzq0aej20u011i0t9.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g3f1k0f1i0j20u011imzf.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g3f1jzb7ykj20t910l769.jpg,https://wx2.sinaimg.cn/large/3ba161e7ly1g3f1k17jgqj20u011ijsv.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g3f1k1u4b0j20u011idht.jpg,https://wx1.sinaimg.cn/large/3ba161e7ly1g3f1k2vrc4j20u011hgoi.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g3f1k3x0f7j20u011iacg.jpg,https://wx4.sinaimg.cn/large/3ba161e7ly1g3f1k4fvk3j20u011ign6.jpg,https://wx3.sinaimg.cn/large/3ba161e7ly1g3f1k63tk8j20u011i0vm.jpg",,,2019-05-26,iPhone客户端,1,2,0,,
