id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4471136949342701,ItQB0DcsJ,#上海发布18.0##上海发布19.0# 就问你们，预约的口罩都买到了吗？我8天前预约的，到现在都没收到可以去买口罩的通知，居委会电话也永远占线。如果需要去上班的人，家里没有口罩怎么办？本来10天每户5个口罩就已经很没安全感了，现在连这样都保证不了吗？ ,,,,2020-02-12,iPhone 7,77,66,19,,
4470699814670100,ItFdXjAUc,zf是用来骂的，不是用来夸的。骂它是因为它存在不足，是希望它变得更好。你做得好不好，民众都看在眼里，大家心里都有一杆秤。上海发布的问题主要是两个：1.信息不公开透明。2.控评，无法直面市民的批评声。其他的问题我就不说了，光这两条就活该被骂。 ,,,,2020-02-11,iPhone 7,10,2,1,,
4470082425912611,ItpaaoO8H,上海管得太松了！全靠市民自觉。到现在居委会像不存在的一样……… ,,,,2020-02-09,iPhone 7,0,22,0,,
4466562800765411,IrVBm3d7l,#湖北省委书记为疫情逝者表示哀悼#他应该庆幸没有生活在古代。 ,,,,2020-01-30,iPhone 7,28,4,0,湖北省委书记为疫情逝者表示哀悼,
4465142491841541,IrkEx7J4h,#500万人离开武汉#从人性的角度，我很理解那些因为疫情而离开武汉的人，无论是避难还是求医。但公权力必须及时发挥它应有的作用，避免造成更大伤害。而且，公权力应该接受监督和质疑，这是公民的权利。 ,,,,2020-01-27,iPhone 7,10,6,0,500万人离开武汉,
4464400201574419,Ir1li6BzR,谢娜肖战这个小品也太尬了吧…… ,,,,2020-01-24,iPhone 7,4,0,0,,
4464066980360991,IqSFQ1vUr,#广东启动重大突发公共卫生事件一级响应#上海什么时候启动一级响应？ ,,,,2020-01-24,iPhone 7,1,5,0,广东启动重大突发公共卫生事件一级响应,
4463874826879804,IqNFUsRKA,#姜子牙撤出春节档#这才是正义之举。而不是像某人一样又当又立，为自己的电影做宣传的同时踩同行一脚。没错，说的就是陈思诚！ ,,,,2020-01-23,iPhone 7,18,0,0,姜子牙撤出春节档,
4463474295888433,IqDfToHQJ,#陈思诚 不干折损同行的事#人家电影提档就是在折损同行？非得踩人家一脚显得自己多高尚似的。low！ ,,,,2020-01-22,iPhone 7,2,0,0,陈思诚 不干折损同行的事,
4458959639666917,IoJObEyO1,#微攻略##广州美食#  作为游客，为了不浪费胃，在去广州之前特意做了功课，挑了一些在当地有口碑的餐厅，一饱口福。总的来说，广州的餐厅对于食材的新鲜度要求很高，基本上都很好吃，很少踩雷。让我印象深刻的餐厅/菜品有：玉堂春暖（伊比利亚黑毛猪叉烧、卤水墨鱼仔、脆皮叉烧包）；陶陶居（卡珍芝士焗糯米鸡、冰镇咕噜肉、葱香焗石斑鱼块）；源记肠粉（鱼肠粉、猪肝粥、艇仔粥）；啫八（啫蚝烙）；大鸽饭（红烧乳鸽）；广州酒家（鲍鱼烧卖、蚵仔肠粉、一品海皇三宝拼）；点都得的大油条和鱼皮不错，但整体而言不如陶陶居，属于可去可不去；惠食佳（滨江大公馆店）没吃到，有点小遗憾，它不能预订，16:55去拿号被告知要等两个小时，于是去了隔壁的啫八。。。仅仅为了吃，以后还要去广东旅行。,"https://wx4.sinaimg.cn/large/6b9ddfa8ly1gaqnteaxknj23402c0h0a.jpg,https://wx2.sinaimg.cn/large/6b9ddfa8ly1gaqntg073yj23402c0tv8.jpg,https://wx4.sinaimg.cn/large/6b9ddfa8ly1gaqnthp4t2j23402c01a2.jpg,https://wx1.sinaimg.cn/large/6b9ddfa8ly1gaqopz6fd0j23402c04qp.jpg,https://wx3.sinaimg.cn/large/6b9ddfa8ly1gaqnu01kg1j23402c0hdt.jpg,https://wx3.sinaimg.cn/large/6b9ddfa8ly1gaqntsjp94j23402c01kx.jpg,https://wx1.sinaimg.cn/large/6b9ddfa8ly1gaqntuekzlj23402c0ayi.jpg,https://wx4.sinaimg.cn/large/6b9ddfa8ly1gaqnu5tdgoj23402c0e2f.jpg,https://wx4.sinaimg.cn/large/6b9ddfa8ly1gaqnu46ntfj23402c07s9.jpg,https://wx4.sinaimg.cn/large/6b9ddfa8ly1gaqnu2dkp7j23402c04qp.jpg,https://wx2.sinaimg.cn/large/6b9ddfa8ly1gaqntj5ll2j23402c01cf.jpg,https://wx3.sinaimg.cn/large/6b9ddfa8ly1gaqntl6jo4j23402c0qs8.jpg,https://wx3.sinaimg.cn/large/6b9ddfa8ly1gaqntp6nnhj23402c01kx.jpg,https://wx2.sinaimg.cn/large/6b9ddfa8ly1gaqntwtqb9j23402c01kx.jpg,https://wx3.sinaimg.cn/large/6b9ddfa8ly1gaqnu7pd8jj23402c07ur.jpg,https://wx3.sinaimg.cn/large/6b9ddfa8ly1gaqnudmjwhj23402c0e81.jpg,https://wx4.sinaimg.cn/large/6b9ddfa8ly1gaqnulmcapj23402c0tz6.jpg,https://wx4.sinaimg.cn/large/6b9ddfa8ly1gaqnuno9o0j23402c01i2.jpg",,,2020-01-09,iPhone 7,4,6,1,"微攻略,广州美食",
