id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4181934223331689,FyntYdYIV,由我创立的鲍释贤艺术空间也已经快一岁了，我们开发自己的教学产品，老师从国外留学归来并由我亲自培训。定期举办钢琴比赛，钢琴大师班，学生演奏会。正在与雅马哈公司合作远程教学活动并在全国多个城市开设中。 ,"https://wx1.sinaimg.cn/large/6a562119ly1fm6xev0zilj20ku0rs794.jpg,https://wx4.sinaimg.cn/large/6a562119ly1fm6xevoo3ej20rs0ku78j.jpg,https://wx2.sinaimg.cn/large/6a562119ly1fm6xewczhtj21120kuq9j.jpg,https://wx4.sinaimg.cn/large/6a562119ly1fm6xeu7y58j21120kujv9.jpg,https://wx4.sinaimg.cn/large/6a562119ly1fm6xex2zjkj20v90kun18.jpg,https://wx1.sinaimg.cn/large/6a562119ly1fm6xexpsrwj20ku0t60xc.jpg",,,2017-12-06,iPhone客户端,348,80,285,,
4452352804839419,IlXW0kiX9,在巴黎的返场野峰飞舞 很不一样的版本 鲍释贤2015、4、在巴黎演奏野峰飞舞（爵士版） @优酷 ,,https://api.youku.com/videos/player/file?data=WcEl9oUuUdTBNekE0TXpBd3wwfDF8MTAwNTB8MAO0O0OO0O0O,,2019-12-22,优酷iPhone客户端,65,13,171,,优酷
4447904879735779,Ik6dVEQIH,巴黎音乐会 很开心的一个Encore 明年有计划超过五十场音乐会 期待。 我从 秒拍 发来一条有趣的视频。encore scarlatti sonata  鲍释贤的秒拍视频（#秒拍#网页链接） ,,"http://gslb.miaopai.com/stream/TinMlH0fTsUK2pU6OJdhBg__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_ld&mpflag=0&Expires=1578134617&ssig=liVlHRX3kj&KID=unistore,video",,2019-12-10,秒拍客户端,117,34,5,秒拍,
4442246164053876,IhJ0Yh0B6,Rehearsal with Strauss. 长沙·长沙市音乐厅 Nogi鲍释贤的微博视频 ,,"http://f.video.weibocdn.com/0013HNC0lx07yQhm1s3u01041200vWHY0E010.mp4?label=mp4_hd&template=540x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1578134617&ssig=lK6OOyT1cZ&KID=unistore,video",长沙·长沙市音乐厅,2019-11-24,iPhone 11 Pro,191,17,5,,
4437776538226774,IfQJTyw9U,由我作为创始人和艺术总监的法国巴黎Vivace国际钢琴比赛即将启动 初赛在全国十五个以上城市展开 决赛巴黎举行 ,"https://wx3.sinaimg.cn/large/6a562119ly1g8v4oaepruj20u01t0dhh.jpg,https://wx4.sinaimg.cn/large/6a562119ly1g8v4ob1a0zj20zk0k07g1.jpg,https://wx3.sinaimg.cn/large/6a562119ly1g8v4oc6hs9j20zi0jwgxa.jpg,https://wx2.sinaimg.cn/large/6a562119ly1g8v4odaeahj20zh0jrh0g.jpg,https://wx2.sinaimg.cn/large/6a562119ly1g8v4o9xl7xj20zj0k1qkk.jpg",,,2019-11-12,iPhone 11 Pro,68,11,1,,
4427746920608524,IbDP62yiU,Chopin Scherzo 3 in Salle cortot.   音乐会由Radio France 转播。 法国·巴黎 Nogi鲍释贤的微博视频 ,,"http://f.video.weibocdn.com/004aRbIElx07xOsGNkY001041200jZQD0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578134617&ssig=c2j9JiEA2%2B&KID=unistore,video",法国·巴黎,2019-10-15,iPhone X,75,10,3,,
4425481162220678,IaGSE9jHo,分享视频 Nogi鲍释贤的微博视频 ,,"http://f.video.weibocdn.com/001CqRhYlx07xEuotQB2010412004jPy0E010.mp4?label=mp4_720p&template=544x544.24.0&trans_finger=3a98437b06ee9a5433eaf30fb06ab149&Expires=1578134617&ssig=g6aQ9YDCZa&KID=unistore,video",,2019-10-09,iPhone X,37,5,0,,
4421125012453764,I8RyBaikQ,建国七十周年大会 为祖国比心❤️ Nogi鲍释贤的微博视频 ,,"http://f.video.weibocdn.com/003o1PCtlx07xljGGT6E01041200Ikhj0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=ac99059871b84630cd7e4699fcabfa47&Expires=1578134617&ssig=eI0pBbJ0g0&KID=unistore,video",,2019-09-27,iPhone X,147,21,3,,
4413972436451334,I5Rubr4hM,当个伴郎 搞得跟我要结婚似的 Nogi鲍释贤的微博视频 ,,"http://f.video.weibocdn.com/0031KtRvlx07wPPPvZm8010412005ERw0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=37e3fed30081d60f956dbe10b6ff7523&Expires=1578134617&ssig=c7mklduTt0&KID=unistore,video",,2019-09-07,iPhone X,80,21,2,,
4412562806158286,I5gOApQ3c,在最后的挣扎过后，只留下风拂过树叶的声音 。夜过去了，一缕阳光洒在钢琴上 要开始新的一天了.. Nogi鲍释贤的微博视频 ,,"http://f.video.weibocdn.com/003YakDulx07wJD9Gl0c01041200mG7C0E010.mp4?label=mp4_hd&template=640x368.24.0&trans_finger=ac6fb6d5c49a67fe2901ae638b222ab2&Expires=1578134617&ssig=Mm%2FxjcU5Lm&KID=unistore,video",,2019-09-03,iPhone X,105,9,15,,
