id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4443794256360111,IinhTqGyr,少年的你，在海外拖到现在才看。关于visage的电影，直视镜头、互相对视，最终合二为一。看得到每一个角色的完整面部细节，累累伤痕和有些不愿直视的青春痘，都在记录着青春的苦痛。高考不是故事的句点，但大人总说经历过高考就长大了，于是会有消除痘印，会有从压抑的牢笼中尽情地宣泄。伪装的年份和架空的山城似乎并不彻底（被大家挑出毛病的所谓“失误”），但越到后面似乎也不怎么太愿意掩饰了，押送的囚车车牌最前头是“渝”而不再是“安”。无论是欺负别人的人还是受人欺负，都能在电影中找到一席之地，应该如此。,https://wx1.sinaimg.cn/large/005Uqwgdgy1g9ebjbojnmj30u00ln42u.jpg,,,2019-11-29,iPhone客户端,7,2,0,,
4443728980608877,IilAC2yoB,无法理解的电影，如果它还是电影的话。 ,https://wx2.sinaimg.cn/large/005Uqwgdgy1g9e4bufidhj30u018gthh.jpg,,,2019-11-28,iPhone客户端,5,3,0,,
4443669530429725,Iik2J1NN3,这是什么逻辑？ ,https://wx2.sinaimg.cn/large/005Uqwgdgy1g9dxi1p38mj30ku0asdiu.jpg,,,2019-11-28,iPhone客户端,10,7,0,,
4443365859316619,Iic8VD5G3,爱尔兰人，前两小时维持住近似Goodfellas的强度和节奏，此后停止回溯，取消负责讲述的旁白，以对某个关键事件的详尽描绘进入一种近似凝滞的状态。Russel被捕于The Shoootist(1976)上映时，随后即跨越到了世纪之末（1999），致使我们对Frank衰老的迹象是如此猝不及防。,https://wx1.sinaimg.cn/large/005Uqwgdgy1g9cymp9r6oj30u00g7mz8.jpg,,,2019-11-27,iPhone客户端,7,2,0,,
4442154468171201,IhGD4yhHz,很怀念每天都吃三顿饭的日子，再这么下去我迟早肝或者胃或者随便什么部位得出问题 ,,,,2019-11-24,iPhone客户端,11,5,0,,
4440579926533475,Ih1FurpED,"第一次觉得电影中插入的新闻、给出明确时间这种做法不是取巧的。也让我想起了自己以前某个阶段，不，不如说我要依靠一些牵动不少人回忆的重大事件才能想起一些在大的事件之下自己的私密记忆，好像它们是打开回忆的窗口。“1994年，首尔”，开头如是说。但却在开始给我了一些困惑，一个关于女孩的如此私人的青春电影怎么可能把时间点说得那么直白，这是否明智？数次对准电视新闻，直到电视里报道的内容终于和自己产生关联。有朋友说不能确定戏与戏之间究竟过了多久，深以为然，从对话能得出大约前一小时只是以很日常细节化的节奏处理着女孩的每一天的每一件事，后半程却有一个大的跃进（“那都是上个学期发生的事了”），就像是前面的节奏会骗人一般，直到一个准确时间的出现：“1994年10月21日”。《蜂鸟》(벌새,2018)","https://wx2.sinaimg.cn/large/005Uqwgdgy1g9420o6cthj30u00ffq3r.jpg,https://wx3.sinaimg.cn/large/005Uqwgdgy1g941yss7enj30u00g8gm9.jpg,https://wx4.sinaimg.cn/large/005Uqwgdgy1g9420p1j2yj30u00g8752.jpg",,,2019-11-20,iPhone客户端,13,0,0,,
4438836735993419,IgijTp9a3,偶尔想公开说几句抱怨的话，可又觉得比我惨的人大有人在，何必如此矫情，这样只会显得虚伪。久而久之形成死循环。果然是我想的太多么，或者果然这条微博本身就是我想得太多的结果么。 俄罗斯·叶卡捷琳堡 ,,,俄罗斯·叶卡捷琳堡,2019-11-15,iPhone客户端,15,8,5,,
4437220155368052,IfCgvmwtu,微博会员没了，送粉还在继续。不太懂。 俄罗斯·叶卡捷琳堡 ,,,俄罗斯·叶卡捷琳堡,2019-11-10,iPhone客户端,1,2,0,,
4436906316040892,Ifu6jplvK,俄版海报怎么能这么好。下周就能看到了。#XAVIERDOLAN# 俄罗斯·叶卡捷琳堡 ,https://wx4.sinaimg.cn/large/005Uqwgdgy1g8scq6q6d5j30rl13ek0u.jpg,,俄罗斯·叶卡捷琳堡,2019-11-10,iPhone客户端,12,0,1,XAVIERDOLAN,
4434398881242452,IeqS45ddy,别的不想，就想念国内的食物。因为俄餐过于难吃，每天饥一顿饱一顿的不说一打开各种社交网络看到秀美食的照片，那个心啊可真是拔凉拔凉的 俄罗斯·叶卡捷琳堡 ,,,俄罗斯·叶卡捷琳堡,2019-11-03,iPhone客户端,24,15,1,,
