id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4458494658771790,IoxIdANWu,引述外媒报道，OnePlus宣布了一项名为“ 优化充电”的新功能，该功能旨在通过更改手机的充电方式来延长手机的电池使用时间。该功能于12月首次在Beta版中发现，它将阻止您的手机充电至80％以上，直到100分钟才可以拔出手机。只有这样才能让您的设备充满电。此限制旨在最大程度地减少手机以100％充电所花费的时间-可能导致其电池随时间推移而更快地退化。索尼也算是第三代电池维护了第一代对于作息无法正常的不实用，常常要出门没充饱，那时候还到支援论坛提议是否加入闹钟第二代 加入了闹钟，加入了闹钟响前充满第三代 加入了手动调整，然后我基本都没充饱过了Xperia@ZACKBUKS,,,,2020-01-08,Share微博客户端,0,0,0,,ZACKBUKS
4450970471959835,IlnYr8dQf,升10有些PD头跟PD行充，充电都瞬断的是BUG吗@ZACKBUKS RKV-XZE的微博视频 ,,"http://f.video.weibocdn.com/002f3oJ2lx07zsG4MKWc010412001GrD0E010.mp4?label=mp4_720p&template=720x1680.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581514784&ssig=NK58m8W7fs&KID=unistore,video",,2019-12-18,Share微博客户端,0,0,0,,ZACKBUKS
4416647521581884,I6Z4Q6Dwg,#Xperia 1##索尼xperia##索尼Xperia 1#91分旅行去 Sun princess ,"https://wx1.sinaimg.cn/large/0072KUakly1g6zq0cpx4hj33402c0hdv.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g6zq0nd9qoj33402c0u0z.jpg,https://wx1.sinaimg.cn/large/0072KUakly1g6zq0z7nv6j33402c0npf.jpg,https://wx1.sinaimg.cn/large/0072KUakly1g6zq1caxi8j33402c0e84.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g6zq1mjzf0j33402c0kjn.jpg,https://wx3.sinaimg.cn/large/0072KUakly1g6zq1w4lp4j33402c0b2b.jpg,https://wx4.sinaimg.cn/large/0072KUakly1g6zq27pa2rj33402c0x6r.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g6zq2elmjpj33402c0b2a.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g6zq2mp5i7j33402c0x6q.jpg",,,2019-09-15,Share微博客户端,1,0,0,"Xperia 1,索尼xperia,索尼Xperia 1",
4406122473104538,I2zgXd1Dc,"#Xperia1# @索尼Xperia  @ZACKBUKS 出門走走 ,只帶著Xperia ","https://wx3.sinaimg.cn/large/0072KUakly1g6256bftkbj31400u07s9.jpg,https://wx1.sinaimg.cn/large/0072KUakly1g6256gajopj31400u04dk.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g6256kx1bjj31400u0qti.jpg,https://wx4.sinaimg.cn/large/0072KUakly1g6256p2t21j31400u0nmk.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g6256w3l21j31400u0dvv.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g62572vzmmj31400u0h6a.jpg,https://wx4.sinaimg.cn/large/0072KUakly1g6257b8eu8j31400u0x4l.jpg,https://wx4.sinaimg.cn/large/0072KUakly1g6257jzcrgj31400u07tw.jpg,https://wx3.sinaimg.cn/large/0072KUakly1g6257pk8qhj31400u01hu.jpg",,,2019-08-17,微博 HTML5 版,5,8,1,Xperia1,"索尼Xperia,ZACKBUKS"
4386367708286388,HAeOKyLFq,#Xperia 1#自动模式，肉肉肉肉肉 ,"https://wx3.sinaimg.cn/large/0072KUakly1g4b4gywn6oj31400u0k3c.jpg,https://wx1.sinaimg.cn/large/0072KUakly1g4b4h2hbx3j31400u0qn9.jpg,https://wx3.sinaimg.cn/large/0072KUakly1g4b4h51nduj31400u0qdb.jpg,https://wx3.sinaimg.cn/large/0072KUakly1g4b4h7p6jcj31400u07n6.jpg",,,2019-06-23,微博 HTML5 版,0,0,0,Xperia 1,
4383506924308327,Hz2oAi4N9,#Xperia 1#放點喜歡的電影回味片段 ,"https://wx3.sinaimg.cn/large/0072KUakly1g41zwci79bj31kw0u0b29.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g41zwylcvwj31kw0u01kx.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g41zxd5zfyj31kw0u07wh.jpg",,,2019-06-15,微博 HTML5 版,0,0,0,Xperia 1,
4382108027704079,Hys0iwkbl,#xperia 1# @ZACKBUKS 到了 到了  ,"https://wx2.sinaimg.cn/large/0072KUakly1g3xj8vwg6pj31400u0wlf.jpg,https://wx3.sinaimg.cn/large/0072KUakly1g3xj8zb5unj31400u045t.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g3xj91i0xtj31400u0ahy.jpg",,,2019-06-11,微博 HTML5 版,3,2,2,xperia 1,ZACKBUKS
4381021266634927,HxZJsrQ2X,#xperia 1#ONE ,"https://wx4.sinaimg.cn/large/0072KUakly1g3u2g5rnp8j31400u01kz.jpg,https://wx3.sinaimg.cn/large/0072KUakly1g3u2gc49dlj31400u0b2a.jpg",,,2019-06-08,微博 HTML5 版,0,0,0,xperia 1,
4380972616895595,HxYsZsVRh,#xperia 1# @Zackbuks 第三方手勢，fluid navigation gestures側面滑入，可返回鎖屏，與side sense操作不衝突想要全面屏可以ADB隱藏藥丸 ,"https://wx4.sinaimg.cn/large/0072KUakly1g3twtgr8iej30u01kvqo7.jpg,https://wx3.sinaimg.cn/large/0072KUakly1g3twtlx6fqj30u01kvqo7.jpg,https://wx2.sinaimg.cn/large/0072KUakly1g3twtovodbj30u01kvnea.jpg",,,2019-06-08,微博 HTML5 版,1,5,1,xperia 1,Zackbuks
4380547616621158,HxNpvrMsS,#xperia 1# 索尼又翻车啦，昨天花2个小时排队取机想想也还好了，再来等撸背壳 @Zackbuks ,https://wx3.sinaimg.cn/large/0072KUakly1g3sjzwpv4oj30zk0qoai0.jpg,,,2019-06-07,微博 HTML5 版,0,0,0,xperia 1,Zackbuks
