id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4439648975304501,IgDrXmfWt,#2019上海国际马拉松# 整队全部顺利完赛，辛苦上海马拉松所有的工作人员、武警官兵、志愿者及配速员们！希望所有站上赛道的跑者都能够爱惜自己，确定你的身体状况及训练计划。祝贺所有的跑者，你们都是最棒的#theonecrew##runONEderful# 上海 ,"https://wx3.sinaimg.cn/large/61c177c1ly1g913jys2raj22c0340hdv.jpg,https://wx2.sinaimg.cn/large/61c177c1ly1g913jutqojj23402c01kz.jpg,https://wx2.sinaimg.cn/large/61c177c1ly1g913kaynprj22c0340u0z.jpg,https://wx1.sinaimg.cn/large/61c177c1ly1g913k88mzqj23402c0b2b.jpg,https://wx4.sinaimg.cn/large/61c177c1ly1g913kdiargj23402c07wj.jpg,https://wx2.sinaimg.cn/large/61c177c1ly1g913x9co1cj22c0340hdv.jpg,https://wx4.sinaimg.cn/large/61c177c1ly1g913k1zoxvj22c0340x6r.jpg,https://wx3.sinaimg.cn/large/61c177c1ly1g913kilx8ej22c02c0npg.jpg,https://wx1.sinaimg.cn/large/61c177c1ly1g913kg8465j21hc0u0qk0.jpg",,上海,2019-11-17,,66,29,9,"2019上海国际马拉松,theonecrew,runONEderful",
4453413993693961,ImpxBfuY1,#Fantasy on Ice2020#in SHANGHAI发布会于今天下午在东方体育中心隆重举行。由真碧喜久夫先生创办于2002年的FaOI首次来到中国落户上海，将在2020年1月下旬开启票务预售。2020年5月30日、31日两天在上海东方体育中心FaOI冰上幻想将给广大冰迷带来世界顶级花样滑冰演出。在记者问环节：记者：想替广大冰迷询问下，明年FaOI上海站是否会邀请#羽生结弦#  ？真碧喜久夫：现在还在赛季，所以暂时还未跟运动员商谈明年演出事宜，但我们会尽最大努力邀请。 上海·东方体育中心 上海·东方体育中心,"https://wx2.sinaimg.cn/large/61c177c1ly1ga90mfkn01j23402c07wh.jpg,https://wx3.sinaimg.cn/large/61c177c1ly1ga90mhtippj22c0340e81.jpg",,上海·东方体育中心,2019-12-25,,1225,122,454,"Fantasy on Ice2020,羽生结弦",
4447007014146124,IjIRLhoAY,HTC TaiWan 174KM總時間16:24:40在大风大雨中顺利完赛！他们太棒了～@Coach小豪 @雅菡慢半拍 @JOANNE-喬喬 @Miss门门门门 ,"https://wx4.sinaimg.cn/large/61c177c1gy1g9oks4ed8gj21900u013x.jpg,https://wx1.sinaimg.cn/large/61c177c1gy1g9oks5ez6xj213y0u0ait.jpg,https://wx1.sinaimg.cn/large/61c177c1gy1g9oks7u9j5j256o3gg4qq.jpg,https://wx1.sinaimg.cn/large/61c177c1gy1g9oksa4t8yj256o3gg1kz.jpg",,,2019-12-07,,13,0,0,,"Coach小豪,雅菡慢半拍,JOANNE-喬喬,Miss门门门门"
4443030226324922,Ii3pAqxoS,冬天从徘徊于选择题悄悄地开始了：轻松度日OR努力坚持#theonecrew##runonederful#📷Photo: @郑诣ZHENGYI  绿洲 ,"https://wx1.sinaimg.cn/large/61c177c1gy3g9bw30zbn2j20u00k0apl.jpg,https://wx3.sinaimg.cn/large/61c177c1gy3g9bw30yij3j20u00k0duq.jpg,https://wx2.sinaimg.cn/large/61c177c1gy3g9bw30wotvj20u00k0qgy.jpg,https://wx4.sinaimg.cn/large/61c177c1gy3g9bw31bd4qj20u00k07e3.jpg,https://wx2.sinaimg.cn/large/61c177c1gy3g9bw315p7xj20u00k0tk7.jpg,https://wx4.sinaimg.cn/large/61c177c1gy3g9bw31ckk3j20u00k0tjt.jpg,https://wx3.sinaimg.cn/large/61c177c1gy3g9bw31jjw1j20u00k0tkx.jpg,https://wx2.sinaimg.cn/large/61c177c1gy3g9bw31irmtj20u00k0tl6.jpg,https://wx4.sinaimg.cn/large/61c177c1gy3g9bw31lhg9j20u00k016x.jpg",,,2019-11-27,绿洲APP,29,18,6,"theonecrew,runonederful",郑诣ZHENGYI
4440131022783973,IgPZsbGeN,马拉松后的排酸方式？跳跳舞、喝喝酒，再来个5KM～#theonecrew##runONEderful# ,"https://wx2.sinaimg.cn/large/61c177c1gy1g92n2q13faj22c0340hdy.jpg,https://wx1.sinaimg.cn/large/61c177c1gy1g92n2rqd7kj23402c0qv9.jpg,https://wx2.sinaimg.cn/large/61c177c1gy1g92n30tx9zj243c546kjy.jpg,https://wx3.sinaimg.cn/large/61c177c1gy1g92n2ne7bcj23e448n1l9.jpg,https://wx2.sinaimg.cn/large/61c177c1gy1g92n33p1mmj22c0340u11.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g92n3f4e3rg20k60qob2o.gif",,,2019-11-19,,28,16,1,"theonecrew,runONEderful",
4439341898107224,IgvsFy13G,🔴#2019上海国际马拉松#明早7:00正式发枪 ，请问你们都准备好了吗？🔵今年我们同样为你们准备了一整张42KM歌单 #PowerbeatsPro#，由初马选手@凯基君 为大家整理提供，点击索取👉🏻 || KAIJI🐥kaiji ⚪️ 愿大家明日享受赛道，#放开去表现# @Beatsbydre ,"https://wx2.sinaimg.cn/large/61c177c1gy1g902dxz8gkj21c91w9e85.jpg,https://wx3.sinaimg.cn/large/61c177c1gy1g902e0i1z0j218g3pxb29.jpg,https://wx3.sinaimg.cn/large/61c177c1gy1g902dwf2o8j21c91w9npg.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g902exgttkj21c91w91kx.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g902dzn62zj21c91w97wl.jpg,https://wx1.sinaimg.cn/large/61c177c1gy1g902e1luqvj21c91w9b29.jpg,https://wx3.sinaimg.cn/large/61c177c1ly1g904g5sk3wj234022ohdu.jpg,https://wx1.sinaimg.cn/large/61c177c1ly1g904g88cgnj24802tcqv9.jpg,https://wx4.sinaimg.cn/large/61c177c1ly1g904g47zdmj234022o7wi.jpg",,,2019-11-16,,46,5,4,"2019上海国际马拉松,PowerbeatsPro,放开去表现","凯基君,Beatsbydre"
4439293651382035,IgucR5NwT,今早，由TheOneCrew邀请了世界各大跑团的🌍Runners 一起在浦东白莲泾公园完成了6KM的SHAKE OUT RUN，为明早的上海马拉松预热，希望上海的“热”情没有把大家吓到。明天请注意防晒降温，破PB～#RunHai##runONEderful##2019上海国际马拉松# ,"https://wx1.sinaimg.cn/large/61c177c1gy1g8zyq38twqj23fc4a6x6z.jpg,https://wx2.sinaimg.cn/large/61c177c1gy1g8zyq6on5zj264w43c7wu.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g8zyqcid8rj25cy3kpnpq.jpg,https://wx2.sinaimg.cn/large/61c177c1gy1g8zyqfoe6qj24003001l6.jpg,https://wx3.sinaimg.cn/large/61c177c1gy1g8zypxh2fkg209i05eqvc.gif,https://wx2.sinaimg.cn/large/61c177c1gy1g8zyqhy1ssj2400300b2f.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g8zypvm008j22ds1sc7wn.jpg,https://wx3.sinaimg.cn/large/61c177c1gy1g8zyqkjtldj22r53fxqva.jpg,https://wx2.sinaimg.cn/large/61c177c1gy1g8zyr1mrbsj264w43cu1e.jpg",,,2019-11-16,,68,43,25,"RunHai,runONEderful,2019上海国际马拉松",
4439024020600765,IgnbY2whL,作为创始人，我希望TheOneCrew是一个真正有包容性的团队，所以在和大家商量后决定以后每一次crew的分享都由一个跑团成员来诉说他（她）们和crew之间的故事。这是一个个真真切切从running baby到一个全马跑者的故事，我们的跑团成员，他们每个人都有自己和跑步和跑团的故事，希望能分享给全世界所有热爱跑步的跑者。这些人、这些故事才是你们口中真正所谓的“腔调”！#runONEderful##RunHai#,"https://wx4.sinaimg.cn/large/61c177c1gy1g8z3wkvjsoj21hc0zkhdt.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g8z3wln3jwj21hc0zkhdt.jpg,https://wx3.sinaimg.cn/large/61c177c1gy1g8z3wmdqgaj21hc0zkhdt.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g8z3wo65nxj20zk1hchdt.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g8z3wn9z0qj21hc0zk1ky.jpg,https://wx1.sinaimg.cn/large/61c177c1gy1g8z3x9v95wj23402c07wl.jpg,https://wx3.sinaimg.cn/large/61c177c1gy1g8z3x7jchaj24802tcnpp.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g8z3wj6pvaj243c546qvb.jpg,https://wx4.sinaimg.cn/large/61c177c1gy1g8z3wpbzicj21hc0zkhdu.jpg",,,2019-11-15,,48,11,2,"runONEderful,RunHai",
4438863063698930,Igj0mfwga,every step counts.🏃♀️🏃每一步都值得. 🌍Runners上海马拉松加油#RunHai##theonecrew# #runONEderful# ,https://wx2.sinaimg.cn/large/61c177c1gy1g8ylhqfs4sj21ww2pg1la.jpg,,,2019-11-15,,53,1,5,"RunHai,theonecrew,runONEderful",
4436817904554547,IfrNIj6Qr,金博洋超话  祝贺天天，他回来了！祝贺闫涵，复出很棒！ TheOneCrew的微博视频 ,,"http://f.video.weibocdn.com/002lnX6Qlx07yso2yaZq01041201oisC0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1577640304&ssig=oIle5XaxdZ&KID=unistore,video",,2019-11-09,金博洋超话,12,0,0,,
