id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4437841016939070,IfSpTt7au,【关于卡配罗的那些年那些事儿（不只是CP往事）】九海带图，流量慎。【11月22日更新】我把所有不能放进海带的卡配罗动图都放在了老福特的文集里→网页链接 按照年份整理归纳完毕。从2009年卡卡和C罗进入皇马至今的大事记，包括卡配罗关键的互动记录，还有他们各自在皇马的经历以及当年一些重要事件的考古（比如穆帅执教后期在皇马的恩怨）。前几张偏卡卡，后几张多记录C罗。想做这个的起因不只是常被同好问起当年的往事，还因为一些误解向的留言，比如“卡卡最糟糕的四年是C罗最好的四年之类的”，虽然很有宿命感但那不是事实啊…现在发这些还有个原因，我想让大家知道那些岁月里他们曾度过怎样黑暗的日子，所以C罗说得对：黑夜过去，黎明终究到来。关于一定会被质疑的真实性：作为体育圈内人从去年世界杯入坑CP到现在，为了搞清楚细节，从今年上半年起就开始翻阅大量的旧日资料（包括新闻报道自传记录官方微博等内容）。图片中【】中的文字有根据新闻进行推测的部分，但基本所有内容都有出处和来源以及考据，欢迎来讨论以及提出不同意见。想指责“哎哟CP粉又YY了”的各位，可以先把我骂痛快了，但是便宜了嘴之后记得告诉我哪里错了，我会感激不尽。记得带来源，QQ邮箱进门不是有句话吗：“You tell me I'm wrong.Then you'd better prove you're right.”,"https://wx4.sinaimg.cn/large/006w2Icogy1g99ftobm18j30ku88l7wj.jpg,https://wx4.sinaimg.cn/large/006w2Icoly1g8wv81w7z0j30ku99cnpd.jpg,https://wx2.sinaimg.cn/large/006w2Icoly1g95mhidgzyj30kf81g7wj.jpg,https://wx4.sinaimg.cn/large/006w2Icoly1g9v8fx8xgrj30ku9k24qs.jpg,https://wx3.sinaimg.cn/large/006w2Icogy1g908gq4dakj30ku9lg4qs.jpg,https://wx3.sinaimg.cn/large/006w2Icoly1g8we0odwhpj30ku79stuo.jpg,https://wx4.sinaimg.cn/large/006w2Icoly1g8we118luaj30ku5n9wws.jpg,https://wx3.sinaimg.cn/large/006w2Icoly1g8vc2h8y0yj30ku5gykjl.jpg,https://wx1.sinaimg.cn/large/006w2Icoly1g8vc2jmlsjj30kua141kx.jpg",,,2019-11-12,卡配罗超话,410,89,462,,
4456595230309060,InKiD1ioQ,西班牙媒体有病？你评皇马十年最差阵容把卡卡算进去我认了，却TM给塞到前锋阵容里了？咋滴非找个凑数的？你他妈倒是拿狗眼看看佩工和穆鸟谁让他打前锋了？居然还把科恩特朗也算进去了？！我靠当初他救了多少次场啊？！怪不得当初金毛都准备好被租借离开皇马的准备了结果俱乐部反悔又按下来了，他知道消息后当场就哭了，不重视人家又不让人走，还真TM不是东西（对了，当初被俱乐部的决定闹得措手不及一度没地儿住结果被我罗接到家里暂住的就是金毛吧？,https://wx3.sinaimg.cn/large/006w2Icoly1gaj6dxvtzuj30z00s8n1r.jpg,,,2020-01-03,红色iPhone 7,3,10,0,,
4456405044362663,InFlSiiVx,我到底看了多少老蕾头的视频啊 ,"https://wx4.sinaimg.cn/large/006w2Icoly1gaik5oul5tj30ku112x6q.jpg,https://wx1.sinaimg.cn/large/006w2Icoly1gaik5q5cl0j30ku112u0y.jpg,https://wx4.sinaimg.cn/large/006w2Icoly1gaik5rh068j30ku112hdu.jpg,https://wx4.sinaimg.cn/large/006w2Icoly1gaik5sinutj30ku112hdu.jpg,https://wx4.sinaimg.cn/large/006w2Icoly1gaik5n0938j30ku112e82.jpg,https://wx3.sinaimg.cn/large/006w2Icoly1gaik5tmcbkj30ku112npe.jpg",,,2020-01-03,红色iPhone 7,2,1,0,,
4456385658026038,InEQBxFWe,好像跟罗妈同款滤镜，再加效果简直糊到不行 WhiteShiki的微博视频 ,,"http://f.video.weibocdn.com/003Kyopslx07zQvO6VMA010412003OOA0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1578070137&ssig=bJSO0lrH9E&KID=unistore,video",,2020-01-03,红色iPhone 7,3,5,0,,
4456341677004917,InDHFtoix,卡配罗超话 两个小傻子 场景还挺一致 ,"https://wx3.sinaimg.cn/large/006w2Icoly1gaicvs6pyij30tz0lr0xd.jpg,https://wx4.sinaimg.cn/large/006w2Icoly1gaicvsndubj30gi0chwfp.jpg",,,2020-01-03,卡配罗超话,8,1,1,,
4456226462855552,InAHQbYRi,阿维罗家的这个新成员真的是个有个性的宝宝，怎么谁抱都是要起飞的状态迷你真好看 ,https://wx2.sinaimg.cn/large/006w2Icoly1gahzncj7v2j30cx0bognb.jpg,,,2020-01-03,红色iPhone 7,2,0,0,,
4456224202864341,InAEcc193,老穆你的嘴 ,,,,2020-01-03,红色iPhone 7,0,0,0,,
4455845805052186,InqNSlciS,卡卡超话 卡卡打椰子的后续。看着傻乎乎的 WhiteShiki的微博视频 ,,"http://f.video.weibocdn.com/004tp4OJlx07zO8uRV1S01041200saxT0E010.mp4?label=mp4_720p&template=720x1276.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1578070156&ssig=tJkcfg9BZg&KID=unistore,video",,2020-01-01,卡卡超话,5,8,0,,
4454992133550895,In4AZeTKv,辛苦啦 ,https://wx1.sinaimg.cn/large/006w2Icoly1gae1w2shkgj30u011i1bk.jpg,,,2019-12-30,红色iPhone 7,0,0,0,,
4454619192831847,ImUTtbSGX,卡配罗超话 失忆，完全不记得自己到底存没存过P1还有终于找到没被戳眼睛的P2但是卡纸你这样显得好呆滞啊 ,"https://wx3.sinaimg.cn/large/006w2Icoly1gacv1t1581j30ku0q1jy7.jpg,https://wx4.sinaimg.cn/large/006w2Icoly1gacv1vl2l0j30u00qzq9b.jpg",,,2019-12-28,卡配罗超话,10,4,0,,
