id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4440879786006299,Ih9t8pcvN,祝你生日快乐,,,,2019-11-21,生日动态,5,1,1,,
4440856297488938,Ih8Rfvqdk,生日快樂。 ,,,,2019-11-21,iPhone客户端,6,0,0,,
4427803875075497,IbFiXlimR,晚安。心裡的花。  野狼Disco（feat.陈伟霆） @QQ音乐 ,,,,2019-10-15,iPhone客户端,7,1,0,,QQ音乐
4418589496981668,I7NB3tify,陈伟霆超话陈伟霆新歌·即将上线9.23 00:00 𝙇𝙤𝙖𝙙𝙞𝙣𝙜✌🏻 ,https://wx3.sinaimg.cn/large/005P49tXly1g75x3supwsj31ww2pghdw.jpg,,,2019-09-20,陈伟霆超话,16,4,6,,
4308611645376320,H3C1KmyCQ,祝你生日快乐,,,,2018-11-21,生日动态,11,4,3,,
4237375548483048,GfGj8zAPm,#陈伟霆##陈伟霆热血街舞团# 绚丽灯光下的手@William威廉陈伟霆 ,"https://wx4.sinaimg.cn/large/005P49tXgy1fr3syv6fgej32yo1z4qis.jpg,https://wx1.sinaimg.cn/large/005P49tXgy1fr3syvr040j32yo1z47io.jpg,https://wx1.sinaimg.cn/large/005P49tXgy1fr3syxz74fj30qo0yqdq9.jpg",,,2018-05-08,陈伟霆超话,24,2,8,"陈伟霆,陈伟霆热血街舞团",William威廉陈伟霆
4233826290873483,GebYx3Fer,#陈伟霆##陈伟霆热血街舞团# 放一组笑容来迎接今晚的热血街舞团吧@William威廉陈伟霆  大家去看我们的战神了吗 ,"https://wx2.sinaimg.cn/large/005P49tXgy1fqshbulkwej32bc1jk4m9.jpg,https://wx1.sinaimg.cn/large/005P49tXgy1fqshc0n5ifj32bc1jkaxu.jpg,https://wx3.sinaimg.cn/large/005P49tXgy1fqshc46udbj32bc1jkke6.jpg,https://wx2.sinaimg.cn/large/005P49tXgy1fqshc7dm7tj32bc1jk1dd.jpg,https://wx4.sinaimg.cn/large/005P49tXgy1fqshcavnjuj32bc1jknkk.jpg,https://wx1.sinaimg.cn/large/005P49tXgy1fqshcehzx9j32bc1jkkf7.jpg",,,2018-04-28,Android,10,0,0,"陈伟霆,陈伟霆热血街舞团",William威廉陈伟霆
4212472229010033,G5esuBNV7,#陈伟霆# 陈伟霆18.02.28ins更新@William威廉陈伟霆 ,"https://wx2.sinaimg.cn/large/005P49tXgy1fowcuo194hj30u01ffwpi.jpg,https://wx4.sinaimg.cn/large/005P49tXgy1fowcuoeioej30u00k0q70.jpg",,,2018-02-28,Android,5,0,0,陈伟霆,William威廉陈伟霆
4188443837713922,FB6PlwmK6,#陈伟霆# #waitingfornewyear# 那些命中注定的邂逅，都在最不经意的时候发生 ,,,,2017-12-24,搜狗高速浏览器,3,0,0,"陈伟霆,waitingfornewyear",
4188131424741003,FAYHsjTlN,#陈伟霆# 17.12.23陈伟霆ins更新@William威廉陈伟霆 ,"https://wx2.sinaimg.cn/large/005P49tXgy1fmqpcy8pvjj30tx14gagf.jpg,https://wx3.sinaimg.cn/large/005P49tXgy1fmqpcxume6j30u00mijsy.jpg",,,2017-12-23,搜狗高速浏览器,7,0,3,陈伟霆,William威廉陈伟霆
4187379629548652,FAF8SE42w,#陈伟霆# #陈伟霆陪你跨年# 17.12.21陈伟霆ins更新@William威廉陈伟霆 ,"https://wx3.sinaimg.cn/large/005P49tXgy1fmob0lutufj30u01a5n0o.jpg,https://wx1.sinaimg.cn/large/005P49tXgy1fmob0ocqzcj30u011idj6.jpg",,,2017-12-21,微博 weibo.com,3,0,0,"陈伟霆,陈伟霆陪你跨年",William威廉陈伟霆
4176340615755242,Fw1Y1o9cu,祝你生日快乐,,,,2017-11-21,生日动态,15,0,0,,
4154743230272179,FmY7x18NZ,#陈伟霆# 陈伟霆17.09.22ins更新@William威廉陈伟霆 ,"https://wx4.sinaimg.cn/large/005P49tXly1fjs6s2u1puj30u01fswjz.jpg,https://wx1.sinaimg.cn/large/005P49tXly1fjs6s3agy3j30u00tugnb.jpg",,,2017-09-22,资讯台Android,20,1,7,陈伟霆,William威廉陈伟霆
