id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3519129984468862,z81EOiKyq,I can login!!!!!! Weibo customer service manages my problem. Thank you! But I use new account now. Please follow @butterfly-road ,,,,2012-12-03,微博 weibo.com,4,0,8,,butterfly-road
3510941922837725,z4AEgbUdL,De Cha Cha Cha van Kevin Van der Perren | VTM 网页链接 KVDP at Dance with the Stars (DWTS) in Belgium. ,,,,2012-11-10,微博 weibo.com,0,0,2,,
3510933186274011,z4Aqaqk9J,"Johnny will talk with US federation. He withdrawed CoR, so he wants to give his entry to another skater who have never been to GPS... ",,,,2012-11-10,微博 weibo.com,0,0,4,,
3510932808914842,z4ApyBp9M,"According to his interview, Johnny reduced his weight, so his mind is willing but his body is weak. A month ago he got injured his hip due to fall, and in CoR short he did same point. ",,,,2012-11-10,微博 weibo.com,0,0,1,,
3510928840718259,z4Aja30QP,OMG!! Johnny withdraws from TEB!? ,,,,2012-11-10,微博 weibo.com,0,0,10,,
3510923350409509,z4Aaj1IwZ,"According to Italian commentator (Berton/Hotarek’s coach), Carolina Kostner FS is Bolero of Ravel, SP is classic music (little known?). Choreographer is Lori Nichol. ",,,,2012-11-10,微博 weibo.com,0,0,1,,
3510918422369394,z4A2m9Wo2,Johnny get injured his left hip. He wanted to competite Free...I hope he will get well soon!! ,,,,2012-11-10,微博 weibo.com,0,0,0,,
3510913875725270,z4zV1o1p4,RT @Tatjana21: Jonny Weir withdraws after all from #CupofRussia. Wishing him a speedy recovery.  ,,,,2012-11-10,Android客户端,0,2,6,,Tatjana21
3510867415378325,z4yI5mz9b,Johnny Weir decides to compete at Cup of Russia!! @花滑粉丝 @SkatingFan_莎莎 ,,,,2012-11-10,微博 weibo.com,0,4,3,,"花滑粉丝,SkatingFan_莎莎"
3510861069028900,z4yxQBSPq,Tatjana Flade ‏@Tatjana21: Update: J. Weir still considering to compete at #CupofRussia based on additional medical treatment. ,,,,2012-11-10,微博 weibo.com,0,1,3,,Tatjana21
3510856099056571,z4ypPC01J,"Tatjana Flade ‏@Tatjana21: Not official yet, but it looks like Johnny Weir (USA) withdraws from #CupofRussia due to injury (hip problem). Get well soon! ",,,,2012-11-10,微博 weibo.com,0,1,1,,Tatjana21
3510833861483258,z4xPY6dRw,Tatjana Flade ‏@Tatjana21: Ice Dancers T. Zahorski/A. Miart (FRA) split up. A shame. Tiffany is looking for a new partner. Please help her by RT! Thanks. ,,,,2012-11-10,微博 weibo.com,0,0,0,,Tatjana21
3510631556624089,z4szFrNe9,"Alexa Scimeca & Chris Knierim have been invited to compete at 2012 NHK Trophy, Nov. 23-25, in Miyagi, Japan. They were invited after Caitlin Yankowskas & Joshua Reagan withdrew to injury.  网页链接 ",,,,2012-11-10,Android客户端,0,1,2,,
3510068903831378,z4dWag4Iq,Olympian Vanessa Crone looking for a new partner | The Toronto Observer 网页链接 ,,,,2012-11-08,微博 weibo.com,0,0,1,,
