id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3905543472804481,D2kd5bLzz,服务器：九天揽月 ID：72984435 点击下载《梦幻西游》，和小伙伴一起畅玩： 《梦幻西游》手游官网-人人都玩 不玩才怪  ,https://ww1.sinaimg.cn/large/9e37cb0ejw1exp6l0l64uj20hs0bu0vz.jpg,,,2015-11-04,梦幻西游同名手游,0,0,0,,
3887336205374951,CAE0QmygL,发表文章 网页链接 ,,,,2015-09-15,坚果手机,0,0,0,,
3879667909905012,CxqwCFyKg,保定市某出租车故意遮挡涂改号牌，前后都粘贴数字号，只能从车门编号判断，这样的营运车辆给社会带来危害@保定市公安局交通警察支队 @保定晚报 @保定晚报帮办 @保定早报 @河北交通广播 @微博保定 @燕赵都市报保定站 @1048保定交通广播 @992一路畅行 希望得到有关部门的关注🚗车辆信息[保定瑞驰2-846] ,"https://ww4.sinaimg.cn/large/9e37cb0ejw1evemtdbe8jj21hs2004qq.jpg,https://ww3.sinaimg.cn/large/9e37cb0ejw1evemsxgfi5j22001hsnpd.jpg",,,2015-08-25,iPhone客户端,0,0,0,,"保定市公安局交通警察支队,保定晚报,保定晚报帮办,保定早报,河北交通广播,微博保定,燕赵都市报保定站,1048保定交通广播,992一路畅行"
3801160391848458,C0ubB7KRQ,#风暴英雄国服内测#《风暴英雄》国服内测1月15日全球同步开启，转发微博赢取更多好礼，每日点击下方按钮获得抽奖资格，奖品包含激活码、战网充值卡、暴雪扭蛋、精美游戏外设大礼等你来抢。 风暴英雄国服内测激活码活动 ,,,,2015-01-20,新浪游戏频道,1,0,0,风暴英雄国服内测,
3665522581448552,AruxA64PK,#让红包飞# 让红包飞超话 ,,,,2014-01-11,iPhone客户端,0,2,0,让红包飞,
3634160280816954,AekFe3qwG,小报一下18号要开业的无印良品@保定万博广场VANBO @一ge小破孩 ,https://ww2.sinaimg.cn/large/9e37cb0ejw1e9nenhkihnj20qo2sk1dn.jpg,,,2013-10-16,微博 weibo.com,1,3,2,,"保定万博广场VANBO,一ge小破孩"
3632513119203361,AdDOvCCdj,无印良品18号开业啦~@保定万博广场VANBO ,https://ww1.sinaimg.cn/large/9e37cb0ejw1e9i5gx4tyij207004q3yf.jpg,,,2013-10-12,360安全浏览器,0,0,4,,保定万博广场VANBO
3631453164773882,AdceUk1U6,"我参与了@燕赵都市报保定站 发起的投票【保定东站下车后，你认为最理想的交通工具是？】，我投给了""公交车""这个选项。你也快来表态吧：保定东站下车后，你认为最理想的交通工具是？  ",,,,2013-10-09,投票,0,0,0,,燕赵都市报保定站
3631238830861234,Ad6Fd3C2S,女汉子的十大错觉 by 腾讯微博-同道大叔 @一ge小破孩 ,https://ww1.sinaimg.cn/large/9e37cb0ejw1e9e340sxu1j20c83m9q9s.jpg,,,2013-10-08,微博 weibo.com,0,3,0,,一ge小破孩
3629095244451262,AccTOiFYy,小编哥哥和销售姐姐~国庆节辛苦啦还抽中个3等奖~@保定万达影城 @糖豆同学  ,"https://ww4.sinaimg.cn/large/9e37cb0ejw1e978odycgkj20x718g4e4.jpg,https://ww1.sinaimg.cn/large/9e37cb0ejw1e978op3tmgj218g0x71ag.jpg",,,2013-10-02,iPhone客户端,1,6,3,,"保定万达影城,糖豆同学"
3624719439642648,Aan43EsuA,有没有搞错！10月1我还回不去了？！！这么多趟列车居然95%连站票都没有了！！！神马情况！！@一ge小破孩 @燕赵都市报保定站 @保定发布 @保定晚报帮办 @双生夏 @保定铁路 @北京铁路 ,https://ww4.sinaimg.cn/large/9e37cb0ejw1e8tacmwnkyj20q61k04f8.jpg,,,2013-09-20,360安全浏览器,0,9,0,,"一ge小破孩,燕赵都市报保定站,保定发布,保定晚报帮办,双生夏,保定铁路,北京铁路"
3623478005682590,A9QLKnQiG,百盛要开业啦~@燕赵都市报保定站 @新浪河北 @一ge小破孩  ,https://ww3.sinaimg.cn/large/9e37cb0ejw1e8pbrkec50j20hs0qoaei.jpg,,,2013-09-17,iPhone客户端,0,1,0,,"燕赵都市报保定站,新浪河北,一ge小破孩"
3618400360595349,A7IG02uSp,等火车还有意外收获~亲眼见警察大叔抓人了 ,https://ww3.sinaimg.cn/large/9e37cb0ejw1e894ngbaqfj20hs0dadi9.jpg,,,2013-09-03,iPhone客户端,0,0,0,,
3617347699360639,A7hi9Dh83,为什么那英让我联想到斯内普教授~汪峰让我联想到哈利波特~莫非电影看多了？@一ge小破孩 @保定晚报编辑部 @双生夏 @保定公交迷001 @保定晚报编辑部 @保定影像 @暴走漫画 @iTools官方微博 @王力宏 @广告也疯狂  ,"https://ww2.sinaimg.cn/large/9e37cb0ejw1e85rnb7y4ij20i10p0got.jpg,https://ww4.sinaimg.cn/large/9e37cb0ejw1e85rnkw787j20i10p0gpa.jpg",,,2013-08-31,iPhone客户端,0,2,0,,"一ge小破孩,保定晚报编辑部,双生夏,保定公交迷001,保定晚报编辑部,保定影像,暴走漫画,iTools官方微博,王力宏,广告也疯狂"
3617111068588975,A7b8uA2nR,建议~保定公交应该跟省会学下~车内应该挂上站牌~方便不熟悉的人在车里看在哪站下~别全是什么老弱病残啊保定的宣传牌啊的了~要不还得老问司机~多影响驾驶啊~推广下吧~雄起保定吧~ @保定市公共交通总公司 ,https://ww2.sinaimg.cn/large/9e37cb0ejw1e850kqfskfj21kw16hqez.jpg,,,2013-08-30,360安全浏览器,1,3,6,,保定市公共交通总公司
3614419974596231,A6381jhGL,好感动~就连保洁都这么有素质~自己躲在角落里~~~重要的是~~~自己掏出了个黑色袋子~铺在地上坐着休息~都怕坐脏地板~@保定万达影城 @双生夏 @保定晚报编辑部 @一ge小破孩  ,,,,2013-08-23,iPhone客户端,0,4,0,,"保定万达影城,双生夏,保定晚报编辑部,一ge小破孩"
3614409983373447,A62RUe9Ar,大毛怪~我来啦@保定万达影城  我在这里:保定·保定万达影城 ,"https://ww3.sinaimg.cn/large/9e37cb0ejw1e7wecqw5dmj20da0hs77o.jpg,https://ww1.sinaimg.cn/large/9e37cb0ejw1e7wecy1cvbj20hs0da40w.jpg",,保定·保定万达影城,2013-08-23,iPhone客户端,1,2,0,,保定万达影城
3614087030083385,A5Ut10lGV,#怪兽大学#有时候，有一个有趣的好伙伴，比一个看上去有趣的工作要更重要。怪兽大学8月23日上映，会员模板抢先体验，快来换上吧！@迪士尼互动 网页链接 ,https://ww4.sinaimg.cn/large/741a281ejw1e6aktgz886j20b408c40d.jpg,,,2013-08-22,360安全浏览器,0,0,0,怪兽大学,迪士尼互动
3613368093398257,A5BLreg2B,@保定万达影城 咱们能不能搞个什么活动~能让我们了解影院~看看播放机所在地~片源等啊~[ali哇] ,,,,2013-08-20,专业版微博,0,2,0,,保定万达影城
3612799831967958,A5mYT8fXg,网页链接 #带着微博去旅行# ,,,,2013-08-19,iPhone客户端,0,0,0,带着微博去旅行,
3612799538791745,A5mYpAT8l,网页链接 #带着微博去旅行# ,,,,2013-08-19,iPhone客户端,0,0,0,带着微博去旅行,
3612795675618652,A5mSbnzFq,#带着微博去旅行# 我在这里:保定·保定万达影城 ,,,保定·保定万达影城,2013-08-18,iPhone客户端,0,2,0,带着微博去旅行,
3612774632239488,A5mkf9oAM,好喜感的~@保定万达影城 ,https://ww3.sinaimg.cn/large/9e37cb0ejw1e7r6jj2fipj20hs0numz4.jpg,,,2013-08-18,360安全浏览器,0,0,0,,保定万达影城
3612676150173848,A5jLp0Je0,今天和我的小伙伴一起合影了！你们呢！快来一起参加互动，享受电影给我们带来视听盛宴吧~@保定万达影城 ,https://ww4.sinaimg.cn/large/9e37cb0ejw1e7qv8dhlo9j20qo0zkgnk.jpg,,,2013-08-18,360安全浏览器,0,0,0,,保定万达影城
3612073412504777,A545favBD,#带着微博去旅行# 我在这里:保定·保定万达影城 ,,,保定·保定万达影城,2013-08-17,iPhone客户端,0,0,0,带着微博去旅行,
3606086978683678,A2ylHAr1k,#百年瑞士品牌wenger手表，夏日倾情巨献# 纯正瑞士血统，军规级质量，100米防水，夜光指针和刻度，买即送价值428元正品威戈背包数量有限！转发更有好礼相送！快来吧！ 网页链接  ,https://ww4.sinaimg.cn/large/9e37cb0ejw1e75uhacvcsj20b4084myr.jpg,,,2013-07-31,分享按钮,0,0,0,百年瑞士品牌wenger手表，夏日倾情巨献,
3604985348882722,A25GSBgNI,原来我最适合的英文名是【Barnett】，太有意思了！ 快来测测最适合你的英文名吧！测试地址： Nice!  网页链接 ,https://ww1.sinaimg.cn/large/9e37cb0ejw1e72byjv8vyj20c80gmmzt.jpg,,,2013-07-28,爱图购官网,0,0,0,,
3601853604053610,A0MdGh0wO,保定一牛人视频 其实感觉录像的说话挺有意思的~ @保定影像 @燕赵都市报保定站 @1048保定交通广播@我就是一公交车司机@保定晚报帮办@保定早报 @一ge小破孩 @保定公交迷001 @保定晚报编辑部 @高楼迷-保定版 ,,,,2013-07-19,360安全浏览器,0,2,2,,"保定影像,燕赵都市报保定站,1048保定交通广播,我就是一公交车司机,保定晚报帮办,保定早报,一ge小破孩,保定公交迷001,保定晚报编辑部,高楼迷-保定版"
3585770306382664,zzZhcqMqc,#随手拍#这该不是保定最老的一个井盖吧1966年7月的。。。在保定宾馆的站牌下发现的~@保定影像 @燕赵都市报保定站 @1048保定交通广播@我就是一公交车司机@保定晚报帮办@保定早报 ,https://ww1.sinaimg.cn/large/9e37cb0ejw1e5d13on6nzj21kw16h4qp.jpg,,,2013-06-05,微博 weibo.com,0,1,0,随手拍,"保定影像,燕赵都市报保定站,1048保定交通广播,我就是一公交车司机,保定晚报帮办,保定早报"
3583977107590954,zzeCWvQKK,建议~保定公交应该跟省会学下~车内应该挂上站牌~方便不熟悉的人在车里看在哪站下~别全是什么老弱病残啊的宣传牌~要不还得老问司机~多影响驾驶啊~推广下吧~雄起保定吧~@保定影像 @燕赵都市报保定站 @1048保定交通广播@我就是一公交车司机@保定晚报帮办@保定早报 ,,,,2013-05-31,iPhone客户端,0,2,0,,"保定影像,燕赵都市报保定站,1048保定交通广播,我就是一公交车司机,保定晚报帮办,保定早报"
3582649496829966,zyG5DsEMK,保定火车站前面马路上井盖比路面高处一节~还不是一条直线~有没有联想到考驾本的一个科目（连续障碍_压饼子）啊~怎么设计的？@保定影像 @燕赵都市报保定站 @1048保定交通广播@我就是一公交车司机@保定晚报帮办@保定早报 ,https://ww1.sinaimg.cn/large/9e37cb0ejw1e532p2gs8kj218g0x7qle.jpg,,,2013-05-27,360安全浏览器,0,10,11,,"保定影像,燕赵都市报保定站,1048保定交通广播,我就是一公交车司机,保定晚报帮办,保定早报"
3577901305373007,zwGzgmxLp,@春秋航空 这是你们的电话么~说是春秋的~核实会员信息的021-38690588好担心别是骗子~希望回复我~ ,,,,2013-05-14,iPhone客户端,0,0,0,,春秋航空
3575384827936597,zvD6qxiFD,@X先生密室 北京有咱们的店么~地址在哪啊~ ,,,,2013-05-07,iPhone客户端,0,2,0,,X先生密室
3571476836166290,ztZrdpS8i,推荐个很喜欢的小游戏给大家 ，天天爱不释手。Hardest 2（史上最牛的游戏 2）安卓的名字是（极难游戏2） 网页链接 ,https://ww2.sinaimg.cn/large/9e37cb0ejw1e43fk5if9oj20hs0hswj3.jpg,,,2013-04-26,啪啪,0,0,0,,
