id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4471558833218030,Iu1ztdv9I,吃点甜的吧～Akesson’s 75%巴西+75%马达加斯加🍫Pump street 75%牙买加🍫塔岛车厘子🍒像喝咖啡一样吃巧克力，难以在工业化巧克力品牌里体验到的美好精致的花香、果酸、酒香，丰富的层次感和顺滑感。很久没喝咖啡了，期待解放的那天☕️☕️☕️ ,"https://wx1.sinaimg.cn/large/68f33726ly1gbuwane03fj20u0140n6k.jpg,https://wx2.sinaimg.cn/large/68f33726ly1gbuwb5ufb6j213u0tuq9a.jpg,https://wx4.sinaimg.cn/large/68f33726ly1gbuwbchxaej21400u07cv.jpg,https://wx1.sinaimg.cn/large/68f33726ly1gbuwasvrl9j21400u0k0f.jpg",,,2020-02-13,iPhone 8 Plus,74,84,0,,
4471223482269897,ItSQA9wvf,#面包# “好久”没有吃面包了。春节本不在家中，没有预留。就这么没了库存。家人之前买的绥芬的全麦列巴（emmm干巴巴的）瞬间都变得矜贵，我吃了三大个枕头吧🤣，撑了几天。但列巴吃完都大半周了。想想我还有两个大同的碱水结留在了武汉谁还寄就买谁，完全不挑。在咖乐禧开始外省发货的第一天下单，隔一天收到。久旱逢甘霖呐。尝了新品种萨拉米欧包和柚子欧包。它家我的no.1依然是芝麻地瓜，也是所有硬欧品种里相对“最软”的一款，地瓜甜甜的。感谢一直奔波/率先复工的快递/外卖小哥们🙏,"https://wx3.sinaimg.cn/large/68f33726ly1gbtti50vtlj21400u048g.jpg,https://wx4.sinaimg.cn/large/68f33726ly1gbtthz2769j21400u0k1l.jpg,https://wx2.sinaimg.cn/large/68f33726ly1gbtth40hbij21400u0gv5.jpg,https://wx1.sinaimg.cn/large/68f33726ly1gbttgx87z4j21400u07ex.jpg,https://wx1.sinaimg.cn/large/68f33726ly1gbtthfnuvqj21400u0n79.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gbttimadd4j21400u07d8.jpg",,,2020-02-12,iPhone 8 Plus,71,83,0,面包,
4470393895507728,Itxgxn6Ok,恭喜《寄生虫》，恭喜奉俊昊。是我最喜欢的韩国导演，还有一位朴赞郁。上一部给五星的韩国电影还是2015年的《思悼》。是看完就想二刷的《寄生虫》。 ,https://wx1.sinaimg.cn/large/68f33726ly1gbr6kkqvhvj20v91jl4qp.jpg,,,2020-02-10,iPhone 8 Plus,61,44,0,,
4469799076055447,IthN9ppiv,摄于1月19日从光谷去武汉机场前。恍若隔世。元宵快乐🏮天佑中华🙏🙏🙏 一胖就胖脸一瘦就瘦胸的微博视频 ,,"http://f.video.weibocdn.com/002OCXUggx07ANy97GeY0104120037Si0E010.mp4?label=mp4_720p&template=720x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1581678538&ssig=FEyj4JS1yi&KID=unistore,video",,2020-02-08,iPhone 8 Plus,279,301,0,,
4464421370257909,Ir1Tr155P,人间炼狱。人性大戏。 ,,,,2020-01-25,iPhone 8 Plus,206,252,4,,
4462147368666804,Iq4JGAmDa,#杭州美食# 品啡客在热热闹闹人来人往的南宋御街上显得遗世独立。我自己出门，很少会focus在咖啡馆的环境上，不是我在意的点，甚至懒得多拍环境照，但这家的环境让人“不得不”下笔墨多写几句。低调的，有质感的，带点儿疏离又带点儿温暖的。比起室内陈设，心理感受上更妙的还是坐拥这片黄金区位的宁静。这家店开了有10年了吧，是杭州最早那拨精品咖啡馆之一，我上一次来还是1516年。之前的记忆已经烟消云散。我和好几个小伙伴说过，遗憾之前去过那么多咖啡馆，都没有好好记录下来，现在的一篇篇小作文，写起来虽然辛苦，但以后往前翻都是人生，也想着为我热爱的事物再多贡献点热忱吧。嵌入式咖啡机有点酷。要了杯卡布，loveramics的郁金香卡布杯，180ml。更多咖啡馆现在会提供中深烘的拼配豆，或是中浅烘soe，而这边目前是五种豆子的浅烘拼配。入口花香调隐隐，幽幽的，有点妙。奶泡打发没有问题，绵密醇厚，最后一口还荡漾在口中，喝到底都没有瑕疵味。咖啡浓度比较低，就是大概会有更多女生喜欢/爱喝咖啡的男士估计又会觉得是在喝牛奶的类型。好喝是好喝的。单价28元好像，毕竟也不是社区咖啡馆路线。场景上，就真的蛮适合一个人过来放空发呆/朋友小聚/半谈点正事儿的，对在附近的游客而言也是还不错的落脚点。,"https://wx4.sinaimg.cn/large/68f33726ly1gb0vlonypvj213u0tugvw.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gb0vlbx620j21400u0n6g.jpg,https://wx4.sinaimg.cn/large/68f33726ly1gb0vltdmohj21400u0k2f.jpg,https://wx2.sinaimg.cn/large/68f33726ly1gb0vljs1r9j213u0tuq9v.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gb0vlymbldj20u0140gt9.jpg,https://wx2.sinaimg.cn/large/68f33726ly1gb0vm31913j21400u0gxy.jpg",,,2020-01-18,iPhone 8 Plus,103,80,0,杭州美食,
4461775183519640,IpV3oeLCo,#武汉美食# 18号酒馆。之前在k11吃过两次，这回来了绿地缤纷城这家。这边格局更大，菜品选择更多，氛围也更好。昨晚来的，工作日都满满当当耶。主打精酿啤酒。试了好多种，最推荐一款叫“武麦”的，苦度值和酒精度都不高，比利时小麦，麦香浓郁，口感饱满醇厚。喝下去的瞬间，脑子里就浮现出“液体面包”四个字，不仅仅是液体面包的引申义（啤酒发胖），也是本义，就真的是液体面包的味觉感受。菜品方面，好感度比较高的是黄金烩饭和意大利饺子。烩饭是半夹生的，肉汁和藏红花的特殊香味伴随奶酪都融入了米饭颗粒里，多吃也不觉得腻；饺子就是坚果奶油汁奶酪带来的爆炸冲击，胖胖的很可爱，吃到中心的饺子部分倒是调味合宜的小家碧玉，仿佛暴风眼，反倒宁静了。没有直接点肉食，但两个饭里的肉都不怎么样。另一个烤牛肉饭里的牛肉真的老。就让你一秒想念吉野家吧烤蔬菜沙拉和孜然烤花菜的共性问题是：头两口感觉都不错，往后越吃越咸，调料重口到无以复加。作为蔬菜，给这么重的调味，真本末倒置。烤花菜的初入口我有点惊喜，对我这种清淡味蕾的冲击度很大。说是烤，实际是裹了层淀粉，先炸再烤的。我确实是有一阵没吃炸物了，就头顶烟花盛开的感觉，又像炸谷物又像炸烤鸡似的，大快朵颐爽爽爽。可惜吃到下层越来越咸。比萨不推荐，就。。似乎还不如几个连锁品牌😳与曼哈顿相比的话，菜品和性价都是曼哈顿完胜。但是这边环境和氛围好，比较洋气，曼哈顿就有点土high土high的我觉得过来喝杯酒还是可以的。小年快乐。今晚食自助,"https://wx4.sinaimg.cn/large/68f33726ly1gazortc59zj21400u046z.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gazornem4jj21400u0gw7.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gazorywn9ij21400u0jzm.jpg,https://wx2.sinaimg.cn/large/68f33726ly1gazos3x96uj21400u0tiw.jpg,https://wx1.sinaimg.cn/large/68f33726ly1gazosaxr14j21400u0aio.jpg,https://wx4.sinaimg.cn/large/68f33726ly1gazosfqkdhj21400u07ev.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gazosl8lsxj21400u0qa8.jpg,https://wx4.sinaimg.cn/large/68f33726ly1gazosqmin9j21400u0wmd.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gazosvhf2ij21400u048h.jpg",,,2020-01-17,iPhone 8 Plus,67,101,1,武汉美食,
4461052320009846,IpCfu02yO,雨雪天，开车出来买烧饼。荆州公安锅盔。一拿上车就开始吃，还有些烫手的，但10分钟内吃掉正好，嗑滋嗑滋，香香脆脆。再往后就开始锻炼咬肌了。迅速解决了一大个梅干菜烧饼+一大个猪肉烧饼。在外特别喜欢梅干菜，总会让我想起家乡的味道。被大坨大坨芝麻酱包裹着的热干面，偶尔吃吃真是神仙食物。都不需要特意去找什么网红店，随便街边哪家小店买的都是100昏满足。最后来点甜甜的巧克力饼干🍪“平衡味觉”。嗷碳水使我快乐#武汉美食#,"https://wx3.sinaimg.cn/large/68f33726ly1gaxd52tduwj21400u0k2i.jpg,https://wx1.sinaimg.cn/large/68f33726ly1gaxd4xl7gtj20mi0u0tdm.jpg,https://wx2.sinaimg.cn/large/68f33726ly1gaxd4sytvaj213u0tujzg.jpg,https://wx4.sinaimg.cn/large/68f33726ly1gaxd58ouefj21400u012m.jpg",,,2020-01-15,iPhone 8 Plus,107,180,1,武汉美食,
4460702946946380,Ipt9Yt94o,#杭州美食# sensory cells三刷-202001真的是我非常非常喜欢的一家。如果不是离我家比较远，一定是我打卡频率异常高的咖啡馆。虽然是三刷，但每次都喝了好几杯，我对每一杯的高满意度是100%，这真的非常非常难得。特别是手冲，咖啡师对每款豆子的不同理解及选取的冲煮方式，与我的个人喜好太契合。我偏好果酸，不喜“苦”的味觉，咖啡师很擅长更多地带出不同豆子的酸甜度和层次上的立体感。在与他的交流过程中，我也充分感受到了他的认真与用心。就真的会去反复琢磨和试验各种研磨与萃取参数、不同的冲煮手法，力求最大程度地表现好每种豆子的风味。这次来首先喝了一个肯尼亚soe。肯尼亚soe在咖啡馆里不常见，我也是有点试试看的心理。虽然对sensory很有信心，但抿下的第一口，依然是“绝了”。全然没有我猜想中明显的酸感，当然酸质依然在，但立马被醇厚的奶油可可感包围，奶泡打发和融合堪称卓越，最后一口圆润丰满的奶泡画上完美句号。那些酸质既不突兀又有存在感，就像鱼在水中游。奋力打call。店里选取的杯型（偏小）也是我个人觉得很适合表现soe的。手冲点了一支洪都拉斯的卡杜艾，水洗。咖啡师用了大水一刀快冲。闻起来有非常鲜明的肉桂风味，液体润过喉咙时却是水果酸甜，点滴释放的尾段酸质凸显了水洗的干净感。后面我自己冲这支豆子就冲不出来这种缓缓流淌释放的酸感，仿佛小指在轻击琴键般。咖啡师还同我分享了尼加拉瓜自由庄园慢速发酵的一支，还有水洗耶加。前者有酒香、水果香，酸质柔和甜度高。并非厌氧处理法，不用担心有什么酵感。而这支水洗耶加里，仔细品味一下，有茉莉花调，非常高的干净度。余韵也很好，喝完一小时，唾液都还是小甜水。很喜欢这家店的另一个原因是，咖啡师让人如沐春风。温和谦逊，又会恰到好处地做引导。我有遇到过不少自信过头，我最牛，提起别的咖啡馆不屑一顾的咖啡师，也遇到过言语上给人压迫感的咖啡师。咖啡馆与其他餐饮店很大的一个区别是，除了出品、环境、性价这些，咖啡师与客人的沟通占了很大的比重。与人沟通，与各种各样的人沟通，彼此都舒服，从来就不是易事。话再说回来，sensory的老板真是nice极了。这回又让我自己选豆，带点儿回去冲煮，一边装一边问我够不够😂害，太不好意思。我选了那支洪都拉斯卡杜艾，因这支是老板自己烘的，这个选择代表我隐隐又微不足道的支持。我自己冲自然不比老板，“琴键音”没了，余韵也差一截，但大致的风味都在啦，肉桂味也没有溜走,"https://wx1.sinaimg.cn/large/68f33726ly1gaw9q6r0szj21400u010i.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gaw9powxjzj21400u0aep.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gaw9pomqitj21400u0guc.jpg,https://wx4.sinaimg.cn/large/68f33726ly1gaw9poc7k9j21400u07ce.jpg",,,2020-01-14,iPhone 8 Plus,51,34,3,杭州美食,
4460242664369733,IphbAikLz,#面包# 李时珍的欧包二刷。都是一刷时我喜欢的几款。鸡胸肉金枪鱼咸磅与藜麦鸡胸肉相比，我更喜欢前者，对咸度的控制更均匀柔和。这款的性价相对也更好。藜麦因为颗粒的关系会有种在吃谷物饭（褒义）的感觉。低碳生酮蛋糕，这次还多买了一个可可款，也很喜欢。这款蛋糕在“蛋糕”里头，是属于耐咀嚼耐吃型的。加热/常温/冷藏拿出来直接吃都适合。这次店主直接将这款蛋糕做了分装，省力了。如果是我自己切的话怎么会切这么薄哈哈哈。另外新尝试了一个黄色款的发芽谷物。这个就不美好了，质地上让人联想到嚼肥皂块？就很像那种无油糖的玉米窝窝头冷却以后的咀嚼感。不建议买。这单双12时买的，价格比日常低一些。,"https://wx2.sinaimg.cn/large/68f33726ly1gauss8tnxaj21400u0ajw.jpg,https://wx1.sinaimg.cn/large/68f33726ly1gaussi53urj21400u0wpu.jpg,https://wx3.sinaimg.cn/large/68f33726ly1gaussmoa2wj21400u0dq4.jpg,https://wx4.sinaimg.cn/large/68f33726ly1gausruff2zj20u01hd4qr.jpg",,,2020-01-13,iPhone 8 Plus,43,25,3,面包,
