id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4416944843073473,I76OocTy9,#我们在一起~# 有那么几年，有那么几个老少皆宜的人儿走在了一起，带着那么一点点梦想，踩着那么一点点泥巴，想着插下一颗禾苗让他长大，有了根就不会停止成长！！！ ,https://wx4.sinaimg.cn/large/664ecd86ly1g70o2tv80gj20u01hcgqj.jpg,,,2019-09-16,HUAWEI Mate 9,1,0,1,我们在一起~,
4177239706726402,FwpmasdQm,国家宗教事务局等12部门联合发文治理佛教道教商业化问题。五是依法加强互联网宗教信息服务管理，从事互联网宗教信息服务，应当经省级以上政府宗教事务部门审核同意后，按照国家有关互联网信息服务管理和宗教事务管理的相关规定办理。想用可以，但得按规矩来，不是想干什么就干什么的。 ,,,,2017-11-23,360安全浏览器,1,0,0,,
4137895587460500,FfTPUviOE,正确看待事物的发展变化，原来只是浮于表面的看待这句话，今天通过一件小事又有了新的认识，小切口大角度可能就是这个道理吧😄 ,https://wx1.sinaimg.cn/large/664ecd86ly1fiafukdm9pj205j07edfs.jpg,,,2017-08-06,微博 HTML5 版,1,0,0,,
4066765975092031,Es0T3lmFx,今天下午5:30为大家带来博州春晚直播 ，欢迎关注#印象博州2017年博尔塔拉蒙古自治州春节晚会#（来自一直播:博州发布正在直播）APP下载地址 网页链接 ,,http://wscdn.alhls.xiaoka.tv/2017122/0b8/3d2/vI2M51je-zl92ByK/index.m3u8,,2017-01-22,一直播Yi,1,0,0,印象博州2017年博尔塔拉蒙古自治州春节晚会,
4050481309103112,ElbfsCc8o,精彩翻译：叫你爸爸过来跟我说话66666 外交部这两天的战斗力简直爆表！ ,,,,2016-12-08,HUAWEI Mate 8,0,0,0,,
4050406595743158,El9iXo63A,"【新疆地震台网】正式(CC)测定:2016年12月08日13时15分在新疆昌吉州呼图壁县(纬度43.8°,经度86.3°)发生6.2级地震,震源深度6km,距:玛纳斯县城56km;石河子市区58km;呼图壁县城64km;沙湾县城78km;昌吉市区84km;头屯河区91km;乌鲁木齐市区104km;五家渠市区107km;米东区111km;独山子区127km;奎屯市区131km;阜康市区140km;乌苏市区147km;和静县城166km;达板城区169km;和硕县城179km;焉耆县城195km",,,,2016-12-08,HUAWEI Mate 8,1,1,1,,
4050018342479753,EkZcKap61,一些党员干部不是把自己的发展、自己的升迁建立在努力工作的基础上，而是信奉“大树底下好乘凉”的生存哲学，致力于拉关系、找路子、建圈子、投靠大领导。这种“画地为牢”的圈子文化、圈子哲学，短期内或许能使自己达到个人目的，但长期来看，由于它圈住了自己，脱离了人民，必然为社会所不容，为党和人民所唾弃。『党内不准搞人身依附关系』党内不准搞人身依附关系,,,,2016-12-07,HUAWEI Mate 8,1,0,0,,
4042399502602754,EhN0iaV5U,非常好、非常有价值，深深的刻在我脑海里。知道是哪家嘛，这个问题简直了，又把技术傻白甜推上了绝望的边缘，完全靠猜 ,,,,2016-11-16,华为Ascend Mate7,0,0,0,,
4042395911827073,EhMUv7FiV,再次证明神马是技术傻白甜 ,,,,2016-11-16,华为Ascend Mate7,0,0,0,,
4042377209857177,EhMqkFmiJ,努力去听没听懂 ,,,,2016-11-16,华为Ascend Mate7,0,0,0,,
