id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4455703265475580,Inn5YmYrO,我的#新年心愿#写在这里啦！2020期待更好的自己！ ,https://wx1.sinaimg.cn/large/70bb5579ly1gagbkadet1j20je0ekdk8.jpg,,,2020-01-01,红包活动,0,0,0,新年心愿,
4455619828514772,InkVozJ52,#新年倒计时# 过去的一年，有人耻笑你。有人羡慕你，有人讨厌你，有人嫉妒你，有人看不起你，还有人陷害你，也有人误会你。没关系，告诉自己，生活就是这样！你所做的一切不能让每个人都满意，不要为了讨好别人，而丟失自己的本性，因为每个人都有原则！别人嘴里的你，不是真实的你，一样的眼睛，不一样的看法。一样的耳朵，不一样的听法。一样的嘴巴，不一样的说法。一样的心，不一样的想法。所以，做好自己就行。一年又过去了，留不住的是岁月，忘不了的是朋友，谢不尽的是关照，丢不掉的是情义！我珍惜每一位和我一起走过的朋友！我感恩以往岁月里：曾经给予支持和帮助过我的，挚亲，挚爱，挚友，我祈祷我曾认识和认识我的人，都平安健康！回首这一年，收获的是年龄，逝去的是青春，坎坷也好，顺利也罢，都将划上圆满的句号！累也好，苦也好，只要坚持就好！贫也好.富也好，只要平安就好！得也好，失也好，只要成长了就好！2020年，将是人生再次的起航点！未来的日子，祝我的家人，亲人，朋友！微信里所有的朋友，平安！健康！幸福！快乐！2020，会更好的！,,,,2019-12-31,iPhone客户端,4,1,11,新年倒计时,
4455559333696833,InjlPfvIl,#新年倒计时# 明天就是新的一年了。今年一年最开心的事历时两年后《汶川！汶川！》版权回归。最释然就是躺病床近六年，需要三个人伺候的母亲在九十五后驾鹤西归。（我们一直冷战。我一直说我只有义务，没有想得到她一根牙签。这个某人的大小姐，因为文化大革命变成一个偏执狂。不过她很大方。八十年代初就一次性给非洲捐款五千）最不耻的是拿了某世界级奖（存在27年）的人，理直气壮不付费也不感恩。（我相信因果，我帮助你时没有想到得利，只是可怜那个相信我的人推心置腹与你交流成了你不给人家钱的理由！）最得意的是我居然可以把一个已经枪毙的电影主题修改了，让这个已经阵亡的电影迎来生机（彻底拿到龙标后会成为我们公司主打业务之一）。最大的遗憾就是清楚看见某头部作品一步一步走向……新年继续奉献，让认识我不后悔成为传说！,"https://wx4.sinaimg.cn/large/70bb5579ly1gafuzquqo9j20u01hctoa.jpg,https://wx4.sinaimg.cn/large/70bb5579ly1gafuzru1q1j20u01hch3f.jpg,https://wx2.sinaimg.cn/large/70bb5579ly1gafuztdbq7j20ku1127wi.jpg,https://wx1.sinaimg.cn/large/70bb5579ly1gafuzunj2aj22uo1w01l0.jpg,https://wx2.sinaimg.cn/large/70bb5579ly1gafuzw6mnsj20ku112npe.jpg,https://wx1.sinaimg.cn/large/70bb5579ly1gafuzwo1o6j21cj0ran95.jpg,https://wx2.sinaimg.cn/large/70bb5579ly1gafuzy6wyhj20ku1121ky.jpg,https://wx4.sinaimg.cn/large/70bb5579ly1gafuzytelzj20ku112e81.jpg,https://wx3.sinaimg.cn/large/70bb5579ly1gafuzz0xerj20ku0v8ae5.jpg",,,2019-12-31,iPhone客户端,0,0,0,新年倒计时,
4455318756919101,Ind5Nt1Yp,#每日票房# 12月30日（周一）票房粗报：大盘7645万1.《叶问4：完结篇》2674万，11天累计7.11亿；2.《误杀》1898万，18天累计7.95亿；3.《半个喜剧》765万，11天累计1.39亿；4.《解放·终局营救》602万，4天累计2042万；5.《特警队》489万，4天累计4905万；6.《只有芸知道》413万，11天累计1.49亿；7.《星球大战：天行者崛起》210万，13天累计1.24亿；8.《横财局中局》107万，3天累计229万；9.《冰雪奇缘2》75万，39天累计8.21亿；10.《教授与疯子》56万，7天累计200万；,,,,2019-12-30,iPhone客户端,3,0,1,每日票房,
4455128306066024,In88Cps36,#票房短评# 根据初步统计，周日大盘报收1.54亿；#叶问4：完结篇#5580万，累计6.84亿；#误杀#3880万，累计7.76亿；#半个喜剧#1455万，累计1.31亿；#特警队#1020万，累计4431万；#只有芸知道#752万，累计1.45亿；#星球大战：天行者崛起#560万，累计1.22亿；#冰雪奇缘2#450万，累计8.21亿；#小羊肖恩2：末日农场#390万，累计982万；#解放·终局营救#288万，累计1436万；#我为你牺牲#225万，累计1.26亿小评：周日市场大盘环比下跌18%，全国单日综合票房回升至1.54亿，周末市场热度显然要比得到元旦假期加成的去年收官周末弱了许多。本周七天市场共产出票房9.08亿综合票房，单周大盘环比下跌14%。截止今天，12月累计票房已达36.42亿，本月大盘连续第五年冲破40亿大关已经没有悬念。#叶问4：完结篇#周日票房环比下跌18%，走势跟上周差别不大，累计综合票房毫无疑问将在明天突破7亿大关。#误杀#周日也环比回落近两成，单日票房跌破4000万，累计综合票房有望年内就冲破8亿。#半个喜剧#环比周六保持不跌，走势继续保持优秀，最终票房超过任素汐主演的#驴得水#将是轻而易举。警匪动作片#特警队#周日环比大跌三成多，首周三天录得票房不到4500万。#只有芸知道#环比下跌近两成，累计票房想要破2亿恐怕有点难度。#星球大战：天行者崛起#跌幅也远低于上周日，继续向着前作票房的一半（约1.34亿）而努力。#冰雪奇缘2#环比逆跌14%，单日票房逆袭新开画的#小羊肖恩2#，在元旦假期助力下，其最终票房将不难超过CG版#狮子王#。,,,,2019-12-30,iPhone客户端,0,0,0,"票房短评,叶问4：完结篇,误杀,半个喜剧,特警队,只有芸知道,星球大战：天行者崛起,冰雪奇缘2,小羊肖恩2：末日农场,解放·终局营救,我为你牺牲,叶问4：完结篇,误杀,半个喜剧,驴得水,特警队,只有芸知道,星球大战：天行者崛起,冰雪奇缘2,小羊肖恩2,狮子王",
4454966372144665,In3Vr8ZVn,#每日票房# 12月29日（周日）票房：大盘1.55亿1.《叶问4：完结篇》5725万，10天累计6.86亿；2.《误杀》3968万，17天累计7.77亿；3.《半个喜剧》1453万，10天累计1.31亿；4.《特警队》1042万，3天累计4452万；5.《只有芸知道》770万，10天累计1.46亿；6.《星球大战：天行者崛起》589万，12天累计1.22亿；7.《冰雪奇缘2》471万，38天累计8.21亿；8.《小羊肖恩2：末日农场》413万，2天累计1005万；9.《解放·终局营救》258万，3天累计1406万；10.《我为你牺牲》204万，25天累计1.26亿；,,,,2019-12-29,iPhone客户端,1,0,1,每日票房,
4454791658382804,ImZnDzaKw,#票房短评# 根据初步统计，周六大盘报收1.88亿；#叶问4：完结篇#6850万，累计6.29亿；#误杀#4850万，累计7.37亿；#半个喜剧#1480万，累计1.16亿；#特警队#1465万，累计3421万；#只有芸知道#940万，累计1.38亿；#星球大战：天行者崛起#710万，累计1.16亿；#小羊肖恩2：末日农场#首日600万（含首映场48万）；#冰雪奇缘2#395万，累计8.16亿；#解放·终局营救#390万，累计1160万；#乡村青年#300万，累计643万小评：老片回血让市场热度明显攀升，周六市场大盘环比上涨48%，全国单日综合票房回升至1.88亿，大盘比去年最后那个周六只低了9%。截止今天，在计入多部老片的补录后，2019年全国累计票房已经突破635亿，其中年度冠军#哪吒之魔童降至#累计综合票房也正式突破50亿，“一京一吒”组合双双50亿出道；考虑到跨年夜当天还有几部新片助攻，年度票房最终突破640亿大关也已经是轻而易举。#叶问4：完结篇#排片小幅回升后，周六票房环比回升51.5%，累计综合票房如期突破6亿关口，同时也超过#新喜剧之王#（6.25亿），升至年度国产票房第16位。另一部老片#误杀#周六环比大涨66%，单日票房回升至近5000万，累计票房也一举冲破7亿关口，并且超过#熊出没·原始时代#和#使徒行者2#，升至国产年度第13名。#半个喜剧#环比暴涨126%，涨幅在国产片中领跑，单日票房逆袭了昨天开画的众新片升居第三位。警匪动作片#特警队#次日下跌两成再收不到1500万，首周票房恐将不足5000万。#只有芸知道#环比回涨近七成，累计票房有望在年内突破1.5亿。#星球大战：天行者崛起#环比暴涨超两倍，基数较低显得涨幅可观。#小羊肖恩2#首日550余万，开局比前作倒退近两成。,,,,2019-12-29,iPhone客户端,1,0,0,"票房短评,叶问4：完结篇,误杀,半个喜剧,特警队,只有芸知道,星球大战：天行者崛起,小羊肖恩2：末日农场,冰雪奇缘2,解放·终局营救,乡村青年,哪吒之魔童降至,叶问4：完结篇,新喜剧之王,误杀,熊出没·原始时代,使徒行者2,半个喜剧,特警队,只有芸知道,星球大战：天行者崛起,小羊肖恩2",
4454690936547159,ImWLbrtdl,这篇文章是民航杀医事件后最客观理智的文章。白衣天使回不来了，收款机依然转动就免不了医患纠纷！小胖那么穷还全民免费医疗，我们离全民免费医疗有多远？一个国家不应该让教育和医疗成为敛财工具！刑警谈伤医事件：你们这些读书人，就是太喜欢讲道理了 ,,,,2019-12-29,iPhone客户端,5,3,4,,
4454612616711790,ImUIRsa2G,#每日票房# 12月28日（周六）票房粗报：大盘1.88亿1.《叶问4：完结篇》6962万，9天累计6.30亿；2.《误杀》4959万，16天累计7.39亿；3.《半个喜剧》1516万，9天累计1.17亿；4.《特警队》1508万，2天累计3464万；5.《只有芸知道》966万，9天累计1.39亿；6.《星球大战：天行者崛起》738万，11天累计1.16亿；7.《小羊肖恩2：末日农场》首日591万，累计643万；8.《冰雪奇缘2》412万，37天累计8.16亿；9.《解放·终局营救》400万，2天累计1170万；10.《尼斯大冒险》首日167万；,,,,2019-12-28,iPhone客户端,4,0,1,每日票房,
4454471231058240,ImR2P4rio,#票房短评# 根据初步统计，周五大盘报收1.27亿；#叶问4：完结篇#4550万，累计5.61亿；#误杀#2940万，累计6.89亿；#特警队#首日2022万（含首映场22万）；#解放·终局营救#首日824万（含首映场14万）；#半个喜剧#660万，累计1.02亿；#只有芸知道#560万，累计1.29亿；#星球大战：天行者崛起#325万，累计1.09亿；#罗宾汉·起源#首日196万（含首映场16万）；#乡村青年#115万，累计315万；#冰雪奇缘2#76万，累计8.12亿小评：新片对市场的提振比较微弱，周五市场大盘环比只上涨60%，全国单日综合票房回升至1.27亿。截止今天，12月累计票房已接近33亿，虽然已经落后去年不多，但由于去年跨年夜拥有#地球最后的夜晚#的较强助攻，当日大盘也得以突破5亿大关，如此来看本月票房已难避免连续两年倒退的结局。#叶问4：完结篇#被新片抢走四分之一排片后，环比仍录得36%的不错涨幅，单日票房回升至4500万以上，累计综合票房明天将轻松突破6亿关口。另一部老片#误杀#也成功抵抗住新片的冲击，环比增幅与#叶问4#不像伯仲之间，也将于明天跨过7亿关口。丁晟导演的警匪片#特警队#首日开出2000万综合票房，表现遥遥领先其他新片，拿下单日票房季军。#半个喜剧#受新片冲击而下跌近两成，累计票房成功破亿，成为了今年第46部破亿的国产片。#只有芸知道#环比下跌28%，受新片冲击更明显一些。而#星球大战：天行者崛起#环比也下跌6%，最终票房只能冲击#星战8#的一半。,,,,2019-12-28,iPhone客户端,0,0,0,"票房短评,叶问4：完结篇,误杀,特警队,解放·终局营救,半个喜剧,只有芸知道,星球大战：天行者崛起,罗宾汉·起源,乡村青年,冰雪奇缘2,地球最后的夜晚,叶问4：完结篇,误杀,叶问4,特警队,半个喜剧,只有芸知道,星球大战：天行者崛起,星战8",
