id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4438462159319777,Ig8zJD6uZ,已经在读《文案的基本修养》的朋友，欢迎来交流下阅读感受。发在下边的评论里或发到《文案的基本修养》豆瓣页面都可以。谢谢。 ,https://wx4.sinaimg.cn/large/62386f90ly1g8xbdm6ilhj20u00u0q3v.jpg,,,2019-11-14,坚果 Pro 3,258,273,105,,
4456019117412155,Invjpv6eT,昨晚三联韬奋书店的跨年夜活动，我抖胆读了两首自己写的“诗”。一首叫《在那些我跋涉不到的年份里》，是前一段时间写的，写完了谁也没给瞧过，另一首是更早以前写的，曾在那什么号上发布过一次，叫「我确实梦见过一些什么」。我昨天跟大家说，其实我也不知道这算不算诗，对我自己来说，它们更像是我自己莫名其妙掌握的一种语言，一种未必高明的、并不常说的、主要用于自己跟自己对话的语言。,https://wx4.sinaimg.cn/large/62386f90ly1gahbtgzk90j20ic37bjzr.jpg,,,2020-01-01,微博 weibo.com,7,3,3,,
4455712811559128,Innln6xBe,「我的2019的你」 ,,,,2020-01-01,坚果 Pro 3,239,62,112,,
4455143166206237,In8wAq2wB,一点点人生的小经验——转发各路时政或业界新闻时，转发语写“终于官宣了。”特别有面儿。注意最后要用句号，不用叹号。句号好。 ,,,,2019-12-30,坚果 Pro 3,72,26,13,,
4454970490899671,In4253M2P,随便问问——2019年你读过的最喜欢的书是什么？ ,,,,2019-12-29,Weibo.intl,317,405,120,,
4454969870236866,In4150ZCq,随便问问——2019年，你有过什么奇遇？ ,,,,2019-12-29,坚果 Pro 3,1179,294,166,,
4453713680371525,ImxkY1yEl,2019年中信好书·商业经管入围榜。《文案的基本修养》有幸入围。如果各位读过这本书且觉得不错，欢迎帮忙投上一票。多谢。年度盘点 | 2019年中信好书·商业经管入围榜 ,,,,2019-12-26,Weibo.intl,39,8,7,,
4453706818863581,Imx9TBbOZ,随便问问——你的2019「年度汉字」是什么字？ ,,,,2019-12-26,微博 weibo.com,287,528,187,,
4453155985107815,ImiPslqM7,richard curtis万岁。 ,https://wx2.sinaimg.cn/large/62386f90ly1ga8707rvm0j23342bcqv5.jpg,,,2019-12-24,坚果 Pro 3,106,36,21,,
4453140395444049,ImiqjmQff,随便问问——此刻你最想念谁？ ,,,,2019-12-24,坚果 Pro 3,152,229,43,,
4452614227999713,Im4JExz5D,我刚知道我比总统还忙。 ,https://wx4.sinaimg.cn/large/62386f90ly1ga6gsezuixj20vc0u0du0.jpg,,,2019-12-23,微博 weibo.com,125,31,64,,
