id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3984023212304514,DzfPj9FvA,这…… ,https://ww4.sinaimg.cn/large/6a0b4739jw1f4njurans6j20c809i75d.jpg,,,2016-06-08,微博 weibo.com,0,3,2,,
3974978103307242,DvswqdSmC,雷洋是湖南澧县人，系中国人民大学2005级环境学院的本科及硕士研究生，目前任职于中国循环经济协会。2012年毕业后，雷洋任职于中国循环经济协会，曾参与多个工业园规划，生态文明规划，污染物处理规划和循环经济规划的编制工作在知名环境保护期刊《环境保护》《环境科学》《环境工程》上面都发表过论文 ,,,,2016-05-14,微博 weibo.com,0,0,0,,
3928210716617648,DbPT9rLyg,以古人的眼光看秦皇汉武都是明君，以现代人的眼光看他们都不是东西。很好奇建国后的毛腊肉无论在他统治那辈人眼中还是现代人眼中，到底是不是东西呢 ,,,,2016-01-06,微博 weibo.com,0,0,0,,
3923966877906682,Da3ufxaT8,又是一个单身的圣诞节。我就不明白单身有什么不好的，你们看英文单词解释的多明白？single=simple，double=trouble ,,,,2015-12-25,微博 weibo.com,0,1,0,,
3923171775878982,D9INPoFoi,根据交管局数据，北京雾霾红色预警四天 违反限行罚款超1100万。所以说这下的哪儿是霾啊，对政府而言就是钞票，好奇这笔钱最终流到哪儿去，反正肯定不会是治理雾霾就是了 ,,,,2015-12-23,微博 weibo.com,2,0,0,,
3770587215979896,BtCilp5DW,舔菊狗不能自己叼着自己的牌子给当今圣上翻来临性，其背后那些处心积虑为了政绩的太监卑劣程度比狗本身不知道高到哪里去了 ,,,,2014-10-28,微博 weibo.com,3,1,0,,
3751385453167598,BlyLLdi2i,窑洞内，副手向伟人着急问道：主席，我们躲着不出兵抗日，会被国人耻笑的。伟人掐灭了烟头，笑道：糊涂，等我们拿了天下，拍几部电视剧，一样做中流砥柱。 ,,,,2014-09-05,微博 weibo.com,2,0,0,,
3727449566999402,Bbw5utmRA,无论上面的大佬们谁进去，社会还是这个社会，你还是你，依旧没有房子，没有本地户口，做着劳累疲心只能糊口的工作，孩子没法在本地上学，微博上生活中被本地人歧视 ,,,,2014-07-01,微博 weibo.com,1,1,0,,
3712957105955010,B5r4yoZay,"【老周误了快播】快播去年就差点出事，CEO王欣跟大家说，老周亲口跟他保证""在部里有强关系""，还说""360要没老周老齐早关了""！！后来王欣跟老周去了一趟北京，回来就开会说中国必须丛林法则不擦边球不行--其实要早点认错，快播不会这么惨的。 ",https://ww3.sinaimg.cn/large/6a0b4739tw1egmscem7kfj20c62jkk9g.jpg,,,2014-05-22,微博 weibo.com,0,0,0,,
3697027395097058,AEI7NlnYC,韩寒由韩少变成岳父这个事实说明，当你身在国内有家有口的情况下，捅TG菊花的热情和胆量就会慢慢熄灭和变小了 ,,,,2014-04-08,微博 weibo.com,0,2,0,,
3694140279310751,ADv19D49p,汪峰和章子怡在一起后，为了让章子怡相信他永远不会背叛，就打算去纹身店想在胸口前纹个章字，无奈纹身师冷笑地说:“文章就不会背叛老婆吗？ ,,,,2014-03-31,微博 weibo.com,2,0,0,,
3694103470354363,ADu3N1ubx,很多外表光鲜的明星大腕，一旦遇到点负面事件，媒体肯定第一时间上去推波助澜，网民更是恨不得捐献汽油助焚。人缘，只有在逆境中才能体现出来 ,,,,2014-03-31,微博 weibo.com,0,0,0,,
3692294827669507,ACJ0CwbbJ,#孔庆东造谣# 揭露孔庆东帮凶 @染香 的真面目 微博正文 ,,,,2014-03-26,微博 weibo.com,2,2,1,孔庆东造谣,染香
3669843758302002,AtiXdyPJg,淘宝年底大促销，购买粉丝优惠。10元钱能买好几万粉丝，刚刚注册了微博的未来公知精英们还等什么？ ,,,,2014-01-23,微博 weibo.com,0,1,0,,
3667375025253126,AsgJom2zQ,《陈光标的发家史：靠卖假医疗设备赚第一桶金》既然是“中国道德领袖”、“中国最具影响力人物”、“中国最具号召力慈善家”，自认为社会公众楷模，就没理由对舆论监督如此愤怒的嘶吼。这超乎寻常的情绪表达，难免让人产生联想——青筋暴起的背后，会不会隐藏...畅读版【网页链接】 ,https://ww3.sinaimg.cn/large/6a0b4739jw1ecldbbgjhkj20hs61e4qp.jpg,,,2014-01-16,新浪长微博,0,0,0,,
3661201009277593,ApG7iCVwB,博物馆近期清点库存，旧有展品：拖拉机，黑板报，粉笔……新增展品：某著名包子铺桌椅一套 ,,,,2013-12-30,微博 weibo.com,0,0,0,,
3651741633288391,AlI2fdNsz,360到底是不是流氓软件不得而知，但是360的老板周泓祎是什么人呢？2012年湖南台某一期的天天向上请到了奇艺网的CEO龚宇，然后主持人进行用题板进行问答游戏环节，在被问到和IT圈内各个大佬的关系时，龚宇在镜头前面对着写着周泓祎名字的题板说这个人我敬而远之，别和他有关系最好。 ,,,,2013-12-04,微博 weibo.com,0,1,0,,
3646346470743967,AjrGn37xt,转：新浪猛贴！全国各大网站头版推出的重磅人物，《十问李开复》的作者周小平（微博 @周小平同志 ），原来是因为色情生意被捕的分贝副总裁。从2010年9月，到2012年2月，这个同志的博客出现了一年半的空白。哪里去了？ ,https://ww4.sinaimg.cn/large/6a0b4739jw1eaqa7cznihj20c8ffkkjn.jpg,,,2013-11-19,微博 weibo.com,1,0,0,,周小平同志
3645922023791161,AjgDMfUfL,当你月薪五千后 你就会觉得那些用iPhone土豪金的人没有装逼 当你月薪破万后 你就会觉得那些拿着单反的人也没有装逼 当你一年能赚50万后 你就会觉得那些奔驰宝马飙车党们也没有装逼 很多时候当有人在声讨装逼者时 真正的心态是这个东西你自己没有 别人也不该有 其实谁也没有装 只是你自己没能力。 ,,,,2013-11-18,微博 weibo.com,1,0,2,,
3641582705785753,AhrKSoh8B,即刻搜索名存实亡很久了，这次终于如大家所愿的彻底退出市场 ,,,,2013-11-06,微博 weibo.com,0,0,0,,
3635792033063555,Af175cQYb,韩战中，中国军队以劣势装备与装备一流的美军抗衡，除中共最擅长的洗脑动员（即政治动员）外，还有就是打“人海战术”，而人海战术得以执行全靠督战队，有中共派出的韩战志愿军督战队老兵自爆：“在朝鲜两年，我没有杀过一个美国兵，自己人却杀得记不清了”！ ,https://ww1.sinaimg.cn/large/6a0b4739jw1e9sm1vb81cj20c60vvqc5.jpg,,,2013-10-21,微博 weibo.com,0,1,1,,
3634444096909260,Aes2ZsZpG,百度torrentkitty吧被封杀，默哀 ,,,,2013-10-17,微博 weibo.com,0,9,0,,
3631781716581492,AdkMPrC96,【最凄凉的抗战女兵】程银宝，92岁，民国天门县长千金：19岁入国军投身抗日战争，冒枪林弹雨与日军廝杀，后腹部中弹致终身不育。49后因抗日经历屡遭批斗迫害几乎丧命，晚年住在几平米窝棚，无水无电无低保。老人说：我快要死了，只想有件新衣裳，可领导叫我去跟国民党拿!闻者催然泪下。 ,https://ww2.sinaimg.cn/large/6a0b4739jw1e9fth97vvbj20c805z74s.jpg,,,2013-10-10,微博 weibo.com,0,0,1,,
3630766275505168,AcUn1n692,小平同志亲切的问新来警卫员说：“你印象最深的是革命领袖们的哪句教导啊？”警卫员激动地说：“不要做语言的巨人，行动的矮子”！警卫员，卒，享年24岁 ,,,,2013-10-07,微博 weibo.com,0,0,0,,
3619111365972333,A81aMp3FX,我的许多粉丝看到周小平给体制舔屁股陆琪给女人舔屁股上位很不爽，纷纷找我倾诉。我说其实当你觉得他人的言论或者行为很不符合你的价值观时，笑笑即可。人贱自有天收 ,,,,2013-09-05,微博 weibo.com,1,5,2,,
3615996239409131,A6I8nDtKb,表面红，心里黑，头顶绿。这大概就是bo案描绘出来的官场现状吧 ,,,,2013-08-27,微博 weibo.com,0,3,0,,
3615620081446359,A6ylG64gn,立军用实际行动证明了中国老话，好吃不过饺子，好玩不过____ ,,,,2013-08-26,微博 weibo.com,0,4,4,,
3614042058491048,A5TitzCUo,其实bo作为太Z档，封疆大吏，位极人臣。贪贪污玩玩女人搞搞个人崇拜，上面为了平衡整个太Z档圈子的利益也不会说什么。这个人错就错在觊觎不属于自己的东西，得罪了人不知道悔改 ,,,,2013-08-22,微博 weibo.com,0,0,0,,
3612594386306085,A5hDwqsv3, 埃及一示威者遭坦克射杀 网页链接 ,,,,2013-08-18,微博 weibo.com,0,0,0,,
3608939805310646,A3Kz2mhxA,【唐朝网民热搜关键字】无码春画 怡红院头牌流出 乡试真题 七律万能模板 武举科目二大纲 策论范文 李隆基是基吗 实名举报安禄山 耕犁包邮 梨园学徒招生简章 李白杜甫拖手照 白居易微博 鱼玄机微信 均田制傻瓜版详解 长安房价 扬州美食 西域自助游攻略 薛仁贵全球后援会 杨贵妃同款 ,,,,2013-08-08,微博 weibo.com,0,1,1,,
3604254797222582,A1MGzuiVg,通过微博上那么多不平的呼喊和血淋淋的事实，我深刻的感觉到党性和人性，正常人两者只能具备其一 ,,,,2013-07-26,微博 weibo.com,0,1,0,,
3602785259991673,A1aslFVi1,气功大师王林是骗子没错，可为什么明星们明知他是骗子还要趋之若鹜的求上门呢？答案很简单：混圈子。你想想看，假如你是一个演艺界新人，没有关系门路，但是听说李连杰赵薇都是王林的弟子，你也认他做师傅就成了大明星们的同门了。中国社会一些事情你看起来奇怪，仔细想想其实就那么回事。 ,,,,2013-07-22,微博 weibo.com,1,3,4,,
3602460876366686,A1219qIgu,这个。。 ,https://ww3.sinaimg.cn/large/6a0b4739jw1e6ua0k95lmj20c807xaas.jpg,,,2013-07-21,微博 weibo.com,0,1,0,,
3601475235783049,A0CnpogqZ,男人给女人最大的承诺是见家长 ， 女人给男人最大的信任是射里面 。坚定彼此的信念是当他父母面前射在里面。——微信朋友圈 ,,,,2013-07-18,微博 weibo.com,0,3,0,,
3601472488855320,A0CiYB9FK,每一次公共事件中的受害者，例如刚刚被临武城管打死的小贩。其亲人对整个社会都是未来的一颗颗定时炸弹。他们背负着仇恨生活，做出非理性行为的概率更高。我们谴责杨佳，但也没法阻止下一个杨佳的诞生。有问题的制度不改，遗祸无穷 ,,,,2013-07-18,微博 weibo.com,0,0,0,,
3601119420755208,A0t7w3asM,一般来说一个人经过学校教育，毕业走上社会后就很难交到知心朋友了。因为这时候世界观已经形成，且再接触的人就或多或少有了利益的牵绊 ,,,,2013-07-17,微博 weibo.com,1,2,1,,
3599519733814153,zFKXHg0eB,"原PO ""用一句话证明你是黑社会"" 神回复“中华人民共和国，中央人民政府，今天，成立了！”  ",,,,2013-07-13,微博 weibo.com,0,1,0,,
3593785319217713,zDlMDCFWN,【快讯：方滨兴因健康原因请辞北京邮电大学校长职务】北京邮电大学校长方滨兴请辞，称因病难以继续担当重任。方滨兴因研究并参与建设国家网络安全基础设施而闻名。 ,https://ww2.sinaimg.cn/large/6a0b4739jw1e62lniprpuj20oo18gqac.jpg,,,2013-06-27,微博 weibo.com,0,3,4,,
