id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4450234094520843,Il4OJiY4P,保定#保定##保定美食# 又到一年草莓🍓采摘季，今天小编给大家推荐一家市区旁边超好吃的草莓园！        保定满城区南韩村无公害富硒草莓采摘园，天威路山外园向西15公里。可亲自去采摘，如没有时间，他们可以代采摘，保定市区当日上门送货。联系人张总：13111668248 @保定李二狗 @保定最热门 @保定微博同城会  @嗨保定 @保定美食王大妈 @缘味保定 @保定同城会,"https://wx1.sinaimg.cn/large/5379c16ely1g9yv8mu0vqj20u0140wlc.jpg,https://wx1.sinaimg.cn/large/5379c16ely1g9yv8n3j40j20u00u0di8.jpg,https://wx1.sinaimg.cn/large/5379c16ely1g9yv8o2vw5j20u0140din.jpg,https://wx1.sinaimg.cn/large/5379c16ely1g9yv8obe4tj20u0140acm.jpg",,,2019-12-16,OnePlus 7T,9,6,0,"保定,保定美食","保定李二狗,保定最热门,保定微博同城会,嗨保定,保定美食王大妈,缘味保定,保定同城会"
4456952266100518,InTAupB1s,保定超话保定身边事超话#保定#2020年起，学会45度让路法🚑为生命让行🙏 小小通道也是大爱，请广大网友接力转发 保定早报的微博视频 ,,"http://f.video.weibocdn.com/004v3E0Slx07zT0qsrUc010412002IF60E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1578134763&ssig=6k0JPCPYkB&KID=unistore,video",,2020-01-04,OnePlus 7T,5,0,0,保定,
4456930564941471,InT1ukJv9,保定超话保定身边事超话#保定##保定身边事# 下周一起，保定尾号限行号牌再次轮换。请广大车主出行时注意是否限号。@保定同城 @保定同城会 ,https://wx1.sinaimg.cn/large/5379c16ely1gak8es4zfzj20v60sgabx.jpg,,,2020-01-04,OnePlus 7T,0,0,0,"保定,保定身边事","保定同城,保定同城会"
4456343941568423,InDLk6A19,保定保定身边事#保定##保定身边事#  保定7旬老太收养流浪狗10余年  急盼市民伸出爱心援助之手        不知道从什么时候开始，流浪狗变得越来越多，许多人看到了不仅不心疼，反倒还嫌弃它们，这怎么会是它们的错？明明是人们抛弃了它们，有哪只狗狗愿意成为流浪狗呢？        许多流浪狗的故事都让人难受，也让人感动。在保定，就有一位杨老太太因不忍看到这些狗狗流浪街头，从十几年前就开始收养流浪狗。        由于收养的流浪狗数量比较多，为了让这些流浪狗能够吃上饭。十几年来，杨老太太付出了大量的精力和财力。尽管家人不理解也不支持，但充满爱心的杨老太太对流浪狗一直是不离不弃，目前已收养了五六十只流浪狗。         随着年龄的增长，现如今已72岁高龄的杨奶奶是越来越感到力不从心了。为此，杨奶奶也求助早报小编：希望能够有爱心人士为这些爱流浪狗送来一些食物、不要的御寒旧衣物或爱心捐款。尤其是一些餐馆和酒店的剩饭剩菜。同时也希望能有爱心司机和志愿者能够帮忙到爱心酒店收集一下剩菜剩饭并送到流浪狗收养基地。         在此，小编也呼吁广大爱狗人士能为杨奶奶和她收养的流浪狗们送去一份爱心和温暖，让这个冬天不再冷！杨奶奶电话：13831200339 。欢迎大家转发扩散。@保定晚报 @保定同城 @保定同城会 @保定微博同城会 @知道保定 @FM997彤昕 @保定话里话外 @乐活保定 @嗨保定 @保定身边事 @保定城事 @保定小动物保护志愿者协会 @保定爱旺旺流浪动物救助小组 @缘味保定 @保定最热门 @保定李二狗 @1048保定交通广播 @FM997保定经济广播 @1043建楼读报 @中国小动物保护协会,"https://wx4.sinaimg.cn/large/5379c16ely1gaibydx409j21400u0gqc.jpg,https://wx4.sinaimg.cn/large/5379c16ely1gaibye79yej21400u0gr4.jpg,https://wx2.sinaimg.cn/large/5379c16ely1gaibyehxp3j21400u0gr7.jpg,https://wx1.sinaimg.cn/large/5379c16ely1gaibyezbgdj21400u0jwy.jpg,https://wx3.sinaimg.cn/large/5379c16ely1gaibyfapw1j21400u0ten.jpg,https://wx1.sinaimg.cn/large/5379c16ely1gaibyfshzlj21400u0aes.jpg",,,2020-01-02,OnePlus 7T,14,10,18,"保定,保定身边事","保定晚报,保定同城,保定同城会,保定微博同城会,知道保定,FM997彤昕,保定话里话外,乐活保定,嗨保定,保定身边事,保定城事,保定小动物保护志愿者协会,保定爱旺旺流浪动物救助小组,缘味保定,保定最热门,保定李二狗,1048保定交通广播,FM997保定经济广播,1043建楼读报,中国小动物保护协会"
4455601344247985,InkrAhP5T,保定#保定# 2020年开始进入倒计时，你会在21世纪20年代的第一天吃罚单吗？？？限行、抓拍………保定最新的三条交通出行政策在这里。广大驾驶员请认真对待！       今晚最后一轮夕阳，记录着曾经美好的过往；明早第一缕曙光，寄托着重新开启的希望。元旦出行，注意以下信息：       一、2020年1月1日，保定市机动车不限行！       二、2020年1月1日起，保定主城区电子警察增加抓拍驾驶人未按规定使用安全带的交通违法行为并予以相应处罚，电子警察设备将全天候自动抓拍，请广大机动车驾驶员自觉遵法，文明、安全行车。       三、自2020年1月6日起，北京限行尾号即将进行调整，保定同步限行。新一轮限行（2020年1月6日至2020年4月5日）星期一 限行尾号2和7；星期二 限行尾号3和8；星期三 限行尾号4和9；星期四 限行尾号5和0；星期五 限行尾号1和6。尾号字母的以最后一位阿拉伯数字为准，限行时间为保定市区周一至周五每天7时至20时，周六日和节假日不限行。@保定同城 @保定同城会 @知道保定 @乐活保定 @保定微博同城会 @保定话里话外,https://wx3.sinaimg.cn/large/5379c16ely1gafzp1tzh1j23342bce83.jpg,,,2019-12-31,OnePlus 7T,2,0,0,保定,"保定同城,保定同城会,知道保定,乐活保定,保定微博同城会,保定话里话外"
4455592905229487,InkdYlWqz,我许下了#新年心愿#~2020，勇敢许愿，用心实现！ ,https://wx4.sinaimg.cn/large/5379c16ely1gafyvzlzq8j20je0ekjue.jpg,,,2019-12-31,红包活动,3,0,0,新年心愿,
4455300180243283,IncBQ11hV,保定保定身边事#保定##保定身边事# 同城提醒：明天想要前往关汉卿大剧院观看保定市第一届青年歌手大赛总决赛现场的和去未来石某广场凑热闹的，最好不要驾车！！！否则请准备好100元和驾驶本该过节了，互相理解一下，千万别给自己和交警叔叔们添麻烦！！！@保定同城 @保定同城会 @知道保定 @乐活保定 @保定话里话外 @保定微博同城会,https://wx4.sinaimg.cn/large/5379c16ely1gaf1857ov8j20hs0hsgmz.jpg,,,2019-12-30,OnePlus 7T,8,4,1,"保定,保定身边事","保定同城,保定同城会,知道保定,乐活保定,保定话里话外,保定微博同城会"
4455225903988871,InaG2gJGD,保定超话#保定##保定身边事# 保定人去北京这15家医院看病更方便啦！当然，去之前可通过保定市医疗保障局的官方微信公众号：“保定医保”进行异地就医网上备案登记。@保定同城 @保定同城会 @知道保定 @保定话里话外 @乐活保定 ,"https://wx3.sinaimg.cn/large/5379c16ely1gaeshv0pjwj20zk2s64cn.jpg,https://wx1.sinaimg.cn/large/5379c16ely1gaeso3rw1gj20u01uon36.jpg,https://wx4.sinaimg.cn/large/5379c16ely1gaeso44k6nj20u01uoqcm.jpg,https://wx4.sinaimg.cn/large/5379c16ely1gaeso4j26wj20u01uonfj.jpg,https://wx1.sinaimg.cn/large/5379c16ely1gaeso4yelfj20u01uo4gt.jpg,https://wx2.sinaimg.cn/large/5379c16ely1gaeso5j8mvj20u01uowy3.jpg,https://wx3.sinaimg.cn/large/5379c16ely1gaeso69gepj20u01uowxw.jpg,https://wx1.sinaimg.cn/large/5379c16ely1gaeso6nxrhj20u01uoh2v.jpg,https://wx4.sinaimg.cn/large/5379c16ely1gaeso6z4pjj20u01uotq9.jpg",,,2019-12-30,OnePlus 7T,4,2,6,"保定,保定身边事","保定同城,保定同城会,知道保定,保定话里话外,乐活保定"
4455147297606312,In8DfvUKs,#保定# 看到曾致力国家中兴的张之洞大人在保定府留下的旧影。您有何感想？？？@保定同城 @保定同城会 @知道保定 ,https://wx3.sinaimg.cn/large/5379c16ely1gaejlj9vz6j20u01uo1a6.jpg,,,2019-12-30,OnePlus 7T,3,0,1,保定,"保定同城,保定同城会,知道保定"
4453781217805443,Imz5TwKyf,保定超话保定身边事超话#保定# 保定又上央视了！@保定同城 @保定同城会 保定 保定早报的微博视频 ,,"http://f.video.weibocdn.com/004oF6oglx07zF35AC6Q010412004KSO0E010.mp4?label=mp4_hd&template=960x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578134763&ssig=vcvoLEFw%2B%2B&KID=unistore,video",保定,2019-12-26,OnePlus 7T,4,1,1,保定,"保定同城,保定同城会"
