id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4455859163921846,Inr9qgsfA,祝所有朋友：新的一年里有“鼠”不尽的快乐✌ “鼠”不尽的笑容☺️ “鼠”不尽的健康👏 “鼠”不尽的幸福👍 “鼠”不尽的收获🎁 愿所有的好运都“鼠”于我们#2020新年快乐# @克拉玛依吃货汪 @克拉玛依同城 @克拉玛依微视野  🐁 🐁  🐀 🐀 克拉玛依校园微讯的微博视频 ,,"http://f.video.weibocdn.com/000wxC16lx07zOc8ihCg010412003xg90E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578141888&ssig=EUfxrykl1b&KID=unistore,video",,2020-01-01,Android,2,0,1,2020新年快乐,"克拉玛依吃货汪,克拉玛依同城,克拉玛依微视野"
4453429742813208,ImpX0bNQk,#克拉玛依生活# 一夜之间，这座石油城市就冷了。风一动，寒一重，愿所有人有衣暖身，有人暖心#城市生活家# 克拉玛依校园微讯的微博视频 ,,"http://f.video.weibocdn.com/002ItZYqlx07zDvb4TlS010412007e790E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578141888&ssig=CroN3kNruk&KID=unistore,video",,2019-12-25,Android,0,0,0,"克拉玛依生活,城市生活家",
4453136251244635,ImijD5dML,#禾木荐影##禾木# 【禾木——一个一个值得你跋山涉水来相会的地方】来新疆不到禾木，不算到新疆禾木村的每一片雪花，都是冬天的来信不管生活怎么折磨你，一定要用美景来治愈#平安夜# ,"https://wx1.sinaimg.cn/large/005ZwPFTly1ga84lsphofj31400u0h1e.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1ga84lx3j6tj31400u0trb.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1ga84m7hfb5j31400u0nc0.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1ga84mbzjnzj31400u01kx.jpg,https://wx2.sinaimg.cn/large/005ZwPFTly1ga84mdq1byj30u01407wh.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1ga84meamrgj31400u04cc.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1ga84met0nej31400u0qmw.jpg,https://wx2.sinaimg.cn/large/005ZwPFTly1ga84mfkf24j31400u0dy4.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1ga84mg0tpqj31400u0dwd.jpg",,,2019-12-24,Android,2,0,1,"禾木荐影,禾木,平安夜",
4453101291015332,Imhpf4g8k,我的#新年心愿#已发出，请注意查收奥！ ,https://wx4.sinaimg.cn/large/005ZwPFTly1ga80qb89wcj30je0ek0v2.jpg,,,2019-12-24,红包活动,0,0,0,新年心愿,
4453003689715387,ImeROELpN,#克拉玛依冬雪记忆##城市生活家# 【克拉玛依冬雪记忆】克拉玛依的冬天犹如扎着小辫的姑娘，舞姿轻曼诱人，温暖着克拉玛依 克拉玛依校园微讯的微博视频 ,,"http://f.video.weibocdn.com/001WOYSClx07zBCUMswo010412002DX10E010.mp4?label=mp4_720p&template=544x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578141888&ssig=Xh974IT5PL&KID=unistore,video",,2019-12-24,Android,33,0,79,"克拉玛依冬雪记忆,城市生活家",
4453002506667005,ImePUrYol,#克拉玛依美食##感冒食疗# 嗓子疼不想吃药怎么办？来一个冰糖雪梨枸杞汤，见效快，疗效好，妈妈再也不用担心宝宝生病😷 ,"https://wx3.sinaimg.cn/large/005ZwPFTly1ga7pa4aa2ej32ao328npe.jpg,https://wx1.sinaimg.cn/large/005ZwPFTly1ga7pa0wgruj32ao328qv6.jpg,https://wx3.sinaimg.cn/large/005ZwPFTly1ga7pa7k7ecj32ao328kjm.jpg",,,2019-12-24,Android,2,0,0,"克拉玛依美食,感冒食疗",
4453001059755288,ImeNzEVNm,#城市生活家##克拉玛依美食# 唯有美食和美女不可辜负，这家井色音乐小酒馆推荐指数，环境与服务贴心周到，适合夜晚去嗨，驻唱歌手音色也是一级棒，是年轻人吃喝玩乐的好地方。周末放松心情，约你的她一起享受浪漫平安夜🎄菜品推荐:麻辣小龙虾，雪花肥牛，麻辣牛肉，水牛毛肚，虾滑，酸梅汤👏人均消费:72元/人[带着微博去旅行]地址:黑豹世纪家园60-2-32号（穿成河边二楼）,"https://wx1.sinaimg.cn/large/005ZwPFTly1ga7ox97fnkj30w00lcwi2.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1ga7oxbpj80j30px0jg79a.jpg,https://wx2.sinaimg.cn/large/005ZwPFTly1ga7oxatno0j30px0jgjw7.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1ga7oxf2c74j33282aonpf.jpg,https://wx1.sinaimg.cn/large/005ZwPFTly1ga7oxc0kvhj30px0jgq6n.jpg,https://wx3.sinaimg.cn/large/005ZwPFTly1ga7oxcikdij30px0jgn19.jpg",,,2019-12-24,Android,1,0,0,"城市生活家,克拉玛依美食",
4433251239959459,IdX11FMUr,【#可克达拉大桥10月31日正式通车#】在蔚蓝的天空下，一座2.5公里长的桥横跨在伊犁河上，桥面上两座“H”形塔“牵着”索绳巍然耸立，这座伊犁河上的”彩虹“——可克达拉大桥10月31日将正式通车。可克达拉大桥完工后，进行了一段时间的试通车，夜晚桥体流光异彩的灯光，吸引了很多游客前去拍照。据悉，试通车前期每天的车流量能达到上千辆次。 天山网的微博视频 克拉玛依,,"http://f.video.weibocdn.com/001Kc8zklx07y2lCVpja01041200v99U0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578141889&ssig=IGKIC0ZUNU&KID=unistore,video",克拉玛依,2019-10-31,Android,1,1,0,可克达拉大桥10月31日正式通车,
4421682275988902,I963pp7Zc,祝你生日快乐,,,,2019-09-29,生日动态,1,0,0,,
4420570693064406,I8D8xcRbU,#城市生活家# 如果说沙漠胡杨是铮铮铁骨阳刚的西北汉子，那么水胡杨便是温柔俊美的江南女子，袅袅婷婷，楚楚动人！#微博摄影大赛# 克拉玛依微视野的微博视频  ,,"http://f.video.weibocdn.com/004x9x6zlx07xiR4HMOc010412009WtK0E010.mp4?label=mp4_720p&template=1024x576.24.0&trans_finger=3e5d616a0b846b231c063771e4afedd3&Expires=1578141889&ssig=ch7hZ3ALjQ&KID=unistore,video",,2019-09-26,新浪微博4G版,5,0,1,"城市生活家,微博摄影大赛",
4417839911771729,I7u637qUh,【号称是“新疆最美的雅丹地貌”的布尔津五彩滩】#城市生活家# 五彩滩地处干旱多风地带，由于河岸岩层间抗风能力的强弱不一，形成参差不齐的轮廓，和五彩缤纷颜色各异的岩层，是典型的雅丹地貌。由于河岸岩层间抗风化能力的强弱程度不一而形成了参差不齐的轮廓，而岩石含有矿物质的不同，又幻化出种种异彩，尤其是在落日时分的阳光照射下，岩石的色彩以红色为主，间以绿、紫、黄、白、黑及过渡色彩，色彩斑斓、娇艳妩媚，因此被称作“五彩滩”，并号称是“新疆最美的雅丹地貌”。#微博摄影大赛# @克拉玛依同城  克拉玛依微视野的微博视频,,"http://f.video.weibocdn.com/004AET9ulx07x5qy0JKo010412003W9C0E010.mp4?label=mp4_hd&template=852x480.24.0&trans_finger=ac6fb6d5c49a67fe2901ae638b222ab2&Expires=1578141889&ssig=VU3210AcMl&KID=unistore,video",,2019-09-18,新浪微博4G版,3,0,0,"城市生活家,微博摄影大赛",克拉玛依同城
4407152904700933,I304WjIVv,#城市生活家# 漫步于云端的独库公路！by浪迹伊犁#带着微博去旅行# 克拉玛依微视野的微博视频 ,,"http://f.video.weibocdn.com/0035HdKelx07wlepNWpy010412004tiM0E010.mp4?label=mp4_720p&template=1024x576.24.0&trans_finger=3e5d616a0b846b231c063771e4afedd3&Expires=1578141889&ssig=HjJFO4Pt%2B9&KID=unistore,video",,2019-08-20,新浪微博4G版,4,0,0,"城市生活家,带着微博去旅行",
4403465901957388,I1saa8dcM,#城市生活家# 新疆不可错过的美食油包肝，外焦里嫩，加上一把调料，小🔥 烧烤，口感极佳！欢迎品尝！#克拉玛依生活#  克拉玛依微视野的微博视频 ,,"http://f.video.weibocdn.com/000KgxEGlx07w5eqWCta01041200cdzP0E010.mp4?label=mp4_hd&template=576x1024.24.0&trans_finger=8b4ba5dd910e61a4f562dadf6cd9a4e8&Expires=1578141904&ssig=PU%2Fw7ShHsD&KID=unistore,video",,2019-08-09,新浪微博4G版,3,0,0,"城市生活家,克拉玛依生活",
4399726596353788,HFQllqEUs,#新疆舞# 五步一娜扎，十步一热巴，这里是新疆！ 克拉玛依校园微讯的微博视频 ,,"http://f.us.sinaimg.cn/001Xbe7Glx07vP8ktSn6010412001KEl0E010.mp4?label=mp4_hd&template=480x632.24.0&trans_finger=00d6f051af67aabec160a64dc64cc52b&Expires=1578141904&ssig=qGYQrD573C&KID=unistore,video",,2019-07-30,Android,2,1,1,新疆舞,
4399515811094298,HFKRn4AFY,#夏日你好# 万米高空下的新疆赛里木湖！ 微博视频 #夏日你好# ,,,,2019-07-29,微博视频,2,0,0,"夏日你好,夏日你好",
4399401700895840,HFHTk3L32,巴依部落全新新疆特色“你笑起来真好看！”系列冰箱贴！现只在国际大巴扎步行街“巴依部落”专卖店独家上市！有喜欢的吗？ 新疆美食发现的秒拍视频  ,,"http://f.us.sinaimg.cn/000XU1Izlx07vMD2fVSM01041200coP90E010.mp4?label=mp4_hd&template=640x368.24.0&trans_finger=00d6f051af67aabec160a64dc64cc52b&Expires=1578141904&ssig=VEY1b7%2FvbT&KID=unistore,video",,2019-07-29,Android,1,0,0,,
4399184528503679,HFCf2zGc7,【人家仙境——独库公路】趁年轻多去看世界多一些尝试不然你会以为眼前看到的已经是全世界#独库公路# 克拉玛依校园微讯的秒拍视频 ,,"http://f.us.sinaimg.cn/002i65bFlx07vMKpgNbq010412002KH20E010.mp4?label=mp4_hd&template=844x480.24.0&trans_finger=00d6f051af67aabec160a64dc64cc52b&Expires=1578141904&ssig=0HEd1K6TA%2F&KID=unistore,video",,2019-07-29,Android,2,1,0,独库公路,
4399183559748403,HFCdtEU0j,#独库公路# 传说中的魔鬼赛道 克拉玛依 ,"https://wx3.sinaimg.cn/large/005ZwPFTly1g5g0cxmmifj30u01i07wh.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1g5g0cydui0j31400u01kx.jpg,https://wx2.sinaimg.cn/large/005ZwPFTly1g5g0cz4kpej31400u01kx.jpg,https://wx4.sinaimg.cn/large/005ZwPFTly1g5g0czwpjjj31400u07vc.jpg,https://wx3.sinaimg.cn/large/005ZwPFTly1g5g0d0fpu6j30u010ah7v.jpg,https://wx2.sinaimg.cn/large/005ZwPFTly1g5g0d10e7lj30u017qtun.jpg,https://wx2.sinaimg.cn/large/005ZwPFTly1g5g0d29sfzj31ny0pcb29.jpg,https://wx2.sinaimg.cn/large/005ZwPFTly1g5g0d3615aj31h60pi1kx.jpg,https://wx2.sinaimg.cn/large/005ZwPFTly1g5g0d3np8cj312g0lctkb.jpg",,克拉玛依,2019-07-29,Android,2,0,0,独库公路,
4399182209206296,HFCbiCCYE,#唐山大地震43周年祭#【23秒，43年……】43年前的今天，山崩地裂的灾难突然降临。23秒的剧烈震动，24万多鲜活的生命葬身瓦砾，有着百万人口的工业重镇瞬间夷为平地……43年里，唐山人从毁灭中重生，在重生中崛起，创造一个又一个奇迹！今天，让我们缅怀逝者，致敬重生！  ,https://wx2.sinaimg.cn/large/005ZwPFTly1g5g07i0l1cj31900u0jz4.jpg,,,2019-07-29,Android,1,0,0,唐山大地震43周年祭,
