id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4471309490588442,ItV5j2t50,Genizah 在家里大清扫整理旧书，发现了七、八本希伯来圣经，其中有三本分别是家里三个孩子服兵役的时候军队发的。普通的旧书可以捐给市里的小图书馆或者当废纸处理，但是希伯来圣经和其他宗教典籍就不能直接扔掉了。在家附近的犹太会堂门口，有一个专门弃置希伯来语典籍的箱子Genizah，被弃置的典籍就像逝去的人一样，后面会被埋葬。所以也把这些Genizah箱子称作希伯来典籍的坟墓。网上查了一下，其实Genizah有两个用途，除了希伯来典籍之外，希伯来语写的异端邪说也可以扔进去 绿洲 以色列,"https://wx4.sinaimg.cn/large/64399c56gy3gbu3wvnd51j20u00u0quz.jpg,https://wx2.sinaimg.cn/large/64399c56gy3gbu3wulju0j20u00u04qp.jpg",,以色列,2020-02-13,绿洲APP,2,0,0,,
4470976563703435,ItMqkfxqP,耶路撒冷普京酒吧 2013年对我来说是很特别的一年，因为那一年同时在给不同的杂志和报纸供稿写关于以色列的文化、旅游、科技，所以几乎每周都在探索新的有趣的地点和话题。2013年初一个和现在一样阴冷潮湿的冬夜，我和米先生在安息日结束之后开车来耶路撒冷雅法路上的普京酒吧见一个老朋友，聊以色列的 ...全文,"https://wx2.sinaimg.cn/large/64399c56gy3gbt1o5hpaxj20u00u04qp.jpg,https://wx2.sinaimg.cn/large/64399c56gy3gbt1oc15akj20u00u07wh.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbt1o1o4rzj20u00u0nmb.jpg,https://wx4.sinaimg.cn/large/64399c56gy3gbt1od9i33j20u00u04nn.jpg",,,2020-02-12,绿洲APP,6,0,0,,
4468709467250217,IsPrIuq6Z,天气很好的一天 和婆婆带着小单于一起去吃早午饭，帮小单于补充一些钙 绿洲 以色列·特拉维夫 ,"https://wx2.sinaimg.cn/large/64399c56gy3gbltafu3t1j20u00u07wh.jpg,https://wx2.sinaimg.cn/large/64399c56gy3gbltapspfyj20u00u04qp.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbltac06jcj20u00u01kx.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbltaymow9j20u00u01kx.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbltarj842j20u00u01ao.jpg",,以色列·特拉维夫,2020-02-05,绿洲APP,2,3,0,,
4468408001153117,IsHBu4PYF,人们总是懒得做平凡生活的守护者，都想当乱世的英雄。 ,,,,2020-02-05,iPhone客户端,3,0,0,,
4467892475643877,IsubZnGeh,现实中一直沉静谦和、与人为善，网络上一贯戾气偏激、谩骂诽谤，我觉得这样的人也应该去看心理医生。 ,,,,2020-02-03,iPhone客户端,4,4,0,,
4467638719635191,IsnAHEqyj,以色列目前禁止两周之内去过中国的非以色列公民和永久居民（绿卡持有者）入境，我觉得主要是以色列政府知道自己没能力组织有效率和有规模的防疫救治，以色列人又无组织无纪律惯了，让以色列人好好在家呆两周自我隔离不给社会添麻烦，估计90%的人都不听话，到处乱窜。以色列又没电商，不能送货上门。以色列医保系统本身也摇摇欲坠，如果疫情在以色列传播，以色列政府和卫生系统根本控制不住。眼看着马上又要大选了，这种时候缩头乌龟也可以理解，不是我给以色列洗不洗地的。这跟网上流传的河南各个村镇门口劝返点坐着一个手持长枪的门神也没有啥本质的区别。,,,,2020-02-02,微博 weibo.com,8,8,3,,
4467634852611274,IsnutaXjk,政治盲人一直想知道红花会到底是什么背景，看起来巨贪这么多年为什么还能屹立不倒？ ,,,,2020-02-02,微博 weibo.com,0,9,0,,
4467632960854083,Isnrq3Abx,顶着一张中国脸走在路上咳嗽两声，周围人看我的眼神仿佛看到死神本神。哈哈哈哈从来没感觉自己这么powerful过~ ,,,,2020-02-02,微博 weibo.com,5,2,0,,
4467540845188952,Isl2QlLSM,蜗牛的早上 下过一夜的雨，路上都是大大小小的蜗牛。送可汗去幼儿园的路上，我跟可汗说，你看地上有好多蜗牛跑出来哦～真的蜗牛哦～结果还没来得及说“小心脚下不要踩到它们”，就听到咔嚓一声他抬起脚，看到一只壳被踩碎的蜗牛妈妈，不远处还有一个小蜗牛，疑似蜗牛宝宝，刚想叫，我只能抢一步上来说：踩碎了的就不能吃了哦 绿洲 以色列·特拉维夫,"https://wx3.sinaimg.cn/large/64399c56gy3gbi32y2fuxj20u00u0npd.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbi32pfl4bj20u00u07wh.jpg,https://wx1.sinaimg.cn/large/64399c56gy3gbi32qxbbbj20u00u04qp.jpg,https://wx1.sinaimg.cn/large/64399c56gy3gbi332xzqxj20u00u0kjl.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbi32zg7iuj20u00u07wh.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbi3394i4tj20u00u04qp.jpg",,以色列·特拉维夫,2020-02-02,绿洲APP,0,0,0,,
4467255636757898,IsdCPsm2m,交通博物馆 大晴天的周末，交通博物馆，所有的车都可以爬。小男孩和老男孩的最爱 绿洲 以色列 ,"https://wx3.sinaimg.cn/large/64399c56gy3gbh6bxcskbj20u00u0b0l.jpg,https://wx4.sinaimg.cn/large/64399c56gy3gbh6bwvtesj20u00u0qq8.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbh6bwfovej20u00u01kx.jpg,https://wx1.sinaimg.cn/large/64399c56gy3gbh6byqnb0j20u00u01g9.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbh6c18idmj20u00u01j2.jpg,https://wx2.sinaimg.cn/large/64399c56gy3gbh6bz7nenj20u00u01kx.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbh6c02dsmj20u00u0kgo.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbh6c0hnqzj20u00u0hb3.jpg,https://wx3.sinaimg.cn/large/64399c56gy3gbh6c1gfbmj20u00u07wh.jpg",,以色列,2020-02-01,绿洲APP,4,4,0,,
