id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4456396521467175,InF8869G7,说到故事量，风云雄霸天下里，聂风接了雄霸的命令去夺无双剑，偶遇了世代守护无双城手握无双阴剑的少女明月，明月对他从敌对到爱慕，明月的姥姥愚忠于无双城主独孤家，打伤聂风用他的命胁迫明月嫁给无双阳剑的主人独孤少城主，新婚夜聂风闯洞房，明月杀了少城主和他一起出逃，被独孤城主追杀，明月坠崖。猜猜这段故事拍了多长？一集半。幽若是雄霸独生女，武功高强外表骄纵内心缺爱，为了自由之身和父亲打赌七天内拿下聂风的命，却因为一碗猪肺汤对聂风芳心暗许，相处七天，就义无反顾爱上了聂风并且甘愿为他牺牲性命。这段拍了多长？一集半。琼瑶奶奶那边，梅花烙21集，还珠格格24集。更别说童年错觉100集其实只有25集的西游记。还有基友提名的上错花轿嫁对郎，20集讲六对西皮的故事，还有用四十集从戊戌变法讲到抗战的大宅门等等。不知道为啥现在电视剧越抻越长，讲的故事却越来越少，以前是酿酒，现在是水里还要兑水。,"https://wx2.sinaimg.cn/large/6cf6cb5fly1gaij83p3n2j20f30bddgu.jpg,https://wx2.sinaimg.cn/large/6cf6cb5fly1gaij845pfej20f90b6jsp.jpg,https://wx1.sinaimg.cn/large/6cf6cb5fly1gaij83z9etj20hy0d3wfq.jpg,https://wx3.sinaimg.cn/large/6cf6cb5fly1gaij83uvyxj20i80dc0ub.jpg",,,2020-01-02,iPhone 8 Plus,73,19,51,,
4456364133132050,InEhTd8MW,企鹅打折券来了……企鹅视频超级影视vip3个月原价148现在88【下单链接】网页链接 ----------------- 注意，请完整复制这条信息，$8tcn1YOc4rB$，到【手机淘宝】即可查看 ,https://wx1.sinaimg.cn/large/6cf6cb5fly1gaifgmo6h5j20xc2nuh6t.jpg,,,2020-01-02,iPhone 8 Plus,0,0,0,,
4456331454563248,InDrbj96M,#刘昊然石家庄#今天有课没法去，听基友说万象城里乌泱泱全是人 ,,,,2020-01-02,iPhone 8 Plus,4,1,0,刘昊然石家庄,
4456058410126379,InwkN0wSn,#新疆和田西瓜烤肉#其实烤肉啊炖肉啊这些，用水果代替白糖是很好吃的，味道出奇的好，比如我家炖排骨会切个苹果进去，羊肉会切个梨进去，各位首页基友可以试试，有惊喜哦！ ,,,,2020-01-01,iPhone 8 Plus,23,7,4,新疆和田西瓜烤肉,
4455995675719758,InuHBnZYa,粉红色羽绒服那件事情我发出之后，有很多人找到我这里，有年轻的大学生问我怎么报名支教，有好心人问我能不能给些帮助，我把涉及个人隐私、相隔十年不再需要衣服捐助这些情况说明后，他们都表示了理解，并且说愿意用更多的方式去力所能及的帮助这些女孩子，有个姑娘告诉我她要报考三支一扶了，还有些好心人发给我他们捐款捐物的消息，还向我打听有没有更多能帮助相似情况穷苦女童的途径。在这里谢谢这些好心人，做慈善做好事从来不拘泥形式，做到自己力所能及的就是最大的善意，谁也不是超人，能做多少都是善意。也有些键盘慈善家，说了很多废话，听起来冠冕堂皇，还喋喋不休，但是当我提到捐款捐物做实事并且把红十字会、希望工程之类的项目截图给他们看的时候，他们或者不再回复我，或者顾左右而言他跟我掰文字游戏，就是对我说的做实事视而不见，然而他们嘴里，自己仍然是最大的慈善家，只是没有他们看得上的慈善项目。世间百态，微博如镜。,,,,2020-01-01,iPhone 8 Plus,25,5,2,,
4455992362691640,InuCgbidy,键盘慈善家最有趣的一点是，一旦确定某个慈善项目现在没有可行性了，立刻比谁都慷慨，“你给我地址我马上去捐”“你给我姓名我马上就寄钱”，空口画饼，又吹嘘了自己有爱心又不需要实际的付出，“你看我都说要捐了这个项目不需要我有什么办法呀”，你要是指出来另一个可行的慈善项目，他就在线失明了。 ,,,,2020-01-01,iPhone 8 Plus,17,0,1,,
4455966437087457,IntWrtJLP,宠爱 看电影我发现了一个华点，我也遭遇了于和伟扮演的父亲相同的问题：请问一下年轻的娃们，木子洋是谁还有，别说他要签名要错人，我、我也分不清 ,,https://f.video.weibocdn.com/002dqpKplx07zLBLvbEs01041200fjlk0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&tags=weibocard,,2020-01-01,iPhone 8 Plus,18,14,0,,
4455935487096121,Int8wtM1z,键盘圣父在线慈善空口扶贫现场直播中，张嘴就是要慷他人之慨，笃定了这个扶贫项目已经不具备时效之后就反复纠结在上面来证明自己善良慷慨，在被我追问一句能不能去做力所能及的扶贫时就开始“你屏蔽我了”的造谣耍赖，所以说要对付键盘圣父很简单，一到动真格的马上怂顺便说一句，微博个人用户不能屏蔽其他个人用户，造谣都没常识的么？,"https://wx2.sinaimg.cn/large/6cf6cb5fly1gah27dzejjj20yi1pcqsi.jpg,https://wx3.sinaimg.cn/large/6cf6cb5fly1gah27epmk9j20yi1pc1kx.jpg,https://wx2.sinaimg.cn/large/6cf6cb5fly1gah2avz0z4j20yi1pce81.jpg",,,2020-01-01,iPhone 8 Plus,17,5,4,,
4455926327243650,InsTKuop4,傻叼圣父最喜欢的就是敲键盘慷他人之慨而且毫不懂人情世故和人心阴暗，处处透出一种纯真如白痴的性转傻白甜气息。 ,,,,2020-01-01,iPhone 8 Plus,14,0,1,,
4455872312728414,InruDbrMG,网民再呼吁从重处罚医闹保护医生又怎样？现实就是砍了医生之后就不排队进北京三甲医院还有外医院专家会诊医药费垫付啊，虚无缥缈的民意愤怒和实实在在的现实好处对比，你指望人家急着看病救命的听你道德念经还是走实际验证过的捷径？ ,,,,2020-01-01,iPhone 8 Plus,32,2,2,,
