id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4047243608914091,EjP1mBoXF,#粉丝投稿#手游#阴阳师#【玩家投稿：想知道游戏中用到的图片素材是否购买了素材授权？】背景中贴的素材原图出自日本素材书《和の色彩 vol.6 <祝>IWAI》（图一）。素材网站版权声明页网页链接该书的使用规范版权问答网页链接其中提出，对该书购买者，禁止用于游戏，如需使用于游戏中必须向版权方额外申请授权签订合同支付商定报酬方可使用（图二）。更正了图一中素材书的截图（图三）。,"https://ww2.sinaimg.cn/large/82858710gw1fa97dtfwwnj20jg2l6wrx.jpg,https://ww3.sinaimg.cn/large/82858710gw1fa97rgbkmrj20dp055jsp.jpg,https://ww1.sinaimg.cn/large/82858710gw1fa98kglhp1j20nt0eewg9.jpg",,,2016-11-29,微博 weibo.com,22,0,63,"粉丝投稿,阴阳师",
3865227907494215,CrmSivrAr,图1截图时间7.14，图2截图时间7.15 ,"https://ww2.sinaimg.cn/large/82858710gw1eu4ke2j7z7j20gn0es0vd.jpg,https://ww4.sinaimg.cn/large/82858710gw1eu4kejeivoj20gi0klte4.jpg",,,2015-07-16,微博 weibo.com,10,3,2,,
3859899107076358,Cp8fstGSO,《戴敦邦新绘长恨歌》 ,https://ww4.sinaimg.cn/large/82858710gw1etnkdz5boaj20i7hi9e85.jpg,,,2015-07-01,微博 weibo.com,41,2,34,,
3847474152696751,CjV1dbjxZ,#推荐阅读#《戴敦邦画谱·中国仕女画 序：他的画儿会说中国话》作者：蔡若虹 | “我总是认为，失去民族特色的造型艺术，不可能在异彩纷呈的世界艺坛上立足……他的作品可贵之处，是始终不脱离群众，始终说中国话（虽然有两三种不同的口音），始终不跟着外国画家的屁股后面跑。” ,"https://ww3.sinaimg.cn/large/82858710gw1esjxc1qnysj20c81t7k55.jpg,https://ww3.sinaimg.cn/large/82858710gw1esjxca9v5fj21kw0rvakr.jpg,https://ww3.sinaimg.cn/large/82858710gw1esjxcf5oqmj20eu0m8djf.jpg,https://ww2.sinaimg.cn/large/82858710gw1esjxck4icqj20im0ig0vq.jpg,https://ww3.sinaimg.cn/large/82858710gw1esjxcns0xuj20am05qt96.jpg,https://ww4.sinaimg.cn/large/82858710gw1esjxctqfomj20im0i977x.jpg,https://ww3.sinaimg.cn/large/82858710gw1esjxcyucukj20ae0feab8.jpg,https://ww4.sinaimg.cn/large/82858710gw1esjxd90vvvj20im0j2ae1.jpg,https://ww1.sinaimg.cn/large/82858710gw1esjxdd25t9j20g40g6gnk.jpg",,,2015-05-28,微博 weibo.com,23,0,26,推荐阅读,
3792035284418831,BCCg0ixxt,电视剧《武媚娘传奇》定妆照背景涉嫌剽窃工笔画多图对比。原图作者：周中耀、李科宏、邹传安（排名不分先后）。@武媚娘传奇 ,https://ww3.sinaimg.cn/large/82858710gw1enn2agtrnoj20v52nbnmm.jpg,,,2014-12-26,微博 weibo.com,97,29,533,,武媚娘传奇
3752672345516782,Bm6fon9am,#工笔重灾区#以热爱中国题材、“中国风”而为国人所知的日本漫画家#皇名月#《花情曲余话-恋泉》及《燕京伶人抄》涉嫌抄袭中国著名画家#王道中#和#周天民#。ps：关于某个被人提及风格相似的画《梅兰芳》的中国漫画家林莹的抄袭对比看这里：微博正文 ,"https://ww4.sinaimg.cn/large/82858710gw1ek5hi2khj0j20cj18gjw6.jpg,https://ww2.sinaimg.cn/large/82858710gw1ek5hkeygqaj20ct18gq7k.jpg,https://ww2.sinaimg.cn/large/82858710gw1ek5hkk6jwxj20c81ki14a.jpg",,,2014-09-08,微博 weibo.com,30,8,93,"工笔重灾区,皇名月,王道中,周天民",
3752526505164380,Bm2salFus,祝大家中秋快乐！【图·华三川《嫦娥》】 ,https://ww4.sinaimg.cn/large/82858710gw1ek50ln243uj20ce0m841w.jpg,,,2014-09-08,微博 weibo.com,21,0,4,,
3715546334274889,B6wqJhW5P,顺便发下这个吧。分享自反抄袭联盟  《【法律常识普及】关于“作者死亡50年后无版权”，著作... -  近来抄袭之风不减，许多盲目支持抄袭作者的读者冒出了这样一种言论：“作者死亡50年后就没有版权了...  (来自 @头条博客) - 【法律常识普及】关于“作者死亡50年后无版权”，著作权法中是如何规定的  ,https://ww2.sinaimg.cn/large/82858710jw1egv1po1z2mj2050050dg9.jpg,,,2014-05-29,新浪博客,11,1,11,,头条博客
3715520207076664,B6vKAtGXK,#工笔重灾区#《大鱼·海棠》的美术导演张春@呼吸不能说-breath 为该片创作的《大鱼海棠屏风前的椿》涉嫌剽窃宋画《海棠蛱蝶图》@动画电影大鱼海棠 图1对比图，图2叠图gif，图3有关#古画#使用的版权科普，图4事件相关事实&吐槽 ,"https://ww1.sinaimg.cn/large/82858710gw1eguydupa5bj20j82jiat1.jpg,https://ww1.sinaimg.cn/large/82858710gw1eguyev6e1ug20jp0gje81.gif,https://ww1.sinaimg.cn/large/82858710gw1eguyf1a86yj20c811ggq4.jpg,https://ww3.sinaimg.cn/large/82858710gw1eguyfakucmj20e83g44m6.jpg",,,2014-05-29,微博 weibo.com,1303,2739,13709,"工笔重灾区,古画","呼吸不能说-breath,动画电影大鱼海棠"
3713476289582631,B5EzWEcSz,做个小调（yu）查（gao）：张旺、呀呀、萨菲珥、柳宫燐、王一、丁冰、韩露、黑色禁药、非墨、林夕、米沙、CHRY、洛君麟、ENO、钱妤、、呼吸不能说（张春）、（日）皇名月你们想先看哪个？ ,,,,2014-05-23,微博 weibo.com,8,42,10,,
