id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4458943063120964,IoJnsd5U8,"今日下午Alin黄丽玲超话#A-lin# 在北京举办《LIN 距离》音乐会,限量邀请一百位歌迷到场。连唱6首后在歌迷还对超高水准的 live 意犹未尽之时,宣布令人期待已久的巡演城市安排,让歌迷感动不已 华语音悦Tai的微博视频 ",,"http://f.video.weibocdn.com/003xdAD1lx07A1LI4VxS01041209olMr0E040.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578593254&ssig=WEsbMtvHgx&KID=unistore,video",,2020-01-10,iPhone客户端,19,4,5,A-lin,
4458904303780333,IoImWfRr7,昨日2019今日头条年度盛典”在北京凯迪拉克中心举办，红毯星光熠熠完整版红毯视频来了！快来点开欣赏艺人们红毯的精彩瞬间  华语音悦Tai的微博视频 ,,"http://f.video.weibocdn.com/003FefSClx07A1B9wzoQ0104120qKkf00E0a0.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578593254&ssig=NDBU3R4tAB&KID=unistore,video",,2020-01-09,微博视频,0,0,0,,
4458869918660112,IoHttAkTe,看得出来，严励几乎就是辣种生活两点一线的人……连一个#忘不了的电话号码#都没有，冷面霸总人设实锤了。#电视剧我不是购物狂# 华语音悦Tai的微博视频 ,,"http://f.video.weibocdn.com/001rmvaVlx07A1rJ167C010412006weX0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578593254&ssig=IK5TW72VJ1&KID=unistore,video",,2020-01-09,iPhone客户端,3,0,0,"忘不了的电话号码,电视剧我不是购物狂",
4458561566059702,Iozs8pqp8,【台哥现场】#2019头条盛典##欧阳娜娜礼服配球鞋# 白色鱼尾长裙亮相红毯你们听了改编版的《To Me》吗 华语音悦Tai的微博视频 ,,"http://f.video.weibocdn.com/0022Qxl3lx07A05CEBAI01041201CaO10E010.mp4?label=mp4_720p&template=1268x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578593254&ssig=ImR78B8479&KID=unistore,video",,2020-01-08,Android,16,2,1,"2019头条盛典,欧阳娜娜礼服配球鞋",
4458546072704088,Ioz39blsk,【台哥现场】#2019头条盛典##陈立农 宫廷风# 宫廷风造型的小王子陈立农超话  华语音悦Tai的微博视频 ,,"http://f.video.weibocdn.com/004xLrVxlx07A01mHlcA01041200YWiC0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578593254&ssig=5XZKlTRP6R&KID=unistore,video",,2020-01-08,iPhone客户端,12,2,2,"2019头条盛典,陈立农 宫廷风",
4458542381603905,IoyXc6Jfr,#2019头条盛典##关晓彤黑钻长裙#关晓彤超话 今天造型太好看了期待晓彤新作品《月半爱丽丝》 ,"https://wx3.sinaimg.cn/large/6d63c345ly1gapdlznsaij20dw0kuwy4.jpg,https://wx1.sinaimg.cn/large/6d63c345ly1gapdlwiyj0j20xb1dzqv7.jpg,https://wx3.sinaimg.cn/large/6d63c345ly1gapdm02915j20c80gxk1r.jpg,https://wx4.sinaimg.cn/large/6d63c345ly1gapdm0fidgj20c80gxqbf.jpg,https://wx3.sinaimg.cn/large/6d63c345ly1gapdm0udxij20c80gx48l.jpg,https://wx3.sinaimg.cn/large/6d63c345ly1gapdm1aq0oj20c80gxn7r.jpg",,,2020-01-08,iPhone客户端,44,1,0,"2019头条盛典,关晓彤黑钻长裙",
4458542184429555,IoyWSiAkr,【台哥现场】#2019头条盛典#宋茜超话一身复古红裙亮相红毯 姐姐太美了 华语音悦Tai的微博视频 ,,"http://f.video.weibocdn.com/0012Bwr7lx07A00ix73y01041200QdqR0E010.mp4?label=mp4_720p&template=1268x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578593254&ssig=fJoMRgN60J&KID=unistore,video",,2020-01-08,Android,70,1,1,2019头条盛典,
4458537978069541,IoyQ5xRfT,【台哥现场】#2019头条盛典#李现超话一身蓝色西装亮相红毯今天依旧是我们帅气的“现男友” 华语音悦Tai的微博视频 ,,"http://f.video.weibocdn.com/003zjIdklx07zZZa52z6010412014JR90E010.mp4?label=mp4_720p&template=1268x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578593254&ssig=WydDlkEa%2B6&KID=unistore,video",,2020-01-08,坚果手机 3,38,4,3,2019头条盛典,
4458529878230610,IoyD1yx9M,【台哥现场】#2019头条盛典# 红毯肖战超话哥哥今天这个造型太帅了 华语音悦Tai的微博视频 ,,"http://f.video.weibocdn.com/002Lkrl1lx07zZWXA0og01041200uRad0E010.mp4?label=mp4_720p&template=1268x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578593254&ssig=hYnFfCNJaq&KID=unistore,video",,2020-01-08,坚果手机 3,88,4,10,2019头条盛典,
4458523691782418,Ioyt37tGG,【台哥现场】#2019今日头条年度盛典#周笔畅超话亮相红毯 华语音悦Tai的微博视频 ,,"http://f.video.weibocdn.com/003z4fVmlx07zZVijSMU01041201a3xh0E010.mp4?label=mp4_720p&template=1268x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578593254&ssig=mfiHPNb1vq&KID=unistore,video",,2020-01-08,坚果手机 3,43,14,34,2019今日头条年度盛典,
