id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4423784612055708,I9YKh8CMA,今日中国，不是以前的中国了！厦门一个饭馆的老板娘给香港同胞谈爱国……#香港中联办表示坚决支持禁蒙面法#香港商報網的微博视频 ,,"http://f.video.weibocdn.com/004rvnLglx07xtUjAb8I01041200pdEi0E010.mp4?label=mp4_720p&template=864x486.24.0&trans_finger=3a98437b06ee9a5433eaf30fb06ab149&Expires=1578031969&ssig=oblHo0f02D&KID=unistore,video",,2019-10-04,厦门超话,40516,2127,1505,香港中联办表示坚决支持禁蒙面法,
4456633406906845,InLicsYMJ,#考驾照时有哪些难忘的经历#你考驾照时重考过几次？ 厦门城新鲜事的微博投票 ,,,,2020-01-03,,35,1,0,考驾照时有哪些难忘的经历,
4456629879928639,InLcvFETl,#厦门旅行# 【闽南花生汤 汤色乳白，浓浓的花生香味】花生汤主要食材有花生、白糖等。花生去膜，放糖等以文火熬煮七八小时后烂透，汤色乳白，花生仁酥烂不碎，入口即化，食用时可配上油条等点心，美容养颜。这道美食发源于泉州地区，现在是福建厦门随处可见的小吃之一。#街头小吃界的绝对C位#淘宝吃货的秒拍视频,,"http://miaopai.video.weibocdn.com/0024aTxylx07ycS9IACI01041200yN5w0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578031970&ssig=zTCHaF0kLe&KID=unistore,video",,2020-01-03,,3,1,0,"厦门旅行,街头小吃界的绝对C位",
4456435037838555,InG8fwTaj,#厦门打卡季#【厦门夫妻卖鸡蛋汉堡19年 竟然加鲜肉！】厦门一对夫妻做鸡蛋汉堡已有19年，如今有老干妈、甜辣酱和花生酱三种口味。店主称，不管什么天气都要保证肉是新鲜的！是真的鲜肉啊！“周末一直有顾客排队，很少间断过。”每天卖出四五百个！ 淘宝吃货的微博视频 ,,"http://f.video.weibocdn.com/001PdShilx07zQqwTEFi01041200TKAU0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1578031910&ssig=qllmENp%2FFf&KID=unistore,video",,2020-01-03,厦门超话,62,35,15,厦门打卡季,
4456423880584364,InFQg2s1e,#厦门打卡季# 五缘湾湿地公园内，红得醉人的落羽杉！（摄影/@自然春秋 ） ,"https://wx1.sinaimg.cn/large/9fb9b1cdgy1gaimaofes6j20u00u0tig.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaima7af7cj20u00u07bm.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaimaah793j20u00u0qdl.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gaimacoleaj20u00u0al3.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaimaeztn7j20u00u0k1a.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaimah0ppbj20u00u0ti5.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaimaiz5gpj20u00u0479.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaimakz04hj20u00u0ail.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gaimamatlyj20u00u0ag7.jpg",,,2020-01-02,厦门超话,19,17,7,厦门打卡季,自然春秋
4456350975674729,InDWFnOfT,#6成白领2019年涨薪#智联招聘数据，59.6%的白领表示在2019年有不同程度涨薪，29.3%白领“原地踏步”，11.2%白领“负增长”。去年你加薪了么？↓ 厦门城新鲜事的微博投票 ,,,,2020-01-02,,199,3,0,6成白领2019年涨薪,
4456022791893693,Invpl7WDr,#厦门打卡季# 人也太多了！这是今天的山海健康步道！现场体验的网友称人太多，路面晃动厉害！（视频/@南园四白 ） Amoy宝爷的微博视频  ,,"http://f.video.weibocdn.com/0011qV4Ogx07zOt0WURi0104120044tk0E010.mp4?label=mp4_hd&template=432x960.24.0&trans_finger=6038099a530779e853bb78b617dbd3ab&Expires=1578031969&ssig=eAU2UPnZ9i&KID=unistore,video",,2020-01-01,厦门超话,14,11,5,厦门打卡季,南园四白
4455938997733629,IntebwrRX,#厦门打卡季# 今天山海健康步道正式开放，没错，又是人从众𠈌！里面有你么？土楼先生的微博视频 ,,"http://f.video.weibocdn.com/0025BVW8gx07zOncDXG8010412003LpG0E010.mp4?label=mp4_hd&template=368x640.24.0&trans_finger=6038099a530779e853bb78b617dbd3ab&Expires=1578031969&ssig=ahN%2B04RHTI&KID=unistore,video",,2020-01-01,厦门超话,22,20,9,厦门打卡季,
4455893254591618,Ins2pjgum,#厦门爆料#【#厦门方特跨年烟花故障# 疑似不能退票？】多位网友爆料，昨日在厦门方特跨年现场上，方特跨年烟花出现故障却未提前通知，导致上万游客滞留在广场等待多小时；冰雪王国租衣20元/件，不租不让进；停车楼无人指挥，拥堵到凌晨三点，才开放入口疏流；滴滴打车号拍到800多号！这年跨的有点糟心,"https://wx2.sinaimg.cn/large/9fb9b1cdgy1gagx2fquxfj20u01o0qmw.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gagx2mta03j20tx1ah0zz.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gagx2aavwlj20u01o0qg5.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gagx2jywasj20u01saqfg.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gagx2qmdmyj20u01hcjyn.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gagx71fgsej20u01hcwky.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gagx72mb8dj20u01hcn3p.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gagx74b9wgj20u01hc0zj.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gagx76caeqj20u01o04bz.jpg",,,2020-01-01,厦门超话,34,27,8,"厦门爆料,厦门方特跨年烟花故障",
4455717266411230,InnsyqTQW,2020，新年快乐～ ,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gagd5juk72j20jg0t2wgd.jpg,,,2020-01-01,厦门超话,53,2,15,,
4455625154852216,Inl3Zkmhy,今晚各大卫视跨年晚会，你蹲哪个卫视？#最真实的跨年状态# 厦门城新鲜事的微博投票 ,,,,2019-12-31,,284,6,3,最真实的跨年状态,
4455622240038777,InkZi0a5r,#厦门打卡季#【收藏！厦门山海健康步道攻略】元旦去哪儿？厦门山海健康步道2020年元旦即将正式开放，请收下《厦门山海健康步道攻略》👉 👉 👉 厦门山海健康步道攻略，你想知道了这儿都有（作者/@遍地锦 ） ,"https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaftxzhzcoj20u0190n90.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gafty1ih5yj21900u0tjc.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gag25praqvj20u0190nc6.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gafty43j5xj20u0190k4o.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gag25t431zj20u0190agy.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gag25kijivj20u01907d3.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gag2588e97j20u019046l.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gag25g3j6uj21900u07fl.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gag25rzkc2j20u01t1q87.jpg",,,2019-12-31,厦门超话,52,14,21,厦门打卡季,遍地锦
4455549095462673,Inj5jmV5D,#厦门爆料#【神州优车暴力裁员续 未协商解除劳动关系仅给半个月工资赔偿】据网友@用户7359196046 称：厦门神州优车违法裁员，由于公司调整原因想大量裁员，但是又不想多赔钱就以试用期不符合录用条件为由单方面辞退员工，刚开始打着协商的名号找员工谈，但是实际上是给你半个月工资，签不签，不签离职证明给你搞得很难看。协商无果，公司下单方面解除劳动关系，此过程中主管也多次表态是因为公司调整原因。而且公司不出具不符合录用条件证明的情况下，员工坚持来上班，被公司安排保安强行赶走。目前已经有大量员工被裁，1月份还有一批名单。,"https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaftszs0b0j20d90qkt98.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaftt0cxtcj20nw0fngmf.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaftsn0fm4j20u0140q68.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaftso12tmj20u01qc0xx.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaftsot0nyj20u01qctdr.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaftsq07p4j20u01qcjw5.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaftsr04i1j20u01qcq8t.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaftsss2s4j20u01qc7d4.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaftsv0h2rj20u01qck1z.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaftsx0no0j20u01qcn8b.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaftsz4mnej20u01qcqcf.jpg",,,2019-12-31,厦门超话,35,10,19,厦门爆料,用户7359196046
4455346217222408,IndO5uiSs,2020倒计时，明天你会选择在哪里跨年？  #最适合跨年发朋友圈的句子# 厦门城新鲜事的微博投票 ,,,,2019-12-30,厦门超话,368,28,6,最适合跨年发朋友圈的句子,
4455329347289843,IndmSuAq7,#厦门打卡季#【入口即化的同安封肉，许魏洲宋祖儿张雪迎组团品尝！】前段时间，许魏洲、宋祖儿等明星到厦门品尝当地百年老菜——同安封肉。老板说，封肉是为了纪念“闽王”而创制的菜肴，用纱布将肉、虾仁、香菇等包裹住，放入有香料的高压锅里炖煮而成，肥而不腻，入口即化。 淘宝吃货的微博视频,,"http://f.video.weibocdn.com/001P5pG1lx07zIEEO6Gk01041200we2P0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1578031971&ssig=Et6GYXY5cL&KID=unistore,video",,2019-12-30,厦门超话,14,3,1,厦门打卡季,
4455318307808417,Ind54wLkd,学生时代，你最差的一门学科是 ？#偏科是种怎样的体验# 厦门城新鲜事的微博投票 ,,,,2019-12-30,,587,8,1,偏科是种怎样的体验,
4455269477932046,InbOjxhue,#厦门爆料#【元旦起，游客进厦大不再从校门进了！】今天@厦门大学 演武地下停车场，厦大访客中心正式投入使用！2020年1月1日起，厦大各个校门不再接待预约参观人员，预约访客从厦大访客中心进入！访客中心在哪？怎么预约？ ↓↓↓ ,"https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaexph9k9qj21400s7qi2.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaexpj3olaj21400rxn6b.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaexplbef2j21400s714i.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaexpsersaj20qy0g4gof.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaexen5jcgj20rp0ogwi4.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gaexejdnvuj20sg0gfgnd.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaexejycptj20sg0f7myj.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gaexeksmjvj20sg0lcjt0.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaexelmcwrj20sg0lc77b.jpg",,,2019-12-30,厦门超话,12,3,5,厦门爆料,厦门大学
4455186225752799,In9E2o8z5,#厦门地铁通道渗水#【厦门地铁1号线湖滨东路站渗水？地铁方回应：引水槽堵塞】12月29日，厦门地铁湖滨东路站渗水，目击者称：“有人打着伞，水流下来就跟下小雨一样。”该路段位于湖滨东路站6号出口，靠近售票大厅。@厦门地铁 回应：昨日20:10左右，地铁1号线湖滨东路站6号口通道出现局部渗漏水。为保障快速抢修，20:50临时关闭6号口通道。经过专业抢修，21：46恢复6号口的正常进出。经工程人员现场核查，原因是车站与出入口连接处的引水槽因岩体裂隙中的结晶体堵塞，导致漏水。随着雨季的到来，我们将全面定期排查各车站出入口的排水系统，及时清理，避免类似情况的发生，进一步提升市民朋友的出行服务体验。新京报我们视频的秒拍视频,,"http://miaopai.video.weibocdn.com/002nwJLxlx07zKZv6ln2010412009c6Q0E013.mp4?label=mp4_hd&template=270x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578031971&ssig=PZNGZZxS44&KID=unistore,video",,2019-12-30,厦门超话,6,4,3,厦门地铁通道渗水,厦门地铁
4455154038121000,In8O7y4DS,#厦门爆料#【厦门#神州优车在工位宣读裁员#  强调单方面解约】据新浪财经 ：近日，神州优车的HR直接工位宣读辞退员工视频曝光，并强调是单方面解约：“我们现在是通知你，不服可以去仲裁！”HR与被辞退员工交涉期间，该名员工试图向两名HR了解公司客观发生什么变化，表示自己有权知道公司发生了什么事情。对于该员工的问题，神州优车HR表示，“我们不是在跟你协商，是单方面解除劳动关系，你如果有什么意见，直接去找仲裁委，我们已经跟仲裁委汇报过情况了，或者你可以通过别的法律途径跟公司沟通。而视频中神州优车HR在向该名员工提出解除劳动合同时，提到的公司主体是神州买买车（厦门）电子商务有限公司。 @厦门市劳动保障监察支队 新浪财经的微博视频,,"http://f.video.weibocdn.com/002VzoUolx07zKZ1Igt201041200mWGU0E010.mp4?label=mp4_hd&template=360x608.24.0&trans_finger=6038099a530779e853bb78b617dbd3ab&Expires=1578031971&ssig=ZbgsNWnBWs&KID=unistore,video",,2019-12-30,厦门超话,84,29,5,"厦门爆料,神州优车在工位宣读裁员",厦门市劳动保障监察支队
4454973464948593,In46SkLm1,#厦门打卡季#  【厦门2020跨年活动合辑】2020年马上就要到了！2020跨年夜怎么过？这有最全的2020跨年活动合辑！快快约起一起跨年！ 👇 👇 👇 【厦门2020跨年活动合辑】厦门跨年去哪儿？这有最全2020跨年活动合辑 ,,,,2019-12-29,厦门超话,426,225,112,厦门打卡季,
4454814852884196,ImZZ3c6ji,#厦门旅行# 厦门山海健康步道狐尾山段。 厦门·狐尾山公园 ,"https://wx2.sinaimg.cn/large/9fb9b1cdgy1gadhhk6ffhj22c0340hdx.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gadhhbt40yj22c0340nph.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gadhh7jbiqj225t2vrkjm.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gadhhn19hhj22c0340qv7.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gadhhxcomoj22c0340b2d.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gadhhzu0nqj22c0340u0y.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gadhh5be2oj22c0340x6s.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gadhhqaa3fj22c0340x6r.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gadhht3vz8j22c0340u0z.jpg",,厦门·狐尾山公园,2019-12-29,厦门超话,425,180,167,厦门旅行,
4454812491727819,ImZVf7fu3,#厦门爆料#【43.93万！厦门地铁客运量连续破历史记录！】厦门地铁全网客运量继周五38.56万创新高后12月28日（周六）全网客运量43.93万（进站36.15万+换乘7.78万），其中1号线25.06万（进站21.05万+换入4.01万）、2号线18.87万（进站15.09万+换入3.77万），全网客运量及1、2号线各单线客运量均创历史新高！其中1号线借“并网运营”之东风，终于扬眉吐气，以25.06万一举打破了“开通即最高”（2018.1.1日24.22万）的“金身不败”纪录，创下单线历史新高；2号线18.87万则为开通数日以来的步步新高。（来源@地铁客流及运输研究阿牛 ）,"https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaddg591zij20u017gjvi.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gadh8ibwm5j20go0ciq49.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gadh90n291j20go099t9n.jpg",,,2019-12-29,厦门超话,10,6,3,厦门爆料,地铁客流及运输研究阿牛
4454473264901837,ImR66kzbT,你觉得大学最难学的专业是哪个？欢迎各专业网友现身说法#大学里最难学的专业# 厦门城新鲜事的微博投票 ,,,,2019-12-28,,371,6,0,大学里最难学的专业,
4454468961199735,ImQZa526z,#2023年亚洲杯举办城市#【厦门成为2023年亚洲杯承办城市之一！】第18届亚足联亚洲杯将于2023年6月至7月在中国举办！经亚足联与中国足球协会联合考察评估，北京、天津、上海、重庆、成都、西安、大连、青岛、厦门、苏州等10座城市成为2023年亚洲杯承办城市。图1-7为即将动工的厦门翔安新体育中心，2023年亚洲杯比赛场地！,"https://wx3.sinaimg.cn/large/9fb9b1cdgy1gacdr8v2ozj20k00beq45.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gacdr9d9iaj20k009bq3v.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gacdr9wglej20k00c3402.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gacdr8gv8cj20k00anmy7.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gacdrbkphkj20gh08cgmj.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gacdraer8nj20k009ajs5.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gacdr7zhebj20k0099aaf.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gacdkeun84j20j60ibadn.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gacdkoactsj20qy18ggrr.jpg",,,2019-12-28,,43,18,6,2023年亚洲杯举办城市,
4454433926169404,ImQ4EpSWw,#胖五到底有多牛#【908天的卧薪尝胆！胖五归来！】两年前，胖五遥二火箭发射失利，指挥大厅内，工作人员的脸上写满憔悴、失落与不甘……今年，胖五归来，在任务成功的那一瞬间，指挥大厅里一片沸腾，还有工作人员笑着笑着就哭了！908天的卧薪尝胆！为你们骄傲！致敬航天人！ 玉渊谭天的微博视频 ,,"http://f.video.weibocdn.com/002lfIHQlx07zH4sAkWs01041200Ts6M0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1578031993&ssig=q9kcJt0amb&KID=unistore,video",,2019-12-28,正能量 · 视频社区,63,2,30,胖五到底有多牛,
4454098155668049,ImHl5nMw9,#厦门美食#【厦门地铁2号线沿线美食大盘点，吃遍厦门30家好店】大家心心念念的“厦门地铁2号线”终于在今天开通运营啦！作为一个吃货，看到2号线开通的消息，脑海里第一个闪过的念头就是：吃！！！厦门地铁2号线沿线有什么好吃的？一起来看看！（作者/@随手拍分享厦门美食 ） ,"https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaajxb7lq0j20r7cn07wl.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaalc1gagsj20u04pokjl.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaalc44pjwj20u08i0b2b.jpg,https://wx4.sinaimg.cn/large/9fb9b1cdgy1gaalc8lrz1j20oncmv7wl.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gab77bj1t4j20rn0rn10f.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gaalc9mwo3j20u01nwwub.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gaalccj9cgj20u08eux6q.jpg,https://wx1.sinaimg.cn/large/9fb9b1cdgy1gaalchc4blj20prcmwe85.jpg,https://wx3.sinaimg.cn/large/9fb9b1cdgy1gaalcmf7ruj20qlcn0qv8.jpg",,,2019-12-27,厦门超话,60,21,52,厦门美食,随手拍分享厦门美食
4453886939075006,ImBQpC4P4,#厦门爆料# 【厦门火车站machi奶茶店是假的？】网友@我是你们的好邻居丶爆料：厦门火车站machi machi奶茶店涉嫌抄袭@麦吉machimachi奶茶微博 名字LOGO以及产品，假店，没有官方认证，蹭周杰伦热度实属恶心，厦门没有周杰伦手上的machi奶茶 ！  ,"https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaaitefjsmj20u01hc45a.jpg,https://wx2.sinaimg.cn/large/9fb9b1cdgy1gaaiswwu8bj20u068kam5.jpg",,,2019-12-26,厦门超话,12,6,1,厦门爆料,"我是你们的好邻居丶爆料,麦吉machimachi奶茶微博"
4453533300640412,ImsE22GBe,最近很多网友私信问的问题：今年厦门哪里有跨年活动？蹲评论 ,https://wx3.sinaimg.cn/large/9fb9b1cdgy1ga9ec6sbjtj20c80dzaa9.jpg,,,2019-12-25,,98,102,9,,
4453120047932031,ImhTuxhtZ,#圣诞最正确的打开方式#你的圣诞打开方式是？ 厦门城新鲜事的微博投票 ,,,,2019-12-24,,273,4,1,圣诞最正确的打开方式,
4453082110893444,ImgUj3Kqo,#圣诞老人徐锦江#听说你们都在等一个红帽子白胡子的圣诞老人？？？鳌拜大人送来节日祝福！转发这个圣诞老人，Wish U All Buy！！！🎅  娱乐有点闲的微博视频  ,,"http://f.video.weibocdn.com/000HKMNolx07zBW37N7y01041201m85v0E010.mp4?label=mp4_720p&template=864x486.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1578031992&ssig=taVwlR0wT8&KID=unistore,video",,2019-12-24,,22,1,4,圣诞老人徐锦江,
4453005187102976,ImeUetNO8,#厦门爆料# 2019十大流行语来了！用胡建方言怎么说？996柠檬精我太难/南了道路千万条安全第一条我不要你觉得我要我觉得……这些网络用语用胡建方言怎么说？ 厦门日报的微博视频 （@厦门日报 ） ,,"http://f.video.weibocdn.com/0014xYOylx07zAteVGOQ01041200BW9G0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578031993&ssig=uNot57R2Dl&KID=unistore,video",,2019-12-24,厦门超话,8,0,5,厦门爆料,厦门日报
