id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4258813970522393,GoG1f2bTH,🌈汉堡王暖心支持LGBT群体！！推出了一款“骄傲华汉堡”，亮点在1分06秒 、1分28秒出现 同志影像收集者的秒拍视频 ,,"http://f.us.sinaimg.cn/003OFo95lx07lOVyWkBq01040200BUjk0k010.mp4?label=mp4_720p&template=1280x720.28&Expires=1581339319&ssig=z3C6vNobfD&KID=unistore,video",,2018-07-06,我是同性恋超话,6621,716,5350,,
4470471045370020,ItzgYmwZe,《只因单身》一个国家媒体首次播出的青年同性恋真人真事的采访节目。微博TiTo先生的秒拍视频 ,,"http://gslb.miaopai.com/stream/CrYGZOvFkYckd5eW1IXOJA__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_hd&mpflag=0&Expires=1581339296&ssig=kYoYVUhIRU&KID=unistore,video",,2020-02-10,,36,5,8,,
4470459321929764,ItyY4861e,【为什么很多不是同性恋的人要为同性恋理直气壮地发声呢？】  ,"https://wx3.sinaimg.cn/large/006qWaFQgy1gbre9hpcvzj30c80bnaaf.jpg,https://wx1.sinaimg.cn/large/006qWaFQgy1gbre9ixj8aj30c80cf0t9.jpg,https://wx3.sinaimg.cn/large/006qWaFQgy1gbre9jvx8wj30c80d874v.jpg,https://wx4.sinaimg.cn/large/006qWaFQgy1gbre9nbzblj30c82an0zi.jpg,https://wx1.sinaimg.cn/large/006qWaFQgy1gbre9pxogjj30c81f7tcg.jpg,https://wx4.sinaimg.cn/large/006qWaFQgy1gbre9qtmp4j30k00zkgoe.jpg,https://wx2.sinaimg.cn/large/006qWaFQgy1gbre9rwtpoj30k00zkgo9.jpg,https://wx4.sinaimg.cn/large/006qWaFQgy1gbre9t4vdij30k00zk0v3.jpg,https://wx3.sinaimg.cn/large/006qWaFQgy1gbre9tzympj30j607q0ss.jpg",,,2020-02-10,,51,3,7,,
4470443274419599,ItyybixJR,🌈LGBT街访：第一次买可乐是什么时候？ 同志影像收集者的微博视频  ,,"http://f.video.weibocdn.com/000E0cePlx07yEIlFqxq01041200S37u0E010.mp4?label=mp4_hd&template=640x360.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1581339319&ssig=wMwvVWHcVd&KID=unistore,video",,2020-02-10,,47,3,4,,
4470403924166765,ItxwIhtXT,由青年导演冉吟啸执导lgbt题材影片《愿江海一直向上流》定档7月13日。今天特此给大家呈上预告片。愿冬天不在寒冷，每个同志都能找到自己的家。我们一起走进“两个爸爸”抚养一个孩子长大的亲情故事。同时也愿疫情能与江海一起，尽快流走。中国加油！武汉加油！7月13日，有爱就有家。来源：@同性平权导演冉吟啸 基家社交的微博视频,,"http://f.video.weibocdn.com/004g28Wlgx07ANwx2NNZ01041200iOCR0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1581339320&ssig=Fclm7bmiC9&KID=unistore,video",,2020-02-10,,40,2,3,,同性平权导演冉吟啸
4470388199224663,Itx7lCHKT,【转推1.4W】韩国一对女恋人拍婚纱照，俩人颜值都很高🌈🌈🌈  ,"https://wx3.sinaimg.cn/large/006qWaFQgy1gbr63o0uo8j30qn152tim.jpg,https://wx1.sinaimg.cn/large/006qWaFQgy1gbr63okyytj30j00r9dop.jpg,https://wx3.sinaimg.cn/large/006qWaFQgy1gbr63pq0tij30hs0pftbc.jpg,https://wx4.sinaimg.cn/large/006qWaFQgy1gbr63qvjabj315o0c1q87.jpg,https://wx3.sinaimg.cn/large/006qWaFQgy1gbr63rd4cjj30j00rajwq.jpg,https://wx2.sinaimg.cn/large/006qWaFQgy1gbr63s084aj30sf0hv0yl.jpg",,,2020-02-10,,93,5,5,,
4470269345626993,Itu1EnBPX,自由 ,https://wx4.sinaimg.cn/large/006qWaFQgy1gbqsgbrsgdj30qo0xzdkq.jpg,,,2020-02-10,,69,6,2,,
4470238995373582,ItteHmxUG,【深夜话题】大家都有过哪些性幻想？ ,,,,2020-02-10,,78,18,0,,
4470217533325178,ItsG5dX1U,LGBT家庭分享🏳️🌈】她们在一起二十年，生活在日本东京。一起抚养一个五岁的儿子 ”我们身边有不同形式的家庭，希望各种形式的家庭都能感到安心，拥有自己的幸福！  在一起20年的伴侣  ,,https://external.music.163.com/api/link/video/getUrl?videoId=B8961CB1A3107E25EFD178C1DFBE4548&resolution=3&signature=7e4d0def266138153003cf23a538c64e,,2020-02-10,,38,0,3,,
4470194665668431,Its5cnMCj,专访何祥&王天明在一起33年的一对夫夫他今年75岁，他今年57岁听听他们有什么心愿？ 同志影像收集者的微博视频 ,,"http://f.us.sinaimg.cn/003xD8dQlx07v5zojcha01041200zekv0E010.mp4?label=mp4_hd&template=640x360.28.0&Expires=1581339319&ssig=SjhmMGkr9H&KID=unistore,video",,2020-02-09,,74,4,11,,
