id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4462751202067553,IqkrC8FRD,這里是#你说我听着呢#，這里是我希望可以成為树洞的一個地方，社會影音小說這个系列做到現在，我更希望当你们生活里遇到困难遇到踟躕遇到不能堅持的時候，可以花几分钟時間在這里找到答案，而我一直會在。全集指路👇🏻#你说 我听着呢…[音乐]#每个人都在说，但谁来听你说：网页链接#你说我听着呢#MV网页链接第一章：是什么让我坚持了这么久？网页链接惠若琪：我为什么没放弃网页链接你会拿一样什么东西，交换你的热爱？网页链接心声上线：#后劲-吴克群[音乐]##后劲#MV：网页链接第二章：作为女性，什么时候觉得自己真的好难：网页链接杨天真：我自私，但是我自私的很健康网页链接女性职场心酸图鉴，哪句戳中了你？网页链接贾静雯：你是几岁学会爱的？网页链接心声上线：#我和被爱保持距离 I'm Fine[音乐]#MV：网页链接第三章：追星不是单向恋爱网页链接我不要一个人在楼道里唱歌网页链接楼道恋爱日志网页链接心声上线：#我不要一个人在楼道里唱歌（单人版）[音乐]##我不要一个人在楼道里唱歌(五人版)[音乐]#MV：网页链接第四章：如果可以，你最想回到过去哪一天？网页链接时间等过谁（唐家三少篇）网页链接时间很短，在我们学会再见之后就很短网页链接心声上线#时间等过谁[音乐]#MV：网页链接未完待續……每週三 聽你的故事 寫你的歌,"https://wx3.sinaimg.cn/large/4837fcd0ly1gb2szx5f72j22p81ip7wi.jpg,https://wx1.sinaimg.cn/large/4837fcd0ly1gb2szssrecj21hc0u0k2l.jpg,https://wx4.sinaimg.cn/large/4837fcd0ly1gb2szygrrnj20zk0k044j.jpg,https://wx2.sinaimg.cn/large/4837fcd0ly1gb2szz7eppj20zk0k0q8s.jpg,https://wx2.sinaimg.cn/large/4837fcd0ly1gb2t009pwfj21hc0u0k6y.jpg,https://wx1.sinaimg.cn/large/4837fcd0ly1gb2t01tvcoj20zk0k01fm.jpg",,,2020-01-20,iPhone客户端,9760,4122,3115,"你说我听着呢,你说我听着呢,后劲",
4468700109287130,IsPcCCY0q,#抗疫行动##手写加油接力#不添亂，不傳播恐慌，就是我們能做的最大努力，不亂走，不聚餐，就是對疫情逆行者們的最大幫助❤️@吴克群工作室 ,https://wx3.sinaimg.cn/large/4837fcd0ly1gbls8ah6ljj22c02c0b2a.jpg,,,2020-02-05,iPhone客户端,8328,3156,3055,"抗疫行动,手写加油接力",吴克群工作室
4465070774278475,IriMRhX1F,#抗击新型肺炎我们在行动#不串門 不聚會 不扎堆 不造謠 不傳謠 不製造慌張戴好口罩 勤洗手 一起携手度過疫情🙏🙏🙏 绿洲 ,https://wx2.sinaimg.cn/large/4837fcd0ly3gba7enfg4uj20u00u0di0.jpg,,,2020-01-26,绿洲APP,8769,3149,3110,抗击新型肺炎我们在行动,
4464347533568297,IqZYleYhb,#鼠年大吉# 除了新年快樂，更重要的是保護好自己，保护好家人春節期間尽量少去或者不要去人群密集的地方，實在不得已去一定有戴好口罩，條件允許的情況下，也要戴好眼鏡，勤洗手。春運回家路途中一定要注意保暖，尽可能避免多次轉車，舟車勞頓會導致身體免疫力下降，可以喝VC泡騰片來提高免疫力。最後，時間不等人，在這個特殊的春節里，放下手機，多陪陪身邊愛你的的人，多跟他們說說話，一起等待明年的春暖花開❤️#时间等过谁##你说我听着呢# 吴克群的微博视频,,"http://f.video.weibocdn.com/004jD5pxlx07ApyuuMVi01041200eqYx0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1581498447&ssig=2E%2F0DtCFhR&KID=unistore,video",,2020-01-24,明星日常 · 视频社区,9578,3118,3257,"鼠年大吉,时间等过谁,你说我听着呢",
4461849183759414,IpWYKfLZI,今天是小年，如果可以的话，我們少催一點單，不要點負評，多給一些理解和包容，也許大家的年都會更好過一點#让彼此过个好年##鼠年大吉#  吴克群的微博视频 ,,"http://f.video.weibocdn.com/002AfyRtgx07AeyHTXsI01041201gF4y0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1581498447&ssig=pDpcLXmBlZ&KID=unistore,video",,2020-01-17,明星日常 · 视频社区,10648,4241,3147,"让彼此过个好年,鼠年大吉",
4461793377943851,IpVwJxkyD,"臘月二十三  北方小年夜吉林衛視 1月17日19:30
2020年吉林衛視春晚 我們一起🧨回家過年🧨#回家过年——2020吉林卫视春晚# ",https://wx2.sinaimg.cn/large/4837fcd0ly1gazqnhi4bfj20u01hc7wi.jpg,,,2020-01-17,iPhone客户端,7537,4178,3066,回家过年——2020吉林卫视春晚,
4461064840625256,IpCzG2CEM,時間等過誰 我踏著時間來了 微博直播 ,,"http://alcdn.hls.xiaoka.tv/2020115/284/4bb/ej882Xuhe4UWq-ty/index.m3u8?Expires=1581498447&ssig=QqB%2F3XPXZr&KID=unistore,video",,2020-01-15,iPhone XS Max,6433,3322,2557,,
4460970292606520,IpA7baW4E,我們的人生中都會有一個不得不告別的時刻但是我希望你們不要有跟我一樣的遺憾#时间等过谁##你说我听着呢# 吴克群工作室的酷燃视频 ,,"http://fus.cdn.krcom.cn/004bvNQilx07A9pG99W801041200Uxsd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=4531de6fb1eadca369dd811c8f6c30f8&Expires=1581498447&ssig=w4TGZDkChC&KID=unistore,video",,2020-01-15,MV · 视频社区,11063,5120,6273,"时间等过谁,你说我听着呢",
4460378534220388,IpkIJhHUM,前陣子我有個朋友聽完#时间等过谁#就辭職回家陪爸媽過年了🐶……在此，我也想送你回家過年我會在轉發裏抽五位朋友，送你2020元，過好2020年。唯一的要求是，圈出至少一位好朋友，送他一起回家過年。如果你不理解我的朋友為什麽馬上辭職了，看完下面的視頻，也許會找到答案👇吴克群工作室的酷燃视频 抽奖详情,,"http://fus.cdn.krcom.cn/001XizT4lx07zYrOvEBy01041201Ihyo0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=89e80cc968cf62d88bc0497f09b8bd65&Expires=1581498447&ssig=exZUADo5Km&KID=unistore,video",,2020-01-13,明星资讯 · 视频社区,10180,6421,9242,时间等过谁,
4458433069283206,Iow6SCWZ8,時間很短，我們學會再見之後就很短……生命裏的有些遺憾，並不是瘡疤，而是愛你的人留下的最後一個禮物這份禮物是：讓你學會不要再錯過。#时间等过谁##你说我听着呢# 吴克群工作室的酷燃视频 ,,"http://fus.cdn.krcom.cn/002g055Jlx07zYrPOWEw01041203LCs00E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=4531de6fb1eadca369dd811c8f6c30f8&Expires=1581498447&ssig=ABxHpGr6Lk&KID=unistore,video",,2020-01-08,明星资讯 · 视频社区,7811,4204,3246,"时间等过谁,你说我听着呢",
4456662868057937,InM3IxOeJ,時間很長 在你發現之前都很長時間很短 在你開始後悔之後就很短這是我對時間的感悟 你們對#时间等过谁# 哪句歌詞最有感呢#亚洲新歌榜##你说我听着呢# 时间等过谁 ,,,,2020-01-03,iPhone客户端,7550,4142,3157,"时间等过谁,亚洲新歌榜,你说我听着呢",
