id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4345407079834163,Hj3fdFgjx,我发表了头条文章:《科技创新的“月球背面”》 科技创新的“月球背面” ,,,,2019-03-02,iPhone客户端,4,1,1,,
4320900893933339,H8LJ7gveX,我发表了头条文章:《在大萧条中，格雷厄姆看清真相才考虑价值投资》 在大萧条中，格雷厄姆看清真相才考虑价值投资 ,,,,2018-12-24,iPhone客户端,6,5,4,,
4256504569767991,GnHWoEZ6f,告辞第一财经CEO。感谢股东、领导、同事们的厚爱和支持，也感谢合作伙伴的信任。一财最艰难的三年已过，祝福未来。 ,https://wx1.sinaimg.cn/large/6353b46cgy1fsstwpd8rcj20cx0d1mya.jpg,,,2018-06-30,iPhone客户端,34,8,6,,
4239978903551692,GgM26eTXm,出了一本书 ,https://wx3.sinaimg.cn/large/6353b46cgy1frc3y4ht54j20m80m8n74.jpg,,,2018-05-15,iPhone客户端,14,9,6,,
4115383910774454,F6scL3ftc,4集大片，40位中国顶级与非典型创业者心路历程与精彩人生......今晚9:40，第一财经和第一财经移动端首播 。不见不散！ ,,,,2017-06-05,iPhone 7,2,0,2,,
4114262743584212,F5Z2qf2pS,第一财经的A股个人财富榜，因为顺丰与菜鸟之争，今天顺丰王卫的个人持股市值下跌了18亿元，不过对这位A股首富来说，还是九牛一毛。A股个人财富榜 ,,,,2017-06-02,微博 weibo.com,3,1,1,,
4095802232560421,EEcfJaK57,互联网下半场，格局正在迅速从BAT向BATH演变，这个H，就是华为。这场竞争将会很惨烈。从BAT到BATH ,,,,2017-04-12,微博 weibo.com,6,4,0,,
4095783349431034,EEbLgDzrs,接受挑战，第一时间挺身而出，在最需要被拯救的人身边，#深V平板撑#动作要像我这么专业哦~@第一财经 抢在现场来做深V，@蔡文胜 @东方卫视袁鸣 @邓飞 @傅盛 @六六 @孙宏斌 @周鸿祎 ,"https://wx2.sinaimg.cn/large/6353b46cgy1fek3bor37ej20zk0qok07.jpg,https://wx3.sinaimg.cn/large/6353b46cgy1fek3bosk7sj20zk0qo455.jpg,https://wx3.sinaimg.cn/large/6353b46cgy1fek3bqi2txj20qo0zk0ye.jpg",,,2017-04-12,iPhone 7,21,10,30,深V平板撑,"第一财经,蔡文胜,东方卫视袁鸣,邓飞,傅盛,六六,孙宏斌,周鸿祎"
4090272831123637,EBSpl4Ijb,独家 | 辉山危机银行半年抽贷30亿 荷兰菲仕兰有意介入 独家 | 辉山危机银行半年抽贷30亿 荷兰菲仕兰有意介入  查看图片,,,,2017-03-28,第一财经_客户端,0,1,0,,
3948174190517195,Dkdej2axR,（好一个励志的故事）：一个男人十年前毅然以60多万元卖掉了自己在徐汇的房子，拿着这笔钱去创业，经过十年努力打拼，公司走上了正轨，赚到400万纯利润，然后他用全部利润再加上部分银行贷款，把自己当初卖掉的那套房子又买回来了，毕竟小孩要上学。在上海，明明可以买房致富，他非要装逼创业。（转） ,,,,2016-03-01,iPhone客户端,15,14,16,,
3946909099431135,DjGjPDzt5,（杀鸡敬）猴年，保重。 ,https://ww3.sinaimg.cn/large/6353b46cgw1f1d5cy3hmoj20qe0gvq52.jpg,,,2016-02-26,iPhone客户端,7,4,4,,
3920616401073353,D8Ekg4ve9,#乌镇现场# 这个人想知道刘强东是谁。 ,https://ww3.sinaimg.cn/large/6353b46cgw1ez19on8qa9j20hs0dc40l.jpg,,,2015-12-16,iPhone客户端,7,2,1,乌镇现场,
3849001650814461,CkyKV3pSt,庆祝儿童节：人人生而平等，曾经都是冠军 ,https://ww2.sinaimg.cn/large/6353b46cjw1esosueu0rvj207x07jjrg.jpg,,,2015-06-01,iPhone客户端,34,17,107,,
3847953003726619,Ck7tyfDsL,我们 ,https://ww2.sinaimg.cn/large/6353b46cjw1eslgeolac2j20hs0drgng.jpg,,,2015-05-29,iPhone客户端,7,5,2,,
3847538744978692,CjWHokTbu,这小孩叫神创板 ,https://ww2.sinaimg.cn/large/6353b46cjw1esk4ty0naqj205g038aa2.jpg,,,2015-05-28,iPhone客户端,2,2,4,,
3847489340011561,CjVpI030t,一铲子搞了支付宝，携程数据暂时瘫痪，提示了互联网公司的风险。 ,https://ww3.sinaimg.cn/large/6353b46cjw1esjz5i8av4j20qe0gvgnq.jpg,,,2015-05-28,iPhone客户端,5,5,4,,
3847178827239568,CjNkSunle,“出租车少，人多，早在上世纪四五十年代的好莱坞电影中，就有纽约俏女郎掀起裙角拨弄丝袜，在下班高峰期拼抢出租车的香艳镜头。” 易到用车CEO @周航: 纽约出租车与黑车是如何共处的。纽约出租车与“黑车”是如何共处的？ _创业福布斯中文网 ,https://ww1.sinaimg.cn/large/6353b46cgw1esizho79l6j20qh104adv.jpg,,,2015-05-27,微博 weibo.com,8,2,8,,周航
3847167255373065,CjN2dmxMl,中国会成为国际创新中心吗？越来越多的外国人来中国创业，这一家公司三位创始人来自中国、马来西亚、德国，员工来自全世界10多个国家，设在苏州，向中国和全球提供专利分析服务，要成为创新情报领域的彭博。智慧芽：做创新情报领域的彭博_创业福布斯中文网 ,,,,2015-05-27,微博 weibo.com,5,2,3,,
3847037332332296,CjJEF9MJG,上一牛市的估值体现在实物资产，如能源、矿产、房地产、土地、工厂、店面等，有关的公司都成了大牛股。而这一轮牛市，估值体现在互联网、数据、连接、技术、知识产权这些无形资产，而且互联网与产业的结合，引发互联网+重新估值。这是此轮牛市泡沫的来源，你说这泡沫好不是不好？摩尔定律与创业板狂飙突进_投资福布斯中文网 ,https://ww4.sinaimg.cn/large/6353b46cgw1esij8o4cyfg20c80kdjw4.gif,,,2015-05-27,微博 weibo.com,1,2,6,,
3846745006304175,CjC3aqs0f,当下研究员如何调研上市公司。 “切中要害的上市公司调研纪要  A:要不要搞事？B:要…  A:高管参不参与？ B:参与…  A:放杠杆吗？ B:希望放大点…  A:搞的事性感吗？ B:都是大家喜欢的…  A:明白了^_^  B:^_^”     （转） ,,,,2015-05-26,iPhone客户端,3,1,3,,
3845007754664689,CiSR9jzuV,海外大鳄在香港接连腰斩了汉能和高银后，正舔去嘴角的血迹，遥望神创板的暴风科技。 ,https://ww4.sinaimg.cn/large/6353b46cjw1esc25gnshhj20hs0vkadn.jpg,,,2015-05-21,iPhone客户端,10,8,12,,
3844351983984917,CiBNsgIER,如果你今天不开心的话，让我告诉你: 39年前的今天，苹果联合创始人 ronald wayne 把自己的10%的股份以八百元卖给乔布斯，今天这部分股权价值 580 亿美元。 ,,,,2015-05-19,iPhone客户端,8,11,20,,
3844004204723034,CisKwjOFY, ,https://ww1.sinaimg.cn/large/6353b46cjw1es8uvmez2kj20jo0frq5q.jpg,,,2015-05-19,iPhone客户端,12,6,15,,
3842446071033382,ChOdp4kPs,万达，万科，美的，联想，隧道股份五强联合，组成“万万没想到”股份有限公司！将交通，旅游，房产，餐饮，购物，互联网，看电影，买家电，买电脑合为一体，最终实现了凹凸凹、匹凸匹、西凸西、闭凸闭、闭凸西、屁屁屁、互联网+、中国智造的有机统一。公司广告词:'万万没想到，啦啦啦啦啦' （转） ,,,,2015-05-14,iPhone客户端,18,11,28,,
3842016192691450,ChD23biau,枯滕，老树，昏鸦． 主力，机构，庄家． 阴险，残暴，狡猾． 创业板下． 证监会在打压 打压，打压，惊走一群傻瓜 庄家继续上拉。（转） ,,,,2015-05-13,iPhone客户端,10,5,16,,
3839207413924409,CgrXLgsUV,这哥俩，觉悟呵 ,https://ww2.sinaimg.cn/large/6353b46cjw1ertjziowp1j20f90a6gmj.jpg,,,2015-05-05,iPhone客户端,4,5,10,,
3838777330100043,CggM50q1B,对于许多企业家来说，因为旧经济产业的衰落，要么移民海外，要么在国内转型或者投资新经济，这一轮牛市表明，中国财富增长的动力在切换，盲目移民海外的企业家，可能错失了一次财富机会。推荐：基石资本董事长张维专栏《财富增长动力转换，盲目移民海外可能从根本上影响你的财富》财富增长动力转换，盲目移民会从根本上影响你的财富_创业福布斯中文网 ,,,,2015-05-04,微博 weibo.com,2,0,3,,
