id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4450455910254688,IlaAv14fS,《小隐民宿》即将上市，有喜欢的吗？ ,"https://wx1.sinaimg.cn/large/4987c7daly1g9zkvi5o8uj22c02c0hdw.jpg,https://wx2.sinaimg.cn/large/4987c7daly1g9zkwkctusj22c02c0e84.jpg,https://wx1.sinaimg.cn/large/4987c7daly1g9zkwo7ygwj22c02c0e85.jpg,https://wx4.sinaimg.cn/large/4987c7daly1g9zkwvfr9wj22c02c0hdv.jpg,https://wx2.sinaimg.cn/large/4987c7daly1g9zkvxzbpmj22c02c0x6r.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g9zkvmb736j22c02c0npf.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g9zkwv2vdsj22c02c0qv8.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g9zkwfzio8j22c02c04qt.jpg,https://wx4.sinaimg.cn/large/4987c7daly1g9zkwpv9gbj22c02c07wk.jpg",,,2019-12-17,iPhone客户端,6,2,5,,
4449413886280832,IkJtOqlVK,发表了博文《且抱古琴到林下，小隐民宿在山中》《且抱古琴》　　内容简介：一本供把玩的图文古琴书。以唐代古琴为素材，以浙派古琴为脉络，以当代琴人为花絮。共四章：《遗音》《弦外》《雷公》《相遇》。分别谈到故且抱古琴到林下，小隐民宿在山中 ,,,,2019-12-14,新浪博客,0,0,0,,
4445407369584212,Ij3fGEdi4,分享图片 ,https://wx4.sinaimg.cn/large/4987c7daly1g9jh3ge7y0j20ss0wwq8l.jpg,,,2019-12-03,iPhone客户端,0,0,0,,
4444839557244007,IiOtRuouP,“离上一张专辑已三年时光，我的生活发生了一些改变，我的少年心气也慢慢地被自己浪费殆尽，唯一没有变的是还能被音乐打动……”我记得是在2011年，在台儿庄古城遇到的阿见，于是有了微博上偶尔的联系。也没想到居然，这么久了。这是阿见的第三张专辑，《张建》，用的是自己的本名。民谣歌者阿见，之前是电台主持，后来辞职，成了独立音乐人。我认识他的时候，他在台儿庄古城，经营一家叫雕刻时光的酒吧，在台上唱着歌。他的声音，质朴，纯净，歌词也温暖，我记得是与一群报人一起，坐在那里听歌，喝酒。阿见的第一张原创专辑，是《旧时光》，第二张专辑是《大人故事书》，这次他把《大人故事书》和新的专辑《张建》一起寄给我了。阿见在文字里说，“总能带着一颗有一点诗意的心活着……我决定就这么生活下去。”这多好。他的致谢里，还提到了陈伟先生，之前的那张专辑也提到了他——我们去台儿庄的时候，陈伟还在枣庄任职，他一手打造了后来的国家5A级旅游景区，台儿庄古城。后来看到新闻，陈伟被查，再后来，就专心做旅游去了，其实，这样也挺好。阿见寄的是唱片，在家里还找不到播放器了，就在网上听他的歌。听他的歌可以在网易云音乐、虾米音乐、QQ音乐和微博音乐里搜索“阿见”。这两张专辑，好好收藏。你们去台儿庄的话，可以去听听他唱歌。@阿见的,"https://wx2.sinaimg.cn/large/4987c7daly1g9hnvscv8nj22c0340e85.jpg,https://wx4.sinaimg.cn/large/4987c7daly1g9hnvsdu3bj22c0340nph.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g9hnvsmqb0j22c03404qu.jpg,https://wx1.sinaimg.cn/large/4987c7daly1g9hnvsiwqoj22c03404qt.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g9hnvtaksyj22c03401l2.jpg",,,2019-12-01,iPhone客户端,7,0,2,,阿见的
4441798711548941,Ihxnh6uWV,王加兵著，《我喜欢你是寂静的：南湖四时生活手记》即将上架 ,"https://wx1.sinaimg.cn/large/4987c7daly1g97yn9joekj218z0u042w.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g97ynaog2hj218z0u00zl.jpg,https://wx1.sinaimg.cn/large/4987c7daly1g97ynb7f9nj218z0u0qa3.jpg,https://wx1.sinaimg.cn/large/4987c7daly1g97ynam15sj218z0u0jwx.jpg,https://wx1.sinaimg.cn/large/4987c7daly1g97ynaydiaj218z0u0wn9.jpg,https://wx1.sinaimg.cn/large/4987c7daly1g97ynaz6sqj218z0u0gsv.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g97ynaxiy4j218z0u0n3m.jpg,https://wx2.sinaimg.cn/large/4987c7daly1g97ynb800ej20u018zqc6.jpg,https://wx1.sinaimg.cn/large/4987c7daly1g97ynavb3zj218z0u00xk.jpg",,,2019-11-23,iPhone客户端,2,3,0,,
4439912197896945,IgKivx8m5,这大概是我今年收到的最奇怪的礼物。一块石头（好像是烧制的），来自吴晓波频道。你们猜猜看这是干啥的？百思不得其解。 ,https://wx1.sinaimg.cn/large/4987c7daly1g91xzfv4zuj208u093dga.jpg,,,2019-11-18,iPhone客户端,1,4,1,,
4438941295676022,Igl2xnOAK,猪肉涨价后，川菜馆的回锅肉，端上来是这样的灯影猪肉了 ,https://wx1.sinaimg.cn/large/4987c7daly1g8yuh6smqbj20u0140kjq.jpg,,,2019-11-15,iPhone客户端,2,2,1,,
4437376732403806,IfGl3a5l4,收到出版社寄赠的两本书。一本是日本作家涩泽龙彦的《幻想博物志》。看这个书名会以为是一个小说笔法的虚构文本，实际上是随笔，写的是各种动物，不管是现实中还是虚拟世界里的，引经据典写来颇有趣味。另一本是《只工作，不上班》。大概这是许多年轻人的梦想状态吧。自媒体人林安，探访了很多不上班的人，展现他们不一样的人生故事。其实上不上班不重要，是不是能够坚持去做自己喜欢的那件事并做到出色，才是获得自由的基础。谢谢寄书的广西师大出版社上海分社 @上海贝贝特,"https://wx1.sinaimg.cn/large/4987c7daly1g8tusevdafj20u0140x6u.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g8tusfz4jbj20u01407wl.jpg,https://wx3.sinaimg.cn/large/4987c7daly1g8tusf5hfej20u0140npg.jpg,https://wx4.sinaimg.cn/large/4987c7daly1g8tusfpu4zj20u0140x6t.jpg,https://wx2.sinaimg.cn/large/4987c7daly1g8tusfmmbsj20u01404qt.jpg,https://wx1.sinaimg.cn/large/4987c7daly1g8tusg0zblj20u0140e84.jpg",,,2019-11-11,iPhone客户端,3,0,1,,上海贝贝特
4437023966653651,Ifxa4rUUX,双11第一箱书到货。 ,https://wx1.sinaimg.cn/large/4987c7daly1g8sq9x2zmjj20o4112k1m.jpg,,,2019-11-10,iPhone客户端,1,2,0,,
4434099852615328,Iej5LaYmI,琉璃光院，阴翳之美 日本·京都 ,"https://wx2.sinaimg.cn/large/4987c7dagy1g8jefuh9nmj21900u07wi.jpg,https://wx4.sinaimg.cn/large/4987c7dagy1g8jefww4boj21900u0e82.jpg,https://wx2.sinaimg.cn/large/4987c7dagy1g8jefuzbqej21900u0b2b.jpg,https://wx1.sinaimg.cn/large/4987c7dagy1g8jefuq3flj21900u0u0y.jpg,https://wx4.sinaimg.cn/large/4987c7dagy1g8jefz2za0j21900u0u12.jpg,https://wx4.sinaimg.cn/large/4987c7dagy1g8jefz9jh1j20u0190qv7.jpg,https://wx1.sinaimg.cn/large/4987c7dagy1g8jefyb084j21900u0qv6.jpg,https://wx2.sinaimg.cn/large/4987c7dagy1g8jeg1d7s3j21900u0kjp.jpg,https://wx3.sinaimg.cn/large/4987c7dagy1g8jefvyl3zj20u0190e83.jpg",,日本·京都,2019-11-02,iPhone客户端,17,4,1,,
