id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4429223852745719,IcgffbwhN,三龙哥，烤了这只鹰嘴龟，就可以到局子里吃龙肉了 圆子和龟的微博视频 ,,"http://f.video.weibocdn.com/001q7iQRlx07xUXIHU5q010412003FlV0E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1578772159&ssig=ytlrjFQzoJ&KID=unistore,video",,2019-10-19,Android,5,2,1,,
4426230306726956,Ib0mWsdZi,苏卡达：被蜘蛛精缠上，我的龟生危险了。 ,"https://wx2.sinaimg.cn/large/ad42af6fgy1g7u2quy0x6j20u011igtq.jpg,https://wx4.sinaimg.cn/large/ad42af6fgy1g7u2qv0n9ij20u011i7ck.jpg",,,2019-10-11,微博 weibo.com,5,7,0,,
4426155031622320,IaYpx6O2s,认识一些南方的龟友，养巨龟（通常是苏卡达或者亚达伯拉）就是想着养大了给孩子当坐骑用。至于后来嘛，净给龟铲屎，已经忘了坐骑这回事了。 ,https://wx1.sinaimg.cn/large/ad42af6fgy1g7u1w4wf37j20dw0be0ue.jpg,,,2019-10-11,微博 weibo.com,2,10,1,,
4279178851330124,GxdNP5A1C,小黄帽好评，想给家里的龟来一顶 ,https://wx3.sinaimg.cn/large/ad42af6fly1fusvd1dvflj20ek09pq3z.jpg,,,2018-08-31,微博 weibo.com,7,5,2,,
4215378014314075,G6s3fi6hR,大吉大利，今晚吃鸡#不是我的龟# 圆子和龟的秒拍视频 ,,"http://f.us.sinaimg.cn/003nJ51Elx07iJK9P8Sc010402000HZ80k010.mp4?label=mp4_hd&template=28&Expires=1578772160&ssig=I21ZDSeK0c&KID=unistore,video",,2018-03-08,Smartisan M1,3,13,5,不是我的龟,
4203464399191294,G1s7JCz4G,这只鹰嘴龟…好大只#不是我的龟# 圆子和龟的秒拍视频 ,,"http://f.us.sinaimg.cn/00482Oomlx07hTj6MxDO010402001TGL0k010.mp4?label=mp4_hd&template=28&Expires=1578772160&ssig=ZXp8MmxlMN&KID=unistore,video",,2018-02-03,Smartisan M1,11,13,3,不是我的龟,
4200196940908143,G057E3Oft,红腿陆龟这么养，不知道是心大还是吹牛 ,https://wx1.sinaimg.cn/large/ad42af6fly1fnt72ax5r4j20u00gxq5y.jpg,,,2018-01-25,Smartisan M1,1,16,0,,
4175351704314336,FvCf0i6m4,社会我腿哥#不是我的龟# ,https://wx2.sinaimg.cn/large/ad42af6fly1fll0fda03rj20ap075wey.jpg,,,2017-11-18,微博 weibo.com,6,0,1,不是我的龟,
4175172014979403,FvxzbkTmX,如何不伤害客人感情的回答客人：我们点的这些菜够不够吃？#不是我的龟# ,https://wx2.sinaimg.cn/large/ad42af6fly1flk07cqt9ij20kg0uxn0s.jpg,,,2017-11-17,微博 weibo.com,4,4,3,不是我的龟,
4174445482178556,FveFm98K0,要亲亲要抱抱要举高高#不是我的龟# ,https://wx2.sinaimg.cn/large/ad42af6fly1flhou2hph5j20fo0kwjtm.jpg,,,2017-11-15,微博 weibo.com,8,5,0,不是我的龟,
4174067995180673,Fv4QvlJJf,真汉子#不是我的龟# ,https://wx2.sinaimg.cn/large/ad42af6fly1flhoqb4xqhj20rs0uw11l.jpg,,,2017-11-14,微博 weibo.com,9,7,3,不是我的龟,
4173017561125651,FuDwg4IPF,暴躁#不是我的龟# 圆子和龟的秒拍视频 ,,"http://f.us.sinaimg.cn/001wjTvdlx07fJivV2UE010401002O1S0k01.mp4?label=mp4_hd&template=28&Expires=1578772160&ssig=erQ1%2BfoYSP&KID=unistore,video",,2017-11-11,Smartisan M1,8,9,1,不是我的龟,
4170386617343173,Ftx4NuOih,七个缅甸星龟蛋，半埋式孵化。#不是我的龟# ,https://wx3.sinaimg.cn/large/ad42af6fgy1fl63ecp0eoj20wc0qou0x.jpg,,,2017-11-04,Smartisan M1,7,17,1,不是我的龟,
4164292607748731,FqYxKwvNx,倒车请注意，倒车请注意……#不是我的龟# 圆子和龟的秒拍视频 ,,"http://f.us.sinaimg.cn/004GhgyJlx07f6TEQ1a8010f010094nR0k01.mp4?label=mp4_hd&template=v2_template_ld_720&Expires=1578772160&ssig=qQfVwE9YBW&KID=unistore,video",,2017-10-18,Smartisan M1,7,6,2,不是我的龟,
4163553713855104,FqFjZgaT6,在水里能特么抓到缅甸陆龟 ,"https://wx1.sinaimg.cn/large/ad42af6fgy1fkk56tl2bzj20eb08htaj.jpg,https://wx2.sinaimg.cn/large/ad42af6fgy1fkk56tllsaj20ep08ddht.jpg,https://wx4.sinaimg.cn/large/ad42af6fgy1fkk56tl9jhj20ek08fta3.jpg",,,2017-10-16,微博 weibo.com,3,6,1,,
4149087769190613,FkAZOCyTH,被平底锅拍过的锯额#不是我的龟# ,"https://wx2.sinaimg.cn/large/ad42af6fgy1fja599ho83j20zk0qoq7r.jpg,https://wx2.sinaimg.cn/large/ad42af6fgy1fja59arr2oj20zk0qo79s.jpg",,,2017-09-06,Smartisan M1,6,9,0,不是我的龟,
4144338575753482,FiBrPo8K6,有人知道这是什么虫吗？在龟的产蛋土里发现的，看起来很多汁的样子 ,"https://wx2.sinaimg.cn/large/ad42af6fgy1fiuzt8vc0pj22qj3ndqv7.jpg,https://wx4.sinaimg.cn/large/ad42af6fgy1fiuztca8lkj22qj3ndu0z.jpg",,,2017-08-24,Smartisan M1,1,11,1,,
4143645785299794,FijqqmeIy,据说90版的《封神榜》里，被打回原形的龟灵圣母是一只黄缘闭壳龟 ,https://wx3.sinaimg.cn/large/ad42af6fly1fisjckqxg5j20b408cjrx.jpg,,,2017-08-22,微博 weibo.com,4,4,1,,
4132971344065823,FdPJAh3HN,它还只是个孩子啊#不是我的龟# 秒拍视频 ,,"http://f.us.sinaimg.cn/004eplDClx07cT2tltG0010f01002YL10k01.mp4?label=mp4_hd&template=template_6_grey&Expires=1578772161&ssig=hP%2B%2FIYd1Uz&KID=unistore,video",,2017-07-24,Smartisan M1,22,24,3,不是我的龟,
4130123613907025,FcDEtgoox,锯缘摄龟下蛋#不是我的龟# 秒拍视频 ,,"http://f.us.sinaimg.cn/002lJpuBlx07cGvpxl5u010f0100209u0k01.mp4?label=mp4_hd&template=template_6&Expires=1578772161&ssig=tiXiOi68RC&KID=unistore,video",,2017-07-16,Smartisan M1,6,3,1,不是我的龟,
4127603675635114,FbA63nDWW,补好身子才能保证受精率#不是我的龟# 秒拍视频 ,,"http://f.us.sinaimg.cn/000O1xb1lx07cvpoJwlW010f01000MFH0k01.mp4?label=mp4_hd&template=template_6&Expires=1578772161&ssig=O5n65g0gvP&KID=unistore,video",,2017-07-09,Smartisan M1,9,2,1,不是我的龟,
4126141662598061,FaY3YaTSd,豹龟和亚达的杂交难道不是豹龟和油漆杂交的吗 秒拍视频 ,,"http://f.us.sinaimg.cn/003aOoe4lx07coYKiUBi010f01005cfo0k01.mp4?label=mp4_hd&template=template_6&Expires=1578772161&ssig=3VAuQjUNgW&KID=unistore,video",,2017-07-05,Smartisan M1,5,15,2,,
4125545598481748,FaIyzzAuo,锯缘：我特么才是食蛇龟 ,"https://wx3.sinaimg.cn/large/ad42af6fgy1fh71g6z7jaj20qo0zktgo.jpg,https://wx3.sinaimg.cn/large/ad42af6fgy1fh71gcypf7j20qo0zkgu8.jpg,https://wx3.sinaimg.cn/large/ad42af6fgy1fh71ge9iadj20qo0zkgul.jpg",,,2017-07-03,Smartisan M1,12,11,7,,
4122119702433616,F9hqWad5S,养条狗看家护院不说，还省了龟粮钱#不是我的龟# 秒拍视频 ,,"http://us.sinaimg.cn/003vvh2mjx07c7hdoyg8010f01000rIY0k01.mp4?label=mp4_hd&template=template_1&Expires=1578772183&ssig=t0Rfp85YIq&KID=unistore,video",,2017-06-24,Smartisan M1,17,59,12,不是我的龟,
4118870283021443,F7UTWcG0X,现在都这样给龟洗澡了 ,https://wx3.sinaimg.cn/large/ad42af6fgy1fglphct7f6j20h908ewfs.jpg,,,2017-06-15,微博 weibo.com,1,2,3,,
4111756407979301,F4VPWxtMp,是叫你巨基呢，还是根硕 ,https://wx4.sinaimg.cn/large/ad42af6fgy1ffywcl8i3pj20k00qo41t.jpg,,,2017-05-26,微博 weibo.com,4,2,1,,
4110598486446862,F4rIkr37E,这是哪个地方的口音 秒拍视频 ,,"http://us.sinaimg.cn/001XVgpJjx07bizgpo9V010f11001q0Q0k01.mp4?label=mp4_hd&Expires=1578772183&ssig=Kcm3ty7hGk&KID=unistore,video",,2017-05-23,Smartisan M1,54,33,34,,
4109578054312682,F41ati5Vo,就不怕压死小苏吗#不是我的龟# ,https://wx4.sinaimg.cn/large/ad42af6fgy1ffrnr9aog9j20qo0j441y.jpg,,,2017-05-20,微博 weibo.com,6,8,8,不是我的龟,
4109461788252190,F3Y8WyCLQ,母龟成年了，迟迟不下蛋着急，快下蛋了又担心难产#不是我的龟# ,"https://wx3.sinaimg.cn/large/ad42af6fgy1ffrnmvr1kpj20k00qo0uy.jpg,https://wx1.sinaimg.cn/large/ad42af6fgy1ffrnmwxmv3j20qo0ifjts.jpg",,,2017-05-20,微博 weibo.com,6,7,1,不是我的龟,
4107048385755269,F2Xmmo9cV,温度上升，龟也燥起来了#不是我的龟# ,https://wx2.sinaimg.cn/large/ad42af6fgy1ffjl9a5a0lj20qo0jymyt.jpg,,,2017-05-13,微博 weibo.com,12,7,6,不是我的龟,
