id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3854286264056092,CmMeuh1aQ,【所谓的弱者定理】这些就是所谓的弱者定理，道德绑架...弱不是用来要挟他人的，而要自己要变得强大。#帮你是情分，不帮你是本分# ,"https://ww2.sinaimg.cn/large/67e8c7fdjw1et5nrhf591j20k015pmzw.jpg,https://ww1.sinaimg.cn/large/67e8c7fdjw1et5nrht7g8j20jk18gtca.jpg,https://ww3.sinaimg.cn/large/67e8c7fdjw1et5nrhb44xj20k00u0ac5.jpg,https://ww1.sinaimg.cn/large/67e8c7fdjw1et5nri9flqj20k011utbb.jpg,https://ww3.sinaimg.cn/large/67e8c7fdjw1et5nrirht9j20k015mado.jpg,https://ww2.sinaimg.cn/large/67e8c7fdjw1et5nrpwd22j20k017z77e.jpg",,,2015-06-16,思聪淘汰的iPhone 5s,43356,20776,45182,帮你是情分，不帮你是本分,
4466566047186763,IrVGAu9Bx,我是属蛇的，吃东西喜欢直接吞，就比如哥哥的下面呢。 ,,,,2020-01-30,有性生活的iPhone客户端,1863,564,105,,
4466201923144574,IrMdidc2W,#全国人民花式抗疫大赏# 这个铁钉足球如何？还有家庭冰壶劳动人民，尤其是宅在家中的劳动人民智慧果然不可小觑！ 壮士来一发嘛的微博视频 ,,"http://f.video.weibocdn.com/0016bUeAlx07AxIwIzCw0104120033Tk0E010.mp4?label=mp4_hd&template=368x640.24.0&trans_finger=6038099a530779e853bb78b617dbd3ab&Expires=1580473881&ssig=JEshEbVRDz&KID=unistore,video",,2020-01-29,有性生活的iPhone客户端,1873,1192,344,全国人民花式抗疫大赏,
4464787800606232,Irbqs2xHW,我…我晚上抹了痔疮膏，因为忘了把指套带回来，就直接用手指抹的…抹完后我去厕所洗手，用了消毒液还洗了好几遍，洗完我拿纸巾擦干净，然后又洗了一遍后，再洗脸刷牙…我妈正好经过问我干嘛，我脱口而出说刚抹了痔疮膏。然后她看着我拿着毛巾擦脸，表情难以言喻。刚刚我上厕所，看到毛巾被她扔到垃圾桶了。,https://wx2.sinaimg.cn/large/67e8c7fdgy1gb9avps0hpj205i05474f.jpg,,,2020-01-26,有性生活的iPhone客户端,600,184,137,,
4464364435995793,Ir0pBp9Ml,#春晚#  ,"https://wx3.sinaimg.cn/large/67e8c7fdgy1gb7ya40pg3j20u00rmwlu.jpg,https://wx1.sinaimg.cn/large/67e8c7fdgy1gb7ya4qhmoj20ii0fq3ze.jpg",,,2020-01-24,有性生活的iPhone X,4740,488,1217,春晚,
4464026220638539,IqRC62G71,我真服了我妈。我妈又在胡思乱想，让我有空去看医生，说我以前谈恋爱谈了好几次怎么一次意外怀孕都没有，是不是不能生。我？？？？我也不好直接说戴套了，感觉怪不好意思的，就说你别多想啊，那个都有全面的安全保护措施的。我妈“切”了一声：“戴套了就戴套了，说这么文绉绉。”我？？？ ,https://wx4.sinaimg.cn/large/67e8c7fdgy1gb6vfby0nyj20cx0ag751.jpg,,,2020-01-23,有性生活的iPhone客户端,13015,1097,682,,
4463872968656333,IqNCUAjUh,#听歌想不起歌名太难了#我能想到最浪漫的事，就是和你一起卖~卖~电~脑~【顺便再领领QQ音乐听歌识曲红包，#新春新玩法#重点！！>>网页链接 ,"https://wx2.sinaimg.cn/large/67e8c7fdgy1gb6dsdmy0mj20u03i3b2d.jpg,https://wx3.sinaimg.cn/large/67e8c7fdgy1gb6dsdhc93j20u03i3u11.jpg,https://wx1.sinaimg.cn/large/67e8c7fdgy1gb6dse0p9bj20u03i3u10.jpg,https://wx2.sinaimg.cn/large/67e8c7fdgy1gb6dsefo2dj20u03i3hdx.jpg",,,2020-01-23,搜狗高速浏览器,143,131,178,"听歌想不起歌名太难了,新春新玩法",
4463723378884598,IqJJDBhhY,武汉全市交通禁严了🙏 ,https://wx2.sinaimg.cn/large/67e8c7fdgy1gb5wmiodcwj20u00yigxj.jpg,,,2020-01-23,有性生活的iPhone客户端,366,109,20,,
4463178979525081,IqvzzDXUl,#刘昊然风衣藏红包# @刘昊然turbo 身穿绿色风衣，英气十足！打开藏着满满红包，看来弟弟的春节过得很不错~萌哒哒的草莓的秒拍视频 ,,"http://miaopai.video.weibocdn.com/002eclf1lx07AjczyKP601041200ccil0E013.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1580473896&ssig=gWCljx8ZNC&KID=unistore,video",,2020-01-21,有性生活的iPhone客户端,2276,632,402,刘昊然风衣藏红包,刘昊然turbo
4462996920792630,IqqPW3kcm,我为啥说算命啊星座啊之类的娱乐开心消遣就好，不要太当真呢，因为很多时候“算命”“星座”“星盘”之类的都有心理暗示。【我以前做过“算命的”】高中的时候，不知突然流行一股“测字”之风，就是让求测者随机写一个字，然后问一个问题，测者将字拆开算出问题答案。我也加入了这个行列，只不过我是测者，而且很多人都说我算的准。为什么呢，我先举个例子。隔壁班女孩小一来向我测字，什么字我不记得了，她要问的是，她和她刚交的那个男朋友能不能谈下去。我装模做样拆了字，然后跟她说，他们两个谈不了多久，两个星期最多，最早明天就得分。果不其然，第二天她跟我说，她和他说分手了，说我果然神婆测得太准了…那个男孩知道后骂我了我很久……其实他们两个谈不久在我预料之内。因为我认识小一，虽然不算熟，但也知道那个男孩是舔狗追了很久，某天她也不知道怎么的就答应了，而且我们都能看得出来她对他其实还是很冷淡，各种不满意。她来找我“测字”，其实已经反应了她的犹豫不决和后悔。我记得我问了她喜不喜欢他，对他感觉如何？她一直苦着脸“ emmm”，我就知道是不喜欢了，所以他们是一定会分的。她自己都不知道怎么答应的，那就说明她有点冲动型，那她分手也极易会这样。至于我为什么会说最早明天，其实我这个是给了一个心理暗示。她自己其实就想分了，只不过缺个人给她勇气，而我给她定了时间，潜意识里已经有了“明天分手”的暗示了。再加上我把字拆开，根据拆开的横横杠杠撇撇的说得头头是道，这种暗示加她自己的偏信，所以她等不及第二天早上就分了。（她跟那个男孩说找我测过了，我一直很准的…那个男孩把我骂死了…）我这么做对那个男孩确实不太好，不过我只是定了时间，她本身就已经想分手了，不过早晚的事。至于其他的问考试成绩啊之类的，说得模棱两可就行，根据他们平时成绩还有最近状态，话不要说太绝，就能八九不离十。如果你和对方不熟不认识，问他们一些问题，根据他们的回答还有微表情来分析就差不多了。现在一些网上给你算的，还可以根据你们的盆友圈圈微博等再加以分析。（我之前朋友推给我一个说算命很厉害的人给我算测过，我加了直接屏蔽盆友圈，然后很多问题我都三缄其口或者不说重要信息，果然对方就没有一个说对了，我作为一个前辈冷笑ing）当年我免费给同学们测字了很久，基本上都是根据平时的一些细枝末节和他们的神情去解答，内心确定的可以说明白一些，不确定的就别太绝对，话里有话就行，其实对我来说也算是个试验……想想如果我继续了下去，现在可能也是一个江湖骗子壮大仙了,,,,2020-01-21,有性生活的iPhone客户端,1786,344,371,,
4462609988240854,IqgLQyzP0,“偷偷进我朋友圈算什么，有本事就进入我和我的生活。” ,,,,2020-01-20,有性生活的iPhone客户端,1168,190,131,,
4462241111557012,Iq7aT6x36,你是我的充电器吧。这样插着的时候，我会浑身过电，能感受到你源源涌进的爱意。 ,,,,2020-01-19,有性生活的iPhone客户端,873,369,79,,
4461699408995556,IpT5aBK9C,同一个世界同一个妈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ,"https://wx1.sinaimg.cn/large/67e8c7fdly1gazg7ejblzj20u00o7n3f.jpg,https://wx2.sinaimg.cn/large/67e8c7fdly1gazg7g0ptkj20n00eejto.jpg",,,2020-01-17,有性生活的iPhone客户端,1243,138,195,,
4461530315925401,IpOGroRsZ,一对情侣不可能一辈子不吵架，重要的是如何处理吵架的核心。如何解决核心并不是网上说的那样哄哄就好了。感情中没有任何一个人是傻子，每个人都有自己的观念和想法，同样应该针对双方的性格和事情本身做出更好的处理方式。事情应该得到最优化的解决，哄是一方面，理清楚缘由是一方面。如果双方没有确定这次吵架结束并完美解决（比如有一方被哄了傻傻地好了或者是有一方内心里其实不服气），以后会突然清醒想到或者再吵架的时候也容易再想到这次事情，就很容易被翻旧账。长此以往架会越吵越大，感情会越吵越破裂。所以，我的忠告就是，好好地并且认真地吵每一次架（底线以内的），然后解开绳结再往下走过去。,,,,2020-01-17,有性生活的iPhone客户端,1562,276,390,,
4461469528183442,IpN6oykT0,姓许，女孩儿！！！来取名！！ ,https://wx4.sinaimg.cn/large/67e8c7fdgy1gaypt2zag9j20qb1cwq8k.jpg,,,2020-01-16,有性生活的iPhone客户端,657,440,2,,
4461452422878967,IpMEOc4WX,完了，我好像快秃了…………有没有姐妹们评论里分享一下你的秃……（秀发浓密的别发！）（为什么这一块那么大的空白，是不是斑秃了） ,"https://wx1.sinaimg.cn/large/67e8c7fdgy1gaynsuu1qgj21o02801ky.jpg,https://wx4.sinaimg.cn/large/67e8c7fdgy1gaynlssoanj209l093jrz.jpg,https://wx1.sinaimg.cn/large/67e8c7fdgy1gaynsvrzflj21o02801ky.jpg",,,2020-01-16,有性生活的iPhone客户端,1759,511,109,,
4461391618589725,IpL4JA2zX,#肖战白色枫叶毛衣##肖战工作是我的女朋友# 看完肖战春节求生指南视频后，我真的太喜欢穿毛衣的肖战了，特别是这身白色枫叶毛衣，仿佛明天就是春节了~萌哒哒的草莓的秒拍视频 ,,"http://miaopai.video.weibocdn.com/002zgSLblx07AblVqz3201041200h3nt0E013.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1580473910&ssig=ads8oeYNDb&KID=unistore,video",,2020-01-16,有性生活的iPhone客户端,1459,687,442,"肖战白色枫叶毛衣,肖战工作是我的女朋友",
