id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4218650161889053,G7PaU7VqB,～陳偉霆｜熱血街舞團🔥餵餵餵今晚20:00愛奇藝 📺👀#陈伟霆# 大伦biglun的秒拍视频 ,,"http://f.us.sinaimg.cn/001M0J7alx07iY95xHck010402003WF00k010.mp4?label=mp4_hd&template=28&Expires=1581770310&ssig=HMO%2ByHUAUo&KID=unistore,video",,2018-03-17,iPhone X,617,61,66,陈伟霆,
4169616756351249,Ftd35qEfv,～ 可恥😡  如果不是监控拍下来，这辈子都不能相信会有这种事！ ,,,,2017-11-02,新浪新闻客户端,144,85,33,,
4167824194399612,FsspRisxu,～🙏🙏🙏緊急呼籲丟狗的家長趕緊去看看！目前进展：谈判下来给🐶几天时间找领养，条件是：交300，带房产证，领狗，当场打狂犬疫苗，然后开放行单。石化犬管所，学府路淞南之路67号西隔壁或78号。一人可领4只，免费，说给3-4天时间。28-29号是周末，希望愿意给它们一个新生活的人去领它们！我们帮不了所有的狗狗，只能尽力！呼唤法律！呼唤养宠人的良知！不要弃养！不要不牵绳！,https://wx2.sinaimg.cn/large/65b32d83gy1fkxx3eyu8pj20gg0m6dif.jpg,,,2017-10-28,iPhone 7 Plus,458,87,398,,
4163991213251303,FqQHDdDOn,～ 陈伟霆被困电梯😬 有驚無險😅 #wteam##陈伟霆伸手暖男##陈伟霆橙红年代# 大伦biglun的秒拍视频 ,,"http://f.us.sinaimg.cn/004g06xMlx07f5zoeafe010f0100sfLi0k01.mp4?label=mp4_720p&template=v2_template_ld_720&Expires=1581770310&ssig=N37mOB4DZW&KID=unistore,video",,2017-10-18,iPhone 7 Plus,2413,520,1337,"wteam,陈伟霆伸手暖男,陈伟霆橙红年代",
4106257076319027,F2CM3qvRN,~要月亮有月亮 🌕 网页链接 ,https://wx3.sinaimg.cn/large/65b32d83ly1ffhi80wuzdj20hs0hs3zt.jpg,,,2017-05-11,Instagram,984,210,58,,
4104371186699061,F1PIis6Jn,～ 🌞🍊 #antisocialsocialclub #bape  网页链接 ,https://wx3.sinaimg.cn/large/65b32d83ly1ffbhmqb3yaj20u00u0jsw.jpg,,,2017-05-06,Instagram,862,176,54,antisocialsocialclub ,
4102384965803097,F102IolEl,～  完美結束，謝謝每一位😘！#陈伟霆insideme演唱会 ,https://wx2.sinaimg.cn/large/65b32d83gy1ff55icobeaj20u00k0gpw.jpg,,,2017-05-01,iPhone 7 Plus,5155,623,1137,,
4058923402983262,EoIRKcw58,～Wteam 2017 新年快乐🎉🍾️ #陈伟霆# 澳门特别行政区·澳门半岛 ,https://ww4.sinaimg.cn/large/65b32d83gw1fbai0j9gu8j23402c04qq.jpg,,澳门特别行政区·澳门半岛,2017-01-01,iPhone 7 Plus,4369,756,740,陈伟霆,
4057003011200385,EnUUl52h3,～2016年度人物陈伟霆 用作品与实力说话 全面发力屡创纪录】#陈伟霆# 2016年度人物陈伟霆 用作品与实力说话 全面发力屡创纪录 ,,,,2016-12-26,今日头条,2460,397,740,陈伟霆,
4047267231610946,EjPDt6L50,～～ 无论妳在那里，我们永远也会記着妳的关怀和付出的爱 🙏愿妳在另一个地方仍然过着开心快乐的时光！一路走好[蠟燭] 永远也忘不了婷婷妳的好[鮮花] ,,,,2016-11-29,iPhone 6s Plus,4068,1141,1756,,
4046152741433404,EjmDU60Tq,#陈伟霆# ～ 今天仍然收到❤️型的生日蛋糕，W許願一切也是美好的🖖🏻生日大快樂陳偉霆[乾杯]@William威廉陈伟霆 ,https://ww3.sinaimg.cn/large/65b32d83gw1fa5r7jikvpj20qo0zkx5w.jpg,,,2016-11-26,陈伟霆超话,8487,1685,2639,陈伟霆,William威廉陈伟霆
4043935711873622,EiqY37RpI,#陈伟霆# ～ ❤️🖖🏻 #陈伟霆1121生日快乐# ,https://ww4.sinaimg.cn/large/65b32d83gw1f9yonp6awrj20zk0qo7c5.jpg,,,2016-11-20,iPhone 6s Plus,8527,1947,3450,"陈伟霆,陈伟霆1121生日快乐",
4033887733191420,EedzDdoew,@William威廉陈伟霆 已经在#明星势力榜#港澳台榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！明星势力榜第4位  #陈伟霆# ,https://ww2.sinaimg.cn/large/65b32d83jw1f92mnc4qbzj21lc2e0hdt.jpg,,,2016-10-23,iPhone 6s Plus,3263,799,920,陈伟霆,William威廉陈伟霆
