id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4451204643847025,Ilu48g8MN,大张伟 DM48 #大张伟20是件更美好的事#新专辑已上线୧(⁎˃ ◡˂⁎)୨ꔛ♩♪让本想挑战100天不可爱的你，听后第一秒就失败！让本想平躺100天不起床的你，听后一猛子蹦起来！《撒花》来源于您送机时的提醒、合唱300时的输中自嗨、常德曲艺丝弦🎉Moombahton+Nu Disco+Future Bass+各种卡通片采样+民乐齐奏大Drop+驴打滚儿的歌词，多元纯熟手法搅拌酿制而成~撒花撒娇撒贝宁，原地花射2020🎉《一春嗨》来源于“如果花只活一个春天，那它一生就都在春天里”的美好慰藉、如何1分钟总结20年16首名曲的决心、喜洋洋+春节序曲+口吐莲花。没有错！我就是这样滴，融会贯通、古今中外、闹中无静、歌起你就笑起来！我们都要变得更好玩儿，别人不玩儿自己玩儿(ง˃̀ꄃ˂́)۶撒花🎉✺◟😄◞✺🎉实体专辑18:31预售૮(ꈔꈊꈔ)აQQ音乐：20是件更美好的事酷狗音乐:网页链接 酷我音乐:网页链接咪咕音乐:网页链接撒花,https://wx2.sinaimg.cn/large/681bfc02ly1ga1yyi4md5j22bc2bce83.jpg,,,2019-12-19,大张伟超话,33500,51458,34689,大张伟20是件更美好的事,
4456681067120730,InMx4tSqu,大张伟超话 今晚 #嗨唱转起来# 收官撒花🎉🎊🥳撒花-大张伟今儿拍片，幸亏我有希腊鼻梁√麦粒肿不用怕，希腊鼻梁挡住它！and Y直改明晚8。请DM48提供给我拍短视频的撒花脚本，明儿直播现拍一起玩儿啦ε=(ノ≧∇≦)ノ ,"https://wx4.sinaimg.cn/large/681bfc02ly1gajfu1vtyij21zk1h0kjq.jpg,https://wx1.sinaimg.cn/large/681bfc02ly1gajftylwtdj20z61ave33.jpg,https://wx2.sinaimg.cn/large/681bfc02ly1gajfu33xosj21eg1v0hdt.jpg,https://wx2.sinaimg.cn/large/681bfc02ly1gajfu53fjnj21zs3fu4qr.jpg",,,2020-01-03,大张伟超话,13450,6252,3280,嗨唱转起来,
4455670264392788,InmeKiqLq,20年的重逢°(°¯᷄◠¯᷅°)°｡你们以为我们会严肃深情略带感伤的把歌演了对不对？！结果……🥳😂😭撒花Yeah大裤子@彭磊新裤子 感谢你的编舞！哈哈～ ,https://wx2.sinaimg.cn/large/681bfc02gy1gag7ppq3exg2078078e82.gif,,,2019-12-31,iPhone XS Max,19853,5253,3310,,彭磊新裤子
4455607987446793,InkCivffz,大张伟超话 DM48新年嗨乐ᐕ)⁾⁾哆唻咪发手拉起 🎉 撒花-大张伟 2020我要多去做些那种花一辈子拖延以为以后会有时间去做的事☆世间百态，放低期待，满怀热情，只朝我爱♡ᵕ̈* ,"https://wx4.sinaimg.cn/large/681bfc02gy1gag0lu5vi8j21sm1x3ql3.jpg,https://wx3.sinaimg.cn/large/681bfc02gy1gag0ltbbqlj21p526z4qp.jpg",,,2019-12-31,大张伟超话,14049,4468,3655,,
4455253065831770,InbnQot6O,大张伟超话 @彭磊新裤子 您的合照是用大哥大拍的吗？再摇滚也得滤镜P一下呀。瞧我多用心↓ ,https://wx3.sinaimg.cn/large/681bfc02gy1gaevq9h3y6j20po0zdtge.jpg,,,2019-12-30,大张伟超话,16838,4130,2567,,彭磊新裤子
4454576189236514,ImTM6CKQ2,大张伟超话 @吐槽大会官方微博 #吐槽大会# 所有吐槽我的人！！！我，可真急了…… 大张伟的微博视频 ,,"http://f.video.weibocdn.com/003vg8Bnlx07zIy2oFIY01041200z8e90E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1578485400&ssig=CsJFvR3NIL&KID=unistore,video",,2019-12-28,大张伟超话,18637,4612,3247,吐槽大会,吐槽大会官方微博
4453852369249866,ImAWECOjo,大张伟超话 D🎶上评论回复不好弄是吧？咱们这儿喷吧₍₍ (ง ˙ω˙)ว ⁾⁾ ,https://wx1.sinaimg.cn/large/681bfc02gy1gaaezofl4sj213a13aafo.jpg,,,2019-12-26,大张伟超话,16221,4853,2337,,
4453422751681154,ImpLJ73lo,大张伟 是哒DM48撒花大业开始啦🥳D🎶我会每三天撒回花🎉（但也没准儿）and群喷大会会在我最新发的短视频下留言里，时不常的走你～例如我刚撒了一花，#撒花2020，明天晚上录完天天大概8点多开喷☆都来找我玩儿哈～我们先撒一个月的花，劳您多玩儿多发，一起努力，业绩到了春节，一定可以撒花遍天下✺◟😄◞✺奋斗吧！撒花Yeah,https://wx2.sinaimg.cn/large/681bfc02ly1ga91ltb6gjj22tc1kwx3f.jpg,,,2019-12-25,大张伟超话,11135,4457,2468,,
4453084840948594,ImgYI3YLU,大张伟#亚洲新歌榜##大张伟20是件更美好的事# 新专辑全网上线啦🎊哪儿哪儿都能《撒花》啦(୨୧•͈ᴗ•͈)◞︎🎉诚邀DM48和我各地盘🎉手绑手到榜首☆榜不到首不撒手✔是梦也要做一宿～and今晚8Y直圣诞蜜蜜趴♡DC圣诞装扮好了吗？咱们一起merry嗨(⑅ōᴗō)再and一起策划从明天开始的短视频#撒花大业#的奋斗哈！！！🥳撒花-大张伟,,,,2019-12-24,大张伟超话,10892,4442,2611,"亚洲新歌榜,大张伟20是件更美好的事,撒花大业",
4452664572547579,Im62RaGJZ,大张伟超话#大张伟20是件更美好的事# 专辑预售小测验☆我的福气到底有多少位DM48(੭ु ›◡ु‹ )੭ु ̊ 网页链接能让我撒花 吗？！♡ ,https://wx1.sinaimg.cn/large/681bfc02ly1ga6mgee0j1g20m80iqe8b.gif,,,2019-12-23,大张伟超话,11641,4243,6281,大张伟20是件更美好的事,
