id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4463278304559580,Iqy9Mj89C,“大连人”LOGO彰显传承理念张嘉树       今天，大连人职业足球俱乐部发布公告，启用了新的LOGO。这是在1996万达队徽基础上略加修改设计的，画面上新加的“1983”字样十分引人注目。         前几天，1月15日下午，俱乐部总经理高堰曾给我打来电话，求证第一支以“大连”命名的专业足球队是不是成立于1983年。我当时就给了他一个肯定的回复。为了慎重准确，我当即给“足球字典”朱元宝和当年大连足球队主教练高惠辰打电话核实这个历史。        1983，是大连足球发展历史的一个重要节点。        1983年11月，大连市政府首次足球工作会议上提出，大连足球队要在三年内由乙级队晋升为甲级队。1984年，在高惠辰、朱作富和陈德云等教练带领下，大连队组建完成并参加了当年全国乙级联赛，获得冠军。同年又参加了第一届全国足协杯比赛，打入前十名，提前两年完成晋升甲级球队的任务，从此告别了甲级队尽是大连人却没有大连队的尴尬。        1985年，大连队冲入甲级联赛的第二年即夺得联赛第三名，当年冠军辽宁，亚军八一，第四名沈部和大连队加起来四支球队竟有76名大连球员，堪称中国足球“大连年”。         1994年，职业联赛开始，万达入主大连，夺得首届冠军。1996年又以不败战绩夺冠。1995年至1997年，创造了55场不败的战绩。         看到这个新队徽，我感觉特别亲切。这表明，由万达集团运营的大连人职业足球俱乐部充分尊重历史，热爱城市，表达了传承不败精神的鲜明愿望。1996年春天，我在万达足球俱乐部担任副总负责组建正式注册的球迷协会。在王健林董事长安排下，我在球迷协会筹备期间受命主持了万达队徽队旗队歌和吉祥物的征集（四征）活动。1996年4月7日，四征活动颁奖大会在万达大酒店举行，发布的队徽正是征集评选出的这个设计稿。（有关1996四征过程，我会在另一篇文章里面详细介绍。）,"https://wx1.sinaimg.cn/large/488a89dcly1gb4hj9w04vj20m30lg761.jpg,https://wx3.sinaimg.cn/large/488a89dcly1gb4hi7kklfj208m0atq3e.jpg,https://wx2.sinaimg.cn/large/488a89dcly1gb4hi7zuf6j219y0tyn2z.jpg,https://wx1.sinaimg.cn/large/488a89dcly1gb4hi89jqbj20dw09edgu.jpg",,,2020-01-21,HUAWEI P30 Pro,50,12,8,,
4466389694102904,IrR69hdlS,刘建宏领衔主持大连网络春晚《大连展扬》。『这里是大连』网页链接 ,,,,2020-01-30,HUAWEI P30 Pro,2,1,0,,
4438840426776219,IgipQsqNR,冰•雪•梦•爱——为海昌极地冰雪节撰写主题歌张嘉树冬天的节日飘荡极地花香美丽约会你和我心儿绽放拥抱这真冰真雪童年时光此刻就像冰和雪通透明亮非常的地方漫游快乐海洋童话故事我和你某一篇章张开那有梦有爱七色翅膀未来就像梦和爱自由飞翔（注：“真冰、真雪、真极地”“有梦、有爱、有快乐”。这是海昌极地海洋世界的品牌追求。） 大连,https://wx2.sinaimg.cn/large/488a89dcly1g8yivrtc4jj20ku0fmgov.jpg,,大连,2019-11-15,HUAWEI P30 Pro,17,0,2,,
4437053028199080,IfxUWyoXe,飞时代  微时代张嘉树        高考1977，我下乡在庄河赶牛车，让我做10遍梦我也不敢想今天的老百姓可以坐着飞机游天下。        那个时候，爸爸为了我考试的事打一个长途电话来，我走几里山路到大队部去接，而今天手里拿着一部手机就可以网联全世界。        不到40年的时间，我们的生活就发生了如此巨大的变化，谁敢想象40年后能是什么样子？        我们已经走进一个飞的时代，一个微的时代，当时空被超越到神话的程度，我们的生活和对生活的观念都会发生不可逆转的变化。这种变化是一场由高科技带来的浩浩荡荡的革命潮流，无时不有、无处不在，改变着社会、也改变着我们自己。        当年我们玩的绕口令“红凤凰飞、黄凤凰飞”，飞来飞去，变成了“挥”，变成了我们自己在像凤凰一样地“挥”。春节前后，如果从最北边的哈尔滨起飞，用不上半天的时间，就可以从零下二十几度的冰天雪地跨入零上二十几度的碧海蓝天。当把两层棉大衣脱掉换成泳装的时候，我们会脱口说出这样的诗句：“冬天里的夏天！”        这样的快乐源自于一个叫飞机的交通工具和一个叫空港的交通枢纽。        大连的空港和这座城市一样年轻而又雄心勃勃。在它的不惑之年推出了“飞时代”的媒体系列文章，并且举办了通航40周年职工文艺演出、征集“金点子”等系列活动。        飞时代必定带来微时代。飞是微的标志，微是飞的代言，一个可以超越时空的新生活，必定拥有充满阳光的信息化。        早晨，一打开手机，我在微信上读到老朋友姜廷顺发表的一组照片。他说：“我现在登机去北京了。”傍晚他又发来一条消息：“我现在到了韩国。”这个老姜原先是大连交警支队主管技术的领导，据说大连红绿灯电子系统就是他参与主持建立的。1998年，我和他一起参与创办大连交通台。老姜是飞时代和微时代最有代表性的活跃人物，他60多岁了，依然充满活力，在大连机场征集“金点子”活动中，他的智能化机场建议获得了一等奖。        在微和飞的时代里，我们突然发现，世界是如此之大，地球是如此之小，坐飞机是如此轻松，玩手机是如此亲密。        每一个人的朋友圈都在扩大，从QQ到博客，从微博到微信，时代在推着我们向前，你无法停步，更无法回头。你会突然发现原先虚拟的网络，现在变得特别实在，阳光下宽阔的大路，人们熙熙攘攘地往前走，面朝大海春暖花开，透明世界信息公开。        媒体概念开始发生变化，每一个人都是生活信息的发布者、接受者，都是社会生活的参与者、监督者，阳光下的一切都不再掩盖，网络里的一切都回归真实。这就是微时代最鲜明的特征。        如果说一个“飞”字缩短了距离，那么一个“微”字就放大了空间。但是，仅仅有“微”，并不能体现人的生存与生活的本质需求。人是最怕孤独的，人是最需亲近的。相见不如思念，思念就要网联，虽然天涯咫尺，最后还得相见。海外游子漂流几十年，依然渴望叶落归根，寻见亲人，就是这个缘由。所以，仅有网络联系，不是我们的最终目的。我们在哪不重要，重要的是和谁在一起。而只有“飞”才能解决这个问题。        我和大连机场董事长才力曾探讨过飞时代的概念，他说：“高铁、地铁虽然很快，但并不是本质上的飞跃，只有老百姓坐飞机像乘公交车一样，这才是小康建成的重要标志。”我认为他只说了半句话，我体会的小康至少有两个最经典的标志：一个是以飞时代为特征的百姓衣食住行的嬗变，另一个是以微时代为特征的社会思维语言的革命。        站在时代的机场里，我望着屏幕上一排排闪烁的航班号，选择着人生的未来，下一站到哪去呢？        我会用微信告诉你。我会坐飞机去见你。 （原载《东北之窗》2013年6B） 大连,"https://wx1.sinaimg.cn/large/488a89dcly1g8stlnf1pvj20u00tswht.jpg,https://wx2.sinaimg.cn/large/488a89dcly1g8stljhv37j21400u0h05.jpg,https://wx4.sinaimg.cn/large/488a89dcly1g8stlmadw7j20yi0oa42a.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g8stlk8zabj20u00jsn02.jpg,https://wx2.sinaimg.cn/large/488a89dcly1g8stlktj83j20sg0iwn0g.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g8stlo2526j21900u0tdt.jpg,https://wx3.sinaimg.cn/large/488a89dcly1g8stlgtzkpj21hc0u0wkt.jpg,https://wx4.sinaimg.cn/large/488a89dcly1g8stlmvvcnj20xc0pkjvn.jpg,https://wx4.sinaimg.cn/large/488a89dcly1g8stllnhgjj217z0u0q6u.jpg",,大连,2019-11-10,HUAWEI P30 Pro,8,0,0,,
4437051560469103,IfxSA1Y2b,得知张家瑞老师生病，我带着鲜花去他家看他。见到这位85岁老人，精神矍铄，哪像病人！想起我在他80岁生日诗，曾写过一篇文章，找出来再发一遍，表达对老师的敬意和祝福——《张家瑞是我叔叔》张嘉树       张家瑞是大连的新闻人，也是知名的艺术家。今年春上，他以80岁高龄出了一套《张家瑞集》共8本书。得知此事，我既震撼，又感慨。大连日报社原总编辑高连仲为之作序说：“厚积盈尺，八卷成书，此乃家瑞八十寿诞之贺品，也是他回馈社会和读者的厚礼。”       从1982年开始，我所认识和了解的家瑞老师一直是卓尔不凡，热情似火。作为城市的文化使者和艺术桥梁，他为城市的文化发展做出了历史性的特殊贡献，令我十分敬仰。多年来，由于我和他名字中间那个字读音相同，许多人把“张嘉树”和“张家瑞”搞混，还有人以为我与他是哥俩。这实在是大误会。他是大家，我的前辈；我是小嘉，他的学生。如果说有什么渊源，那就是上个世纪80年代我和他在大连日报社共事近十年。1984年11月我参与创办的《棒棰岛周报》就有他的心血，第一个报头就是他设计的。       今年4月22日上午，市委宣传部、报业集团和市文联举行《张家瑞集》首发座谈会，我有幸应邀出席。对家瑞老师的艺术成就诸如版画、速写、藏珍、书票等等，宁明、何明洲、杨道立、素素、李元等许多领导和专家都作了评论。捧读大作，往事如烟。一件小事，浮现眼前。记得大约也是1984年前后，有一次我在报社走廊遇到张家瑞老师，就和他开玩笑，大意是说我和他一个“家瑞”，一个“嘉树”，都姓张，是哥俩。他当时不太高兴，郑重告诉我，我和他不是一辈人，不可没大没小，不能同日而语。后来在几个公众场合，家瑞老师又多次申明此事，遂引起我的重视和反省。那个年代，我是春风得意，年轻气盛，25岁大连最年轻副处，没少辛苦，也没轻得瑟。俗话说：“得瑟大了要掉毛。”后来我走了一些弯路，经历了一些风雨，也悟得了一些道理。我就常常反思家瑞老师提醒，注意辈份，低调做人，时时谦虚谨慎，处处尊老敬贤。         家瑞老师对我依然厚爱有加，毫无成见。2005年，筹备出版《睹球》一书，我和姜末请家瑞老师代求大漫画家华君武为我们题写书名。家瑞老师非常爽快地答应，并且亲自带我进京，到华老家当面求字。就是那次旅途中，我郑重地向家瑞老师道歉，理顺辈份，尊他为叔叔。他哈哈大笑，表扬我说我“懂事了”。            2011年，我到东北之窗杂志社工作后，约家瑞老师为我们杂志写了多篇稿子，他欣然应允，十分认真地动笔写稿、整理图片，花费许多心血，把当年他与国内外艺术家交往的故事写了出来，为我们杂志添彩不少，也让众多读者受益匪浅。在这次出版的《张家瑞集》中就收入了他在《东北之窗》发表的多篇回忆录。在为家瑞老师出书道贺之日，想起当年往事，依然感觉醍醐灌顶。对家瑞老师没大没小地称兄道弟，看似玩笑，实则不敬。我觉得只有在内心里恭敬，才能在言谈中尊重。对人的敬重，也是对自己的肯定。对人的不敬（哪怕是无意的），也是对自己的折损。        那天，在大连报业集团八楼会议室里，看到家瑞老师鹤发童颜，热情洋溢，甚为敬慕，甚是感奋。在他大幅照片背景板前，我挽他胳膊说：“我和叔叔合个影吧!”他大笑：“小老弟，别客气!”（原载《东北之窗》2014年5A） 大连,"https://wx2.sinaimg.cn/large/488a89dcly1g8stfy4ec7j20u010q0zd.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g8stfypgkyj20u00x80zx.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g8stfz30pfj20u00u0wj7.jpg,https://wx2.sinaimg.cn/large/488a89dcly1g8stfzyxv4j20ja0pe774.jpg",,大连,2019-11-10,HUAWEI P30 Pro,3,2,0,,
4437048762975649,IfxO4cu6l,家父30年祭（七律）张嘉树  一曲昂昂唱过江， 取名橘颂意深长。 闲说高炮声声好， 轻叹园丁日日忙。 路走乡间耕苦乐， 分拿榜首引诗章。 可悲八九黄山杖， 难柱伶仃再起床。 （2019.11.4）        【注】 1.父亲为我起名取自屈原《橘颂》。2.父亲在志愿军高炮文工团创作过快板书《三炮打得好》。 3.七七年高考，我获作文满分。 4.1989年10月底，我代表父亲去安徽看望他的胞弟，带回一根黄山拐杖，父亲病重卧床，微笑接受。【图片说明】1.父亲在朝鲜志愿军高炮部队。2.父亲母亲和我。3.1981年夏天，在大连南山家门口。4.央视《为你服务》节目主持人沈力是父亲的老战友。 大连,"https://wx3.sinaimg.cn/large/488a89dcly1g8st1kj1xuj20ty176dm2.jpg,https://wx4.sinaimg.cn/large/488a89dcly1g8st1l5tpij20ty15uad8.jpg,https://wx4.sinaimg.cn/large/488a89dcly1g8st1kwx6rj20u00kttah.jpg,https://wx3.sinaimg.cn/large/488a89dcly1g8st1ledi6j20hz0jsjrq.jpg",,大连,2019-11-10,HUAWEI P30 Pro,2,1,0,,
4437047253649901,IfxLDfjvn,我和张胜九赠礼“福尔摩斯”张嘉树          把我的藏头诗送给“福尔摩斯”，是我从没想过的一件事情。        我在大学读书时，最喜欢看的书就是《福尔摩斯探案》。华生叙述的那些环环紧扣的惊险刺激的情节曾让我如醉如痴。        对“当代福尔摩斯”李昌钰，我并不很了解，只是听说过。        国庆节前，大连大学党委宣传部赵部长找我，说是下个月李昌钰博士要来大连大学演讲，学校想准备一幅书法作品作为礼物赠送给他。希望我能用藏头诗的形式把李昌钰博士夫妇的名字和个性体现出来。        接受了这个任务，首先是做功课。我找了很多关于他的文字，认真地走近他，他的传奇岁月。        李昌钰是美国纽黑文大学首席教授、副校长，美国康州警政厅前厅长，美国现场培训中心主任，鉴证科学研究中心主任。1998年，他出任美国康州警政厅厅长，成为全美第一位出任州级警界最高职位的华人。凭借犀利的洞察能力，敏捷的思维逻辑，成功办案8000余件。曾参与辛普森杀妻案、肯尼迪遇刺案、尼克松“水门事件”、克林顿桃色案、“911事件”等多个世界瞩目的大案。被誉为“当代福尔摩斯”“华人第一神探”。        李昌钰不仅事业辉煌，在爱情方面也有着传奇经历。他结婚57年的妻子宋妙娟和他去欧洲旅游时发现自己罹患乳腺癌，但她没有放弃，配合医生进行治疗，期间李昌钰时刻陪在身边，最后乳癌被治愈。但不久后又罹患了直肠癌，这次她又没有放弃，配合医生切除了直肠。但命运似乎在有意捉弄这位坚强的女子，宋妙娟不久后又罹患肺癌，这次妻子预感到自己可能挺不过去了。她嘱托闺蜜蒋霞萍，如果自己走了，希望闺蜜能继续照顾丈夫，现在闺蜜蒋霞萍成了李昌钰的现任妻子，两人相濡以沫，如影随形，无论李昌钰走到哪里，蒋霞萍都陪在身边。        十月中旬，怀着对李博士十分敬佩的感觉，我写出这样一首藏头七绝：“昌盛还凭神探功，钰石无价暖时空。霞飞万里情长伴，萍水奇缘岁岁红。”经部长认同后请书法家张胜九老弟书写出来，很快就完成了这件礼物的制作。        10月24日下午，全国高校巡回演讲活动——《对白》在大连大学会堂举办。李昌钰博士以“生死之间”为题，做了演讲，上千名师生参加了现场活动录制。25日下午，李昌钰博士做客大连大学校园文化节重要活动“名人进连大”，和连大师生再次相约，从世界名案分析说开去，和大家分享自己的人生经验。大连市人大常委会副主任、校党委书记王晋良代表学校登台，向李昌钰博士及夫人蒋霞萍女士赠送了我撰写张胜九书写的藏头诗七绝一首。        那两天，因为主持关工委的活动和筹备大连晚报读者节，我没有去现场聆听博士的演讲与互动。据赵部长介绍，那天活动特别精彩，最后赠送礼物这个环节也特别出彩。李昌钰博士和蒋霞萍见到礼物，特别高兴，读了之后，连声道谢。李博士说：“诗写得非常精彩贴切，字也非常漂亮，我非常喜欢。值得我和夫人好好收藏。”        这件事，我特别感谢胜九老弟有求必应的泼墨挥毫，也感谢大连大学给了我们这样一个走向世界的机会。感谢之余，也有一点遗憾：如果我再主动建议一下，把这幅字配上姜末的漫画，组合成非常诗画作品展上的大连特产的“诗书融画”，一定会有更好的效果。 大连,"https://wx2.sinaimg.cn/large/488a89dcly1g8ssy663s9j20nv0ybgst.jpg,https://wx3.sinaimg.cn/large/488a89dcly1g8ssy6casmj20u00jf77c.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g8ssy6hcycj20jv0j8786.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g8ssy6pfsdj20d30hktav.jpg",,大连,2019-11-10,HUAWEI P30 Pro,1,0,0,,
4437046351305675,IfxKb5tFh,为高雁鼓掌张嘉树        也许因为大连人足球俱乐部的老总名叫高堰，每每念叨“高堰”，就会自然想到“高雁”。         这个高雁，我相识二十六年了。         第一次见高雁，是1993年。那时她辽师大还没毕业到大连电台做《滨城时空》的客座主持人。电台邀请我以策划师身份走进时空里做了一期直播访谈节目，是高雁主持的。这是我第一次进直播间，也是我在人生低谷期得到的难能可贵的正能量的鼓励。我一直记得她，感谢她，还有她的领导段文武。        1997年，我在科达药业女足俱乐部做老总，曾邀请她和日报、晚报记者孙国桐、刘学文、刘文东等一道随队到无锡采访，她写出了很让我感动的好文章。不但在电台播了，还在报纸上发了。前些天她说她找到了当年我为她修改过的稿子的原稿，那是我们朋友情谊的见证，也是我们单位融合的见证。        后来，有一天，她告诉我，她谈恋爱了。对象是一个新疆来的小伙子，她把我当做本家大哥，带给我看。那天说了些什么我都忘记了，但我还记得他俩那天的样子，总是笑。小伙子送了我一件新疆产的羊毛衫背心，我穿了好多年。后来和他经常见面，距离很近，几乎每天晚上，只不过他在电视机里面，我在外面。        再后来，高雁转行到了电视台，策划主持了《挑战星期五》节目。有一期是挑战从五楼跳下来，没有应征观众来玩，她自己勇敢地站到楼顶。她的敬业精神让我很是敬佩。        2011年春节前，我和高雁、李萌、刘晓峰一起主持了大连市宣传新闻战线迎春联欢会。这是我们俩第一次同台。一见面，她就兴致勃勃地讲她调皮的儿子，和他懂事的爸爸。我的感觉是，尽管她工作很忙很累，但是她一点也没有放弃做贤妻良母的神圣责任。        2016年底，我所在的东北之窗承办大连首届外国人汉语才艺大赛，请高雁担任了评委。她在一二三四如此这般点评的时候，我的眼前浮现的是我记忆中与她合作的一幕幕画面。我就想，新闻传媒，真的是一个很特殊的行业，可以锻炼很多人的多方面才能。能写，会讲，善策划。她是一个不比张嘉树差的人。        一晃二十多年过去，现在她和我已经是同一个单位的同事，真的“走到一起来”了。她在电视的生活频道做得风生水起，最为出色的就是“舌尖上的大连”。        为了昨天中午办的这个颁奖典礼，她给我发了好几个微信和语音，告诉我怎么入场，确认我是否出席。我问她着装有什么要求，她说：“来就行，不穿也行。”        感谢高雁，昨天中午，恒隆广场，让我和好多老朋友又一次见面，又一次乐呵。        我很喜欢高雁这次活动的那几句口号：“餐饮江湖，深秋论剑，年度美食，收官大赏。”她也真的敢于挑战星期六，让我们这么多人饿着肚子来观看一个接一个的餐饮视频，挑逗我们的味蕾。正午饭口办典礼，这不能不说是一个大胆的成功策划。        我也很喜欢颁奖过程中穿插表演的那几个节目。那首单弦牌子曲，前些天在金石滩的大连民间文艺70年70人展演大会上，胡绍南老爷子唱过，当时没有感觉有多么特别。但是，在餐饮的江湖典礼上，老爷子唱的“喝上一杯小酒赛过神仙”就特别的有情有景，有滋有味。这个细节，也足以窥见高雁们的用心良苦。        我还特别喜欢会场边上的那两组摆拍墙，大家不分职务，不论老幼，不讲高低，争先恐后地去同框组合与摆拍。那瞬间的感觉，就是回到童年。        其实，每一个人都有未泯的童心。唯有童心，才能让我们保持满满的热情和激情，去论剑，去大赏。        我们一起，怀着同样的童心，为高雁同学，也为每一个高雁同学鼓掌。 大连,"https://wx2.sinaimg.cn/large/488a89dcly1g8ssqnylalj22c0340qv8.jpg,https://wx2.sinaimg.cn/large/488a89dcly1g8ssqesviej20o30s8aho.jpg,https://wx3.sinaimg.cn/large/488a89dcly1g8ssqxkog0j20zk0qwnba.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g8ssqh55kij22tc1ao7wh.jpg,https://wx4.sinaimg.cn/large/488a89dcly1g8ssqfxz07j20uu0m0ajh.jpg,https://wx3.sinaimg.cn/large/488a89dcly1g8ssqii99pj21ll1y3e81.jpg,https://wx2.sinaimg.cn/large/488a89dcly1g8ssr13t8cj23y81tsu0y.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g8ssr2jtejj22tc1aoe81.jpg,https://wx3.sinaimg.cn/large/488a89dcly1g8sss44u9zj21aq1ik4qp.jpg",,大连,2019-11-10,HUAWEI P30 Pro,2,0,0,,
4350313458820417,Hl6SJB0AN,祝你生日快乐,,,,2019-03-16,生日动态,7,4,3,,
4349847711002557,HkULx4cOh,我配姜末三十年张嘉树         2005年出版《睹球》时，姜末说我在1989年春天就为他的漫画配了诗，是在《大连晚报》发表的，我也有点印象。         如果果真如此，那么到今年春天，我和姜末就诗画相配整整三十周年了。         凡事较真。在非常诗画作品展即将举办之际，我在家里翻箱倒柜找出了当年的报纸合订本，找到了我俩首次合作的那张《大连晚报》。         那是1989年3月17日的《大连晚报》二版，在这个版面上，我看到了同时发表的两幅漫画，分别是陈民和姜末的。而且标明“本版编辑李华”，这让我想起了当年的情形。         1985年，李华大学毕业就被分配到我所在的《棒棰岛周报》工作，所以她对我的特长是很熟悉的。到了晚报后，我做编委分管新闻部和周末部，她在社会生活部当编辑，偶尔会找我打油为她的版面添点颜色。         我这天为李华编辑的两幅漫画配了诗。给陈民漫画配的是八句：“一个孩子两只手，两边拽来往哪走。作业成堆做不完，课外活动几时有。两边拽来不松手，孩子有话难出口：早知成了拔河绳，不如当个小木偶。”给姜末漫画配的是四句：“砖台拖把摆赛场，乒乒乓乓大赛忙。相机留下童年乐，诸君见罢不心伤？”         那时候，姜末在春柳小学当美术老师，我和他未曾谋面。但是我对他作品表现出来的幽默和机智却印象极深。第二年的12月，我所在的《大连晚报·周末》一版“追光灯”专栏发表了关于姜末的人物通讯，这篇稿子也和我有关联。         当时，周末版一至四版编辑分别是高江宁、王澄波、杨子和巴家伟。这篇关于姜末的稿子，是《现代女报》编辑沙里途写的，原稿3000字，写得很是生动。因为喜欢姜末，我主动把稿子拿到手里，动笔删改到了报纸常规所要求的1500字。编稿子能够做到不伤筋动骨，也是很高难的“手术”。        这篇稿子提到，姜末虽然那时只有26岁，却已经成为“漫画界一颗引人注目的新星”。他当时已经在《人民日报》、《中国日报》和《大连晚报》等发表作品300多幅，获奖20多次。一分耕耘 一分收获，我对他是十分钦佩的。            几年之后，姜末被调到《大连日报》，后来做了《足球周报》“三枪”记者，我也和他成为了好朋友。等到了2001年，我和他居然成为同事，一起走上《足球周报》的领导岗位。2002年韩日世界杯，日报、商报和周报联手办《东方世界杯》专刊，我俩隔岸合办“画说世界杯”诗配画40幅，从此诗画合作一发不可收拾。         关于三十年前的这段往事，有几个特别需要说明的问题。一是，据姜末说，那个时期，他经常给女报投稿，有时候一个版上有好几幅画。女报总编朱莉就建议再起一个笔名，沙里途顺手就署上了“姜末”。几十年过去，姜永杰没有几个人认识，姜末则是闻名天下了。二是我那一次为李华编辑的漫画配诗，漫画作者陈民和姜末居然是大连市美协漫画艺委会先后两任主任。这有点巧，也有点神。第三，真正神的是，首次为姜末配诗是三十年前的3月17日，而这次大连美术馆馆长王嵬定的我俩诗画展开幕的日子竟然是三十年后的3月16日。也就是说，这次非常诗画作品展其实是对我俩首次诗画相配三十周年的纪念！         是命里注定吗？用蔡杨最喜欢说的那句话说，一切都是最好的安排！,"https://wx3.sinaimg.cn/large/488a89dcly1g12m78oq7tj20u0140qd8.jpg,https://wx2.sinaimg.cn/large/488a89dcly1g12m77gmrrj22c0340qv7.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g1333oioi0j20yi1pctn9.jpg,https://wx4.sinaimg.cn/large/488a89dcly1g1333rctylj23b01c0x6q.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g12m784b72j20u01d8790.jpg,https://wx4.sinaimg.cn/large/488a89dcly1g1333trp2yj21782j4u0y.jpg,https://wx3.sinaimg.cn/large/488a89dcly1g12m7xq9sqj225s1fve84.jpg,https://wx1.sinaimg.cn/large/488a89dcly1g1333uow58j20u01yfn88.jpg,https://wx3.sinaimg.cn/large/488a89dcly1g1333uauxij20mo0igac8.jpg",,,2019-03-14,iPhone 8 Plus,43,30,15,,
