id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4326513463524013,Hb7JEeMKV,训练之余做做游戏，超越队员们进行传接球，过程中球不许落地。最后一名队员需要将球踢入桶中。不成功将接受前滚翻的小惩罚~ 大连超越足球俱乐部的秒拍视频 ,,"http://f.us.sinaimg.cn/002qokhLlx07qCTurTa8010412008GIU0E010.mp4?label=mp4_hd&template=844x480.28.0&Expires=1580362281&ssig=icYO77hjKs&KID=unistore,video",,2019-01-09,小米MIX2S 全面屏,38,50,5,,
4326510867581913,Hb7FsvOoV,超越开启新一天的训练！ ,"https://wx4.sinaimg.cn/large/e8751368ly1fz05zsw4eej21400u042r.jpg,https://wx2.sinaimg.cn/large/e8751368ly1fz05zt3fv6j21400u044n.jpg,https://wx2.sinaimg.cn/large/e8751368ly1fz05ztl11wj21400u0tfe.jpg,https://wx4.sinaimg.cn/large/e8751368ly1fz05ztv1i5j21400u0jxc.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fz05zu2r3yj21400u00ym.jpg,https://wx3.sinaimg.cn/large/e8751368ly1fz05zudxo3j21400u0wmu.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fz05zuvpa6j21400u07b8.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fz05zvpzzbj21hc0qowmn.jpg,https://wx2.sinaimg.cn/large/e8751368ly1fz05zvzgloj21400u07a6.jpg",,,2019-01-09,小米MIX2S 全面屏,27,10,1,,
4325768894566183,HaOmJj9S7,上午训练开始 ,"https://wx3.sinaimg.cn/large/e8751368ly1fyxsssceqkj20m80go76f.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fyxsst08rsj20m80gognl.jpg,https://wx3.sinaimg.cn/large/e8751368ly1fyxsst9rxoj20m80go77q.jpg,https://wx3.sinaimg.cn/large/e8751368ly1fyxsstgr99j21400u07b4.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fyxsstmqh4j20m80gomyu.jpg,https://wx3.sinaimg.cn/large/e8751368ly1fyxssuq3ncj21400u0wjx.jpg,https://wx3.sinaimg.cn/large/e8751368ly1fyxssuwgaaj21400u0gro.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fyxssv2zelj20m80go763.jpg,https://wx3.sinaimg.cn/large/e8751368ly1fyxssva20ij21400u00wi.jpg",,,2019-01-07,小米MIX2S 全面屏,24,8,1,,
4325743535687671,HaNHPnRCD,冬训，6:40的晨练开启美好的一天 大连超越足球俱乐部的秒拍视频 ,,"http://f.us.sinaimg.cn/001cqM1Wlx07qzvnNRn2010412004uRI0E010.mp4?label=mp4_hd&template=844x480.28.0&Expires=1580362281&ssig=dvGC3Wr91h&KID=unistore,video",,2019-01-07,秒拍网页版,33,6,0,,
4324785297200214,HaoMhud6u,南飞，准备冬训 ,"https://wx2.sinaimg.cn/large/e8751368ly1fyunrivjqwj23402c04qu.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fyunsc3csgj22c0340qva.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fyunsfvmwbj22c0340u11.jpg,https://wx4.sinaimg.cn/large/e8751368ly1fyunsjqbhgj22c0340x6s.jpg,https://wx4.sinaimg.cn/large/e8751368ly1fyunt3idddj22c0340hdy.jpg,https://wx1.sinaimg.cn/large/e8751368ly1fyunte5s79j22c0340e85.jpg,https://wx4.sinaimg.cn/large/e8751368ly1fyuntifjc4j22c0340nph.jpg,https://wx3.sinaimg.cn/large/e8751368ly1fyuntwid7xj22c0340u12.jpg,https://wx3.sinaimg.cn/large/e8751368ly1fyunuba6xuj22c0340u12.jpg",,,2019-01-04,华为Mate 9保时捷设计,42,22,2,,
4323562007081509,H9SXetIdT,今天是2019年的第一天。回首2018，这一年我们有苦有甜。2018，感谢有你。让我们告别满是荆棘的2018，迎接充满希望的2019。在新的一年来临之际，大连超越足球俱乐部祝所有关心我们的人：新年快乐，万事如意，心想事成！2019我们继续并肩战斗！ ,https://wx2.sinaimg.cn/large/e8751368ly1fyqrcla08nj20zk0mudlp.jpg,,,2019-01-01,小米MIX2S 全面屏,64,14,8,,
4322168789741806,H9iI6EShU,发布了头条文章：《“足球王子”李宁的“第一次”》  “足球王子”李宁的“第一次” ,,,,2018-12-28,微博 weibo.com,21,14,4,,
4315644688283216,H6yZmyKQg,小将谢兆宇，生日快乐@谢兆宇23 ,https://wx3.sinaimg.cn/large/e8751368ly1fy1i0vzgt6j20gb0lvdye.jpg,,,2018-12-10,小米MIX2S 全面屏,23,16,1,,谢兆宇23
4309228120071163,H3S440ivN,Thanksgiving！感恩每一个与超越并肩战斗的你！ ,https://wx1.sinaimg.cn/large/e8751368ly1fxh13gllfwj20dw0jawh2.jpg,,,2018-11-22,小米MIX2S 全面屏,56,14,2,,
4307625027737442,H3cmqwsRs,发布了头条文章：《五年风雨兼程，感谢一路相伴》  五年风雨兼程，感谢一路相伴 ,,,,2018-11-18,微博 weibo.com,53,27,19,,
