id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4402850996592879,I1canrF6L,今天是我的生日08月08日，来祝福我吧~,,,,2019-08-08,生日动态,3,0,0,,
4270566724614292,GtBLijmo4,祝你生日快乐,,,,2018-08-08,生日动态,0,0,0,,
4248952021442539,GkxsS63gL,天山聚 为了丝路互联的价值 网页链接 ,,,,2018-06-09,百度分享,0,0,0,,
4223002549889481,G9EoSFuHL,#聚头条#土地流转 网页链接 ,,,,2018-03-29,百度分享,0,0,0,聚头条,
4212855996152310,G5ortpOuO,【中欧班列乌鲁木齐集结中心再添运输新线路 开行班列达1...】2月26日11时30分，一列由44组集装箱组成，满载新疆本地番茄酱产品的X9403次中欧班列从乌鲁木齐集结中心始发。该趟... 原文：中欧班列乌鲁木齐集结中心再添运输新线路 开行班列达1000列 （分享自@微博搜索） ,,,,2018-03-01,微博搜索,0,0,0,,微博搜索
4200176396276961,G04AvqkVj,#琅琊榜之风起长林# 琅琊榜是胡歌童鞋的崛起之作#聚头条# ,,,,2018-01-25,超话,0,0,0,"琅琊榜之风起长林,聚头条",
4184592824511920,FzuE2iVKU,#2017数据盛典# “大数据变成了生产要素，云计算变成了生产力，AI变成了生产关系”#丝路头条# ,,,,2017-12-13,超话,0,0,0,"2017数据盛典,丝路头条",
4179158504743721,Fxdh0jU3D,害怕公司取名out了，用？？?大数据技术公司做名称核准，折磨了两天，就是过不了，“大数据”不能用，“数据”和技术不能联用，数据链不能用，凡是不在名称核准目录上的都不能用，最后妥协了，咱就随便叫个名吧 ,,,,2017-11-28,聚头条超话,0,0,0,,
4177349845135826,FwsdOly3U,#丝路头条# 废弃的俄罗斯工厂 ,"https://wx3.sinaimg.cn/large/d6cf0f2fly1flsb3wq6hej21kw16ob29.jpg,https://wx3.sinaimg.cn/large/d6cf0f2fly1flsb42vuigj21kw16oe81.jpg",,,2017-11-23,超话,0,0,0,丝路头条,
4174346345669723,Fvc5snMX9,#丝路头条# 网页链接 ,,,,2017-11-15,百度分享,0,0,0,丝路头条,
4173710140825132,FuVxk3sEA,#丝路头条# 镇日昏昏醉梦间，忽闻春尽强登山；欧国竹院逢僧话，偷得浮生半日闲； ,https://wx4.sinaimg.cn/large/d6cf0f2fly1flgp3kj6f4j21kw16onpd.jpg,,,2017-11-13,超话,0,0,0,丝路头条,
4172899734322724,FuAsdi8xm,#丝路头条# 不知道丝路各国今天在天猫上要花多少钱?@跨境丝路宝 ,,,,2017-11-11,超话,0,0,0,丝路头条,跨境丝路宝
4171913615443659,FuaNHmQ8X,#丝路头条# 有历史才有故事，有故事内容才丰富；丝路头条，有故事的头条 ,https://wx4.sinaimg.cn/large/d6cf0f2fly1flayqsodhgj21kw14yqv8.jpg,,,2017-11-08,超话,0,0,0,丝路头条,
4171552024471513,Fu1ouiLfb,我分享了话题#丝路头条# ,,,,2017-11-07,超话,0,0,0,丝路头条,
4171187389243541,FtRUmCMFn,#聚头条# 繁花似锦，千里飘香； ,https://wx3.sinaimg.cn/large/d6cf0f2fly1fl8nbwx57cj21kw0zekjq.jpg,,,2017-11-06,聚头条超话,0,0,0,聚头条,
4171045777334399,FtOdXuM0L,我是第9个申请开通#丝路头条#超级话题的粉丝，申请粉丝越多，开通几率越大，大家快来帮我加快开通速度吧~网页链接 ,,,,2017-11-06,超话,0,0,0,丝路头条,
4171041703740214,FtO7ofH02,我是第9个申请开通#丝路头条#超级话题的粉丝，还差1人就满足申请条件啦！大家快来帮我加快开通速度吧~网页链接 ,,,,2017-11-06,超话,0,0,0,丝路头条,
4168637696585862,FsNzXrDhA,#聚头条# “大而无外，小而无内”，庄子老人家早就对大数据有过定义 ,https://wx1.sinaimg.cn/large/d6cf0f2fly1fl0ijbogxoj21kw2dcnpd.jpg,,,2017-10-30,聚头条超话,1,0,0,聚头条,
4167767504131059,FsqWqhkFZ,#聚头条# “君子费而隐” ,https://wx2.sinaimg.cn/large/d6cf0f2fly1fkxqlilrybj21kw0z6nbn.jpg,,,2017-10-28,聚头条超话,3,0,0,聚头条,
4167449169848975,FsiEYFkar,#聚头条# 网页链接 ,,,,2017-10-27,百度分享,0,0,0,聚头条,
4166477379023260,FrTnzBRms,#聚头条# “知者过之，愚者不及” ,"https://wx2.sinaimg.cn/large/d6cf0f2fly1fktmenwm9jj21kw16oe81.jpg,https://wx3.sinaimg.cn/large/d6cf0f2fly1fktmf7p01ej21kw10qnau.jpg,https://wx3.sinaimg.cn/large/d6cf0f2fly1fktmfejvyrj21kw11xqay.jpg",,,2017-10-24,聚头条超话,1,0,0,聚头条,
4166106065228239,FrJIGlW6r,秋水共长天一色#聚头条# ,https://wx2.sinaimg.cn/large/d6cf0f2fly1fksfs3f5vdj21kw0scaf4.jpg,,,2017-10-23,聚头条超话,1,0,0,聚头条,
4165025340387933,FrhBA1CUZ,为何普通哈萨克斯坦人不爱存钱，因为钱老不值钱，还不如赶紧花了，断了自己的念想；联想米国人也不爱存钱，可能是钱太值钱了，反正都借了，不花白不花，先化为敬 ,,,,2017-10-20,聚头条超话,1,0,0,,
4162504651328035,Fqe1X5ztV,果熟兼猿重 山长似路迷 ,,,,2017-10-13,聚头条超话,1,1,1,,
4157308239692533,Fo2QDEFtb,#超级话题#，我是第7个申请开通#聚头条#超级话题的粉丝，还差93人就满足申请条件啦！大家快来帮我加快开通速度吧~网页链接 ,,,,2017-09-29,超话,0,0,0,"超级话题,聚头条",
4144943906371196,FiRcaqJre,天山聚 为了丝路互联的价值 网页链接 ,,,,2017-08-26,百度分享,0,0,0,,
4144015232073715,Fit2j8Ht1,#电商最佳博文展# 电商提供的服务或销售的产品，与最佳博文的内容之间，差一个乾坤；产品自有自己的容颜，内容也有自己的气质，千人千面，气象万千，这个乾坤自带光芒；拉拉扯扯，拼拼凑凑，谁出生不都是褶子漫漫；等着我啊#天山聚# ,,,,2017-08-23,超话,0,0,0,天山聚,
4143959964514072,FirBaiWjC,#科洽会#开完科洽会就放假了，昌吉的童鞋，你们太有福了 ,,,,2017-08-23,昌吉超话,2,8,7,科洽会,
4138298560109151,Fg4jS0sov,祝你生日快乐,,,,2017-08-08,生日动态,0,0,0,,
4136280679582756,FfdPdEcUA,#超级话题#，我是第111个申请开通#独龙蜜#超级话题的粉丝，申请粉丝越多，开通几率越大，大家快来帮我加快开通速度吧~网页链接 ,,,,2017-08-02,超话,0,0,0,"超级话题,独龙蜜",
4135891037222970,Ff3GLuj1w,好种子  天山聚 网页链接 ,,,,2017-08-01,百度分享,0,0,0,,
4133102257336425,FdT8JuMxr,#超级话题#，我是第14个申请开通#天山聚#超级话题的粉丝，还差86人就满足申请条件啦！大家快来帮我加快开通速度吧~网页链接 ,,,,2017-07-24,超话,0,9,6,"超级话题,天山聚",
4131325533070502,Fd8V3cSMe,#2017种子交易会# 8月6日农博园见！此次展会以 “发挥昌吉种子基地优势 打造丝绸之路种业之都”为主题，本届“种交会”首次探索开启“一会带三展”模式，即地展：田间展示，馆展：展馆展示，网展：网络展示，三种模式立体化结合展示昌吉州种业风采。 ,,,,2017-07-19,超话,0,0,0,2017种子交易会,
