id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4455839458408700,InqDDzhuc,#全球跨年##新年心愿#俄罗斯总统普京发表2020新年致辞中说，俄罗斯公民的团结是实现该国最高目标的基础。个人计划和梦想“与俄罗斯密不可分”。以下是全文:尊敬的俄罗斯公民！亲爱的朋友们2020年将很快到来。我们正处于21世纪第三十年的边缘。我们生活在一个动荡，充满活力，相互矛盾的时代，但我们可以而且必须为俄罗斯成功发展作出一切努力，以便使我们生活中的一切都变得更好。现在，我们兴奋地等待着零点的钟声，我们相信并希望我们所做的一切必将成真。我们的个人计划，梦想离不开俄罗斯。我们孩子的现在和未来，以及未来，取决于我们每个人的努力和贡献。只有在一起，我们才能解决当今社会和国家面临的问题。我们的团结是实现任何最高目标的基础。这些价值观念是由我们的祖先传递给我们的：英勇，不屈的赢家。在来年，我们将庆祝伟大卫国战争胜利75周年。我衷心祝贺退伍军人和前线工人，老一辈的人们，以及为我们和祖国的未来在新年假期里经历最艰难考验的所有人。我向你鞠躬！亲爱的朋友们我们总是提前为新年做准备，尽管有很多事情，我们仍将人际关系的温暖和友好的沟通视为主要问题。我们努力做一些对他人有用的重要事情，以帮助需要我们支持的人，以礼物和关注来取悦他们。在这种真诚的冲动，思想的纯洁，无私的慷慨中，体现了新年假期的真正魔力。它揭示了人类的最佳特征，改变了世界，充满了欢乐和微笑。明亮的新年感觉，美好的印象自小时候就一直存在于我们体内，并在每个新年回来，当我们拥抱心爱的人，父母，为孩子和孙子孙女们准备惊喜，用它们装饰圣诞树，得到硬纸板人物，球和玻璃花环时。这些有时候很旧。当然，每个家庭都有其自己的新年传统，但每个人都在善良和关怀的气氛中团结在一起。愿相互了解的幸福永远安居您的家中，帮助克服一切困难，凝聚几代人。愿您的父母健康，并时刻得到您的关注，每个孩子都知道他是最爱的人。朋友们！新年临近。我们彼此祝愿祖国和平，繁荣与昌盛。节日快乐！2020年新年快乐！ 寰亚SYHP的微博视频,,"http://f.video.weibocdn.com/003ks5Nilx07zO6KTudW01041200ov5Q0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1577849273&ssig=5MsjZz%2FVnf&KID=unistore,video",,2020-01-01,,344,36,47,"全球跨年,新年心愿",
4455857083725490,Inr64fDay,朝鲜劳动党七届五中全会公报朝鲜劳动党第七届中央委员会第五次全体会议补选党中央委员会政治局委员和候补委员。补选李日焕、李炳哲、金德训为党中央委员会政治局委员；补选金正官、朴正天、金衡俊、许哲万、李浩林、金日哲为党中央委员会政治局候补委员。  #政策#朝鲜劳动党七届五中全会公报 ,"https://wx4.sinaimg.cn/large/005SZ2Zygy1gagt84agt8j30hs0bft9f.jpg,https://wx1.sinaimg.cn/large/005SZ2Zygy1gagt84spydj30hs0bmt9c.jpg,https://wx1.sinaimg.cn/large/005SZ2Zygy1gagt8592yqj30hs0bpgmg.jpg,https://wx3.sinaimg.cn/large/005SZ2Zygy1gagt85p6zqj30hs0bgdgn.jpg,https://wx2.sinaimg.cn/large/005SZ2Zygy1gagt8663bdj30hs0bnq46.jpg,https://wx3.sinaimg.cn/large/005SZ2Zygy1gagt86qoowj30hs0bfgmw.jpg,https://wx4.sinaimg.cn/large/005SZ2Zygy1gagt87aj7bj30hs0bit9s.jpg,https://wx2.sinaimg.cn/large/005SZ2Zygy1gagt87qisij30hs0b9abm.jpg,https://wx3.sinaimg.cn/large/005SZ2Zygy1gagt88kcp5j30hs0bjtb3.jpg",,,2020-01-01,,100,31,7,政策,
4455845838677317,InqNVApmJ,#全球跨年##搞笑又内涵#罗马教皇方济各在梵蒂冈城庆祝新年，在与教徒握手时被一名女子紧紧拉住手臂不能自拔，看式非常生气。 寰亚SYHP的微博视频 ,,"http://f.video.weibocdn.com/000mLLZZgx07zO8uVhOD010412004fpB0E010.mp4?label=mp4_hd&template=480x256.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1577849269&ssig=bwQoaBepGa&KID=unistore,video",,2020-01-01,,711,134,85,"全球跨年,搞笑又内涵",
4455829916416974,InqofqVlA,#全球跨年##新年心愿#法国巴黎极端分子焚烧汽车迎接2020新年#搞笑又内涵# 寰亚SYHP的微博视频 ,,"http://f.video.weibocdn.com/000FKE5Kgx07zO49yOHR01041200b7160E010.mp4?label=mp4_hd&template=320x568.24.0&trans_finger=6038099a530779e853bb78b617dbd3ab&Expires=1577849273&ssig=fZlvf04upl&KID=unistore,video",,2020-01-01,,296,64,24,"全球跨年,新年心愿,搞笑又内涵",
4455827907442448,Inql0ve7u,#搞笑又内涵#伊拉克联合行动副司令阿卜杜勒.阿米尔恳求抗议者离开美国驻巴格达大使馆 寰亚SYHP的微博视频 ,,"http://f.video.weibocdn.com/0019NZSBgx07zO3BqiHR01041200fQx60E010.mp4?label=mp4_hd&template=480x270.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1577849273&ssig=iIPhtuVAMi&KID=unistore,video",,2020-01-01,,275,49,17,搞笑又内涵,
4455824745096183,InqfUlnKv,#新年心愿##全球跨年# 伊拉克巴格达解放广场迎接2020新年，民众追求幸福的脚步无法阻挡。  寰亚SYHP的微博视频 ,,"http://f.video.weibocdn.com/002m3JsXgx07zO2JVQrm010412009Jcc0E010.mp4?label=mp4_hd&template=584x322.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1577849273&ssig=x5Iwlww%2FRn&KID=unistore,video",,2020-01-01,,250,26,11,"新年心愿,全球跨年",
4455756344202200,InotAhDbq,#生活囧事#美国从科威特军事基地向驻巴格达大使馆派遣海军陆战队员 寰亚SYHP的微博视频 ,,"http://f.video.weibocdn.com/0030qtuWlx07zNK4CUuA010412003PoH0E010.mp4?label=mp4_hd&template=256x144.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1577849273&ssig=M5BvLSEBua&KID=unistore,video",,2020-01-01,,371,62,33,生活囧事,
4455755568597387,InoskA4zx,#生活囧事#抗议者对美国驻巴格达大使馆纵火 寰亚SYHP的微博视频 ,,"http://f.video.weibocdn.com/001I1lOflx07zNJRxlKw010412001MBg0E010.mp4?label=mp4_hd&template=426x238.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1577849273&ssig=ftQKaW5mR7&KID=unistore,video",,2020-01-01,,377,55,16,生活囧事,
4455741610015489,Ino5P041P,#外军影像#美国阿帕奇直升机继续在巴格达大使馆上空投掷干扰弹 寰亚SYHP的微博视频 ,,"http://f.video.weibocdn.com/001ZMdaJgx07zNG3KV0Y0104120077gd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577849273&ssig=R4rQ86Sc7Y&KID=unistore,video",,2020-01-01,,794,117,69,外军影像,
4455737298090307,InnYRxWEP,#新年心愿##全球跨年# 香港曱甴用这样的方式迎接2020 寰亚SYHP的微博视频 ,,"http://f.video.weibocdn.com/004BFpe0gx07zNESkt9u01041200Ytrv0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577849273&ssig=yN7xEiDAnw&KID=unistore,video",,2020-01-01,,283,88,15,"新年心愿,全球跨年",
