id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4251132023090572,Glsb0cXZW,世界杯与你同在，阿门 ,,,,2018-06-15,iPhone客户端,0,0,0,,
4250178481960708,Gl3n28e4k,少壮不努力，老了被人欺 ,,,,2018-06-12,iPhone客户端,0,0,0,,
4144232568840826,FiyGQB5TY,记者在北京采访路人：如果你中了500万，你打算怎么花？路人说：先把房贷还了！记者又问：那剩下的呢？路人说：剩下的慢慢还....... ,,,,2017-08-24,Android客户端,0,0,0,,
4144232098890415,FiyG5BiNN,去楼下吃面刚吃到一半，来了一个五大三粗的壮汉点单。收银员问要大碗小碗，壮汉问大碗有多大？收银员朝着我的方向指了指：那个小美女吃的就是大碗。壮汉连忙摆手说：太大了我吃不完。我：..... ,,,,2017-08-24,Android客户端,0,0,0,,
3725447986256450,BaG18qfAu,闺蜜约我去她家吃饭，她亲自做的饭菜，好丰盛。尤其那盘麻辣红油牛百叶，颜色带点粉红，色香味俱全，香脆可口。闺蜜叹了口气，道：“男友跟我提分手了！”我愕然：“俗话说，留住男人的胃，就留住了他的人。你做得一手好饭呐！”她说：“哎，所以我留下了他的胃！”我吐了。 ,,,,2014-06-25,iPad客户端,0,0,0,,
3576500135998188,zw67jpaoY,.【特色】老师问同学：革命现已成功，我们 把“红色”这两个字改一下，看什么颜色最适合 当今的社会？小明答：蓝色，天是蓝的。小玲 答：绿色，草是绿的。老师摇头。小强答：是 紫色，红过头了就是紫色。老师说：也不对。 站在窗外等孙子的爷爷终于忍不住了，大喊： 特色！老师竖起拇指：恭喜你答对啦 ,,,,2013-05-10,Weico.Android,0,0,1,,
3576499372700952,zw665bkDK,【美朝关系问答】（1）朝鲜为什么敢打美 国？答：因为他们钱不在美国，老婆不在美 国，孩子也不在美国；（2）美国为什么不敢打 朝鲜？答：朝鲜太贫穷，一个导弹好几百万美 元，炸哪都赔。（3）美国和朝鲜咋回事啊？ 答：青春期遇上更年期呗！一个是啥事都要 管，一个是啥事都敢惹！ ,,,,2013-05-10,Weico.Android,0,3,4,,
3573271825653605,zuK8mnILb,老婆把钱管得严，家里有个保险箱，密码只有她知道。 有一天急用钱，向老婆申请。 老婆批了，我问密码是多少。老婆说：“我们初吻的日子。” 我没敢继续问，只好找朋友借钱了。 ,,,,2013-05-01,微博 weibo.com,0,0,1,,
3573271255154717,zuK7rlCYB,今天一男同事网购的衣服到了，他特兴奋，说90多块钱买了一件七匹狼，超划算。女同事们听到都聚拢过来，包装拆开一看，是“千匹狼”。一位阿姨幽幽地说：“真划算，多给了你九百多匹狼呢。 ,,,,2013-05-01,微博 weibo.com,0,0,1,,
3573269586221325,zuK4Kq6rX,乌鸦是动物界的模范恋人，对待爱情忠贞不渝，一生只有一个性伴侣，他们于幼年结为“夫妻”，当伴侣死掉，活着的乌鸦也不会再另寻新欢。 这个感人的故事告诉我们，两个丑逼相遇是缘，凑合凑合得了，不然谁也找不着对象。 ,,,,2013-05-01,微博 weibo.com,0,0,0,,
