id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4457417708682174,Io5HcAqD4,作为妈妈制造公益项目的宣传大使，这次终于有幸在家乡见证“妈妈制造吉林省东辽县剪纸合作社”成立。感谢百事公司对于妈妈制造项目的支持。我相信，有百事的加入，这些传统文化将被更多年轻人看到、了解、传承，甚至热爱！ ,"https://wx4.sinaimg.cn/large/6fba2288ly1galsfdybz3j21o013z7wi.jpg,https://wx3.sinaimg.cn/large/6fba2288ly1galsfcpk80j21o013z1ky.jpg,https://wx1.sinaimg.cn/large/6fba2288ly1galsfqubg3j21o0140qv6.jpg,https://wx3.sinaimg.cn/large/6fba2288ly1galsff4dalj21o0190x6p.jpg,https://wx3.sinaimg.cn/large/6fba2288ly1galsfh4qyrj21401o0npd.jpg,https://wx2.sinaimg.cn/large/6fba2288ly1galsfg5088j21o0140hdt.jpg,https://wx2.sinaimg.cn/large/6fba2288ly1galsfwwhyvj24002o0u17.jpg,https://wx3.sinaimg.cn/large/6fba2288ly1galsfp2j49j23js2o0e89.jpg,https://wx4.sinaimg.cn/large/6fba2288ly1galsfkxt6jj24002o01l4.jpg",,,2020-01-05,,4381,2445,2479,,
4453465566669945,ImqSMrZ9L,#时间告诉我#这一期节目终于等来了我的好兄弟@舞者黄豆豆 ，时隔20年一起重游母校北京舞蹈学院 ，看到练功房、宿舍楼、图书馆这些地方，我和豆豆仿佛回到了20岁的青春时代，再一次感叹青春真好啊~《时间告诉我·东方符号》黄豆豆与张晓龙追忆校园时光 曾为考学倒吊身体 ,,https://data.vod.itc.cn/?new=/40/16/wCcfHTNKQwa6r3g3EMma9A.mp4&vid=6034283&u=2&key=PtpLE5j_Sff18m1xtnvSF73tf2pFmJMQ&plat=&mkey=f07FLDIadm_nLDd0a_Q4DYS6wcH2j9Rs&ch=v&user=api&prod=weibo,,2019-12-25,,3512,2576,2711,时间告诉我,舞者黄豆豆
4448386155197245,IkiKblO2x,时间告诉我们的除了匠人不凡的品格和追求极致的坚守态度，还有那些根植于传统文化诞生的经典作品与动人故事，今晚6点【#时间告诉我#东方符号】已经正式开播，搜狐视频不见不散~ 《时间告诉我·东方符号》20191210 劳伦斯·许揭秘大秀灵感来自《红楼梦》 曾为巴黎大秀负债累累 ,"https://wx4.sinaimg.cn/large/6fba2288ly1g9sz73yr5qj20u01hcal4.jpg,https://wx3.sinaimg.cn/large/6fba2288ly1g9sz7748vrj222q3431l4.jpg,https://wx4.sinaimg.cn/large/6fba2288ly1g9sz7acx3sj222q343kjq.jpg,https://wx2.sinaimg.cn/large/6fba2288ly1g9sz7d4s3ej222q343qv9.jpg",https://data.vod.itc.cn/?new=/216/215/lCLzEC0OTy6UdxnpST9f6E.mp4&vid=6013083&u=2&key=dYxTjnzYsLJe_EAMtG7lmp_lc7s7OwN9&plat=&mkey=cXDrQjZUC5jp9dpScXgk36aTO3Ha8dTI&ch=v&user=api&prod=weibo,,2019-12-11,,4422,4123,4253,时间告诉我,
4447700839359029,Ik0UPDgI5,非常感谢@凤凰网公益 #行动者联盟公益盛典#授予我“年度十大公益人物”的荣誉！让我能和各行各业的公益榜样们一起站在舞台上！公益路上收获了太多太多的幸福！妈妈一生的善良利他春风化雨般的影响我们，“心善了就幸福了！”我会一直带着她的光前行实初哥哥和眉庄小主@斓曦 合体竟然如此受欢迎，被感动了,"https://wx3.sinaimg.cn/large/6fba2288ly1g9qsho417kj20li0ls7ai.jpg,https://wx1.sinaimg.cn/large/6fba2288ly1g9qshqa11pj22gw1n9npd.jpg,https://wx2.sinaimg.cn/large/6fba2288ly1g9qshrqvd1j22gw1n9npd.jpg,https://wx3.sinaimg.cn/large/6fba2288ly1g9qsht913sj21cy21fb2a.jpg",,,2019-12-09,,4217,3399,3204,行动者联盟公益盛典,"凤凰网公益,斓曦"
4447384706617501,IjSGWrLvT,今天是我的生日，来祝福我吧！,,,,2019-12-09,生日动态,5873,3743,3315,,
4445389287497955,Ij2MwvsyL,今天步行出行！低碳出行，爱地球，趁现在。我正在参加#小小的追球#环保接力活动，参与一次捐1元。@张佳宁 接力，一起来！ ,https://wx1.sinaimg.cn/large/6fba2288ly1g9jf0a1kqlj20ms194dix.jpg,,,2019-12-03,,4725,4581,5131,小小的追球,张佳宁
4443202515789177,Ii7Ttoi1P,也许一个人的善行带来的影响非常渺小，但汇聚一群人的微小善意，就能产生大的改变。感谢粉丝们的多年陪伴，11月27日-29日，邀请大家和我做一件善意的小事。一次击掌，一次传递， 一起参与由@泰洋川禾 联合@星光公益联盟 @微博明星 发起的#击掌接力挑战#分享你的公益故事，让善意传递的更远。#粉丝嘉年华#,https://wx2.sinaimg.cn/large/6fba2288ly1g9cfv2z71oj20u00u0jun.jpg,,,2019-11-27,,5557,4798,8921,"击掌接力挑战,粉丝嘉年华","泰洋川禾,星光公益联盟,微博明星"
4434189199680569,IelpRECmd,#遇见天坛文化盛典# 遇见天坛，品味历史。其实礼乐在艺术中已经先行复活，但读懂天坛，只要用一个字：“礼”。遇见天坛的微博视频 ,,"http://f.video.weibocdn.com/0016wEN5lx07yfnHTqFa01041201uyas0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578648015&ssig=rsjw4uJzAf&KID=unistore,video",,2019-11-02,,5214,4765,5766,遇见天坛文化盛典,
4432407660777230,IdB4q3gbY,让人惊喜的活动，让人惊喜的品牌，因为自己确实使用了觉得好，所以才不吝推荐给朋友！真的是非常环保！神奇的无漆门！祝3D无漆木门25周年生日快乐，品牌的理念是：“一种特别环保健康更适合0~6岁儿童的家庭的无漆木门，给孩子一个安心的家！” ,"https://wx4.sinaimg.cn/large/6fba2288ly1g8e03csxg9j225s1fuhdt.jpg,https://wx2.sinaimg.cn/large/6fba2288ly1g8e03dhs15j225s1fuqv5.jpg,https://wx2.sinaimg.cn/large/6fba2288ly1g8e03btmbkj225s1fue81.jpg,https://wx2.sinaimg.cn/large/6fba2288ly1g8e03ee5m2j225s1fu1ky.jpg",,,2019-10-28,,6336,5299,5944,,
4431358292343748,Id9LT9PIo,千玺和冬雨的新电影《少年的你》今天上映了，剧中两个孩子的演技都很好，身处逆境却心怀希望，代入感极强令人心疼不已，难得的实力突出表现这正是每个人盛气年少时的懵懂成长故事。 “你保护世界，我保护你！你追世界，我追逐你背影！”@周冬雨 @TFBOYS-易烊千玺 #电影少年的你# ,"https://wx2.sinaimg.cn/large/6fba2288ly1g8ank03ar5j20u015z49g.jpg,https://wx2.sinaimg.cn/large/6fba2288ly1g8ank12lrzj21e01047wi.jpg,https://wx4.sinaimg.cn/large/6fba2288ly1g8ank1f8w4j21900u0jxs.jpg,https://wx4.sinaimg.cn/large/6fba2288ly1g8ank2cj2bj21kw11xb2a.jpg",,,2019-10-25,,32322,6518,11819,电影少年的你,"周冬雨,TFBOYS-易烊千玺"
