id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4016369450200953,E6RQl0Qhb,《小城市录音棚的生存之道》 。无关技术，无关励志，无关吐槽，说说在三线以下的小城市打拼的录音棚与制作人如何生存。 小城市录音棚的生存之道 ,,,,2016-09-05,微博 weibo.com,103,76,68,,
4461292666715732,IpIv8sb4g,少儿春晚的录音都结束了往后的日子里地板就得自己拖了不能老指望孩子们打滚儿蹭了 ,https://wx3.sinaimg.cn/large/6d55f9ccly1gay5h49k20j23lc20s4qs.jpg,,,2020-01-16,小米9,1,2,0,,
4460934670347409,IpzbJ1snn,人民艺术家的年底工作 ,"https://wx4.sinaimg.cn/large/6d55f9ccly1gax0c107adj20bu0c2ta4.jpg,https://wx1.sinaimg.cn/large/6d55f9ccly1gax0c1b2pgj2064064web.jpg",,,2020-01-15,小米9,1,3,0,,
4459609895068362,Ip0IZlgvM,几个月前的表情包改一改就能接着用了 ,"https://wx1.sinaimg.cn/large/6d55f9ccly1gass8ctmrmj20m80kk409.jpg,https://wx2.sinaimg.cn/large/6d55f9ccly1gass8d6svlj20760m8dgm.jpg",,,2020-01-11,小米9,2,0,0,,
4459140128803832,IoOviAWhi,录完音的阿姨们从包里掏出了丝巾对着话筒拍pose拍照……我寻思着是不是要把空调打到送风模式营造一下气氛 ,,,,2020-01-10,微博 weibo.com,1,6,0,,
4458892727556137,IoI4gvHHb,过年前的这段时间，请大家给身边的录音师朋友多一些包容和理解，此刻的他们心理都很脆弱、压抑、无助，年薪几万块却担负着百万年薪才有的期许和压力，却依然顽强地坚守在工作岗位上，为了演出的完美呈现默默付出着，他们，才是最可爱的人！ 录音师老孟的微博视频 ,,"http://f.video.weibocdn.com/002qubvNlx07A1xWXdnG010412004Ia40E010.mp4?label=mp4_hd&template=960x448.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1579168031&ssig=d1K2bZU5aG&KID=unistore,video",,2020-01-09,小米9,6,11,2,,
4458780982968854,IoFa2cskK,以后再扒YJJ的歌的伴奏带要加钱！这稀烂的语感和乐感是怎么混成一代人民艺术家成为春晚钉子户的，节奏拖得让人想钻进伴奏带踹他一脚让他唱快点。太难受了 ,https://wx3.sinaimg.cn/large/6d55f9ccly1gaq50pq6ncj20rm0rm75k.jpg,,,2020-01-09,小米9,0,9,0,,
4458408834596730,IovtNjhOO,当你因为工作需要听到自己几年前做的东西的时候 ,https://wx2.sinaimg.cn/large/6d55f9ccly1gaoyah15u6j207u080js1.jpg,,,2020-01-08,小米9,1,2,0,,
4456049102355984,Inw5M9STK,虽然跑调了但是精准地跑到了三度音程上老哥也是个狼人 录音师老孟的微博视频 ,,"http://f.video.weibocdn.com/003NfFbTlx07zP1XH0mk010412002xcE0E010.mp4?label=mp4_hd&template=960x448.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1579168031&ssig=Pb3I2cAMzc&KID=unistore,video",,2020-01-01,小米9,2,7,0,,
4455625255707656,Inl49nWOY,如何让一个很糊的伴奏的音质听起来瞬间变好？——问我如果重新扒带要多少钱就行了。 ,,,,2019-12-31,微博 weibo.com,2,4,0,,
4454861871167332,In1cT4TFW,宿州文艺圈造假第一人不愧是我 ,https://wx4.sinaimg.cn/large/6d55f9ccly1gadmxfuclnj20qi0pb40o.jpg,,,2019-12-29,小米9,2,7,0,,
4454468369779217,ImQYcF21j,摆在年薪十万的调音师面前的都是百万年薪的调音师才能搞定的vocal ,https://wx3.sinaimg.cn/large/6d55f9ccly1gacdqivo2qj20qo0jw0vj.jpg,,,2019-12-28,小米9,2,7,0,,
4453387841996026,ImoRq8nfY, ,"https://wx4.sinaimg.cn/large/6d55f9ccly1ga8xmw80m7j20qn0fk40y.jpg,https://wx2.sinaimg.cn/large/6d55f9ccly1ga8xmwfuuqj20qn0fsgob.jpg,https://wx4.sinaimg.cn/large/6d55f9ccly1ga8xmwpmekj20qn0frgo7.jpg",,,2019-12-25,小米9,3,2,0,,
4452253090394316,IlVlb1EzW,从十一月中到现在吃了一个半月的外卖除了家和录音棚没去过别的地儿新开了啥好玩的也不知道没看电影没追新番没肝游戏感觉要与世隔绝了 ,https://wx4.sinaimg.cn/large/6d55f9ccly1ga5bbdfo5zj20j80eftau.jpg,,,2019-12-22,小米9,0,1,0,,
4451930179157755,IlMWlCqlJ,大姐我寻思着录音室里暖气开得挺足的呀你咋哆嗦成这样捏 ,https://wx1.sinaimg.cn/large/6d55f9ccly1ga4a7uu2xjj20hz07ytaj.jpg,,,2019-12-21,微博 weibo.com,6,9,0,,
4451554167364133,IlD9SuTKl,宿州市最有腔调的老板不接受反驳 ,https://wx3.sinaimg.cn/large/6d55f9ccly1ga331mggd2j20pn085myd.jpg,,,2019-12-20,小米9,6,0,0,,
4451208997125026,Ilub9tTxM,彻底不用担心老是忘关棚里的空调和取暖器小米生态链改变生活要是手机的产品力再强点就好了 ,"https://wx4.sinaimg.cn/large/6d55f9ccly1ga1zei4wncj23341qihdv.jpg,https://wx4.sinaimg.cn/large/6d55f9ccly1ga1zej8kx4j20u01qomzz.jpg",,,2019-12-19,小米9,3,2,0,,
4450968042939964,IlnUwckOM,在某鱼上收了几支这玩意儿，录那些人数超多的少儿节目的时候当点麦，话放本身不差，效果影响不大，关键是：弄坏了绝对赔得起 ,https://wx2.sinaimg.cn/large/6d55f9ccly1ga17q6uzfaj23341qib2b.jpg,,,2019-12-18,小米9,4,4,0,,
4450919422769381,IlmE6bCrr,不遇到真是难以想象，还真有还那种不找伴奏天天跟着原唱排练，跟着原唱就算了还不下载到电脑上，不下载到电脑上就算了还不是音频是视频，是视频就算了每次排练打开还要先听几十秒app广告的神仙少儿培训班啊 ,https://wx1.sinaimg.cn/large/6d55f9ccly1ga124xpxboj20j60ln0vr.jpg,,,2019-12-18,小米9,2,6,0,,
4449068178400846,IkAudzfrw,年底迷惑行为 ,https://wx4.sinaimg.cn/large/6d55f9ccly1g9v5j7yfakj20pr1jljxg.jpg,,,2019-12-13,小米9,2,5,0,,
4448405361546970,Ikjfa6ur8,今天的录音结束。辅导老师：来，给叔叔说再见。孩子们：哥~哥~再~见~ ,https://wx2.sinaimg.cn/large/6d55f9ccly1g9t1epkrcpj20c80c8gm4.jpg,,,2019-12-11,小米9,2,2,0,,
4446972838262208,IjHYDyFnq,真的是。。感觉身边随便一个普通话说得还行的朋友都开了个少儿主持班 ,https://wx2.sinaimg.cn/large/6d55f9ccly1g9ogvslfouj20kt0q0772.jpg,,,2019-12-07,小米9,1,6,0,,
4446863640132600,IjF8w0yuI,录音的孩子一多，地板都不用拖把拖了，被满地打滚的孩子们的羽绒服蹭得跟打了蜡似的，就是有点滑 ,https://wx2.sinaimg.cn/large/6d55f9ccly1g9o4cgd1rqj206o060wee.jpg,,,2019-12-07,小米9,4,1,0,,
