id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4466458749179312,IrSTwCvXq,奶奶的妈妈的嫁妆，留了一个给我奶奶，土漆竹篾的女红篮 金华·武义县 ,"https://wx1.sinaimg.cn/large/685f538cly1gbemq1l98sj22c02c0kjp.jpg,https://wx3.sinaimg.cn/large/685f538cly1gbempd3qcmj22c02c07wl.jpg,https://wx3.sinaimg.cn/large/685f538cly1gbemq7a4ttj22c02c01l1.jpg,https://wx4.sinaimg.cn/large/685f538cly1gbemqd2z80j22c02c07wk.jpg",,金华·武义县,2020-01-30,iPhone XR,20,4,4,,
4461481578361076,IpNpPz564,看完这自称是粉丝的人的留言还是挺让人生气的，对东方艺术的认知建立在西方音乐浪漫主义的认知基础上，然后对我们组的复原学术方法对认知为0的情况下对我们的复原及演奏方法大放厥词指手画脚，如此盲目自大还真是挺可悲的。顺便，请你多听那些你认为正宗的“真唐乐”吧。 ,"https://wx2.sinaimg.cn/large/685f538cly1gayr5mg4k2j20n01ds7ed.jpg,https://wx3.sinaimg.cn/large/685f538cly1gayr5mv7pxj20n01dsdqx.jpg,https://wx3.sinaimg.cn/large/685f538cly1gayr5ne7ajj20n01ds15i.jpg,https://wx1.sinaimg.cn/large/685f538cly1gayr5m2ks9j20n01dswpu.jpg,https://wx2.sinaimg.cn/large/685f538cly1gayr5nu2gnj20n01dsal3.jpg",,,2020-01-16,iPhone XR,15,9,4,,
4459875499000610,Ip7DnBLt8,池咚咚《撞》2.0  白盒子艺术馆 圆满结束 感谢遇见 北京·798艺术中心 ,"https://wx4.sinaimg.cn/large/685f538cly1gatmqetk9sj22tc240hdv.jpg,https://wx2.sinaimg.cn/large/685f538cly1gatmqfyzkhj22c0340npf.jpg,https://wx4.sinaimg.cn/large/685f538cly1gatmqhf9xlj22c03404qr.jpg,https://wx3.sinaimg.cn/large/685f538cly1gatmqhw338j20u011iapm.jpg,https://wx2.sinaimg.cn/large/685f538cly1gatmqjbn8qj23402c0x6q.jpg,https://wx4.sinaimg.cn/large/685f538cly1gatmqdzp2nj21400u0ago.jpg,https://wx3.sinaimg.cn/large/685f538cly1gatmqjvygij21400u0k47.jpg,https://wx4.sinaimg.cn/large/685f538cly1gatmqk3o4gj20u00vhwic.jpg,https://wx3.sinaimg.cn/large/685f538cly1gatmqk9ztcj20u00u0akf.jpg",,北京·798艺术中心,2020-01-12,iPhone XR,16,5,0,,
4458866718447078,IoHojzrtc,收到了北京外国语大学日本学研究中心的张龙妹老师帮我们从日本宫内厅书陵部复制的三份重要资料，2020年最好的礼物，太多重要的失传乐谱和资料了。改变中国传统音乐的现状我们在努力着！ 北京 ,"https://wx3.sinaimg.cn/large/685f538cly1gaqevmw520j233a2aqkjn.jpg,https://wx1.sinaimg.cn/large/685f538cly1gaqevpko7ej2340237kjp.jpg,https://wx3.sinaimg.cn/large/685f538cly1gaqevkpo7pj231329vkjp.jpg",,北京,2020-01-09,iPhone XR,29,6,17,,
4455986250765492,Inusp3d8E,2020年第一天，被池老师薅到798排练[愉快] 北京·798艺术中心 ,https://wx1.sinaimg.cn/large/685f538cly1gah82653bpj22c0340e82.jpg,,北京·798艺术中心,2020-01-01,iPhone XR,8,14,0,,
4446307698047746,IjqFPxLAm,@万能的淘宝 ,https://wx1.sinaimg.cn/large/685f538cly1g9mchiu1xhj20n01dsnpd.jpg,,,2019-12-06,iPhone XR,4,0,0,,万能的淘宝
4446161140338095,IjmRs1pX9,钟粹宫大圣遗音唐琴打卡成功！谢谢策展人朵朵同学，展呈设计的太棒了！ 北京·故宫博物院 ,"https://wx4.sinaimg.cn/large/685f538cly1g9lvniyli4j22c03404qq.jpg,https://wx3.sinaimg.cn/large/685f538cly1g9lvnmqpezj22c03407wi.jpg,https://wx1.sinaimg.cn/large/685f538cly1g9lvnp64btj22c0340hdt.jpg,https://wx4.sinaimg.cn/large/685f538cly1g9lvnrn4lcj22c0340qv5.jpg,https://wx2.sinaimg.cn/large/685f538cly1g9lvnufqw1j22c0340u0x.jpg,https://wx3.sinaimg.cn/large/685f538cly1g9lvnxebn4j22c0340qv5.jpg",,北京·故宫博物院,2019-12-05,iPhone XR,22,5,5,,
4441748904836901,Ihw4Wkiix,上午的议题过半了。 福州·福州大学 ,https://wx4.sinaimg.cn/large/685f538cgy1g97sx8gnshj22c03407wk.jpg,,福州·福州大学,2019-11-23,iPhone XR,12,2,1,,
4441568926544216,IhroErsrS,夜探三坊七巷，出来后发现福鼎肉片，赶紧来一碗！ 福州·三坊七巷 ,"https://wx2.sinaimg.cn/large/685f538cgy1g9787lag5sj22c0340hdu.jpg,https://wx1.sinaimg.cn/large/685f538cgy1g9788ifa22j22c0340b2a.jpg,https://wx1.sinaimg.cn/large/685f538cgy1g9786kj4p8j23402c0x6q.jpg,https://wx3.sinaimg.cn/large/685f538cgy1g97897ur1vj228w28whdu.jpg",,福州·三坊七巷,2019-11-22,iPhone XR,24,7,0,,
4441549431365046,IhqTd5J6S,来福州报到——扁肉！ 福州 ,https://wx4.sinaimg.cn/large/685f538cgy1g9760ixwbzj22bv2bvqv5.jpg,,福州,2019-11-22,iPhone XR,21,5,0,,
