id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3812807293939028,C5naVgwII,纠正！纠正！ 笑抽了。。。微博视频 ,,,,2015-02-21,微博桌面,7,14,113,,
3805544168676332,C2kecAp6Q,别人再好，也是别人。自己再不堪，也是自己，独一无二的自己。只要努力去做最好的自己，一生足矣。美好总是那么的短暂，我们不得去感慨。喜欢一个人，如果是失去了，就像是丢掉自己心爱的物品，虽是有遗憾，但是在心中不会有多痛。可是爱一个人，如果失去了，就会留下一个伤口，永远都会隐隐作痛。 ,https://ww2.sinaimg.cn/large/6dcb555djw1eou5tj4tcoj20c80iegn5.jpg,,,2015-02-01,微博桌面,27,24,131,,
3795265590509682,BDYib28AG,当男人见到漂亮女人之后| 秒拍视频 ,,,,2015-01-04,微博桌面,8,24,41,,
3777651199708653,BwA3REJFb,再大的伤痛，睡一觉就把它忘了。背着昨天追赶明天，会累坏了每一个当下。边走边忘，才能感受到每一个迎面而来的幸福。烦恼不过夜，健忘才幸福。 ,https://ww1.sinaimg.cn/large/6dcb555djw1emd6cun8r7j20c80f8759.jpg,,,2014-11-16,微博桌面,14,34,129,,
3767397657579936,BshjTvNT2,客车上，我：师傅这车不走高速吗？ 司机：这就是高速啊。 我：大哥你这样就不对了，可以侮辱我的人格，绝不允许侮辱我的智商，你解释一下这红绿灯怎么回事？ 司机…………#挑战星星的智商# ,https://ww2.sinaimg.cn/large/6dcb555dtw1elggr1qbqfj20c808eq4k.jpg,,,2014-10-19,360安全浏览器,7,65,187,挑战星星的智商,
3720598943264823,B8DS6dHkr,#so，这就是我# 玩微博， 做饭，网购，这些都是我的菜，关注空间形象，也爱真实的自己。生活就是做不一样的自己。so，这就是我…… ,,,,2014-06-12,360安全浏览器,8,5,5,so，这就是我,
3716773863976035,B72mCgGlB,成熟的标志： 1.不再盲目跟风；2.不再犹豫不定；3.合理安排时间；4.开始关注新闻国事；5.开始养生；6.在爱情、友情、亲情之间，首先想到亲情；7.不再用哭闹来解决问题；8.重视身边的朋友；9.让周围的人快乐；10.在得失方面变得大度；11.学着尊重每个人；12.自信地生活；13.淡忘仇恨。 ,https://ww4.sinaimg.cn/large/6dcb555dtw1egyyow19qej20b40fa769.jpg,,,2014-06-01,360安全浏览器,10,16,89,,
3703340133059585,B1oTjcPW9,每晚睡前，原谅所有的人和事。闭上眼睛，清理你的心，过去的就让它过去吧。无论今天发生多么糟糕的事，都不应该感到悲伤。一辈子不长，用心甘情愿的态度，过随遇而安的生活。 ,https://ww2.sinaimg.cn/large/6dcb555dtw1efs3uhxlryj20ia0rfjus.jpg,,,2014-04-25,360安全浏览器,12,15,103,,
3700786623709927,B0ksKfz7x,别人想什么，我们控制不了；别人做什么，我们也强求不了。唯一可以做的，就是尽心尽力做好自己的事，走自己的路，按自己的原则，好好生活。即使有人亏待了你，时间也不会亏待你，人生更加不会亏待你！善待别人，就是善待自己。 ,https://ww2.sinaimg.cn/large/6dcb555dtw1efjykytj90j20c808575l.jpg,,,2014-04-18,360安全浏览器,9,17,78,,
3699662630235038,AFOGb0Z8W,爸，你这是在暗示我赶紧给你换一部4G手机的节奏吗？不带这么坑儿子钱包的呀。 ,https://ww1.sinaimg.cn/large/6dcb555dtw1efgdhqc5y1j20bf0e10tn.jpg,,,2014-04-15,360安全浏览器,4,40,561,,
