id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4437372885974706,IfGeQp4ie,臭弟弟上班快乐！嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿（笑出声 ,,,,2019-11-11,iPhone客户端,191,2,25,,
4427338559158647,IbtcrCqA7,两年来第一次为陌生人类死亡瞬间不由自主流泪的，是崔雪莉。如此美丽的存在。虽然没提过她，但看到好看的图片会忍不住看一会儿。确实很漂亮。希望除了死亡的提醒，别的时刻也能总是记得“任何人都是一个真实具体的人”这件事。无论是什么原因，希望美丽的女孩安息。 ,,,,2019-10-14,iPhone客户端,490,3,154,,
4397682011156173,HEZ9D4QLX,好想和养小兔子的人交朋友喔。我喜欢养小兔子的人。 ,,,,2019-07-24,iPhone客户端,30,2,2,,
4381917552542371,Hyn35aFnZ,国雄听着糙，不也很有日常亲切的别致性感，感觉很有生活气息，是哪家女婿的感觉。长着大圆眼睛的叫国雄的小女婿嘿嘿嘿嘿。阿远就初恋很多了，且要谈几年恋爱呢。（无话找话笑眯眯 ,,,,2019-06-11,iPhone客户端,294,0,51,,
4381693416722889,HyhdzscVH,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿没有暑假的小孩 ,,,,2019-06-10,iPhone客户端,339,0,116,,
4368940085598076,HsVrGnujy,大兄弟现在的长相气质，像是以他的咕噜噜大圆眼睛为本质的神韵，然后幻化出一整个体现这种神韵的实体出来，一个圆眼“精”。整个人紧实、轻盈，一些仙气（这个词现在超俗的，但是大兄弟的是真仙气！）、矫健，一点都没有赘笔，线条流畅；还是活泼泼的，有一点点可能是宋运辉留下来的不自觉的稚（总觉得宋运辉前前后后的时间、准备和沉浸参与了他的外貌气质），但如果说每个人会流露出一种属于自己的基调、氛围的话，又有较之从前更悠长淡远的感觉。,,,,2019-05-06,iPhone客户端,759,1,334,,
4354070221934567,HmGC287gH,自从养了小兔子（是一只真的小兔子）之后，对父爱母爱祛魅了很多。倒不是说养了兔子就竟敢从此轻视了父母之爱，而是深深感觉到，生养、抚育他人他物，本身就意味着权力、义务和乐趣。是你的意志首先施加于人，你得先好好负起责任。所谓平衡，可能不是在父母子女两代人内部之间平衡，而是为人父母者曾是被父母好好爱过的孩子，被好好爱的孩子会成为其他孩子的父母。大家好好地生活，即使刨去父母子女的身份关系，也能摸着良心说自己是个还算不赖的人。《都挺好》这个结局，倒不觉得是大团圆。苏母一死了之，苏大强一老了之，一病了之，留下苏明玉收拾残局，因激荡的爱与失落而加倍痛苦，或者不失幸福。我不喜欢这种眼泪和随之而来似乎不得不感动的情感冲击。因为深知大家不得不被感动。正因为是身不由己不得不被裹挟着感动的情感冲击，为人父母者更应该明白自己这种身份、行为对于儿女的情感分量和冲击，在力所能及的范围内不要欺负年幼年少的孩子。不要在ta们弱小时不公平地欺负ta们，等ta们长大了而自己老了，又倚老卖老仗弱欺人，用白发、皱纹、疾病和苍老的背影继续降服对自己心软的孩子。那就会制造一种黏糊糊不得劲泛着头油汗馊味儿的眼泪和感动。有多不得不感动，就有多不甘心，也就有多痛苦吧。孩子做错了什么呢，因先天无法选择的情感弱势和依附性，一次次被欺负，强悍里都带着捋不直的委屈。这委屈，打开门去，广大世界无人理会，关起门来，盘根错节谁敢承担？她当然只能原谅和放下，因为虽然过去被亏欠，可是如果不接受现在，她就无法拥抱未来—因为她从来就不是坏孩子，错的那个不是她。父母子女，是难以割舍抛离的缘分更是必须认真对待精心处理的关系。强者该自知自制，弱者该得到保障。无论是父母还是孩子。,,,,2019-03-26,iPhone客户端,194,2,53,,
4350751550033495,Hlihl08If,没有时代滤镜，对怀旧重聚兴趣缺缺。对已逝之物没有“必然胜过此刻”的执念，从前的美人未必不曾经过加工，从前的人心未必纯良过当下。一头月光冰冷日光炽热天地新鲜的小野兽，始终在兴致勃勃穿过时间。如果对你的爱意从过去延续到此刻，不是因为要靠过去的温情来吊命至今，是因为此刻的你仍然持续地对我发出爱意的真实驱动和召唤。,,,,2019-03-17,iPhone客户端,178,0,33,,
4347328267569569,HjRdUvLbP,我喜欢阿闭了！❤️ ,,,,2019-03-07,iPhone客户端,202,0,22,,
4322600707043189,H9tWKtyfP,我发表了头条文章:《你好，宋运辉》 你好，宋运辉 ,,,,2018-12-29,iPhone客户端,875,0,450,,
