id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4437516281387476,IfJY85OWE,感恩！第十五届中美电视节最佳导演奖和优秀电视剧金天使奖，两项大奖加持《黄金瞳》。附获奖感言如下：感谢中美电视节！没有哪部剧是导演一个人完成的。感谢我所有的合作方。感谢爱奇艺！感谢龚宇博士、王晓晖先生、樱子女士、蓬蓬、庞秦。感谢腾讯影业程武先生、陈英杰先生，我的监制铁佛先生。感谢像家人一样陪伴我十多年的我的制片人勇哥。所有的荣誉都属于为《黄金瞳》付出辛苦努力所有演员和工作人员！爱你们[拥抱]《黄金瞳》导演获中美电视节”金天使奖”年度最佳导演,,,,2019-11-11,iPhone XS Max,2227,350,163,,
4458913220683434,IoIBk2RN8,恰同学少年！左一是《破冰行动》的@傅东育   导演，C位是《爱国者》《心灵法医》的@龚朝小导演 。为了迎接新十年的到来，我们特意摆了和平精英的造型。请各位看官脑补双肩背和98K哈～ ,"https://wx1.sinaimg.cn/large/538c1bd9ly1gaqk7pxlz3j218s0u0dlx.jpg,https://wx4.sinaimg.cn/large/538c1bd9ly1gaqk7q7lwsj210k0r80wn.jpg,https://wx3.sinaimg.cn/large/538c1bd9ly1gaqk7pmf62j218s0u0ahu.jpg",,,2020-01-09,iPhone XS Max,41,6,3,,"傅东育,龚朝小导演"
4456999582821019,InUOObPSj,照见     自己 绿洲 ,https://wx2.sinaimg.cn/large/538c1bd9ly3gakgfy5p81j20zk0ziwl3.jpg,,,2020-01-04,绿洲APP,63,2,2,,
4440026378883805,IgNgFBh5b,@龚朝小导演 执导@聂远 主演《心灵法医》，带你感受最冰冷的温暖估计会非常火爆！据说，每一具尸体都比导演好看😎 ,https://wx4.sinaimg.cn/large/538c1bd9ly1g92azhhq8jj20u01hcqi5.jpg,,,2019-11-18,iPhone XS Max,63,9,1,,"龚朝小导演,聂远"
4432440963477248,IdBW8eAAE,恭贺@李立群 先生荣获第六届文荣奖最佳男配奖[啤酒]这也是《黄金瞳》目前获得得若干奖项中的第一个单项奖。剧中的德叔把自己盘成了一块老玉。立群先生风轻云淡早早便是生活的男主。甚幸能与公同行！再贺[啤酒][啤酒] ,"https://wx4.sinaimg.cn/large/538c1bd9ly1g8e3vhxdwdj21hc0u0kbi.jpg,https://wx4.sinaimg.cn/large/538c1bd9ly1g8e3vi6xsbj20ir0s4wj3.jpg,https://wx4.sinaimg.cn/large/538c1bd9ly1g8e3vho42oj213y0tywp3.jpg",,,2019-10-28,iPhone XS Max,1408,147,56,,李立群
4415049084932372,I6juIkH8o,当年万里觅封侯，而今竹杖芒鞋轻胜马。对一壶酒，一张琴，一溪云。自古江湖无少年，感恩所有岁月无疆 ,https://wx2.sinaimg.cn/large/538c1bd9ly1g6umhh54z0j20hb0cmgn8.jpg,,,2019-09-10,iPhone客户端,1296,218,19,,
4411076260876950,I4E8W3G8m,十一年后，中国电视剧再夺首尔国际电视节最高荣誉金鸟奖恭喜我《黄金瞳》所有兄弟十一年前获得此殊荣的是@导演毛卫宁 拍摄的《英雄无名》也在此遥遥的跟毛毛哥击掌🖐🏻️《黄金瞳》获首尔国际电视节奖项 中国故事讲传统文化 北京 ,,,北京,2019-08-30,iPhone客户端,2350,299,229,,导演毛卫宁
4407116334778983,I2Z7Xk3en,夏天就要过去，生活依旧火热。感谢所有 北京 ,"https://wx3.sinaimg.cn/large/538c1bd9ly1g65bf7fkcbj22yq24eb2b.jpg,https://wx2.sinaimg.cn/large/538c1bd9ly1g65bfa4kz0j22c0340x6p.jpg",,北京,2019-08-19,iPhone客户端,627,140,10,,
4405614656900297,I2m3TsX57,感谢所有为曾经陈堂证供的文字和解读。感谢@李星文 北京 ,"https://wx3.sinaimg.cn/large/538c1bd9ly1g60ivjiql5j213c0outgh.jpg,https://wx4.sinaimg.cn/large/538c1bd9ly1g60ivjxsgcj215s0rwwq4.jpg,https://wx2.sinaimg.cn/large/538c1bd9ly1g60ivj7hjmj214a0mujyp.jpg,https://wx1.sinaimg.cn/large/538c1bd9ly1g60ivkicapj215s0mgnbp.jpg",,北京,2019-08-15,iPhone客户端,133,8,2,,李星文
4401287779508737,I0xv3DTEJ,今晚帝都最帅的崽 北京·凯迪拉克中心 ,https://wx4.sinaimg.cn/large/538c1bd9ly1g5mq11k8p3j22yw1oo7wi.jpg,,北京·凯迪拉克中心,2019-08-03,iPhone客户端,9455,871,794,,
