id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4446895222733605,IjFXsbt8p,在恶劣天气中的新闻报道中，百分百会出现的散步柴犬 ,"https://wx2.sinaimg.cn/large/006t5KMyly1g9o1o4lrdxg30al05qx6p.gif,https://wx4.sinaimg.cn/large/006t5KMyly1g9o1rmbkfrj30dw08cac9.jpg,https://wx1.sinaimg.cn/large/006t5KMyly1g9o1rm99hej30hs0a0gma.jpg,https://wx1.sinaimg.cn/large/006t5KMyly1g9o1sg847vj30sg0fzdhe.jpg,https://wx2.sinaimg.cn/large/006t5KMyly1g9o1v3h6v5j30u01401hs.jpg,https://wx3.sinaimg.cn/large/006t5KMyly1g9o1rnwz1hj30go09ct9q.jpg,https://wx3.sinaimg.cn/large/006t5KMyly1g9o1rpphy6j30b4069mx6.jpg,https://wx1.sinaimg.cn/large/006t5KMyly1g9o1thbfeuj30q10nxq8o.jpg,https://wx2.sinaimg.cn/large/006t5KMyly1g9o1rtp34lj307y07t74d.jpg",,,2019-12-07,微博 weibo.com,12936,1848,6348,,
4454602877264114,ImUt9utJ8,晚安了可爱的人类们         Instagram：wolf_and_fox_stories ,https://wx3.sinaimg.cn/large/006t5KMyly1gact69nfp8j30u00irdgm.jpg,,,2019-12-29,微博 weibo.com,473,14,138,,
4454548389059084,ImT3gC0Gg,吃饱喝足好困哦      Instagram：kinagoro17 柴犬柴犬的微博视频 ,,"http://f.video.weibocdn.com/000WD6xqgx07zIqrqmUE010412002v9S0E010.mp4?label=mp4_720p&template=640x640.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577576808&ssig=z39pc1bUj%2F&KID=unistore,video",,2019-12-28,捡柴のiPhone客户端,611,39,179,,
4454466759504226,ImQVBDStY,亲亲😘～       Instagram：sunny_rei_32 ,"https://wx2.sinaimg.cn/large/006t5KMyly1gacdjhesv3j30ku0kqgpd.jpg,https://wx1.sinaimg.cn/large/006t5KMyly1gacdjgsxc1j30ku0koq6m.jpg",,,2019-12-28,捡柴のiPhone客户端,662,34,165,,
4454426326951227,ImPSotakz,大好周末起什么床，我们继续睡啊          Instagram：yorimenohachi  柴犬柴犬的微博视频 ,,"http://f.video.weibocdn.com/001ZfUXOlx07zHT8zsDK01041200klgX0E010.mp4?label=mp4_720p&template=640x640.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577576808&ssig=abXCrOZYWl&KID=unistore,video",,2019-12-28,微博视频,929,70,235,,
4454260454070679,ImLyRh4Y7,晚安啦可爱的人类们，周末愉快        Instagram：anchor_kentaromiura ,https://wx2.sinaimg.cn/large/006t5KMyly1gabpunk9c6j30h00gw3ze.jpg,,,2019-12-27,微博 weibo.com,644,25,160,,
4454202988231710,ImK4ayxrw,开心到飞起就是这样的吧        Instagram：shiba_charmy ,"https://wx2.sinaimg.cn/large/006t5KMyly1gabj91uyh2j30u00u03zr.jpg,https://wx3.sinaimg.cn/large/006t5KMyly1gabj9299pjj30u00u075q.jpg",,,2019-12-27,微博 weibo.com,766,37,207,,
4454159375810417,ImIVPonyp,天使的呼唤       Instagram：mameshiba_sakuraan  柴犬柴犬的微博视频 ,,"http://f.video.weibocdn.com/003pvrndlx07zGIidsOc010412007P350E010.mp4?label=mp4_720p&template=640x640.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577576808&ssig=EVdKM4iLbe&KID=unistore,video",,2019-12-27,微博视频,609,95,246,,
4454141059100618,ImIshCbua,吃蛋糕好开心哦！（犬用的小蛋糕，要牢记狗狗是不能吃巧克力的哦！）       Instagram：ringorogram  柴犬柴犬的微博视频 ,,"http://f.video.weibocdn.com/003QejsJlx07zGDhJiVi010412005BNe0E010.mp4?label=mp4_hd&template=640x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1577576808&ssig=pClly1G%2BhR&KID=unistore,video",,2019-12-27,微博视频,1246,136,254,,
4454101327163471,ImHqcu3xR,笑死，原来柴鼻还有这作用哈哈哈哈哈哈哈（写的是merry christmas的日文）         Instagram：ganchi_with_kotetsu ,https://wx2.sinaimg.cn/large/006t5KMyly1gab7kecyzhj30u00u00we.jpg,,,2019-12-27,微博 weibo.com,873,39,181,,
4454053712794829,ImGbpbJ3T,裹紧我俩的小被子，小可爱们要注意保暖啊      Instagram：mokaann_shiba ,"https://wx3.sinaimg.cn/large/006t5KMyly1gab23wwl0pj30ku0pqaep.jpg,https://wx2.sinaimg.cn/large/006t5KMyly1gab23wg0gnj30ku0pstdc.jpg,https://wx3.sinaimg.cn/large/006t5KMyly1gab23xjloxj30ku0psjw8.jpg",,,2019-12-27,捡柴のiPhone客户端,694,42,169,,
4453894208242644,ImC28yAhS,晚安啦可爱的人类们     Instagram：kou. eri. aya ,"https://wx2.sinaimg.cn/large/006t5KMyly1gaajsl08igj30ku0ppwim.jpg,https://wx2.sinaimg.cn/large/006t5KMyly1gaajsllx6sj30ku0pwdjs.jpg,https://wx3.sinaimg.cn/large/006t5KMyly1gaajsk9v3qj30ku0pudj3.jpg,https://wx4.sinaimg.cn/large/006t5KMyly1gaajsnhpy7j30ku0putdc.jpg",,,2019-12-26,捡柴のiPhone客户端,992,89,226,,
4453863597410717,ImBeLv5RH,感觉阿大在很认真地跟铲屎官说话，请问翻译在哪里？         Instagram：kplan_haru  柴犬柴犬的微博视频 ,,"http://f.video.weibocdn.com/001f5a9ilx07zFpzYGGc01041200gdLS0E010.mp4?label=mp4_720p&template=640x800.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577576808&ssig=QK78wEF9hx&KID=unistore,video",,2019-12-26,可爱萌宠 · 视频社区,1062,123,291,,
4453831003410735,ImAocejhR,是uni宝宝的童年照，好奇的小眼睛瞅瞅你         Instagram：shiba_uni_20190107  柴犬柴犬的微博视频 ,,"http://f.video.weibocdn.com/000MK61Elx07zFgG2cVa01041200493N0E010.mp4?label=mp4_720p&template=640x640.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1577576808&ssig=AGyY%2FW%2BKtN&KID=unistore,video",,2019-12-26,微博视频,967,95,302,,
