id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4420344020369692,I8xeW1yaM,去医院病人太紧张，医生是什么感觉#医生到底有多好# ,"https://wx3.sinaimg.cn/large/e78a2f4fgy1g7akycu8g7j20jy07jmye.jpg,https://wx4.sinaimg.cn/large/e78a2f4fgy1g7akyctzs9j20jy081gn8.jpg,https://wx2.sinaimg.cn/large/e78a2f4fgy1g7akyctwq2j20jz08fjt9.jpg,https://wx4.sinaimg.cn/large/e78a2f4fgy1g7akyctw8aj20jy06675k.jpg,https://wx3.sinaimg.cn/large/e78a2f4fgy1g7akyctrkyj20k007cmya.jpg,https://wx1.sinaimg.cn/large/e78a2f4fgy1g7akycu7k1j20jz0bp0wi.jpg,https://wx3.sinaimg.cn/large/e78a2f4fgy1g7akycxc0dj20jz0brwi5.jpg,https://wx2.sinaimg.cn/large/e78a2f4fgy1g7akycx767j20jz09kq5s.jpg,https://wx4.sinaimg.cn/large/e78a2f4fgy1g7akyczsqjj20jy06swfw.jpg",,,2019-09-25,微博 weibo.com,5415,630,789,医生到底有多好,
4456926571973674,InSV38hrs,求求你们不要再打了 每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/003p6hYglx07zRNCmDKU01041200msJQ0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1578112375&ssig=9FbvptBlPy&KID=unistore,video",,2020-01-04,微博 weibo.com,2085,543,515,,
4456759475748293,InOzxo7op,舔狗不得house 每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/001hnH5Clx07zRNFdSjS01041200BoeT0E010.mp4?label=mp4_720p&template=848x642.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578112433&ssig=CD6YMoDXTJ&KID=unistore,video",,2020-01-03,微博 weibo.com,2148,580,1055,,
4456671017189872,InMgRuapG,哈哈哈哈这个是唯一一个让我笑的 #漫画表情包cos#  每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/001aqEeqlx07zRLHjnK001041200g6xB0E010.mp4?label=mp4_hd&template=576x1024.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1578112433&ssig=MHoAM6FCKV&KID=unistore,video",,2020-01-03,微博视频,2122,562,1043,漫画表情包cos,
4456627136576622,InL85rASy,保洁阿姨硬核蹦迪  每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/004wxKfGlx07zRzIvyAU01041200HAgI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1578112433&ssig=SvpPEAzW%2Bz&KID=unistore,video",,2020-01-03,戏精恶搞 · 视频社区,2134,575,1295,,
4456562678481027,InJs7zAiL,当绿茶婊遇上了钢铁直男 每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/002bUhaZlx07zQjmQA80010412008Py00E010.mp4?label=mp4_hd&template=640x1280.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1578112433&ssig=tLjGp3pA9W&KID=unistore,video",,2020-01-03,微博 weibo.com,2186,578,563,,
4456396583838244,InF8eg6va,不怕沙雕多，就怕沙雕在一窝 每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/000OwrjQlx07zQjjI6hO01041200dq8F0E010.mp4?label=mp4_hd&template=540x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1578112433&ssig=KGMTz3p2Ka&KID=unistore,video",,2020-01-02,微博 weibo.com,4295,1120,1817,,
4456262445920370,InBDSoQ9Q,#卡点鬼才#那些被BGM耽误的跳舞鬼才 每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/002Ih4bqlx07zPUAq8sE01041201LlSc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1578112433&ssig=Y5FYJJiFy2&KID=unistore,video",,2020-01-02,戏精恶搞 · 视频社区,2244,582,1086,卡点鬼才,
4456201297259276,InA3fust6,为了防止大火继续烧毁农作物，这位司机也是拼了 每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/001ghS3Plx07zN2cuwTS010412009W4Z0E010.mp4?label=mp4_720p&template=540x540.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1578112433&ssig=1SX1AGhB7x&KID=unistore,video",,2020-01-02,微博 weibo.com,2267,605,1077,,
4456035202978382,InvJmcuOq,我妹和主治医师有点儿棋逢对手了。  每日笑话百科的微博视频 ,,"http://f.video.weibocdn.com/0023fnc4lx07zN2g3s2s01041201YhgU0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1578112433&ssig=dY%2BRk%2B%2BwZs&KID=unistore,video",,2020-01-01,微博 weibo.com,2802,608,1126,,
