id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4256201107370588,GnA2WuVqs,我发表了头条文章:《汤一介 : “打倒孔家店”与“五四运动”不能等同》 汤一介 : “打倒孔家店”与“五四运动”不能等同 ,,,,2018-06-29,华为麦芒5,37,24,10,,
4466038270132449,IrHXl0ysh,【沉思录】🍀 如何思考人类与自然的命运共同体？如何思考人类发展尤其科技发展的伦理问题，人类面对自然、以及面对人类，是否警戒贪婪，而应具有敬畏之心？著名学者、@武汉大学 教授，中国文化书院导师郭齐勇先生认为——“反思新型冠状病毒的起因，我们应从人与动物、人与自然的关系的高度去思考，应当善待其他的类存在，如动物、植物，回到中国传统的人与天地万物为一体的境界……”#武汉加油#,"https://wx1.sinaimg.cn/large/67f7b3edly1gbdah6gr15j20ix0e5dg5.jpg,https://wx2.sinaimg.cn/large/67f7b3edly1gbdah6ong0j20f40vo0w9.jpg",,,2020-01-29,全屏双摄 OPPO A5,1,3,0,武汉加油,武汉大学
4465998453249646,IrGV7dDnE,【北医名家】🍀 钟南山院士#北京大学# 校友钟南山教授，男，汉族，中共党员，1936年10月出生，福建厦门人，1960年毕业于北京医学院（今北京大学医学部）@北京大学医学部 ，中国工程院院士。2003年抗击“非典”中，他不顾生命危险救治危重病人，奔赴疫区指导医疗救治工作，倡导与国际卫生组织合作，主持制定我国“非典”等急性传染病诊治指南，为战胜“非典”疫情作出重要贡献。主动承担突发公共卫生事件代言人角色，向公众普及卫生知识，积极建言献策推动公共卫生应急体系建设，为夺取应对甲型流感、H7N9禽流感等突发公共卫生事件的胜利发挥了重要作用。两次荣获“全国先进工作者”称号，荣获国家科学技术进步奖一等奖；2018年12月，获改革先锋称号；2019年9月，当选“最美奋斗者”。据@北京大学 微信公众平台消息。#武汉加油#,"https://wx1.sinaimg.cn/large/67f7b3edly1gbd5uojo0vj20rs1dedk8.jpg,https://wx1.sinaimg.cn/large/67f7b3edly1gbd5up58gsj20go0lqtaz.jpg,https://wx4.sinaimg.cn/large/67f7b3edly1gbd5upjq3hj20u01fk14u.jpg",,,2020-01-29,全屏双摄 OPPO A5,8,2,2,"北京大学,武汉加油","北京大学医学部,北京大学"
4464593055556166,Ir6mlnjpA,【新春寄语】🍀 王 石：鼠年三鉴其一，鼠胆。不张者气势。但“胆小如鼠”绝对优于胆大包天，胆大妄为。尤处多事之秋，情形复杂，“戒慎恐惧”四字，应该记住。其二，鼠目。不足者近视。但以目光论，取景不可只图远大而不顾当下。做好眼前之事，身边之事，故“鼠目寸光”价值显然。其三，鼠态。不耻者猥琐。但锋芒之下，何不放低身段，以图来日？古之卧薪尝胆，韬光养晦，谓之“故作鼠态”也无不可。十二生肖，鼠坐头把交椅，近年更从人人喊打华丽转身为人见人爱，不因个头大小，实乃智慧使然，诚可鉴也！王石 先生，现任@中华文化促进会 主席，中央文史研究馆特约研究员等职，海内外知名文化NGO 机构领导人。著名文化学者，作家，知名编剧，曾执笔、主创《甲申文化宣言》，电视连续剧《渴望》，话剧《高山下的花环》等作品，策划“20世纪华人音乐盛典”，“中华文化年度人物”等大型文化活动。曾任教解放军艺术学院，北京大学，教授多门艺术学，美学理论课程等。,"https://wx3.sinaimg.cn/large/67f7b3edly1gb8ogyqexdj20dt0kz0wg.jpg,https://wx1.sinaimg.cn/large/67f7b3edly1gb8ogz2piqj20u01gg787.jpg",,,2020-01-25,全屏双摄 OPPO A5,3,2,3,,中华文化促进会
4464586411947123,Ir6bD8axd,【新春寄语】🍀 王石：鼠年三鉴其一，鼠胆。不张者气势。但“胆小如鼠”绝对优于胆大包天，胆大妄为。尤处多事之秋，情形复杂，“戒慎恐惧”四字，应该记住。其二，鼠目。不足者近视。但以目光论，取景不可只图远大而不顾当下。做好眼前之事，身边之事，故“鼠目寸光”价值显然。其三，鼠态。不耻者猥琐。但锋芒之下，何不放低身段，以图来日？古之卧薪尝胆，韬光养晦，谓之“故作鼠态”也无不可。十二生肖，鼠坐头把交椅，近年更从人人喊打华丽转身为人见人爱，不因个头大小，实乃智慧使然，诚可鉴也！作者王石先生，现任@中华文化促进会 主席，中央文史研究馆特约研究员等职，海内外文化NGO 机构领导人，著名文化学者，作家，知名编剧，曾执笔、主创《甲申文化宣言》，电视连续剧《渴望》，话剧《高山下的花环》等作品，策划“20世纪华人音乐盛典”，“中华文化年度人物”等大型文化活动。曾任教解放军艺术学院，北京大学，教授多门艺术学，美学课程等。,"https://wx3.sinaimg.cn/large/67f7b3edly1gb8nr71attj20dt0kz0wg.jpg,https://wx2.sinaimg.cn/large/67f7b3edly1gb8nr7c0j6j20u01gg787.jpg",,,2020-01-25,全屏双摄 OPPO A5,0,0,0,,中华文化促进会
4464498729395595,Ir3UcDqdR,【大年初一】🍀 为武汉内外的人们祈福！为中华民族以及人类命运祈福，为武汉内外的医护人员以及家属祈福，为应对中华民族危机的所有志士仁人祈福，为我们的所有的亲人朋友以及生命祈福！ 🙏🙏🙏🙏 ,"https://wx3.sinaimg.cn/large/67f7b3edly1gb8doz5hopj20rj0rj414.jpg,https://wx4.sinaimg.cn/large/67f7b3edly1gb8doze43cj20m50i1wga.jpg",,,2020-01-25,全屏双摄 OPPO A5,3,0,0,,
4464185931120155,IqVLH4Hp1,【新春祝福】🍀 “新年纳余庆，嘉节号长春”         ——祝福各位亲人，各位师友暨全家                新春吉祥如意，春节健康平安！                🙏🙏🙏#北京大学# ,"https://wx3.sinaimg.cn/large/67f7b3edly1gb7dqyktzrj20zk1u1ww7.jpg,https://wx2.sinaimg.cn/large/67f7b3edly1gb7dqyvbasj20u01jqq75.jpg,https://wx2.sinaimg.cn/large/67f7b3edly1gb7dqz2t61j20u01jqjvj.jpg",,,2020-01-24,全屏双摄 OPPO A5,1,1,0,北京大学,
4463857466988650,IqNdUtk4a,科学治理，天佑中华！🙏🙏🙏 ,"https://wx3.sinaimg.cn/large/67f7b3edly1gb6c0yvruaj20u01gg787.jpg,https://wx1.sinaimg.cn/large/67f7b3edly1gb6c1k7mpcj20f40vo0w9.jpg",,,2020-01-23,全屏双摄 OPPO A5,3,2,0,,
4463123337351333,Iqu7PuQpT,【文化消息】🍀 我国著名学者，北京大学哲学系教授、中国文化书院导师楼宇烈先生荣获“第六届会林文化奖”著名学者，哲学家、中国哲学史家、佛学家楼宇烈先生，日前荣获第六届会林文化奖。2020年1月8日下午，颁奖典礼在北京师范大学京师学堂隆重举行，设奖人北京师范大学资深教授黄会林先生、北京大学人文讲席教授安乐哲等百余位嘉宾参加。据@北京师范大学 方面消息。,"https://wx2.sinaimg.cn/large/67f7b3edly1gb3zq8tlahj20u00k0abi.jpg,https://wx3.sinaimg.cn/large/67f7b3edly1gb3zq91ey4j20m80etabb.jpg,https://wx1.sinaimg.cn/large/67f7b3edly1gb3zq9857nj20u00k0ad1.jpg,https://wx2.sinaimg.cn/large/67f7b3edly1gb3zq9fe7kj20f40vo0w9.jpg",,,2020-01-21,全屏双摄 OPPO A5,1,2,0,,北京师范大学
4462958022882998,IqpPcc5ZY,🍀 著名学者，北京大学教授、教育部“部编本”语文教材总主编，中国文化书院导师，山东大学一级教授“温儒敏先生的2019年”——2019年工作盘点：1、主持的高中语文统编教材通过审查，在北京上海等6省市投入使用。小学初中语文统编教材推向全国(至此教育部语文教材“部编本”小学，初中，高中部分 ...全文,"https://wx4.sinaimg.cn/large/67f7b3edly1gb3gr60q2ij20jw0emq85.jpg,https://wx4.sinaimg.cn/large/67f7b3edly1gb3gr68jhsj20f40vo0w9.jpg",,,2020-01-20,全屏双摄 OPPO A5,0,5,0,,
