id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4466767923174044,Is0WcdjIg,分享视频 江建民先生的微博视频 ,,"http://f.video.weibocdn.com/003Ast1flx07AAcZ52zC010412001am30E010.mp4?label=mp4_720p&template=720x952.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1580477052&ssig=ow7fHiQPjo&KID=unistore,video",,2020-01-31,iPhone XS Max,9,4,0,,
4466445712368446,IrSyv9W8K,这世界就是这么不公平，买不到的人，想尽办法去克服的戴，买得到的人确偏偏不戴 ,"https://wx2.sinaimg.cn/large/72e3933fgy1gbelbasof7j20r10xmn4p.jpg,https://wx3.sinaimg.cn/large/72e3933fgy1gbelbaa71uj20oo0t20y5.jpg",,,2020-01-30,iPhone XS Max,36,19,6,,
4466341458771675,IrPQlANUD,分享图片 台湾·新北市 ,https://wx1.sinaimg.cn/large/72e3933fgy1gbe9cb5wbkj20k00miq71.jpg,,台湾·新北市,2020-01-30,iPhone XS Max,17,4,1,,
4466179797721678,IrLDBwoLc,早在1992年我就开始着手这首单曲了，这是我上架的8首中酝酿最久的一首，虽然方向很明确，但是我一直卡在intro的部分，不知道该如何发展下去、一直到了2018才决定用几次临时转调的方式去解决我认为的[防止无聊问题]，一天我独自正在客厅里弹奏实验，太太刚刚进门随口说：这是什么歌？好听呀…这才给了我无比的勇气去完成它了《去南方吧》去南方吧（@网易云音乐）,,,,2020-01-29,网易云音乐,33,16,7,,网易云音乐
4466092800101117,IrJni0qiV,哈哈哈請叫藍屌江 台湾·新北市 江建民先生的微博视频 ,,"http://f.video.weibocdn.com/001YxTtTlx07AxeLlyJq010412007L4k0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1580477052&ssig=81zpZCFDEP&KID=unistore,video",台湾·新北市,2020-01-29,iPhone XS Max,71,39,10,,
4465958951531749,IrFTp6qtD,借了把贵贵的琴回家玩 台湾·新北市 ,"https://wx1.sinaimg.cn/large/72e3933fgy1gbd1e0pd46j22c0340hdt.jpg,https://wx4.sinaimg.cn/large/72e3933fgy1gbd1e223uoj23402c0e81.jpg,https://wx1.sinaimg.cn/large/72e3933fgy1gbd1e3zsjcj23402c0e2l.jpg,https://wx2.sinaimg.cn/large/72e3933fgy1gbd1e6ldsmj23402c0npe.jpg,https://wx4.sinaimg.cn/large/72e3933fgy1gbd1eak9e4j22c0340qv5.jpg,https://wx2.sinaimg.cn/large/72e3933fgy1gbd1ebu0xbj22c03407wh.jpg,https://wx3.sinaimg.cn/large/72e3933fgy1gbd1ed6h6wj22c0340npd.jpg,https://wx4.sinaimg.cn/large/72e3933fgy1gbd1eewt8xj22c03407wi.jpg,https://wx1.sinaimg.cn/large/72e3933fgy1gbd1eg8wlqj22c0340npd.jpg",,台湾·新北市,2020-01-29,iPhone XS Max,40,13,1,,
4465938919610816,IrFn5Ekda,3M就是品质产品的保证；M3 就是汽车动力品质的保证；MP 就是军人纪律的标准；MP3低音质的开始，唱片时代毁灭的导火索；那3P 呢？ 台湾·新北市 ,https://wx4.sinaimg.cn/large/72e3933fgy1gbcz3k00p6j23343344qr.jpg,,台湾·新北市,2020-01-29,iPhone XS Max,25,24,3,,
4465845130008643,IrCVP02fp,今天朋友家聚会结束回家发现钥匙辣朋友家了、连忙打电话给朋友、不巧、朋友也离开了，一小时后朋友赶回来载我再去他家，到了他家我狂找不到钥匙，最后………………………钥匙根本就在我包里 台湾·新北市 ,"https://wx1.sinaimg.cn/large/72e3933fgy1gbcme3qfmqj20qo0k0djm.jpg,https://wx4.sinaimg.cn/large/72e3933fgy1gbcme7e6rrj20qo0k0gnz.jpg,https://wx3.sinaimg.cn/large/72e3933fgy1gbcme1ob91j20qo0k0786.jpg,https://wx1.sinaimg.cn/large/72e3933fgy1gbcmebl0syj20qo0k0jve.jpg,https://wx4.sinaimg.cn/large/72e3933fgy1gbcndt6ozhj24f230iu0y.jpg",,台湾·新北市,2020-01-28,iPhone XS Max,52,25,1,,
4465838021048831,IrCKm4oQD,Taylor第一批货 02把琴，为了证明Taylor 技术的优越，这把琴坚持用不好的木料，用的是B&Q貨架拆下來的木頭做的，竟然音色很屌（注意圖二的釘痕） 台湾·新北市 ,"https://wx1.sinaimg.cn/large/72e3933fgy1gbckpa6e5gj22c0340x6p.jpg,https://wx3.sinaimg.cn/large/72e3933fgy1gbckpcw8c4j22c0340npe.jpg,https://wx1.sinaimg.cn/large/72e3933fgy1gbckt6t0u7j23402c0hdt.jpg",,台湾·新北市,2020-01-28,iPhone XS Max,31,16,3,,
4465702805502211,Irzegn5nl,朋友家的下午茶會  江建民先生的微博视频 台湾·林口區 ,,"http://f.video.weibocdn.com/002HYK7flx07AvwkXxkc01041200S2Hj0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1580477053&ssig=u0Qkhj5z9e&KID=unistore,video",台湾·林口區,2020-01-28,iPhone XS Max,49,19,6,,
