id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3449113968720530,ykBG4AABI,【12个年轻人卖房卖车筹集资金环球旅行】5月19日中午，12名年轻人依靠卖房卖车筹集的800多万元人民币，从北京出发，借助两辆房车开始环球旅行。他们计划用600多天走完全球60多个国家，足迹涉及200多个城市。网页链接 ,https://ww3.sinaimg.cn/large/7371a0e1jw1dt92dn7fpfj.jpg,,,2012-05-24,新浪浙江,0,9,16,,
3445524390979308,yj6ir46Li,【因救人煤气中毒，“康复”后再度毒发成植物人】三门县健农村村民陈立兴冲进煤气泄漏现场救出两名同事，却吸入过量煤气晕倒，“康复”后回单位上班，一个月后却遭遇致命后遗症——再度毒发成植物人，家人、单位、政府，谁也不想放弃……网页链接 ,,,,2012-05-14,新浪浙江,0,0,0,,
3445487212684047,yj5ktbgf5,【初三女生想提前看《甄嬛传》结局 被骗遭强奸】温州市文成初三女生小雪前些日迷上《甄嬛传》，经常每晚跑到校门口的小吃店看。5月3日放学后碰上无业青年阿浪，阿浪称家中有《甄嬛传》全集，为知道大结局，小雪便以回家拿衣服为由前往阿浪家，结果被强奸。网页链接 ,,,,2012-05-14,新浪浙江,0,4,6,,
3445127027025076,yiVXwttxG,分别在发达国家、发展中国家以及不发达国家中，选出了世界上“对母亲最好”和“最不好”的国家。中国排在发展中国家“对待母亲最好”榜单的第14位。网页链接 ,,,,2012-05-13,新浪浙江,0,0,0,,
3445125198060548,yiVUzxOUQ,昨天，由浙江省公共政策研究院主办的首届中国转型发展论坛在浙江大学举行。今后，这项国家级经济论坛将落户浙江，每年举办一次。网页链接 ,,,,2012-05-13,新浪浙江,0,65,15,,
3444778505496581,yiMTon3Ux,［肯德基未按规定冷冻储存食品］11日上午，杭州市卫生监督所、杭州下城区卫生监督所执法人员前往杭州肯德基(微博)有限公司德胜分店进行联合执法检查。现场执法发现该店制作黄金咖喱猪扒饭的配料冷冻咖喱酱未按规定冷冻储存，存在食品安全问题。网页链接 ,https://ww1.sinaimg.cn/large/7371a0e1jw1dsv8gh5mimj.jpg,,,2012-05-12,新浪浙江,0,0,5,,
3444757034878801,yiMkLktcl,［宁波一所中学推100条尊重学生规范 老师向学生鞠躬］“不居高临下地跟学生讲话”、“意见相左，要允许学生争辩”、“不因学生提出的问题幼稚而取笑”&#8943;&#8943;这学期，宁波奉化城北中学最新推出一系列行为规范，不过这次规范并不是针对学生，而是全校101名教师。网页链接 ,,,,2012-05-12,新浪浙江,0,3,1,,
3444403840914881,yiD963Q09,全国中心城市交通信息化论坛，昨天在杭州举行。近年来，杭州在缓解行路难打车难等方面做了不少探索。杭州市交通运输局，今年以来开发了好几款手机应用软件，iPhone和Android手机用户，都可以免费下载。网页链接 ,,,,2012-05-11,新浪浙江,0,2,6,,
3444398526574125,yiD0wrAeh,昨天下午3时，安徽省合肥市包河区人民法院对备受社会关注的“花季少女周岩被毁容”案作出一审判决。被告陶汝坤犯故意伤害罪，被判处有期徒刑十二年一个月。网页链接 ,,,,2012-05-11,新浪浙江,0,3,1,,
3444069810684286,yiusl2S0S,【藏獒换宝马 只为对妻子的爱】杭州320国道杭富收费站旁，有个大伯摆出了牌子:“藏獒换宝马车”。大伯说，自己已经养了17年藏獒，这两只是纯种的，大概值100多万，想要换辆宝马7系或其它好车。大伯解释，因为妻子得了癌症，换了车可以带她到处旅行。网页链接 ,https://ww4.sinaimg.cn/large/7371a0e1jw1dssz2cjosaj.jpg,,,2012-05-10,新浪浙江,0,15,42,,
