id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4436073147303331,If8quuDVF,"什么是道教的慈悲？是斗姥爷的“众生有难若称名，大士寻声来救苦”；是救苦爷的“千处祈师千处降，爱河长作渡人舟”；是雷祖爷的“济度长夜魂，利益于众生。如彼银河水，千眼千月轮”；是三官爷的“五色祥云内，放出白毫光。照一切天下，显身救众生 ”；是真武爷的“修真悟道，济度群迷。普为众生，消除灾障”；是灵官爷的“他有三分修持,我有七分感应,他有十分修持,吾便随时照临”。祖师慈悲，怜悯世人。我辈修真，怎能不勤而行之，宏传正教呢？愿我辈共发清静愿，同证无上道。",https://wx1.sinaimg.cn/large/61322debly1g8pors4ffhj20u00xl46r.jpg,,,2019-11-07,老君爷赐的Android,68,8,69,,
4469487028157698,It9FQyebM,#恭祝圣寿# 庚子年正月十五，恭祝三天扶教辅玄体道大法天师，雷霆都省泰玄上相，都天大法主正一冲玄神化静应显佑真君，六合无穷高明大帝，降魔护道天尊张祖圣寿！云锦山前炼大丹，六天魔魅骨毛寒。一从飞鹤归玄省，烟雨潇潇玉局坛。         ——《赞历代天师·第一代祖师正一静应真君讳道陵字辅汉》紫清白真人,https://wx3.sinaimg.cn/large/61322debly1gboa07n8ihj20i40n7wgh.jpg,,,2020-02-08,nova4自拍极点全面屏,36,5,20,恭祝圣寿,
4469487006692465,It9FOs50Z,#恭祝圣寿# 庚子正月十五，恭祝上元九炁赐福天官曜灵元阳大帝紫微帝君总真应见天尊圣寿无疆！时值三元八节之上元佳期，宜沐浴斋戒，诵经忏罪，必得福无量。上元天官隶玉清境，结青、黄、白三气，置上元三宫，其中宫名元阳七宝紫徽宫，总主上真自然玉虚高皇上帝，诸天帝王上圣大神。——《三元品诫经说》,https://wx4.sinaimg.cn/large/61322debly1gbo2l4tqj3j20hs0s3jte.jpg,,,2020-02-08,nova4自拍极点全面屏,26,3,15,恭祝圣寿,
4469449576678256,It8Hrs1jO,明天上元佳节了，推荐一部包公戏吧，《铡判官》讲述的是上元佳节观灯引起的命案，剧情可以自行搜索。戏中的庸官、凶手家的门神、包庇凶手的判官、逍遥法外的凶手、无助的受害者、无辜的被害者，各个角色都很有“形象”。看完这戏，在疫情就行的当下，再联想城隍庙的对联，不由人冷汗涔涔。 ,"https://wx4.sinaimg.cn/large/61322debly1gbo62dij8fj20k10goq59.jpg,https://wx1.sinaimg.cn/large/61322debly1gbo62enrcsj20u01327ea.jpg,https://wx1.sinaimg.cn/large/61322debly1gbo62mcwt9j20u019xgrd.jpg,https://wx4.sinaimg.cn/large/61322debly1gbo62m214wj20u01b0aft.jpg,https://wx2.sinaimg.cn/large/61322debly1gbo62e4w82j21ja0v2ty2.jpg,https://wx2.sinaimg.cn/large/61322debly1gbo62lp65uj20u018c0y7.jpg,https://wx2.sinaimg.cn/large/61322debly1gbo62lfpomj20u017pjx7.jpg,https://wx3.sinaimg.cn/large/61322debly1gbo62l420mj20u012wjvy.jpg,https://wx1.sinaimg.cn/large/61322debly1gbo62kogupj20u0194gqw.jpg",,,2020-02-07,nova4自拍极点全面屏,18,2,9,,
4468218904936622,IsCGukIeW,"今日立春，立春三候：一候东风解冻,二候蜇虫始振,三候鱼陟负冰。《减字木兰花·立春 》宋•苏轼春牛春杖，无限春风来海上。便与春工，染得桃红似肉红。春幡春胜，一阵春风吹酒醒。不似天涯，卷起杨花似雪花。 ",https://wx3.sinaimg.cn/large/61322debly1gbk8x0wbalj20n00ee3yu.jpg,,,2020-02-04,nova4自拍极点全面屏,16,0,4,,
4468213373148453,IsCxzdd3v,一位友人给我发了一条信息，如是有了以下这段对话。我只想说，在特殊时期，请大家不造谣、不传谣、不信谣。老实在家，服从指挥，平安度过难关。——温州白云观 宣 ,https://wx2.sinaimg.cn/large/61322debly1gbk88f426oj20lo271tdl.jpg,,,2020-02-04,nova4自拍极点全面屏,23,4,0,,
4467315595120557,Isfbxlu5D,正月初九，恭祝太上开天执符御历含真体道金阙云宫九穹历御万道无为通明大殿昊天金阙玉皇大天尊玄穹高上帝圣寿无疆。愿玉皇庇佑：时疫早消，人物咸宁，四境清平，八节安康。志心称念：玉皇赦罪大天尊玄穹高上帝玉皇赦罪大天尊玄穹高上帝玉皇赦罪大天尊玄穹高上帝《奉和御製与天下臣庶恭上玉皇大帝天帝圣号》宋•夏竦皇皇至德召和平，茂烈馨香已告成。祇报元符营紫馆，钦崇上帝薦鸿名。夤威洁志通三境，宥密真游降九清。淳耀先期观道秘，休成协吉顺天正。琼干文彩云幡列，金简荧煌玉字呈。藻卫导迎扬盛则，灵场陟降极精诚。绵区率籲民胥悦，篆素铺观古未行。广乐乍兼箫籟响，仙风微动佩环声。飏烟层宙祥辉涌，称庆斋闱瑞气生。道荫符通喜应集，中宸繁贶永充盈。,https://wx4.sinaimg.cn/large/61322debly1gbh73pfvdpj20m80kvtbh.jpg,,,2020-02-02,nova4自拍极点全面屏,35,0,6,,
4467113735584293,Is9VXnqJf,中国加油，浙江加油，温州加油！求看看浙江温州小朋友吧我们也需要支援网页链接 ,https://wx1.sinaimg.cn/large/61322debly1gbgpzrjf6xj20yo0hhdjv.jpg,,,2020-02-01,nova4自拍极点全面屏,18,3,3,,
4465304669106859,IroS6Cd6P,温州白云观一日善功德群为此次疫情向温州瓯海慈善总会捐助爱心款10000元整，用于为一线医护人员购买口罩，为彼此疫情保卫战略尽绵薄之力。 ,"https://wx2.sinaimg.cn/large/61322debly1gbay8aah7cj20u039vx6p.jpg,https://wx3.sinaimg.cn/large/61322debly1gbay8arl7tj20u01hc41w.jpg",,,2020-01-27,nova4自拍极点全面屏,55,4,6,,
4464419901321132,Ir1R45xGA,斗转星移又一春，金猪辞旧岁玉鼠迎新春，迎春接福，鼠兆丰年，金鼠旺财，值此庚子新春佳节之际，温州白云观全体道众虔诚祈祷天尊赐福，诸神护福，四时疫氣俱殄灭，千祥云一财入户，百福齐臻喜临门。真诚祝愿：新春吉祥，美梦成真，出入平安，合家幸福，福寿安康，万事如意！ ,https://wx3.sinaimg.cn/large/61322debly1gb84mnonojj20ht0mztd4.jpg,,,2020-01-25,nova4自拍极点全面屏,24,0,6,,
4463933752263635,IqPcX9uSf,关于白云观春节期间暂停法事活动的公告各位善信：       近期，湖北省武汉市等多个地区发生新型冠状病毒感染的肺炎疫情。为坚决防控疫情扩散漫延，维护广大信众的生命财产安全，根据上级部署，经研究，春节期间（1月24日至2月3日）白云观所有法事祈福活动暂停，如有变动，我观将及时再公告，由此给大家带来的不便敬请谅解！供灯、供香、供神、祈福等，可以致电联系道长，白云观全体道众将为各善信做好服务工作。       感谢大家对白云观的关注与支持。值此新春佳节来临之际，恭祝大家新春吉祥！万事如意！    联系咨询方式：邱道长13958966616                           林道长13736995531,https://wx1.sinaimg.cn/large/61322debly1gb6ksprt2vj20m80m83zp.jpg,,,2020-01-23,nova4自拍极点全面屏,20,4,3,,
4462745330232118,Iqki90YnQ,"今日大寒，大寒三候，一候鸡乳,二候征鸟厉疾,三候水泽腹坚。《和蒙仲夜坐》宋•文同宿鸟惊飞断雁号，独凭幽几静尘劳。风鸣北户霜威重，云压南山雪意高。少睡始知茶效力，大寒须遣酒争豪。砚冰已合灯花老，犹对群书拥敝袍。 ",https://wx4.sinaimg.cn/large/61322debly1gb2sbwxmpbj20jh09hjru.jpg,,,2020-01-20,nova4自拍极点全面屏,11,0,4,,
4462105417939037,Iq3E1xjiZ,二十四，扫房子。给老爷爷们打扫屋子，擦拭金身 温州·白云观 ,"https://wx2.sinaimg.cn/large/61322debly1gb0qtwr7j3j23y82yonph.jpg,https://wx1.sinaimg.cn/large/61322debly1gb0qu1xi7jj23y82yo7wl.jpg,https://wx3.sinaimg.cn/large/61322debly1gb0qu66bfgj23y82yonpg.jpg,https://wx4.sinaimg.cn/large/61322debly1gb0qu8kcpej23y82yox6r.jpg",,温州·白云观,2020-01-18,nova4自拍极点全面屏,35,1,2,,
4461669750965974,IpSjl43ie,法讯：白云观正月初五迎财神祈福每年正月初五日是接财神的日子，温州白云观为满足善信的需求，特在正月初五日早上七点30分开始为报名登记的善信祈福接财神，祈佑各善信生意兴隆，财源茂盛，吉星朗照，吉祥如意！报名登记：邱道长 13958966616（VX同号）                林道长 13736995531（VX同号）,https://wx1.sinaimg.cn/large/61322debly1gazcrgfk5kj20ae0dbgmr.jpg,,,2020-01-17,nova4自拍极点全面屏,13,2,5,,
4461145450578642,IpEFH2qwW,己亥年十二月廿二，恭祝全真北派第五祖重阳全真开化辅极帝君王祖圣寿！咸阳之属，曰大魏村。山川温丽，实生异人。幼之发秀，长而不群。工乎谈笑，妙于斯文。又善骑射，健勇绝伦。以文非时，复意于武。戡定祸乱，志欲斯举。文武二进，天不我与。盖公宿缘，道气为主。慨然入道，真仙自遇。顷刻授之，口诀秘语。人呼害风，先生承当。或歌或舞，以酒徜徉。维摩非病，接舆不狂。肆口而发，皆成文章。烧却庵舍，拂袖关中。乞化而往，全真道东。宁海因缘，莱阳通融。亟显神异，东人毕从。陶汰真实，杜绝虚假。锻炼百端，捶楚怒骂。余鄙解散，四子传化。四子为谁，丘刘谭马。德其亚者，王郝与孙。共成七贤，赞我真人。玉阳长春，大启其门。遭遇圣朝，为王之宾。先生高躅，望若星云。瀛海渺然，仙迹宛存。此道大行，逍遥乎真。,https://wx2.sinaimg.cn/large/61322debly1gaxol67r1sj20dt0p0q75.jpg,,,2020-01-15,nova4自拍极点全面屏,15,1,6,,
4460275971076574,Ipi3j4w46,浙江省正一传度法会掠影 温州白云观的微博视频 ,,"http://f.video.weibocdn.com/004io3ialx07A7DqeX9m010412006r2d0E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1581394725&ssig=aQSeiXuFhr&KID=unistore,video",,2020-01-13,nova4自拍极点全面屏,17,0,9,,
4459918662610875,Ip8L0aXcT,温州白云观凌霄殿修复祈福法会圆满，感谢各方善信大德的鼎力支持，助修庙宇功德无量。惟愿：三清恩佑，玉皇锡福。四时清宁，八节安康。修真有份，进道无魔。道门昌盛，教风兴隆。 温州·白云观 ,"https://wx2.sinaimg.cn/large/61322debly1gatrfqvqjsj21400u0469.jpg,https://wx2.sinaimg.cn/large/61322debly1gatrfpqn8fj20u0140gtm.jpg,https://wx1.sinaimg.cn/large/61322debly1gatrftx2uhj21400u0jz3.jpg,https://wx2.sinaimg.cn/large/61322debly1gatrfsytvtj20u0140ahk.jpg,https://wx3.sinaimg.cn/large/61322debly1gatrfv11soj20u0140k2q.jpg,https://wx3.sinaimg.cn/large/61322debly1gatrfrx1xlj21400u0jy6.jpg,https://wx1.sinaimg.cn/large/61322debly1gatrfvy7y7j21400u0q8i.jpg,https://wx1.sinaimg.cn/large/61322debly1gatrfxoftyj20u0140jxt.jpg,https://wx3.sinaimg.cn/large/61322debly1gatrfwv2lyj20u0140gte.jpg",,温州·白云观,2020-01-12,nova4自拍极点全面屏,23,0,8,,
4458906228918433,IoIq2Bq5H,浙江省己亥年传度法会明日启坛。师父刚结束了龙祥观冠巾事宜从丽水回来，又马上投入平阳传度的准备工作中。心疼师父😞 ,https://wx2.sinaimg.cn/large/61322debly1gaqjbltrpgj21h40u0116.jpg,,,2020-01-09,nova4自拍极点全面屏,24,4,2,,
4458573746437042,IozLMr0zg,"玉阳王祖曰：父母为汝抱负提携，穿衣哺乳，揩尿摸屎，浴身浣衣；及至童年，三餐之食，一年四季之衣，全赖父母百般照顾，搀的抚育成人长大。汝既知为善，独不思报本为先。反嗔爷骂娘，如役奴婢，将来天不容汝。阳律决不宽恕，死堕阴囚，刀山剑树之狱。苦楚万状，号呼无援，悔无及矣。宜速自悔改，孝敬双亲，如敬三光，心猿意马，毋令放纵，旧殃自消。劝行孝道 一心孝道顺三光,苦志精研灭旧殃。今古昏魔都绝尽,炼真去假变清凉。",https://wx2.sinaimg.cn/large/61322debly1gapgwqq3anj205r08cglj.jpg,,,2020-01-08,老君爷赐的Android,23,0,7,,
4458158237596269,IooXBvS8t,己亥年浙江省冠巾法会圆满，@白云一真道人 作《谢师恩》以记之：冠巾功德须圆满。认取保身卷。早把前程同了干。三元救度，二仪交泰，上下光明贯。蟠桃会上相邀唤。此理诚幽远。皆作天元真法眷，神超云外，更留名姓，记在龙祥观。（图片来源@道心影像郑 ） 温州 ,"https://wx1.sinaimg.cn/large/61322debly1gao5grrsfdj218y0u0ajz.jpg,https://wx1.sinaimg.cn/large/61322debly1gao5gtsaerj218y0u0489.jpg,https://wx3.sinaimg.cn/large/61322debly1gao5gsn7vpj218y0u011j.jpg",,温州,2020-01-07,老君爷赐的Android,32,0,6,,"白云一真道人,道心影像郑"
4457858126836528,Ioh9ysGuA,丽水龙泉龙祥观开光暨浙江省冠巾法会，感谢前方发来的报道。（ps：终于瞧见师父了，希望他老人家给人拢发的时候轻点揪。。。） 温州 ,"https://wx3.sinaimg.cn/large/61322debly1gan6ze3w63j20jw0d8tax.jpg,https://wx3.sinaimg.cn/large/61322debly1gan6zegjc8j20ju0d8tao.jpg,https://wx4.sinaimg.cn/large/61322debly1gan6zg3beuj20jw0d80v0.jpg,https://wx2.sinaimg.cn/large/61322debly1gan6zervw8j20ju0d8tb2.jpg",,温州,2020-01-06,老君爷赐的Android,24,22,6,,
4457719056259530,Iodxfqgoa,师父不在的第三天，想他。 温州 ,"https://wx2.sinaimg.cn/large/61322debly1gamr1x1pazj21400u0tdx.jpg,https://wx3.sinaimg.cn/large/61322debly1gamr1xclg3j21d40u079h.jpg",,温州,2020-01-06,老君爷赐的Android,43,25,1,,
4457647715456185,IobGbmToZ,今日小寒，小寒三候：一候雁北乡;二候鹊始巢;三候雉始雊。小寒连大吕，欢鹊垒新巢。拾食寻河曲，衔紫绕树梢。霜鹰近北首，雊雉隐丛茅。莫怪严凝切，春冬正月交。                  ——《小寒》元稹 温州 ,https://wx2.sinaimg.cn/large/61322debly1gamivhxt97j20rs0rst9m.jpg,,温州,2020-01-06,老君爷赐的Android,12,0,2,,
4457487970936557,Io7wx3VDL,读着读着，忽然被刘祖爷的这句“傻猿缚住”逗乐了，祖师爷真的是可爱之极 温州 ,https://wx4.sinaimg.cn/large/61322debly1gam0j171u4j20u0140gqa.jpg,,温州,2020-01-05,老君爷赐的Android,26,4,2,,
4457467964104189,Io70ghdGB,十年学道，遇明师、指破神仙真诀。一句便知天外事，万载千年疑绝。见色明心，闻声悟道，此理难言说。玄关斡运，心生无限欢悦。放开匝地清风，迷云散尽，露出青霄月。万里乾坤明似水，一色寒光皎洁。玉户推开，珠帘高卷，坐对千岩雪。人牛不见，悟个不生不灭。                         ——《无念俗》郝太古祖师 温州,https://wx4.sinaimg.cn/large/61322debly1galy7f17agj20g20o075b.jpg,,温州,2020-01-05,老君爷赐的Android,33,0,18,,
4457008273200074,InV2Pdqu6,师父不在家，要不要来喝茶？ 温州·白云观 ,https://wx3.sinaimg.cn/large/61322debly1gakhepdrvmj23y82yoqv8.jpg,,温州·白云观,2020-01-04,老君爷赐的Android,32,22,0,,
4456211002838531,InAiUbUqL,凝寒迫清祀，有酒宴嘉平。宿心何所道，藉此慰中情。                ——《腊节》魏收王侯腊辰，五帝校定生人处所、受禄分野、降注三万六千神气。 温州 ,"https://wx1.sinaimg.cn/large/61322debly1gahxu3xo33j20hs0g4wgb.jpg,https://wx2.sinaimg.cn/large/61322debly1gahxu5o6p2j20u0140whe.jpg,https://wx2.sinaimg.cn/large/61322debly1gahxvfflbmj21400u0n3y.jpg",,温州,2020-01-02,老君爷赐的Android,18,0,1,,
4456075891403798,InwMZ5TbU,王侯腊辰祝愿大吉祥，美味腊粥祖师先尝享 温州·白云观 ,https://wx1.sinaimg.cn/large/61322debly1gahiboqoxej21400u0n3y.jpg,,温州·白云观,2020-01-02,老君爷赐的Android,38,4,2,,
4456032627335821,InvFcuMnH,煮粥 温州·白云观 ,"https://wx1.sinaimg.cn/large/61322debly1gahdd3yrfjj22bc3341l2.jpg,https://wx4.sinaimg.cn/large/61322debly1gahddaw2t8j22bc2bcb2b.jpg,https://wx3.sinaimg.cn/large/61322debly1gahdd1xy8sj22bc2bc4qq.jpg,https://wx2.sinaimg.cn/large/61322debly1gahdde36qpj22bc2bc7wj.jpg,https://wx3.sinaimg.cn/large/61322debly1gahddf4ai4j22bc2bchdu.jpg,https://wx2.sinaimg.cn/large/61322debly1gahddcr1v9j22bc2bc7wj.jpg,https://wx2.sinaimg.cn/large/61322debly1gahdd5xtuoj22bc334qvb.jpg,https://wx3.sinaimg.cn/large/61322debly1gahdd0zt9fj23342bcu12.jpg,https://wx1.sinaimg.cn/large/61322debly1gahdd9nxwhj22bc334b2f.jpg",,温州·白云观,2020-01-01,老君爷赐的Android,39,11,8,,
4456023370705164,Invqh2XrC,煮粥啦！ 温州 温州白云观的微博视频 ,,"http://f.video.weibocdn.com/000l7beslx07zOUXzoj6010412007ejg0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581394735&ssig=kEYSNqMITN&KID=unistore,video",温州,2020-01-01,老君爷赐的Android,25,5,0,,
4455984783185880,Inuq2dmNa,金科演教，玉典传法。本观免费结缘一批《太上感应篇》，为以下三个版本：描红本、青羊宫老庄书院本、弘善经房本，数量有限，欲请者后台从速私信，邮费到付。 温州·白云观 ,"https://wx3.sinaimg.cn/large/61322debly1gah6umy3a8j21400u0adz.jpg,https://wx2.sinaimg.cn/large/61322debly1gah6unzig9j21400u0q83.jpg,https://wx1.sinaimg.cn/large/61322debly1gah6upbi70j20u0140qag.jpg",,温州·白云观,2020-01-01,老君爷赐的Android,20,2,6,,
4455940188806746,Intg6AX2i,#新年心愿#吃好喝好，长生不老。 ,https://wx3.sinaimg.cn/large/61322debly1gah2rum325j22yo3y8b2e.jpg,,,2020-01-01,老君爷赐的Android,30,2,1,新年心愿,
4455672081264359,InmhG5iUT,天道罪福论•刘长生祖师无火院罪赐清凉福。无贪淫罪赐安乐福。无恶浊罪赐善清福。无憎爱罪赐清平福。无苦恼罪赐知足福。无着身罪赐修真福。无赞邪罪赐明正福。无毁人罪赐赞己福。无万爱罪赐万清福。无妄想罪赐通仙福。无分别罪赐善通福。无妒嫌罪赐归顺福。无恋世罪赐洞天福。无怕衰罪赐松筠福。无奸狡罪赐如意福。无轻人罪赐重己福。无慢人罪赐天佑福。无恋假罪赐明真福。无俗恶罪赐道善福。无攀高罪赐德归福。无纵心罪赐通道福。无寿者罪赐长生福。无狐疑罪赐感应福。无恩冤罪赐仙伴福。无动静罪赐真常福。无退道罪赐祖先福。无地狱罪赐天堂福。无有为罪赐无为福。无生灭罪赐超升福。无狠毒罪赐全身福。无是非罪赐道德福。无妄传罪赐大成福。无害命罪赐延年福。无自高罪赐人敬福。无拣择罪赐无穷福。无恋浊罪赐清真福。无损气罪赐颐神福。无怀恶罪赐心安福。无私邪罪赐公正福。无恋富罪赐天乐福。无恋有罪赐无生福。无刚硬罪赐上善福。无人道罪赐天道福。无多藏罪赐万光福。无损人罪赐益寿福。无杀害罪赐修生福。无嫉妒罪赐夷善福。无攀缘罪赐全神福。无恶逆罪赐孝子福。无善道则赐轮回罪。无公平则赐生灭罪。无忘贪则赐不足罪。无常情则赐寿夭罪。无通变则赐愚鲁罪。无清深则赐浊浅罪。无悟道则赐迷俗罪。无厌宠则赐多辱罪。无就下则赐危险罪。无善福则赐恶报罪。无三孝则赐十恶罪。无明见则赐幽冥罪。无真禧则赐身堕罪。无真常则赐荣枯罪。无厌世则赐万浊罪。无炼形则赐贩骨罪。无悟真则赐迷伪罪。无爱善则赐堕恶罪。无福慧则赐堕落罪。无大达则赐福业罪。无灵明则赐昏迷罪。无远小危赐大祸罪。无禁口非赐拔舌罪。无顺道则赐刀山罪。无害物则免镬汤罪。无恋情则免死苦罪。无幻形则免去来罪。无生乐则免死哀罪。意普敬则免不平罪。无新愆则消旧业罪。顺天条则免过去罪。积阳道行无阴路罪。修阳道功救永沉罪。达无为道无万有罪。悟鷇食居无利害罪。悟三圣言无高下罪。出天地彀无万物罪。去福地隐无应物罪。通明晦谦无自高罪。出五道转无投胎罪。性今古通无愚执罪。悟天道通无多言罪。见道无形无着有罪。爱非理贿有填还罪。通天道夷无他非罪。搜己过达无昧己罪。救四生形无害物罪。通灵琴响无直言罪。知黑白明无杀机罪。明三皇始无弄文罪。见亘古形无着相罪。上元赐福中元赦罪，下元解厄三元救世。,https://wx3.sinaimg.cn/large/61322debly1gag7wemnvwj20un0u0gs8.jpg,,,2019-12-31,老君爷赐的Android,25,3,16,,
