id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4452424708532947,IlZNYzNOb,分享图片 ,https://wx4.sinaimg.cn/large/72827119ly1ga5v0y33szj21hc0u0ajr.jpg,,,2019-12-22,Share微博客户端,1,0,0,,
4450203573133376,Il41vd98k,我身边男生在牵着女朋友的手，弯下腰凑近脸，小声地哄她：(没有记录女孩子的回应，大概是快哭了，委委屈屈吭吭唧唧的，眼泪都被睫毛勉强托住，才没有落下来)“不要不开心，你本来也没有做错什么，其实可以不用去想一些太多的东西。你不用觉得对不起我，你没有对不起我，我知道你是因为关心我，才会有这种坏情绪。坏情绪是最没用的，因为不管你心情好，还是心情不好，时间都在往前走。就像火车，会正常地走过每一站，不为乌云和坏天气停下来。”“我没有觉得你害我怎么样了，你看，可能你觉得依赖我却坑到我，当然啦哪里有什么坑到，很难受，但我觉得你依赖我，这是理所应当的。像你说的，我因为你这个小傻瓜付出了代价，但是我不会难过，但是现在看到你这么沮丧，我就会觉得很难受，你也不舍得我难受对不对。”“你现在最重要的任务就是好好读书，认真地过好每一天，我从来没有会觉得你幼稚，我们只是来到这个地球上有早晚，但是没关系，你总会走过你该走的路，然后我们手牵手并肩站在一起。所以你可以安心地过你这个年龄女孩子该有的快乐的人生，我在你面前，也在你的未来里。还有我的爸爸妈妈，我们的爸爸妈妈，我们的好朋友，还有你想养的狗狗，都在。”“好啦，到站啦，我们去吃好吃的。”亲亲额头牵手下地铁。,,,,2019-12-16,Share微博客户端,3,4,1,,
4448424742642565,IkjKqb5s1,"Wcnm,tjm,cnm。 ",,,,2019-12-11,Share微博客户端,0,0,0,,
4441367982079953,Ihmay8J5D,终于重新找到殆叔了！！@用户7305696018 QvQ！我还一天翻八遍@殆知阁6 等重生来着 ,,,,2019-11-22,Share微博客户端,0,0,10,,"用户7305696018,殆知阁6"
4438623078179082,IgcLhyjKG,地铁站的大路口，看到一个男人和一个红领巾小胖子拉扯，男人面色铁青薅着小孩脖颈不讲话，孩子玩命挣扎“你拽不过我”哑着嗓子哭叫……路过的我真的以为是撒泼不肯回家来着…………直到旁边蹲活儿的三蹦子大哥一声暴喝“哎那边那小孩儿怎么回事！！”男人马上薅着小孩开始往路口对面拖…………周围一下子停下好几个人看他们，还有接小朋友的爸爸钻出车死死盯着……小孩子被迫三步并作两步被拖到了路中央但是在这个时候，有两个刚出地铁站的三四十岁的阿姨已经拔腿跑起来了！！冲进路口要拦住他们！然后一开始的暴喝大哥扭头钻回去发动三蹦子也追了上去…………八车道的路口，行人从四面八方开始奔跑……很多都是小学门口接孩子的妈妈，自己也瘦瘦小小……万幸。万幸。拦住了。想起前年除夕公司楼下拼命往车外推猥琐男的小姑娘。女生会知道女生的无助。母亲会知道孩子的慌张。真的害怕不一定能高声求救。犹豫一秒可能就会永远失去。但是还好，她知道。她会立刻坚定地跑向你。,https://wx4.sinaimg.cn/large/72827119ly1g8xtxc2yhfj20k00k0aau.jpg,,,2019-11-14,Share微博客户端,6,8,0,,
4438451506400306,Ig8iyqR0K,天儿冷得大家迈不动步张不开嘴，进电梯遇见熟人都不打招呼，眼神示意一下“OKOK看见了看见了认识早早早”就完事了 ,https://wx2.sinaimg.cn/large/72827119ly1g8xa84sh3jj207o052god.jpg,,,2019-11-14,Share微博客户端,1,0,0,,
4436860761523649,IfsUQ6omZ,回家的时候发现人行道上有几十片黄叶🍂聚落突兀地占据小块圆形地面若干，间距两米，一路延伸。可能秋天这个大精灵真的缩着脖子揣着手手吧嗒吧嗒走掉了，只留些松软软扑簌簌的念想给我。冬至总是吃饺子，图个冬天不冻耳朵的彩头。本科某年人日在立冬节气发了吃饺子的微博，被网友好一通嘲笑，今年立冬竟然被问为什么没吃。互联网有记忆，可人却爱遗忘，仿佛多少赧然下酒喝了便能潇潇洒洒，可惜那些情浓时发誓永远铭记的，也敌不过手机内存不足。愿生命里，发心敬畏多过发心不甘。,https://wx2.sinaimg.cn/large/72827119ly1g8s7j53anxj22ls2lsu0x.jpg,,,2019-11-09,Share微博客户端,1,0,0,,
4436440379602603,IfhYNEi4H,记上个月我才思泉涌的一天。痛苦使人的才华在白骨里开出花来。 ,https://wx4.sinaimg.cn/large/72827119ly1g8qv91x4hej20u03zgb29.jpg,,,2019-11-08,Share微博客户端,1,2,1,,
4429199832379635,IcfCv9Z3d,我爸想听《棠梨煎雪》，对着音箱：“小爱同学，给我来个小吊梨汤。” ,https://wx1.sinaimg.cn/large/72827119ly1g83ropdsm0j20k00f0wg1.jpg,,,2019-10-19,Share微博客户端,3,2,0,,
4427054352778394,IblO3bEMO,成年人的世界没有能逃避掉的问题，比如面对四开门衣柜里+客厅沙发上+客房架子上满满当当的毛绒公仔。我到底怎么抓来这么多……还都是压缩以后的……炫技一时爽打扫火葬场。 ,,,,2019-10-13,Share微博客户端,1,0,0,,
4426245486245407,Ib0LqqcIn,“抱会儿” ,"https://wx4.sinaimg.cn/large/72827119ly1g7ucdmoyukj22o02o0qv7.jpg,https://wx4.sinaimg.cn/large/72827119ly1g7ucdoe9ngj22o02o0qv7.jpg,https://wx4.sinaimg.cn/large/72827119ly1g7ucdp79zxj22o02o0e83.jpg,https://wx2.sinaimg.cn/large/72827119ly1g7ucdq9lxyj22o02o0qv5.jpg,https://wx2.sinaimg.cn/large/72827119ly1g7ucdr38ttj22o02o0kjn.jpg,https://wx2.sinaimg.cn/large/72827119ly1g7ucdrqoeij21a40u0gzj.jpg,https://wx1.sinaimg.cn/large/72827119ly1g7ucdsp2d8j23k02jgb2c.jpg,https://wx4.sinaimg.cn/large/72827119ly1g7ucdtk294j23k02jgu0y.jpg,https://wx1.sinaimg.cn/large/72827119ly1g7ucdu4bcoj21hc0u0gxh.jpg",,,2019-10-11,Share微博客户端,0,0,0,,
4425834766914064,IaQ4Yt0Fa,我一直觉得办公桌对面的大片落地窗晚上能看到远空星幕低垂，参差明灭非常浪漫。然后我刚才发现那是附近工地在焊脚手架。 ,https://wx3.sinaimg.cn/large/72827119ly1g7t17pavijj20k00k23zb.jpg,,,2019-10-10,Share微博客户端,2,4,0,,
4425585650297030,IaJBb1fgO,“你会带这个人去舞会吗？”“……”“我会。”˶⍤⃝˶ ,,,,2019-10-09,Share微博客户端,0,0,0,,
4425202433321307,IazD5dW1t,有个袒胸露乳的大哥在三楼阳台一边外放蓝调一边炒土豆辣子，音符和油烟溢出纱窗，在路灯下如神度世人洋洋洒洒，听美了仨遛狗的，吓傻了俩野猫。 ,https://wx4.sinaimg.cn/large/72827119ly1g7r0la9465j22o02o0e83.jpg,,,2019-10-08,Share微博客户端,1,0,0,,
4424827009726350,IapRyEOgC,公司楼外面来了一个卖艺的，远看是个格子衬衣姑娘，地上一个小包放零钱，路口都是她跑音的二胡声。走近一点，发现她眼睛不动。原来是个盲姑娘。再走近一点，发现她琴弓也不动。原来……嗯？？？？？【现在想想她的才艺可能是扮演雕像🗿 ,https://wx4.sinaimg.cn/large/72827119ly1g7pth348gbj21hc0u012w.jpg,,,2019-10-07,Share微博客户端,0,0,0,,
4424551511178813,IaiHd4WF7,和@绫濑不遥_ 约会的搞笑合集，看图↓↓↓ ,"https://wx4.sinaimg.cn/large/72827119ly1g7oxtz0uqpj20u04ex4qp.jpg,https://wx2.sinaimg.cn/large/72827119ly1g7oxu0h84wj23k02o0u0z.jpg",,,2019-10-07,Share微博客户端,1,0,4,,绫濑不遥_
4422063009599604,I9fXuEhik,和妈妈聊起领养圈的种种怪人。“不仅挑漂亮的，有些还只要品种猫狗，还得纯种，还得无偿，还得人家送上门，比如无偿求领养一只金毛……”“嚯，那有一迪拜王子你问问他想领养么。”【你还想打游戏我看你像游戏. jpg ,,,,2019-09-30,Share微博客户端,2,0,1,,
4422044957319531,I9funuI8X,我觉得阿里可能想挖北京那个和我重名的技术爸爸但是全世界都没想到这名字也能重 ,,,,2019-09-30,Share微博客户端,0,0,0,,
4421906025676455,I9bSinOHJ,一个幼儿园小朋友下车前冷不丁“我和我的祖国~♪”现在整车陷入一种冥想式的寂静里 ,,,,2019-09-29,Share微博客户端,0,0,0,,
4421579032936866,I93mTck0O,骑上我心爱的小摩托~ ,,,,2019-09-28,Share微博客户端,1,1,0,,
4420869608785683,I8KUEARyz,有趣的人才能灌溉出另一个有趣的灵魂，湿润温暖充满弹性和甜蜜，光彩明亮不慌不忙，其他所有精准计算的比喻句都是讨好，是明码标价换取称赞的心计，是发育停滞在不再被肯定的那一天，用嘴皮子向生活的焦虑出老千。 ,https://wx1.sinaimg.cn/large/72827119ly1g7d6z0v30qj21a40u0gzj.jpg,,,2019-09-26,Share微博客户端,0,1,0,,
4418344041807803,I7Hda7Ai7,奶一口我们姑娘和boy ！ ,,,,2019-09-19,Share微博客户端,0,0,0,,
4418152244556732,I7CdOj7pG,我靠，地铁上有小姐姐在用手机备忘录码脆皮鸭大纲 ,,,,2019-09-19,Share微博客户端,3,4,0,,
4416526091820635,I6VUZ7DD5,每次吃到祖国各地好吃的水果就会由衷庆幸泱泱华夏地大物博并且终于懂得古人那些“天府”“福地”的说法我要是穿越回古代当皇上怕是早就成猪了😋 今天也要感谢四川盆地是我国领土不可分割的一部分！ ,https://wx3.sinaimg.cn/large/72827119ly1g6zc4kzl3ej229b29cnpd.jpg,,,2019-09-14,Share微博客户端,3,2,0,,
4415867628244425,I6EMWyAKB,枕头和颈窝温着一团罗意威001，耳朵里塞满循环的Paganini和十几小时外Eddy敲代码，时不时一句你到底睡了没， 针织毯和雨味儿，这谁顶得住啊 ,,,,2019-09-13,Share微博客户端,0,0,0,,
4415106236274455,I6kYTqkgT,绝了，去北京也是一双肩背，去苏州也是一双肩背，去云南也是一双肩背。绝了我。 ,,,,2019-09-10,Share微博客户端,2,8,0,,
4414039918730004,I5Tf1AD4w,“你是我的，我不原谅你无故消耗生命。” ,,,,2019-09-08,Share微博客户端,1,0,0,,
4410664908611465,I4trsA8eB,世间辛酸万种，还好有小杨老师。小杨老师头发第一茂密！ ,,,,2019-08-29,Share微博客户端,1,1,0,,
4410293134570715,I4jLPjb3d,@笑醉流年_奈落之歌  ,https://wx4.sinaimg.cn/large/72827119ly1g6fga59cv1j20u01hc7hm.jpg,,,2019-08-28,Share微博客户端,0,1,0,,笑醉流年_奈落之歌
4408258590783518,I3sQj3hPo,谁能想到呢？并且被巨大的温柔接住了。简直要泪汪汪 ,,,,2019-08-23,Share微博客户端,3,0,0,,
4407334967182887,I34OAu8B1,我可以一起查余额的亲友费思恋女士@绫濑不遥_ 因为一条有才青年日常脑洞成为了新晋网红，我却在思考她亮闪闪的才华们咋现在才被发现。她那个微博，跟龙的洞似的。 ,,,,2019-08-20,Share微博客户端,2,2,1,,绫濑不遥_
4407281065668538,I33pEnME2,For you @桃桃琳 高中夜晚的陪伴，一晃快九年了 ,https://wx4.sinaimg.cn/large/72827119ly1g65ucmdg5ij20u01hck6d.jpg,,,2019-08-20,Share微博客户端,1,0,0,,桃桃琳
4406318222058598,I2EmG8Dxc,我个人对于肌肉男没有任何偏见甚至还有点🉑，但ys抚摸自己赤裸的古铜色上半身，我就想拿块搓衣板，给他连腹肌带奶头都搓平 ,,,,2019-08-17,Share微博客户端,6,3,0,,
4406065254649269,I2xMFjvud,江湖夜雨十年灯。过年啦。 ,,,,2019-08-17,Share微博客户端,4,0,0,,
