id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4037795092295987,EfRdP9Di3,两个小朋友为了找巧克力也是蛮拼的（来自一直播:王宁86正在直播）APP下载地址：网页链接 北京 ,,http://wscdn.alhls.xiaoka.tv/2016113/1db/439/PfppAhGG2T43by8V/index.m3u8,北京,2016-11-03,一直播Yi,0,0,0,,
4030231835030907,EcGt1l6LF,我有双胞胎 #吃吃吃#（来自一直播:王宁86正在直播）APP下载地址：网页链接 北京 ,,http://alcdn.hls.xiaoka.tv/20161013/856/8cb/EHjzOZj6fCJVgCC8/index.m3u8,北京,2016-10-13,一直播Yi,0,3,2,吃吃吃,
4030116156058082,EcDsrppZ0,最美好的时光（来自一直播:王宁86正在直播）APP下载地址：网页链接 北京 ,,http://alcdn.hls.xiaoka.tv/20161013/621/05d/1qJ9p1UyIIn2j5r3/index.m3u8,北京,2016-10-13,一直播Yi,0,0,0,,
4022925193323720,E9Co7dWEo,缂丝大师讲缂丝（来自一直播:王宁86正在直播）APP下载地址：网页链接 ,,http://alcdn.hls.xiaoka.tv/2016923/008/095/ErlTWlX1jU7xfSy6/index.m3u8,,2016-09-23,一直播Yi,0,18,12,,
4022913181489034,E9C4K6fmG,缂丝大师讲缂丝（来自一直播:王宁86正在直播）APP下载地址：网页链接 苏州 ,,http://alcdn.hls.xiaoka.tv/2016923/008/095/ErlTWlX1jU7xfSy6/index.m3u8,苏州,2016-09-23,一直播Yi,0,0,0,,
4022912682052175,E9C3W8BRB,缂丝大师讲缂丝（来自网页链接）APP下载地址：网页链接 苏州 ,,,苏州,2016-09-23,一直播Yi,0,0,0,,
4022569621676343,E9t8C725N,我正在#一直播#直播，最好玩、最有趣的人都在这里直播，快来一起嗨！（来自一直播:王宁86正在直播）APP下载地址：网页链接 北京 ,,http://alcdn.hls.xiaoka.tv/2016922/1ff/318/gV4M05wDZ96rb6dj/index.m3u8,北京,2016-09-22,一直播Yi,0,0,0,一直播,
4020743005925681,E8HCsoRxv,台球达人（来自一直播:王宁86正在直播）APP下载地址：网页链接 北京 ,,http://alcdn.hls.xiaoka.tv/2016917/87b/34b/ORWAQl8RJOBpG00s/index.m3u8,北京,2016-09-17,一直播Yi,1,1,1,,
4020722349893036,E8H58FvD6,太和艺术空间伊瑞展览（来自网页链接）APP下载地址：网页链接 北京 ,,,北京,2016-09-17,一直播Yi,0,0,0,,
4019567951112119,E8d3d4Fjp,我正在#一直播#直播，最好玩、最有趣的人都在这里直播，快来一起嗨！（来自一直播:王宁86正在直播）APP下载地址：网页链接 北京 ,,http://alcdn.hls.xiaoka.tv/2016914/ab7/bd4/z-wqvp_LieriGKWL/index.m3u8,北京,2016-09-14,一直播Yi,0,0,0,一直播,
