id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4466032489606998,IrHO0EjdA,甲雍《黄财神》 黄财神 @QQ音乐 ,,,,2020-01-29,,41,4,17,,QQ音乐
4465994103395799,IrGO6efoX,甲雍《白财神》 白财神 @QQ音乐 ,,,,2020-01-29,,39,5,17,,QQ音乐
4465681103475252,IryFgeA4s,སེམས་ཅན་ནད་པ་ཇི་སྙེད་པ།།མྱུར་དུ་ནད་ལས་ཐར་གྱུར་ཅིག། འགྲོ་བའི་ནད་ནི་མ་ལུས་པ།།རྟག་ཏུ་འབྱུང་བ་མེད་པར་ཤོག།愿诸病有情，速脱疾病苦!亦愿众生疾，毕竟永不生! 释迦摩尼佛心咒 ,https://wx2.sinaimg.cn/large/5dbd30a5gy1gbc5g32f75j20y90o9mz2.jpg,,,2020-01-28,,50,6,12,,
4464435047532553,Ir2fuvByN,འགྲོ་ཀུན་བདེ་དང་ལྡན་གྱུར་ཅིག།新春祈福！🙏🙏🙏为武汉祈福 ,"https://wx4.sinaimg.cn/large/5dbd30a5gy1gb86dd5b37j21h80u011q.jpg,https://wx2.sinaimg.cn/large/5dbd30a5gy1gb86ddzxf4j21n40pwn5u.jpg,https://wx1.sinaimg.cn/large/5dbd30a5gy1gb86deq9a9j21h80u0n3f.jpg,https://wx3.sinaimg.cn/large/5dbd30a5gy1gb86dh0cffj21hd0u0tiw.jpg,https://wx4.sinaimg.cn/large/5dbd30a5gy1gb86e5jr7zj21h60u0gu6.jpg,https://wx1.sinaimg.cn/large/5dbd30a5gy1gb86dioq92j21h80u0qam.jpg",,,2020-01-25,,103,17,10,,
4462200619977114,Iq67zFRvc,点一盏温暖的酥油灯，透过光芒进入灵魂的深处，使混乱的意识或不满的情绪得到宁静而安详，使八万四千的烦恼息除清净而喜乐…唱一颂清凉的般若声，透过呼吸进入心灵的深处，使僵硬的躯体或紧绷的神经得到放松而释然，使三千的大千世界回归和平而安乐！ ,"https://wx3.sinaimg.cn/large/5dbd30a5gy1gb11rklyywj20zk0ibtgp.jpg,https://wx2.sinaimg.cn/large/5dbd30a5gy1gb11rjzw8hj20zk0k0n0p.jpg,https://wx3.sinaimg.cn/large/5dbd30a5gy1gb11rl7y6jj20zk0np144.jpg,https://wx4.sinaimg.cn/large/5dbd30a5gy1gb11rlpfj5j20zk0npwl9.jpg,https://wx3.sinaimg.cn/large/5dbd30a5gy1gb11rndo40j20zk0np44s.jpg,https://wx3.sinaimg.cn/large/5dbd30a5gy1gb11roemfrj20zk0nptcb.jpg,https://wx4.sinaimg.cn/large/5dbd30a5gy1gb11rppqvij20zk1ljk49.jpg,https://wx1.sinaimg.cn/large/5dbd30a5gy1gb11rmnqtxj20u00t1gro.jpg,https://wx3.sinaimg.cn/large/5dbd30a5gy1gb11ruf7zsj24802tcb2i.jpg",,,2020-01-18,,95,5,13,,
4456555145374881,InJfYmyfD,岁末冬季一年中最寒冷的时节请让我陪着你为你点亮那一盏心灯驱散一年的寒冷迎来温暖华灯初上夜幕轻垂请听我为你轻轻吟唱抚平你心中所有的烦恼燃灯祈福 ,"https://wx3.sinaimg.cn/large/5dbd30a5ly1gaj1dqkj51j20xq0mc0w6.jpg,https://wx1.sinaimg.cn/large/5dbd30a5ly1gaj1dqwbzij20zk0l8di7.jpg,https://wx4.sinaimg.cn/large/5dbd30a5ly1gaj1e1u6wmj21400qo774.jpg,https://wx2.sinaimg.cn/large/5dbd30a5ly1gaj1drkgawj21400nwadf.jpg,https://wx4.sinaimg.cn/large/5dbd30a5ly1gaj1ds3k5kj21900u0q8q.jpg,https://wx4.sinaimg.cn/large/5dbd30a5ly1gaj1dsdw7vj21400qoq53.jpg,https://wx4.sinaimg.cn/large/5dbd30a5ly1gaj1dr52k0j20zk0qo0uy.jpg,https://wx4.sinaimg.cn/large/5dbd30a5ly1gaj1dsoa6qj20z00nc761.jpg,https://wx4.sinaimg.cn/large/5dbd30a5ly1gaj1dsxim7j21900u0q7q.jpg",,,2020-01-03,,83,8,5,,
4445520263239151,Ij6bMdAEn,小欢喜 ,"https://wx4.sinaimg.cn/large/5dbd30a5gy1g9ju1owvlij21n40xc4ik.jpg,https://wx1.sinaimg.cn/large/5dbd30a5gy1g9ju1o99hzj21iu0tc7mh.jpg,https://wx4.sinaimg.cn/large/5dbd30a5gy1g9ju1pfysvj21im0ti7nt.jpg,https://wx2.sinaimg.cn/large/5dbd30a5gy1g9ju1z41ptj20u0140e81.jpg",,,2019-12-03,iPhone客户端,65,5,0,,
4440257787663685,IgThUw9FP,སྟོན་པ་ལྷ་ལས་བབས་པའི་དུས་ཆེན་བསུ། །    佛陀天降节[玫瑰]🙏[玫瑰]🙏[玫瑰]🙏  释迦摩尼佛心咒 ,,,,2019-11-19,iPhone客户端,96,17,17,,
4437210247732400,IfC0wwry8,分享视频 甲雍-佛教音乐的微博视频 ,,"http://f.video.weibocdn.com/000bXBdAlx07yu76Tym4010412007sN30E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1580371340&ssig=HlkFBISdM7&KID=unistore,video",,2019-11-10,iPhone客户端,37,9,10,,
4435052643960655,IeHSwgClx,世界居士大会🙏 ,"https://wx4.sinaimg.cn/large/5dbd30a5gy1g8mfv27uk7j21400u04b8.jpg,https://wx4.sinaimg.cn/large/5dbd30a5gy1g8mfv3k6byj21400u0gzm.jpg,https://wx4.sinaimg.cn/large/5dbd30a5gy1g8mfve7vtqj23402c0hdx.jpg",,,2019-11-04,iPhone客户端,70,10,17,,
