id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4461046468711649,IpC62Ayit,中国家长的十四大幻觉，你怎么看？？  #搞笑#   #搞笑幽默# ,https://wx3.sinaimg.cn/large/005IYPIXgy1gao45qwcqij30j60myq5h.jpg,,,2020-01-15,微博 weibo.com,3,2,0,"搞笑,搞笑幽默",
4461043491475994,IpC1f6bYm,为啥总会有人说中国女性地位低？ #搞笑#   #搞笑幽默# ,https://wx2.sinaimg.cn/large/005IYPIXgy1gao45czucoj30j66e7kfk.jpg,,,2020-01-15,微博 weibo.com,5,3,0,"搞笑,搞笑幽默",
4461042413028851,IpBZvcHWr,"这个故事要从四五年前说起，那时候为了买双自己喜欢的aj，刷了几千花呗以后，看到同学花了几百跟我买的一样的鞋子。我就开始接触浦田鞋了。浦田鞋之所以受大众到追捧，无非就是因为不是人人都是富二代，喜欢一双大几千的鞋就能买,但每个人都爱美，都有虚荣心，谁都想在人堆里一眼被认出来吧，我也是啊。反正自己的鞋穿个两三个月也就不喜欢了，为什么不来个实惠点的，穿个性价比呢? 有一个流传很广的说法:全球三分之一的乃克鞋是浦田出产的，工作的朋友说:所谓的专柜验货就是，就是拿给售货员看下，这能验个**啊，能看出来还叫高仿?要验其实只有一个方法，切割拿去专业机构做激光扫码，鞋我们连二维码防伪都能做出来我会乱说?   浦田作为一个全球制鞋基地，每年出口的鞋占全球运动鞋市场的50%，每年出口创外汇两百多亿。你脚上穿的乃※克、啊※迪※达※斯、彪※吗、锐※步等，在浦田都有0EM工厂。国内的有，乃※克、安※踏、特※步等等。你以为都是来自晋江，其实很大一部分球鞋来自浦※田代工。也许你买过不少名牌鞋，但可能你买的也许是浦※田鞋，质量好到你区分不出来。        1、通货(浦※田最差的货，几乎人人能拿到的，某宝上的基本是这个~ )       2、性价比(比通货好很多的，大多数人口中的超A，1: 1，比通货难拿到，外形与正品几乎无异，但是材料不是正品那种材料，价钱也真的实惠，某猫上面的尽是这种货(这些商家太黑心了，拿这当正品卖，拿货价是某猫售价四份- -左右) )       3、最高品质(外形材料和正品的一模一样了，拿去虎扑有几率能过，-般人拿不到4、正品(不用说，专柜那些，有几款浦※田的同乡能5折拿到货，噓!现在穿的登月就是，在浦※田混迹了这些年，也是积累了挺多资源的。)       说了这么多，就是希望大家能够摆正心态，你要是指认正品，那么一定要去大型的专卖店，网店不要信。并没有觉得浦※田鞋有多么光荣，也没有觉得有什么不好，这种东西，见仁见智。       好了，浦※田鞋的故事讲完了，那么，你跟我的故事呢?想了解更多或想鉴定鞋子可以咨询vx：AK47V06",,,,2020-01-15,微博 weibo.com,0,0,0,,
4461038651422259,IpBTr5XZF,发一个单身人士绝对看不懂的东西！！！  #搞笑#   #搞笑幽默# ,https://wx2.sinaimg.cn/large/005IYPIXgy1gao44sqqrzj30j60e2wfb.jpg,,,2020-01-15,微博 weibo.com,3,9,0,"搞笑,搞笑幽默",
4461034993298740,IpBNxdQ9u,#放寒假在家时的你# 放假除了睡觉好像就其余事情了。。 ,https://wx1.sinaimg.cn/large/005IYPIXgy1gaxbvvy12kj306y06ytaz.jpg,,,2020-01-15,微博 weibo.com,6,3,0,放寒假在家时的你,
4461034599256917,IpBMTCQ97,网友：每个月给女主播刷不到1000块钱的礼物，老婆就因为这个和我闹离婚，我该怎么劝她？？？  #搞笑#   #搞笑幽默# ,https://wx1.sinaimg.cn/large/005IYPIXgy1gao441mk78j30c606zq3q.jpg,,,2020-01-15,微博 weibo.com,7,4,1,"搞笑,搞笑幽默",
4461030694530719,IpBGBj0E7,看着看着莫名就有点入戏的感觉！！！     #搞笑#   #搞笑视频#  看评论的微博视频 ,,"http://f.video.weibocdn.com/001zEgYclx07AaXmGnCU01041200fMzs0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1579084225&ssig=tVCWzvabzZ&KID=unistore,video",,2020-01-15,微博视频,16,2,2,"搞笑,搞笑视频",
4461026521558615,IpBzS6xsX,你知道澳大利亚的火山为什么会着那么久吗？？？ #搞笑#   #搞笑幽默# ,"https://wx4.sinaimg.cn/large/739f4100gy1gao41uzfglj20j65fr7wh.jpg,https://wx2.sinaimg.cn/large/739f4100gy1gao41ufcy9j20j66hxkjl.jpg,https://wx4.sinaimg.cn/large/739f4100gy1gao41uridgj20j648v4qp.jpg",,,2020-01-15,微博 weibo.com,4,0,5,"搞笑,搞笑幽默",
4461022486292584,IpBtmqoZi,家长应不应该该插手儿女的婚姻？？？  #搞笑#   #搞笑幽默# ,https://wx1.sinaimg.cn/large/739f4100gy1gao40yv4ptj20j63nzql4.jpg,,,2020-01-15,微博 weibo.com,10,2,2,"搞笑,搞笑幽默",
4461018438266634,IpBmPyGwO,我的男友用裸体的相片威胁我如何是好？？？ #搞笑#   #搞笑幽默# ,https://wx4.sinaimg.cn/large/739f4100gy1gao40kejwmj20j68l8qv5.jpg,,,2020-01-15,微博 weibo.com,8,5,1,"搞笑,搞笑幽默",
