id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4269680267515550,GteHwvx8y,吴秀波超话#吴秀波跨界歌王# 参演26首歌曲合集。感谢@简爱1119 的美图 跨界歌王—吴秀波参演歌曲合集  跨界歌王—吴秀波参演歌曲合集 ,"https://wx4.sinaimg.cn/large/6f58a7ddgy1ftyv1bs89zj215o0rrag4.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1ftyv1c4lqqj20eo0kyjv9.jpg",https://api.youku.com/videos/player/file?data=WcEl1o6uYdzJORE01T1RBNE9BPT18MHwxfDEwMDUwfDEO0O0O,,2018-08-05,吴秀波超话,149,55,183,吴秀波跨界歌王,简爱1119
4462821784242467,IqmhshNET,还不知道怎么玩儿超话？我都在情圣2超话是LV.10啦，还获得了知名粉丝头衔，来情圣2超话找我聊天，我来给你划重点~ ✌️ ,,,,2020-01-20,超话,1,0,0,,
4460794169649080,Ipvx6Euak,翻转开运卡，马上有红包！我刚刚获得了@刷宝短视频 送出的现金红包。集齐6种开运卡，除夕瓜分1亿红包！一起来玩呀~ 戳此#集卡开鸿运# >> 新年开运卡 ,,,,2020-01-15,红包活动,0,0,0,集卡开鸿运,刷宝短视频
4460793191640488,Ipvvx6SLu,#红包好礼齐飞 暖暖心意送你#新年美好愿景，妥妥都能实现！小会长送新年礼啦，动动小手拆开！我已领取京东PLUS会员买赠，更有iPhone 11、超值红包等超多专属开运礼，等你来领> 红包好礼齐飞 暖暖心意送你 ,,,,2020-01-15,微博会员中心,0,0,0,红包好礼齐飞 暖暖心意送你,
4447015662229986,IjJ5I9m7w,吴秀波超话 今天踏了个正点，纪念一下 ,https://wx1.sinaimg.cn/large/6f58a7ddly1g9olsp48l6j20v91vonpd.jpg,,,2019-12-08,吴秀波超话,22,17,1,,
4410619769504259,I4sgEDSuv,吴秀波超话 倒计时#吴秀波0905生日快乐# 闹剧荒的日子里翻看以前的访谈，依然被他羞涩、易感的真实，柔和磁性的嗓音所打动。优酷解读性情中人吴秀波(上)：不想让儿子看《兄弟门》  更多精彩，尽在优酷视频！优酷解读性情中人吴秀波(上)：不想让儿子看《兄弟门》 ,,https://api.youku.com/videos/player/file?data=WcEl1oUuVdTBOVE15TkRnd3wwfDF8MTAwNTB8MAO0O0OO0O0O,,2019-08-29,吴秀波超话,49,13,16,吴秀波0905生日快乐,
4393958958141025,HDqiHy9QR,我刚使用会员特权送给了@吴秀波 3朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！吴秀波已收到17902朵花 ,,,,2019-07-14,明星势力榜鲜花,1,0,0,,吴秀波
4391207180065623,HCgIm0h4r,我在#微博会员福利#中领取了【专属旅行大玩卡】。微博会员送福利，权益多多，你也来看看吧！>> 网页链接 ,,,,2019-07-07,微博会员中心,0,0,0,微博会员福利,
4390683240561501,HC35i2m4t,吴秀波超话 近来一直忙得团团转，家里老的小的都需要伺候，稍有空闲就立马策划出游放飞身心。即使再忙，每天必不可少的功课从没拉下………我一直都在！（刷存在感）其实不在乎别人怎么看，只要@吴秀波 你知道我们一直都在这儿关注着你、守候着你就足够了！[加油][加油][加油] ,"https://wx3.sinaimg.cn/large/6f58a7ddgy1g4ovjiducgj20v91vox6p.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1g4ow2xa6ptj20bs0dy76v.jpg",,,2019-07-05,吴秀波超话,63,13,9,,吴秀波
4378196092827524,HwOeJbRze,我在#微博会员福利#中领取了【顺丰寄件大礼包】。微博会员送福利，权益多多，你也来看看吧！>> 网页链接 ,,,,2019-06-01,微博会员中心,0,0,0,微博会员福利,
4376724395999048,HwbX1paCQ,我在无名侦探超话等级达到LV.6，获得活跃粉丝头衔，小伙伴们快来加入无名侦探超话一起聊聊吧！无名侦探超话 ,,,,2019-05-28,超话,2,0,1,,
4369628375796865,HtdlPok1P,我在#微博会员福利#中领取了【环球漫游2天免费Wifi】。微博会员送福利，权益多多，你也来看看吧！>> 网页链接 ,,,,2019-05-08,微博会员中心,0,0,0,微博会员福利,
4349521577997948,HkMhvxyDa,吴秀波超话 没戏看的日子，还好有你的歌声陪伴配图谢谢@简爱1119 的佳作分享一个不错的MV：吴秀波 -《我就在你身边》（来自 @酷狗音乐 海量曲库，极致音质） 网页链接 ,https://wx2.sinaimg.cn/large/6f58a7ddgy1g11kpd6z9hj20ii0rs76h.jpg,,,2019-03-13,吴秀波超话,43,17,36,,"简爱1119,酷狗音乐"
4345707018542548,Hjb2ZzQj2,我刚刚更换了微博封面图，你的封面由你做主，大家快来个性化你的专属封面吧！网页链接 ,https://wx3.sinaimg.cn/large/6f58a7ddly1g0penzzcx8j20u00u0tkh.jpg,,,2019-03-03,微博客户端,7,0,0,,
4345434061125732,Hj3WK4IQY,"吴秀波超话 跨界歌王专辑里漏掉的一段合唱，回看N多遍，忘词大王得亏有谭维维的引领吴秀波和张宇因歌曲产生共鸣, 合唱《驿动的心》, 谭维维也忍不住跟唱  更多精彩，尽在优酷视频！吴秀波和张宇因歌曲产生共鸣, 合唱《驿动的心》, 谭维维也忍不住跟唱 ",,https://api.youku.com/videos/player/file?data=WcEl1o6uWdXdNalUzTkRFeE1nPT18MHwxfDEwMDUwfDEO0O0O,,2019-03-02,吴秀波超话,86,24,58,,
4342923447896657,Hi0Dmx8hr,#吴秀波# 二更视频 2016：帅大叔吴秀波首曝不为人知的私生活  帅大叔吴秀波首曝不为人知的私生活 113 （分享自 @优酷）这标题党也是没谁了帅大叔吴秀波首曝不为人知的私生活 113。“就是心安所在”、“感受阳光的温暖” ,"https://wx1.sinaimg.cn/large/6f58a7ddgy1g0gisy1almj21hc0u077r.jpg,https://wx3.sinaimg.cn/large/6f58a7ddgy1g0gisy1l73j21hc0u0dj6.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1g0givfakupj21hc0u0gpl.jpg,https://wx4.sinaimg.cn/large/6f58a7ddgy1g0givrdrhxj21hc0u0q6t.jpg,https://wx3.sinaimg.cn/large/6f58a7ddgy1g0giwckst5j21hc0u0adx.jpg,https://wx3.sinaimg.cn/large/6f58a7ddgy1g0giwj7c64j21hc0u0ae2.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1g0giwqyjbej21hc0u0wig.jpg,https://wx4.sinaimg.cn/large/6f58a7ddgy1g0gix06niyj21hc0u00uw.jpg,https://wx2.sinaimg.cn/large/6f58a7ddgy1g0gixe7g6mj21hc0u0wgx.jpg",https://api.youku.com/videos/player/file?data=WcEl1oUuVdTBOelUwTlRjNU5nPT18MHwxfDEwMDUwfDAO0O0O,,2019-02-23,吴秀波超话,100,22,48,吴秀波,优酷
4340836072769423,Hh8kDbCs7,欣赏的演员不少，喜欢的演员仅此一枚，前无古人 后无来者，喜欢他的真实，毫不掩饰自己的缺点，把自己放低到尘埃里；喜欢他的低调，在任何场合都谦逊礼让，躲在人群里从不彰显自己；喜欢他可以当众孤独，被大众认知都是因为他演绎的角色，而他自己保持了内心最大的自由……喜欢他可以有一万个理由！ 有多少人喜欢吴秀波?,,,,2019-02-18,iPhone客户端,37,2,6,,
4340428389672169,HgXJ4EAaJ,吴秀波超话 我正在爱奇艺看【播报独家对话：吴秀波】，他为了回馈观众，付出了怎样的代价！快来@爱奇艺 一起看！播报独家对话：吴秀波 ,"https://wx1.sinaimg.cn/large/6f58a7ddgy1g08k8hnwrfj21kw16ogvm.jpg,https://wx4.sinaimg.cn/large/6f58a7ddgy1g08k8iimekj20u215o4qp.jpg,https://wx3.sinaimg.cn/large/6f58a7ddgy1g08k8h0zn6j20u215o4qp.jpg,https://wx2.sinaimg.cn/large/6f58a7ddgy1g08k8jf570j20u215o1kx.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1g08k8kbblcj20hs2j4npd.jpg",http://cache.m.iqiyi.com/tmts/7558649909/3bbb3f6e28ae74da5512c19640c07d20/?type=m3u8&qdv=1&t=1550402216425&src=02029022240000000000&vf=93daaafe2ed0fe80b647ca6dda9e27a2,,2019-02-16,吴秀波超话,52,7,32,,爱奇艺
4336697825261650,HfoG2m4Nk,吴秀波超话 《祖宗十九代》之梅大夫粤秀秋枫的秒拍视频 ,,"http://miaopai.video.weibocdn.com/GWkKaV1wlx07rlIkHgn6010402049o8X0E023?Expires=1581391794&ssig=SLrOZncpVR&KID=unistore,video",,2019-02-06,吴秀波超话,37,10,27,,
4336513044793066,HfjS0k6Tw,吴秀波超话 《乱世书香》之陆书白——文人的血性 粤秀秋枫的秒拍视频 ,,"http://miaopai.video.weibocdn.com/qWTeSLrllx07rkUe00vu01040200ZjWI0E013?Expires=1581391794&ssig=rxXIay370e&KID=unistore,video",,2019-02-06,吴秀波超话,89,18,59,,
4336509970323319,HfjN31m6P,吴秀波超话  《空天猎》之陆教官 #吴秀波# 《空天猎》之陆教官 @优酷  查看图片,,https://api.youku.com/videos/player/file?data=WcEl5oEuQdTBPVFF5TmpjMk1BPT18MHwxfDEwMDUwfDAO0O0O,,2019-02-06,吴秀波超话,30,1,33,,优酷
4336484254878782,Hfj7zktc2,吴秀波超话 我从秒拍发来一条超有趣的视频。 #吴秀波# 《不二情书》之大牛语录猫猫_arheqh的秒拍视频（#秒拍# 网页链接）  查看图片,,"http://gslb.miaopai.com/stream/XlAEI36luFr0ZWsoVFwqMvUENULlaIUAnmPYtg__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_hd&mpflag=16&Expires=1581391794&ssig=Lo7srx7kd%2B&KID=unistore,video",,2019-02-05,吴秀波超话,57,10,45,"吴秀波,秒拍",
4335394922930663,HeQMAcioL,吴秀波超话 能让我心静，让我安稳入睡的～#假如动物会摄影（普通话版）#《假如动物会摄影》吴秀波配音版 第1集：狐獴洞穴如“迷宫” @腾讯视频  网页链接 ,,,,2019-02-02,吴秀波超话,36,6,6,假如动物会摄影（普通话版）,腾讯视频
4335241780808453,HeMNA3ojz,吴秀波 好好的一个欢乐年，被网络水患无情摧毁，也许可以抹掉他所有的功绩，但抹除不了他演绎过的角色深刻在观众心里的烙印，也许可以删除他所有的影像资料，但删除不了早已被我们收藏在心底的他的所有作品！不明真相的人们啊，请你们先去好好了解一下他吧！网页链接 【但愿这个社会多一点温暖，少一些戾气！】,"https://wx3.sinaimg.cn/large/6f58a7ddgy1fzs0bghwwkj20og0h0gng.jpg,https://wx2.sinaimg.cn/large/6f58a7ddgy1fzs0bgqncmj20nt0glgnc.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1fzs0bi6koij22io1w0hdu.jpg,https://wx4.sinaimg.cn/large/6f58a7ddgy1fzs0bk0ncej22io1w0kjm.jpg,https://wx4.sinaimg.cn/large/6f58a7ddgy1fzs0bm84w4j22io1w0npe.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1fzs0bo9is1j22io1w01ky.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1fzs0bokusnj207f0gpwep.jpg,https://wx1.sinaimg.cn/large/6f58a7ddgy1fzs0boqkkej20bh0grq3b.jpg,https://wx2.sinaimg.cn/large/6f58a7ddgy1fzs0boyi26j20ci0gtt94.jpg",,,2019-02-02,吴秀波超话,142,69,100,,
4330882254763480,HcXo5jZck,2019#最强贺岁档#佳片云集、大咖齐聚！我最期待的演员是@吴秀波  ，此次他将带来新作#电影情圣2#，大年初一、情开得胜！新浪电影的微博视频 打榜传送门>>2019#最强贺岁档#演员能量榜 ,,"http://f.us.sinaimg.cn/004iZQ4Glx07qBTLUIWs01041200Rvs60E010.mp4?label=mp4_720p&template=1280x720.20.0&Expires=1581391801&ssig=ds7bn71l0s&KID=unistore,video",,2019-01-21,微博电影,4,0,0,"最强贺岁档,电影情圣2",吴秀波
