id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4001320849127805,E0ymoCiyF,我参与了@新浪四川 发起的投票 【女游客虎园被咬死，哪一方的责任更大?】，我投给了“游客”这个选项。你也快来表态吧~ 网页链接 ,,,,2016-07-26,投票,0,0,0,,新浪四川
3923972733089246,Da3DHcXEy,#微盘iOS客户端#v3.3.6版震撼来袭！1、微盘会员去广告，阅读省力又省心！2、多端云同步、办公娱乐两不误！3、海量云资源、随是随地任你选！下载地址：网页链接 ,,,,2015-12-25,微盘,0,0,0,微盘iOS客户端,
3801940561008148,C0OtW4egs,受不了啦！最近被情敌给包围了！舍友，舍友的朋友，朋友的朋友，所有的人都在花痴他！ ,,,,2015-01-22,手机微博触屏版,0,0,0,,
3750877208643412,Blly0AgxS,去看了一下好久没有检查的邮箱，没想到真的有惊喜！师父么么哒^ω^大家都要一起加油，争取与努力对等的人生！！  ,"https://ww4.sinaimg.cn/large/8bfb337ejw1ejzrdb7v4hj21kw23u4qj.jpg,https://ww3.sinaimg.cn/large/8bfb337ejw1ejzrdh444pj21kw23u4qp.jpg",,,2014-09-04,手机微博触屏版,0,0,2,,
3736019784209046,Bf72qhEXQ,啊啊啊啊啊啊啊就不该刷微博一不小心就被剧透了  ,,,,2014-07-25,手机微博触屏版,0,0,0,,
3734575237119994,BevsvtSeC,#人身攻击#举报上诉，我支持被举报人，你也赶快来参与吧。 查看详情：[人身攻击]@余玥希Blingbling 举报@水里木鱼 ,,,,2014-07-21,微博社区管理中心,0,0,0,人身攻击,
3731201594099720,Bd5H9hcww,我参与了@华鼎奖 发起的投票【百强电视剧满意度调查-中国最受媒体欢迎男演员】，我投给了“《天龙八部》钟汉良”这个选项。你也快来表态吧： 网页链接 ,,,,2014-07-11,手机微博触屏版,0,0,0,,华鼎奖
3730110328504784,BcDj2zGtW,我参与了@安徽卫视超级先生 发起的投票【娱乐圈#十大好男人#微博评选！】，我投给了“钟汉良”这个选项。你也快来表态吧： 网页链接 ,,,,2014-07-08,手机微博触屏版,0,0,0,十大好男人,安徽卫视超级先生
3730007693736697,BcADvfG5j,我参与了@轩辕虹列XYHL 发起的投票【《后会无期》男神大ＰＫ，选出你心中的男神！！】，我投给了“男神钟汉良”这个选项。你也快来表态吧： 网页链接 ,,,,2014-07-08,手机微博触屏版,1,0,0,,轩辕虹列XYHL
3727992284582728,BbKcQjeaY,我参与了@Kris说他会飞 发起的投票【票选2013~2014最值得期待的影视角色】，我投给了“钟汉良（何以琛）《何以笙箫默》”这个选项。你也快来表态吧： 网页链接 ,,,,2014-07-02,手机微博触屏版,0,0,0,,Kris说他会飞
3723851994878899,Ba0uXktdV,我投给了“钟汉良”。 网页链接 ,,,,2014-06-21,手机微博触屏版,0,0,0,,
3721760245753734,B985ao8Oa,我参与了#微打榜#发起的 #国产剧# 活动，我投给了 #勇士之城#  一票，  一起来吧，为TA加油！#微打榜#活动链接：网页链接 ,,,,2014-06-15,微打榜,0,0,0,"微打榜,国产剧,勇士之城,微打榜",
3721759964644927,B984Ijumb,#勇士之城# 由钟汉良主演的#勇士之城#好看吗？ 太好看了，值得推荐！ 详情:勇士之城超话 ,,,,2014-06-15,超话,0,0,0,"勇士之城,勇士之城",
3720688131413311,B8GbX5VFl,把小哇的照片发朋友圈人家还以为是我同学哈哈果真是冻龄  ,,,,2014-06-12,手机微博触屏版,0,0,0,,
3719111643578135,B81bef0PR,我参与了@广东卫视 的投票【我最“钟”爱的男神】，我投给了“古装侠风——《新天龙八部》萧峰”，你也快来表态吧！我最“钟”爱的男神 ,,,,2014-06-08,投票,0,0,0,,广东卫视
3665684477461655,AryKHvj7h,"我刚在@微盘 发现了一个很不错的文件""The Elements of Style_4th Edition.pdf"", 推荐你也来看看! The Elements of Style_4th Edition.pdf ",,,,2014-01-11,微盘,0,0,0,,微盘
3658789545247903,AoFnQm1dB,"#微盘iOS客户端#终于更新了......v3.1.0版全面兼容iOS7, 经测试所有iOS7上的已知BUG均已得到解决, 大家赶快更新吧! 网页链接 ",,,,2013-12-23,微盘,0,0,0,微盘iOS客户端,
3585965647842011,zA4mgwU43,给她讲了快两小时英语课了，免费的，好nice好耐心！活雷锋师兄，真是正能量满满！ ,,,,2013-06-05,iPhone客户端,0,0,0,,
3583330689251054,zyXOkCOCy,"我参与了@影视新人风云榜 的投票【热门投票：【2013最受期待影视剧】】，我投给了“钟汉良,张晓龙,刘筱筱甘婷婷<十月围城>”等2个选项，你也快来表态吧！热门投票：【2013最受期待影视剧】 ",https://ww3.sinaimg.cn/large/4562c440gw1e51otsxo4sj20b96c77wh.jpg,,,2013-05-29,投票,1,0,0,,影视新人风云榜
3581228173175286,zy57bdk2i,我参与了@PPS网络电视 的投票【禁播《大漠谣》？你同意嘛？】，我投给了“严重篡改历史，一定要禁播！”，你也快来表态吧！禁播《大漠谣》？你同意嘛？ ,,,,2013-05-23,投票,0,0,0,,PPS网络电视
3575718228805854,zvLMaAWNU,我参与了@全国演出资讯台 的投票【2013年度【新浪微博人气王年度票选】你说了算！】，我投给了“@钟汉良”，你也快来表态吧！2013年度【新浪微博人气王年度票选】你说了算！ ,https://ww4.sinaimg.cn/large/7f5ad8d8gw1e38zsvbgr9j.jpg,,,2013-05-08,投票,0,0,0,,"全国演出资讯台,钟汉良"
3567514606499506,zskmwrgOK,我参与了@流行音乐风向榜官网 的投票【“流行音乐风向榜”第98期投票！】，我投给了“@钟汉良 @胡杨林 《爱神》”，你也快来表态吧！“流行音乐风向榜”第98期投票！ ,https://ww4.sinaimg.cn/large/8fca9faagw1e3qmt68l6oj.jpg,,,2013-04-16,投票,0,0,0,,"流行音乐风向榜官网,钟汉良,胡杨林"
3566043718680516,zrI67Aqck,我参与了@网秦 的投票【为毒战网秦安全代言人投票得大奖】，我投给了“歌坛小太阳，正能量化身@钟汉良”，你也快来表态吧！为毒战网秦安全代言人投票得大奖 ,https://ww1.sinaimg.cn/large/63118321jw1e3lqdhpfbij.jpg,,,2013-04-11,投票,0,0,0,,"网秦,钟汉良"
3565934033346383,zrFfde2xV,被贴吧首页帅晕了啊啊啊啊啊啊！！！ ,,,,2013-04-11,iPhone客户端,0,7,0,,
3565879180229775,zrDOK0XM3,又看到神仙姐姐的剧照预感到以后有她的戏份我会看得很难受 ,,,,2013-04-11,iPhone客户端,0,6,0,,
3564470120836835,zr3a43vHl,我参与了@动物研究家黄思源猿猿猿-APE- 的投票【电视剧中主角你最喜欢谁？】，我投给了“傅红雪——钟汉良”，你也快来表态吧！电视剧中主角你最喜欢谁？ ,,,,2013-04-07,投票,0,0,0,,动物研究家黄思源猿猿猿-APE-
3564461140547968,zr2VA2iyc,温柔体贴耐心善良有志向人品好但感情渣的油嘴滑舌男。。。好头痛！ ,,,,2013-04-07,iPhone客户端,0,0,1,,
3561722273021058,zpTG3cFUK,我最近真是疯了！这是为什么啊啊啊啊啊啊！！！ ,,,,2013-03-31,iPhone客户端,0,0,0,,
3557995662943664,zokJoclMs,为啥我身边要有一个周婷一样的妹子？？？我要疯了！！！leave me alone啊！！！ ,,,,2013-03-20,iPhone客户端,0,0,0,,
3557523493392968,zo8rPeeFi,温柔善良绅士的男人在我眼里是会发光的大杀器！[花心][花心][花心][花心][花心][花心][花心][花心] ,,,,2013-03-19,iPhone客户端,0,0,0,,
3555905205330813,znslGmmMR,泥妹！丢死人了 ,,,,2013-03-15,iPhone客户端,0,0,0,,
3555090323970124,zn79mgEOg,掺杂着个人湿润感情的影评——命中注定的相遇一、百货商场，街边小花店，电影的种种场景都是如此的熟悉亲切，每一个人来人往的地点，似乎都曾经日复一日地路过，停留过，又离开过。连司医森家中(详见长微博) ...  网页链接  （分享自 @长微博工具） ,https://ww4.sinaimg.cn/large/8bfb337ejw1e2n5leyw57j.jpg,,,2013-03-12,分享按钮,0,0,2,,长微博工具
3554699707498315,zmWZkvsEz,天龙片花很好看，但是每次看到ZM伸着脖子出现在镜头里就好难受啊，一身神仙姐姐的白衣全被那混然天成的屌丝气给糟蹋了。其他的姑娘都比她好看太多 ,,,,2013-03-11,微博 weibo.com,0,0,0,,
3554024701437653,zmFqC61ZX,妈妈说好帅！弟弟说好看！#爱神来了# ,,,,2013-03-09,iPhone客户端,0,0,1,爱神来了,
3552487858035226,zm1rPxIkq,我参与了@长沙芒果博纳国际影城 的投票【说说3月你最期待的影片】，我投给了“爱神 上映时间 3-8”，你也快来表态吧！说说3月你最期待的影片 ,,,,2013-03-05,投票,0,0,2,,长沙芒果博纳国际影城
3550841879372006,zlkD1Dk5o,我参与了@流行音乐风向榜官网 的投票【“流行音乐风向榜”第91期 候榜新歌投票】，我投给了“@钟汉良 @胡杨林 《爱神》”，你也快来表态吧！“流行音乐风向榜”第91期 候榜新歌投票 ,,,,2013-03-01,投票,0,0,0,,"流行音乐风向榜官网,钟汉良,胡杨林"
3550440593486326,zlabNeCX4,肿么办，ms文档赶不完了啊啊啊！！！明天一定要早起！! ,,,,2013-02-27,微博 weibo.com,0,0,0,,
3550351732842390,zl7StbVr0,给你张满屏的稍微调亮了一点@峰年赏雪等片花 ,https://ww3.sinaimg.cn/large/8bfb337ejw1e281czusy1j.jpg,,,2013-02-27,微博 weibo.com,0,1,0,,峰年赏雪等片花
3550349496984687,zl7ORtj2f,这样的调色怎么样？@峰年赏雪等片花 ,https://ww3.sinaimg.cn/large/8bfb337ejw1e2813soh71j.jpg,,,2013-02-27,微博 weibo.com,0,1,0,,峰年赏雪等片花
