id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4453706315732638,Imx95o3jU,发布了头条文章：《上海外滩十八号的传说》 公粮来了 @大弟子Leo @电竞徐嘉诰 @江江bot  上海外滩十八号的传说 ,,,,2019-12-26,微博 weibo.com,38,10,41,,"大弟子Leo,电竞徐嘉诰,江江bot"
4453791665337346,ImzmKmoue,#绍宋# 位面官职整理（之三）不在赵九身边的未来大佬们。宗泽（延康殿学士知开封府兼东京留守）杜充（显谟閤待制知大名府兼北京留守）杨惟忠（建武军节度使主管殿前司公事）郭仲荀（武康军承宣使侍卫马军都指挥使）范琼（定武军承宣使御营司同都统制）刘锜（閤门宣赞舍人知岷州陇右都护洮东安抚总领）刘锡（閤门宣赞舍人知沧州）曲端（知镇戎军泾原路经略司统制）王彦（河北西路招抚司都统制）岳飞（武经郎閤门宣赞舍人河北西路招抚司统制）吴玠（秉义郎泾原路第十二副将）,,,,2019-12-26,微博 weibo.com,5,0,0,绍宋,
4453766658773651,ImyIpAOqv,日本的宽松世代指的是1987年以后出生的一代，不排名不考试没作业圆周率背到3……从目前趋势看，10后铁定是同样的了，可命名为“莉卡酱世代”。和朋友聊天，魔都有些公立小学，一周只上1节英语课，就教教3岁的ABC；数学也被削弱了；语文倒是强化到一周10节，什么师资都赶鸭子上架要求教“国学”…… ,"https://wx4.sinaimg.cn/large/622fd6d1gy1gaa4st45a3j20fi08r463.jpg,https://wx3.sinaimg.cn/large/622fd6d1gy1gaa4swbo21j20fi08raj9.jpg,https://wx1.sinaimg.cn/large/622fd6d1gy1gaa4t3g11ej20fi08rn56.jpg",,,2019-12-26,微博 weibo.com,55,32,33,,
4453731027988265,ImxMWxw6Z,#绍宋# @榴弹怕水 老爷的新书讲了一个穿越刚继位半年的赵构的故事，我觉得这个背景很有意思：赵构继位半年了都干了些什么？1、第一条是任用私人，不管是中枢的宰执还是御营的将领，还有东京留守宗泽都是他大元帅府的旧人。但这个班底最大的问题是资历太浅，文官没有干过中枢，武将没有干过一路帅臣。2、所以赵构临时任用了李纲，这就是朱熹所说“方南京建国时，全无纪纲。自李公入来，整顿一番，方略成个朝廷模样”。然而赵构又觉得自己驾驭不了老资格大臣，如李纲、吕好问等都不过两月就罢相，用完就扔一边。3、还有就是各种肃反运动，宣和朝臣败坏天下要贬，靖康朝臣酿成大祸要贬，张邦昌伪朝官员要贬，连王安石新党“余孽”抓住了也不放过……这既是通过否定前朝以积攒政治声望，也是在借机清洗朝堂。所以，等金军大举南下，这个还在玩过家家的小朝廷能不被一波带走吗？,,,,2019-12-26,微博 weibo.com,37,8,9,绍宋,榴弹怕水
4453717572934587,Imxrfcjq3,#绍宋# 位面官职整理（之二）赵九身边的武将。王渊（宁州观察使御营使司都统制）刘光世（殿前都虞候奉国军节度使御营使司提举一行事务）韩世忠（定国军承宣使带御器械御营使司左军统制）张俊（徐州观察使带御器械御营使司前军统制）苗傅（统制）辛道宗（统制）辛永宗（统制）乔仲福（统制）王德（武略大夫）刘正彦（朝奉大夫）杨沂中（忠翊郎閤门祗候）,,,,2019-12-26,微博 weibo.com,1,4,7,绍宋,
4453714804767458,ImxmMk0eu,#绍宋# 位面官职整理（之一）左相李纲（银青光禄大夫观文殿学士尚书左仆射同中书门下平章事御营使兼门下侍郎）副枢张悫（通议大夫延康殿学士同知枢密院事御营副使兼提举措置户部财用）副枢汪伯彦（中大夫显谟阁直学士同知枢密院事御营使）执政吕好问（资政殿学士知宣州→尚书右丞？）许景衡（御史中丞→？）张浚（殿中侍御史→御史中丞）宇文虚中（资政殿学士韶州安置→召回？）朱胜非（试中书舍人兼权直学士院）吕颐浩（徽猷阁直学士知扬州）赵鼎（权户部员外郎）,,,,2019-12-26,微博 weibo.com,6,2,3,绍宋,
4453652212982030,ImvJPcvLg,126年前的今天，是一位小朋友的生日，他名叫李得胜、二十八画生、毛奇、毛石山、杨学任、杨引之、润芝、学润、永滋、允滋、泳芝、咏滋、咏芝、钟英、子任、马任、自任…… ,"https://wx1.sinaimg.cn/large/622fd6d1ly1ga9rqgrm7dj20p00lwwft.jpg,https://wx2.sinaimg.cn/large/622fd6d1ly1ga9rtsimp4j20hs0btdga.jpg",,,2019-12-26,HUAWEI P20 Pro,112,9,45,,
4453433887054836,Imq3GtBhG,【我，NAVY，打钱】美国报告称海军舰艇比中国少了49艘美国国会最新报告还焦虑地表示，从2005年开始中国海军舰艇数量逐年递增，至2019年拥有舰艇335艘，而美国海军舰艇数量基本保持，2019年为286艘。 #中国军情##美军动态# ,"https://wx4.sinaimg.cn/large/622fd6d1gy1ga92tw9hcxj218g0r5x6p.jpg,https://wx3.sinaimg.cn/large/622fd6d1gy1ga92ttws0rj20rs0f17l6.jpg",,,2019-12-25,微博 weibo.com,7,3,4,"中国军情,美军动态",
4453384893429346,ImoMFeo82,#东京地检特搜部# 日经新闻消息：东京地方检察厅特搜部以中国企业收取现金300万日元等贿赂为由，逮捕了国会议员的秋元司。科普一下，东京地检特搜部的前身隶属于“白人天皇”麦克阿瑟领导下的GHQ，即所谓“隐退藏物资调查会”。包括田中角荣、竹下登等“中国人民的老朋友”都是东京地检特搜部的常客 ,"https://wx2.sinaimg.cn/large/622fd6d1gy1ga8wwj6cbaj20go09ydo9.jpg,https://wx1.sinaimg.cn/large/622fd6d1gy1ga8wzc0hmpj20m80etao4.jpg,https://wx1.sinaimg.cn/large/622fd6d1gy1ga8xabmlr0j20jx0olwzj.jpg",,,2019-12-25,微博 weibo.com,66,12,53,东京地检特搜部,
4453367163983047,Imok4gIaH,我说唐代陌刀之所以被淘汰，还是不能适应重甲化潮流。唐代东亚披甲情况是啥样子，我举个栗子：诺真水之战，“薛延陀万矢俱发，唐马多死。世绩命士卒皆下马，执长槊直前冲之，薛延陀众溃”——唐军骑兵马无具装，只好骑兵下马端着马槊“板载冲锋”，然后对面竟然就崩了…… ,,,,2019-12-25,微博 weibo.com,23,15,15,,
