id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4455295885404963,IncuUmG4P,写文真的太难了看到喜欢我的读者的评论很开心，但数据和收益差又可以看出来自己真的很垃圾，然后再遇到质疑的评论，仅剩的一丁点自信也瞬间崩溃，顿时不知道自己要怎么写了，也不知道该写什么了。想弃坑，但原则上又不允许自己这么做。所以我为什么想不开去写小说。 ,,,,2019-12-30,微博 weibo.com,0,10,0,,
4455175143788985,In9mafTGF,这是来自作者的新年愿望。 ,https://wx2.sinaimg.cn/large/a88c98e6ly1gaemwqlrajj20sf0sfdhr.jpg,,,2019-12-30,Weibo.intl,1,2,1,,
4452716929547855,Im7piE3PF,这段话让我想起之前认识的一个晋江作者混古风圈写歌词还在晋江专门写古代背景的文，说最爱红楼梦，自觉文笔很棒，可写出来的歌词和小说读出来就是这种感觉。 ,https://wx3.sinaimg.cn/large/a88c98e6ly1ga6sl5r2foj20u00yp0u9.jpg,,,2019-12-23,Weibo.intl,1,0,1,,
4450170994980986,Il3aXkTMu,旋转跳跃上天，买的爱伦坡诗集到了！！！ ,"https://wx1.sinaimg.cn/large/a88c98e6ly1g9yo6tey8nj20u0140qnc.jpg,https://wx2.sinaimg.cn/large/a88c98e6ly1g9yo6u480qj20n90z1dnz.jpg,https://wx1.sinaimg.cn/large/a88c98e6ly1g9yo6v8sk7j20u01404ki.jpg",,,2019-12-16,Weibo.intl,0,0,0,,
4447986295373208,Ik8lfmxOE,摩诃这段的景物描写我好喜欢。 ,https://wx2.sinaimg.cn/large/a88c98e6ly1g9rpa4z0gzj20u04wtduq.jpg,,,2019-12-10,Weibo.intl,0,0,6,,
4445447458053518,Ij4ilxN5s,是什么蒙蔽了我的双眼是奎师那啊啊啊啊啊啊 ,"https://wx4.sinaimg.cn/large/a88c98e6ly1g9jlovpgvgj211y0lchdt.jpg,https://wx2.sinaimg.cn/large/a88c98e6ly1g9jlovgvpxj211y0lckjl.jpg,https://wx2.sinaimg.cn/large/a88c98e6ly1g9jlow96rzj211y0lcqv5.jpg",,,2019-12-03,微博 weibo.com,2,2,0,,
4437923220787106,IfUyu3iLg,演戏的人没当真，看戏的人入戏太深。 ,,,,2019-11-12,Weibo.intl,1,0,0,,
4436378408747370,IfgmQAHAC,没写出符合“呕心沥血”内在深意的小说，却把自己写成了“呕心沥血”字面意思的状态。 ,,,,2019-11-08,微博 weibo.com,1,0,0,,
4435983157719653,If65lwoex,一开始写写文就各种不满意，觉得所有人都比自己写的好。写了这么多，我从来没觉得自己的哪一篇文字写得好，每次看都会觉得不堪入目……陷入这么个怪圈，兜兜转转走不出去……明知道自己就不适合写作，什么都学不会，但却又不想停笔不写……浪费时间又浪费精力，明知道自己不优秀，为何却生了颗总幻想着自己会变优秀的心。,,,,2019-11-07,Weibo.intl,1,4,0,,
4435277302476612,IeNISaohm,跟越越@晋江小越儿 改码字软件的名字玩，玩成了这样  ,https://wx1.sinaimg.cn/large/a88c98e6ly1g8n5o9oyw5j20u00a2myb.jpg,,,2019-11-05,Weibo.intl,3,2,0,,晋江小越儿
4428324426730235,IbSQyseQb,我是真的一直这么觉得，如果世界上真有神明，那请公平点吧，与其让那么多积极向上努力生活的人得重病去世，不如把我这种早就不想活，每天都盼着自己早点死的活着没什么大用的人得生命分给他们，让他们活久一点对世界更美好，让我这种家伙活着有什么意思呢，浪费空气，浪费资源。 ,,,,2019-10-17,Weibo.intl,0,4,0,,
4421854922137857,I9axS8Y9z,我想看束发跟黑公主百合！（大声） ,,,,2019-09-29,Weibo.intl,1,0,0,,
4420087140233355,I8qyC0YHN,有人晋江能崩我这么有技术含量？五分钟过去了一直没变。晋江我怀疑你在骂我，并且我有证据。 ,"https://wx3.sinaimg.cn/large/a88c98e6ly1g7ap3f5hlyj20yp09nwil.jpg,https://wx4.sinaimg.cn/large/a88c98e6ly1g7ap3myrlfj20n70a341t.jpg,https://wx1.sinaimg.cn/large/a88c98e6ly1g7ap3tku0oj202w03f3yb.jpg",,,2019-09-24,微博 weibo.com,3,5,0,,
4419240196650760,I84wzrUak,我居然梦到……梦里我真的自杀成功了……情绪不稳定，被周围人的冷嘲热讽刺激，实在控制不住后给玲打了个电话，然后我就毅然决然地真的自杀了……惊醒的时候，枕头都湿了真觉得不要醒过来就好了。 ,,,,2019-09-22,Weibo.intl,2,4,0,,
4413456507315905,I5E42uHct,它死了…………………………………………前天拍的照片成了最后的…………………………开开心心跑到笼子前面还想日常骚扰它睡觉，伸手一碰它动也不动了……太难过了。 ,"https://wx2.sinaimg.cn/large/a88c98e6ly1g6pjl6rnc1j21400u0x6r.jpg,https://wx1.sinaimg.cn/large/a88c98e6ly1g6pjl8pug5j21400u0u0z.jpg",,,2019-09-06,Weibo.intl,0,11,0,,
4408220958869348,I3rRBBdk0,好久没开车，无证司机尝试复健……然后失败了，决京的酒吞大妖皮设定下的没能运转起来的破自行车。#阴阳师# 茨酒超话 《夭冶》如火焰般恣意的红发披散在脑后，回忆起被自己所遗忘的一切的酒吞童子周身仿佛燃烧着熊熊烈火，就连离他不远的山茶树都害怕似地微微卷曲起枝叶。同他那艳丽得近乎张 ...全文,,,,2019-08-22,微博 weibo.com,13,6,15,阴阳师,
4407504118893515,I39dpBjBN,我每写一个文其实都想在文里杀死我自己。 ,,,,2019-08-20,Weibo.intl,1,0,0,,
4393707690237004,HDjLr0ZEE,@晋江小越儿  @晋江猴头箍  你们想看我的大宝贝？ ,https://wx4.sinaimg.cn/large/a88c98e6ly1g4yjgwozqrj20u02v0b2c.jpg,,,2019-07-13,Weibo.intl,0,0,1,,"晋江小越儿,晋江猴头箍"
4377243880832939,HwpsU3uGv,你们俩笑死我了 ,https://wx2.sinaimg.cn/large/a88c98e6ly1g3i0mkx8t4j21hc0u0hdu.jpg,,,2019-05-29,Weibo.intl,0,3,0,,
4373026834846822,HuDLdkkSy,看了肯德基母亲接广告后有感而发，做了个#阴阳师#版本，酒吞童子超话 、#夜叉# 、#万年竹# 、源博雅超话 、#荒#、荒川之主超话 、#两面佛#联袂主演  渣渣抠图，渣渣后期，第一次做这种视频，真的好难【阴阳师】肯德基母亲节广告阴阳师版 ,https://wx2.sinaimg.cn/large/a88c98e6ly1g34k8nb8zuj211y0lcqsz.jpg,,,2019-05-17,微博 weibo.com,15,5,11,"阴阳师,夜叉,万年竹,荒,两面佛",
4366752403638325,Hs0xafguF,越越强势的安利方式，直接当生日礼物送给我哈哈哈哈，谢谢越越！@晋江小越儿 ,https://wx4.sinaimg.cn/large/a88c98e6ly1g2kjp5dhngj22bc334qv8.jpg,,,2019-04-30,Weibo.intl,2,2,1,,晋江小越儿
4350889818595817,HllSlA4ad,露在外面的壳子看起来还像个人，可身体里面连我自己都不知道我还是不是个人，或许已经完全支离破碎。 ,,,,2019-03-17,Weibo.intl,2,1,0,,
4346104747529421,HjlouvAKh,宅的好处，白的发亮 ,https://wx1.sinaimg.cn/large/a88c98e6ly1g0qocig6t0j20u0140tdb.jpg,,,2019-03-04,Weibo.intl,3,0,0,,
4344410890774311,HiDkt3fqT,@晋江小越儿 @画风清奇酩酊醉 ,"https://wx4.sinaimg.cn/large/a88c98e6ly1g0l9sejxlfg207s05m1k6.gif,https://wx3.sinaimg.cn/large/a88c98e6ly1g0l9sg64pbg208c056x6p.gif,https://wx1.sinaimg.cn/large/a88c98e6ly1g0l9se1g89g208805ikic.gif",,,2019-02-27,微博 weibo.com,2,2,1,,"晋江小越儿,画风清奇酩酊醉"
4343705114041142,HikY7gXhI,闪闪你的脚气吗？？？ ,https://wx4.sinaimg.cn/large/a88c98e6ly1g0j0r4arldj21hc0u0u0x.jpg,,,2019-02-25,Weibo.intl,0,0,0,,
4339892349628995,HgJMuEoWn,看昨天自己的战斗回放发现我的一目连卡bug了，龙丢了全场笑死了 ,"https://wx2.sinaimg.cn/large/a88c98e6ly1g06uv0tkeoj21hc0u07wi.jpg,https://wx2.sinaimg.cn/large/a88c98e6ly1g06uv1bmvvj212c0u0wr9.jpg,https://wx4.sinaimg.cn/large/a88c98e6ly1g06uv1lxymj20zz0u0n93.jpg,https://wx2.sinaimg.cn/large/a88c98e6ly1g06uv25whwj21ac0u04dg.jpg,https://wx3.sinaimg.cn/large/a88c98e6ly1g06uv2j59vj20vj0g578g.jpg,https://wx1.sinaimg.cn/large/a88c98e6ly1g06uv2qu9jj211q0mk7cy.jpg,https://wx3.sinaimg.cn/large/a88c98e6ly1g06uv32nqjj216w0opqe6.jpg",,,2019-02-15,Weibo.intl,10,1,10,,
4335668383427032,HeXTEenwI,@晋江小越儿  以牙还牙，敬我们的友谊 ,"https://wx1.sinaimg.cn/large/a88c98e6ly1fztdqwa2m9j205k05kdfw.jpg,https://wx3.sinaimg.cn/large/a88c98e6ly1fztdqwfwa8j205k05kglp.jpg",,,2019-02-03,Weibo.intl,0,1,2,,晋江小越儿
4323746925895623,H9XLuoJIH,我记得梦枕貘在《阴阳师》里也写了博雅跟蝉丸学音乐 ,https://wx4.sinaimg.cn/large/a88c98e6ly1fyrcl52lfrj21950u0x6p.jpg,,,2019-01-01,Weibo.intl,0,0,0,,
4317822865522745,H7tEynaIx,我觉得某些人都不懂这种感觉，却还觉得自己很了解。对你来说也许只是屁大点事，根本不至于精神崩溃也不至于心情不好的事。但对某种人来说，可能只是想缝纽扣时到处都找不到一根针的事情，就足以让他崩溃，让他发疯。至于这个叫什么我不想说了，总之，最好不要总一副你很了解的姿态来教育或“指导”他你应该如何如何积极向上，如何如何乐观。如果他能像正常人一样控制好情绪，那他也不会像个go fucking myself的疯子了，谢谢。,,,,2018-12-16,Weibo.intl,0,1,4,,
4317247348678847,H7eGiApLp,谢谢未曾见面的你们发的每句话，这回我又坚持过来了，谢谢。 ,,,,2018-12-14,Weibo.intl,0,6,0,,
4317196652444413,H7dmxafU1,无助绝望到感觉自己这双手除了能掐住自己的脖颈外，什么都抓不住。 ,,,,2018-12-14,Weibo.intl,0,3,0,,
4317097330952693,H7aMl3ZQ1,总说自己身体不好，没说啥具体啥病，其实也真不是病。就是有点抑郁倾向，总会想不开心情不好，也没少给身边人添麻烦。我自己也觉得自己没救了，时好时坏，自己觉得最好的办法就是一个人待着，自己解决。 ,,,,2018-12-14,Weibo.intl,0,2,1,,
4315016787985668,H6iECxvr6,还缺本霍比特人。 ,https://wx3.sinaimg.cn/large/a88c98e6ly1fxzhxzzzcvj20u01404qs.jpg,,,2018-12-08,Weibo.intl,0,2,0,,
4298725130102534,GFqi50qFM,你这个迎接吓到我了 ,https://wx2.sinaimg.cn/large/a88c98e6ly1fwjiv0o8hoj20ql0fqara.jpg,,,2018-10-24,微博 weibo.com,0,0,0,,
4297972986260896,GF6IWqgKc,活着活着就想死了，这想法对我来说仿佛跟呼吸一样稀疏平常。 ,,,,2018-10-22,Weibo.intl,0,0,0,,
4293673300153334,GDiRY0DT8,？？？梅林你干啥？？？ ,https://wx1.sinaimg.cn/large/a88c98e6ly1fw3eog710bj21hc0u0npe.jpg,,,2018-10-10,Weibo.intl,0,6,0,,
4291446415123035,GCmWdluJB,下辈子想做一台ATM。 ,https://wx3.sinaimg.cn/large/a88c98e6ly1fvwaxa2kmij20b40auwet.jpg,,,2018-10-04,Weibo.intl,1,0,0,,
4290720585563544,GC43wnlkA,看着路边绿化带里的串红，忽然就想起以前住的地方附近有河坝，也是有人圈了一块地方种各种花，我就经常摘那个串红花吃里面的花蜜小时候真是什么都敢吃，现在可不会这样了…… ,,,,2018-10-02,Weibo.intl,2,6,0,,
4283529326541440,Gz2YIrrJ6,死在这一低头的眉眼里…… ,https://wx2.sinaimg.cn/large/a88c98e6ly1fv71npp2blj21hc0u0e82.jpg,,,2018-09-12,微博 weibo.com,0,0,0,,
4282830924177812,GyKOghwQ4,梅林对亚瑟这句“关您啥事”要笑死我 ,https://wx4.sinaimg.cn/large/a88c98e6ly1fv4tg61ccej20u00dmack.jpg,,,2018-09-10,Weibo.intl,0,0,0,,
4275136909526501,GvwEyDYhf,这张图我以前真的临摹过好多好多次…………甚至在笔记本索引页都画了…… ,https://wx1.sinaimg.cn/large/a88c98e6ly1fug9sxop08j23342bce82.jpg,,,2018-08-20,Weibo.intl,3,2,0,,
