id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4444101602300155,IivhC9Enh,喂。喂，喂？听得到吗？六位来自其他世界的朋友们。大家晚上好。我是蒲水手。这艘船上一直流传着一个传说：这里的照相馆具有穿越时空的能力，只要拿着照片在照相馆拍照，就能穿越到照片里的世界，只有死亡可以让穿越者从照片世界里离开，但超过30天后，穿越者将会永远留在这个世界。跟大家在一起的这30天，就像是一场梦，想必各位也都有这样的感觉。好在，梦终于到了需要醒来的一天。 在各位下船之前，请允许我以代理船长的身份，代表“鼓浪屿号”跟大家做个正式的告别。这是我第一次用船上的广播，也可能是最后一次。说实话有点紧张，毕竟之前这都是何船长的工作。我永远记得跟何船长初次相遇的那天上午。“蒲水手你好。”何船长笑着向我伸出手。甲板上日光刺眼，这艘船刚开出不久，但我却看不到岸。“船长您好，欢迎上船。”何船长的手很大，很温暖，握手的时候我甚至愣住了，我可能是忘记松开，也可能就是不想松开。船长的笑容逐渐变得诧异，我回过神，慌忙把手抽出来，或许再多一秒，气氛就会变得尴尬。我转过头不出声地骂了一句脏话：“你在搞啥子哦是没睡醒吗？”我现在终于懂了，那是我第一次与人握手，也是我第一次感受到人类身体的温度。虽然没过多久，但我好像花了很长时间，才终于接受了这个事实，那就是我所处的世界，从你们的角度上来说，并不是一个真实的世界。我一直自然地以为，我和你们一样，拥有着一生的记忆，我是“鼓浪屿号”上的水手，是把一辈子献给海洋的船员。但当我知晓一切，回头看时，却发现我不记得我的父母，不记得我的童年，不记得我在船下度过的任何时间哪怕一秒钟。准确地说，我的记忆其实开始于一个月以前。对，就是各位上船的那一瞬间。这种感觉很奇妙，记忆像是被划了一道泾渭分明的界线，在那一瞬间之前像是打了马赛克一般只有模糊的印象，在那一刻后，我开始清楚地记得一切。海上钢琴师大赛前几天的一个下午，我到甲板上打扫卫生，不知从何处飘来了一阵琴声。我循着音乐的方向来到了放有钢琴的演播厅，看到了一位少年，一袭白衣坐在钢琴前，阳光透过玻璃洒在他的身上，他的琴声温柔又坚定。我呆住了，那场景就像是一幅上世界的名画，他缭乱纷飞的十指，恍惚间让黑白琴键变成了海上群舞的海鸥。时间好像被定格，拖把从僵硬的手中脱落，悠扬的音乐被一道不和谐的清脆声响破坏。我惶恐不安，群舞的海鸥好像下一秒就要四处逃窜。琴声没有被打断，少年甚至连头都没有抬。我慌张地捡起拖把退了出去，迎面撞上了Papala。传说，在这个照片世界里停留超过30天的人将会永远留在这个世界，这也是你们今天必须离开的原因。除了25岁的何船长外，你们其实没有选择，必须要走。而我必须要留。我只能留下来。我会永远留下来。问题是，这所谓的“永远”到底有多远。这个世界在30天期限结束后，会永远地持续下去吗？很显然，这个世界不具备完整世界的基础，时间基础，空间基础，都不具备。这个世界是在真实的MG93年的世界上衍生出来的异世界。从时间上来说，我非常笃定，这个世界的历史只有短短30天，不然，为什么我没有你们上船之前25年的完整记忆？30天的期限就要到了，留给这个世界的时间还有多久？30年？30天？30分钟？30秒？还是只有用来告别的一瞬间？空间上呢，这更不可能是一个无限的世界。不然，为什么这艘船靠不了岸，为什么这30天内我们完全没有跟外界沟通的机会，为什么船上的一切生物都无法主动地离开这艘船？最开始的时候，我们以为这是一块神秘的海域，就像百慕大三角区，船只会在这里迷失方向，永远走不出去。现在我明白了，这片海域不是问题所在，问题在于这个世界可能就只有这么大——以这艘船为中心，目之所及范围为半径的一个圆。这样的话，我现在所处的这个时空，还能被称作完整的“世界”吗？这个时空最准确的称谓，就是一艘船。因为这里只有一艘船。“从这边上去。阿姨您还可以吗？”我听到身后传来的喘气声。“阿姨。。。勉勉强强。”我看到Papala咽了口唾沫，长长地喘了口气，用手提了提特显腿短的长长裙摆，登上了下一级阶梯。我觉得papala一定是一位伟大的母亲，不然教导出的儿子也不会年纪轻轻就当上了船长，而我25岁了还只是船上的一个水手。我没有妈妈。我有妈妈吗？我从何而来？我试图拼凑的世界观是全然破碎的，但在印象里，我似乎是一名无神论者。我知道宇宙诞生于大爆炸，有机物来自于无机物，人类由世界上第一个细胞经历亿年一步一步进化而来，而非由一位高于一切的存在创造出来。我相信这样的观点，应该是你们所处真实世界的主流观点，毕竟我的世界是真实世界的衍生品，那么我模糊而不健全的世界观，可能也是由真实世界里大多数普通人类的世界观衍生而来的。但这样的观点对现在的我，对这个世界的我而言，不再适用了。我的世界没有经历过亿年的沧海桑田，我的世界只有一个月的历史。我的世界来源于一个传说。我不得不去相信，我的世界是被创造出来的，我是被创造出来的。创造这一切的那位，我是不是称呼他为我的神？如果神真的存在，为什么他只赐予了我起源，却没有指引我的归路？他在创造这一切的时候有没有想过，当传说结束之后，当我知晓这一切之后，会发生什么，或者，我应该去做什么？“嘿。”我抬起头来，是井邦，海上钢琴师大赛的参赛选手。说起来，现场所有参赛选手，主动跟我打招呼的，他是头一个。“嗨，”我赶忙站起来，“马上开始了，紧张吗？”“不紧张，多亏了你的咖啡。”他拍了拍我的肩膀。“蒲水手，过来一下。”门口传来张二副的声音。“我一会要上场比赛了，你拿好这个对讲机，留在这个频道，如果有人用对讲机求救，去广播室找贾师傅尝试锁定信号发出的源头，比赛结束立刻向我汇报。”我一直觉得，井邦是这艘船上最温柔的人，张二副是最严肃的人。那时候谁能想到他俩是兄弟呢。井邦九岁那年，鼓浪屿号遭遇了有记载以来最大的海上风暴，在船员记录手册上，登记为船员家属的张三在那一天被记录为死亡，毕竟没人能相信一个九岁的小孩，能在海上风暴中幸存。这真是一艘神奇的船，遗失的东西好像都能在这里失而复得。手机，录音笔，爱情，逝去的亲人。还有记忆？“小蒲~~”“金刚？”我确信，海上钢琴师决赛那天是我第一次见到这位名叫“撒金刚”的参赛选手。那为什么，他总会给我一种莫名的熟悉感，我好像在哪见过他？脑子里模糊的记忆海，好像被这种熟悉感激起一阵剧烈的风浪。如果，我不是以现实世界普通人类的模板随意创造出来的，那是不是说明，现实世界里，也许真的有一个真实的我？如果现实世界的我真的存在，那我的生活是什么样子的呢？这25年模糊的记忆是否曾经也填充着真实经历？那些到底是什么呢？我来自哪里？我的爸爸妈妈是谁？我为什么成为了水手？我为什么来到了鼓浪屿号？但最让我好奇的是，我今后的生活还会发生什么。我现在所处的时空，是从MG93年的真实时空所衍生出来的，从真实年龄和辈分上讲，我是各位的长辈。是叫哥哥叫师傅还是叫大爷你们自己看着办，反正我都不吃亏。但在这个时候我突然明白了一件事。来自未来时空的各位，你们明白吗，我的未来，已经成为了你们的历史。在你们所处的时空，我已经走过了我的一生。所以，我未来的生活，究竟是什么样的呢？我可能一直是个水手，可能当上了大副，可能当上了船长，可能来自海上，也归于海上。也可能我在未来某一天，辞去了海上的职务，在舰桥上扔下了陪伴我整个职业生涯的水手帽，下了船，在MG市港口附近开一家小饭馆，娶妻，生子。我的儿子可能会在他五岁那年爱上钢琴，我可能会和我的儿子因为种种幼稚的原因产生矛盾而互不来往。20年后，他也当上了爸爸，那时候我终于想要修复我跟我儿子之间的关系，我约他在在豪华游轮鼓浪屿号上的酒馆，酩酊大醉之后才发现一切都是误会，我可能会听到阔别20年的一声“爸爸”。我会有我爱的人，我会有爱我的人，我的一生可能不会留下遗憾。在你们回到原来的世界后，我想请各位帮我一个小忙。很有可能，你们能够找到我的父母，或者我的妻子，或者我的孩子。我可能会在很多地方留下我生活过的痕迹，你们可能会找到我在鼓浪屿号上工作时供职的海运公司，可能会在沙滩上捡到一顶无人认领的水手帽，可能会找到开在MG市港口附近的的小饭馆，可能会找到我的墓碑。也可能什么都找不到。我希望你们能够回到属于自己的世界。我又希望你们可以留下来。我希望这艘船在下一秒，就会轰然坍塌。我又希望这艘船永远不要停下来。我希望当我下次闭眼，我可以不必再睁开。我又希望有一天我睁开双眼，可以看到你们再次出现在我面前，告诉我，我一生的故事。我真是一个懦弱，矫情，又优柔寡断的人。但有一点我是确定的。我永远，都会在这艘船上。祝各位下船之后，一帆风顺。蒲水手广播完毕。#明星大侦探#,"https://wx2.sinaimg.cn/large/abd30746gy1g9fayc8uiej22yo4g07wu.jpg,https://wx1.sinaimg.cn/large/abd30746gy1g9fayj2otzj24g02yohe6.jpg,https://wx4.sinaimg.cn/large/abd30746gy1g9fayrfhi4j23gg56o4r3.jpg,https://wx2.sinaimg.cn/large/abd30746gy1g9fb1vnzydj22u5498b2i.jpg,https://wx4.sinaimg.cn/large/abd30746gy1g9fb3y4g80j24g02yob2o.jpg,https://wx4.sinaimg.cn/large/abd30746gy1g9fb43hspwj24g02yoqvk.jpg,https://wx3.sinaimg.cn/large/abd30746gy1g9fb492ijoj23gg56o7wu.jpg,https://wx1.sinaimg.cn/large/abd30746gy1g9fb4hjg85j23gg56ou1e.jpg,https://wx4.sinaimg.cn/large/abd30746gy1g9fb4ofq8jj23gg56ohe6.jpg",,,2019-11-29,HUAWEI Mate 20,157976,4409,6070,明星大侦探,
4471660583640754,Iu4dAfh7Q,hhhhhhhhhh ,https://wx3.sinaimg.cn/large/abd30746ly1gbv883gba8j21901o04qq.jpg,,,2020-02-14,HUAWEI Mate 20,91412,6255,998,,
4471513451757850,Iu0oh7niq,翻到一张大片 ,https://wx3.sinaimg.cn/large/abd30746ly1gburbwanivj20qo0zidi8.jpg,,,2020-02-13,HUAWEI Mate 20,46342,4306,627,,
4471100937096968,ItPEVtMfe,每个失眠的夜里，我都会想失眠，是因为害怕入睡，还是害怕做梦，还是害怕醒来。 ,,,,2020-02-12,HUAWEI Mate 20,46591,3541,733,,
4469774018741257,Ith8JAG01,元宵快乐！ ,,,,2020-02-08,HUAWEI Mate 20,37861,4771,446,,
4467170501219905,Isbpw57lT,一人做事一人当，我一个人干的，跟别人无关 ,"https://wx1.sinaimg.cn/large/abd30746gy1gbgwjk3ha5j20pd0crdh1.jpg,https://wx1.sinaimg.cn/large/abd30746gy1gbgwjkf6jmj20zk0hsmz3.jpg",,,2020-02-01,HUAWEI Mate 20,141080,4835,4482,,
4466430580311544,IrSa61j2U,既然剧本杀的预告已经出了，我必须隐约透露一下以降低大家的期待。我们几个最多只当过助理，从没当过明侦正式玩家的学员们，对于综艺感可以说是完全没有度的概念，离正式嘉宾们的收放自如实在是差远了。所以当时录制现场开车开得惨绝人寰，滚滚车轮直接把这档节目往18禁🙅的尺度上送，基本上每过五分钟总导演都会用大喇叭喊一句“刚才那段重新来一遍，播不了”。我不知道正片会是什么样子。,,,,2020-01-30,HUAWEI Mate 20,130890,7935,2581,,
4466084243072982,IrJ9ucTqe,我的手艺 ,"https://wx4.sinaimg.cn/large/abd30746gy1gbdfsnwo1bj21400u0wj2.jpg,https://wx3.sinaimg.cn/large/abd30746gy1gbdfso7mnsj21400u0adw.jpg",,,2020-01-29,HUAWEI Mate 20,42257,2844,286,,
4465723210219049,IrzLb0UZ3,终于找到了，交作业#名侦探学院# ,https://wx4.sinaimg.cn/large/abd30746gy1gbcabs1at7j20u00gcwho.jpg,,,2020-01-28,HUAWEI Mate 20,157653,3832,995,名侦探学院,
4465707108227547,Irzlcywmn,全副武装出门逛超市，碰到一个戴着口罩的大姐应该在给家里的长辈打电话：“这种时候还出门逛锤子的街（gai）啊，搞快回家睡瞌睡！”非常时期的青年人即使还单身也已经体会到带孩子的艰辛：“莫乱跑！” ,,,,2020-01-28,HUAWEI Mate 20,27365,817,92,,
