id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4455748685780837,InoheofRj,原本今天的計劃是，在家陪小堅果玩一玩，他睡了之後我就可以自己喝一杯、看轉播、看青峰演出，好好放鬆一下～但上星期突然接到個很臨時的工作，於是這兩天又忙碌了起來，能陪著堅果的時間也變少很多，就這樣忙亂中要結束2019了！最近很常有人問我，什麼時候要復出呢？我們都說2020，但一直都沒有說是什麼日期，因為我們一直在努力準備中，還有個很關鍵的目標要達成啊！（應該大家都知道是什麼目標吧！）請再給我們多些時間，大家請先聽聽青峰的太空人專輯，以及先好好感受太空備忘記，讓我和阿福再加點油把產後(?)肥肉鏟掉！#新的一年給我們一點時間等阿福瘦下來#阿福10公斤倒數中（我自己承認我也有N公斤倒數中）,https://wx4.sinaimg.cn/large/6dcc167bgy1gaggpx7yyfj20zj0zj424.jpg,,,2020-01-01,iPhone客户端,6058,961,853,,
4444747051348923,IiM4F5EUP,一轉眼就過完了幫小孩過生日的月份，因為堅果的生日，讓家人可以聚在一起吃飯，想想去年的此時，他總是在睡覺，相對現在真是輕鬆。（一歲寶寶長得像兩歲）（只要有吃的什麼都好） ,"https://wx4.sinaimg.cn/large/6dcc167bgy1g9hd8uji1lj2140140qch.jpg,https://wx4.sinaimg.cn/large/6dcc167bgy1g9hd8vebyjj2140140agj.jpg,https://wx1.sinaimg.cn/large/6dcc167bgy1g9hd8wdm17j2140140ti7.jpg",,,2019-12-01,iPhone客户端,3457,616,232,,
4434634844209752,Iex0EhF9e,出遠門前跟小男孩約會午餐還一直在想孩子會不會太想念媽媽因為算是出生以來分開多天一點點結果我放了一星期假去工作他好像也很開心玩了好幾天回來又是午餐約會，依然很開心#只要有吃的什麼都好#肚子無底洞#這是我的遺傳嗎？ ,"https://wx4.sinaimg.cn/large/6dcc167bgy1g8l3utx0l5j2140140jzv.jpg,https://wx2.sinaimg.cn/large/6dcc167bgy1g8l3uvaa7yj2140140wmv.jpg",,,2019-11-03,iPhone客户端,2584,368,124,,
4417669950130553,I7pFV0xXH,其實預購到貨的那天，我就趕快去拿了「太空人」專輯，但一直還沒有聽，我知道一定要找一個時間慢慢來整張聆聽，依照經驗編排整張專輯的曲目總是青峰會用心處理的一件事，因為上星期被小孩傳染而一直在感冒狀態的我，每天有噴不完的鼻水，連帶著眼淚也被帶著一直流，這種狀態一定分不清是哪一種淚⋯跟小孩過了自我閉關的一週後，好不容易上星期有個幾天假期要去日本，趁著我爸媽幫忙帶走小Baby去逛街的時候，我終於得到一個下午可以一個人安靜聽這張專輯。除了發片前已經釋出的歌曲，每首對我來說都好有驚喜，以前有人說過，看青峰的詞像是一個年輕的身體裡住著智慧老人的靈魂，這次整個專輯看著詞聽下來，我覺得更像是他身體裡面住著前衛的外星人，用著我們平常熟悉的文字，卻能組成各種富有想像空間的意思，我驚嘆在音樂裡，很多巧妙的安排，愈是簡單愈是很少樂器，能做到剛剛好，更覺得超級不容易，另外我也讚嘆預購贈品備忘記，根本又是一個創作詩篇，可以再自成一張作品了！從我們開始組團以來，每一首歌詞和每一篇介紹我都一收到就細細品嘗，其實跟所有鐵粉一樣，不管是一句話介紹一首歌，或是長長的文字，都是我每次會在心裡「哇！」的時候，這次加上音樂一起聽，不禁會想...等了17年，這會不會是被團延誤的專輯啊，因為新人青峰真的是太精彩了，即使我總是覺得他交出的東西絕不會讓人失望，還是超過我的預期太多了！@吳青峰 #吴青峰 太空人##帶著太空人去旅遊#偷閒的下午聆聽太空人,,,,2019-09-18,iPhone客户端,7909,776,919,吴青峰 太空人,吳青峰
4412836468341133,I5nVYyZUp,休團兩年半很少露面為了 @吳青峰 最近晚上都吃沙拉專輯訂好了嗎？訂好了！！（sorry旁邊兩位～嘿嘿嘿） ,https://wx4.sinaimg.cn/large/6dcc167bgy1g6nkb68ystj20dm18g7tf.jpg,,,2019-09-04,iPhone客户端,5667,1052,838,,吳青峰
4370553383086960,HtBpMcX3G,最近被我的寶貝黏緊緊，上星期我們出席一個婚禮，難得不是穿家居服、睡衣的我們 ,"https://wx4.sinaimg.cn/large/6dcc167bgy1g2wo5puc4hj20u00u0473.jpg,https://wx1.sinaimg.cn/large/6dcc167bgy1g2wo5tnb2gj20u00u0doo.jpg",,,2019-05-11,iPhone客户端,4552,515,169,,
4361829339666842,HpWsJEyMO,媽媽說生我的時候晚了預產期六天，還讓她痛了16個小時我才出來，所以今天算是我自己選的日子，直到現在還是因為爸爸媽媽幫忙照顧小孩，才能讓我上星期短暫休息個四天，出去巧遇一點點櫻花～ （還有吃冰）（終於有一些沒有小孩的照片） ,"https://wx3.sinaimg.cn/large/6dcc167bgy1g24u82jhnpj20sg0izn0o.jpg,https://wx2.sinaimg.cn/large/6dcc167bgy1g24u833bboj218g0tmn2i.jpg,https://wx3.sinaimg.cn/large/6dcc167bgy1g24u85iugoj21dc0wwhdt.jpg,https://wx2.sinaimg.cn/large/6dcc167bgy1g24u86ahv3j218g0tmq8y.jpg",,,2019-04-16,iPhone客户端,5569,1330,442,,
4361498820181191,HpNRE0L8r,今天是我的生日04月16日，来祝福我吧~,,,,2019-04-16,生日动态,3709,1714,322,,
4354185761128963,HmJCo4JH5,前幾天翻出2016的照片，發現小堅果和小Star在我身上有一樣的睡姿，左邊是四個月大的堅果，右邊是一歲的小Star，我不禁懷疑我是不是錯過了什麼，一點都不小的堅果⋯ ,https://wx4.sinaimg.cn/large/6dcc167bgy1g1gg850bl8j21e019n17e.jpg,,,2019-03-26,iPhone客户端,3083,403,132,,
4353494419409659,HmrDjDtSH,從知道懷孕到現在一年了，有時候還是會有種沒做什麼事時間就飛走的感覺，從來沒想過會被一個人這樣獨佔著，在這段時間裡，重新認識了自己的身體和新生命的成長過程，雖然平凡又充實，但還是覺得自己太不長進，還有很多想做的、想學的事，要考驗在有限的時間內發揮效率了。（如何像女明星那樣不科學地神速恢復呢）,"https://wx2.sinaimg.cn/large/6dcc167bgy1g1e70tcv4hj21sg2ds7gp.jpg,https://wx1.sinaimg.cn/large/6dcc167bgy1g1e70wy2klj21sg2ds7wh.jpg",,,2019-03-24,iPhone客户端,4529,790,231,,
