id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4469429267879768,It8aGx3T2,突然在书柜最上层看到写了六年的日记本……这东西怎么会在家里……随手一翻怎么还有几页的红笔行行和圈出来的错别字？？？气shi啦气shi啦🙄 ,"https://wx2.sinaimg.cn/large/007gxfUnly1gbo3qe3w1tj30tu13ukip.jpg,https://wx4.sinaimg.cn/large/007gxfUnly1gbo3wun7ycj30j60a2ju5.jpg",,,2020-02-07,iPhone客户端,1,0,0,,
4467117116531814,Isa1prpdQ,『First Case of 2019 Novel Coronavirus in the United States | NEJM』网页链接 ,,,,2020-02-01,iPhone客户端,0,0,0,,
4466742929523075,Is0hSDXnZ,辅导员打电话……通知我群里名字找不到要改群名片 开学时间还没定反正不许提前回果然不应该在特殊情况里问学校什么时候开学 ,,,,2020-01-31,iPhone客户端,0,0,0,,
4466195266553573,IrM2yruSN,#呆在家里的我有多无聊#  唐人街最后四集在干嘛做个BGM 手里把这堆五年前拆的柴火棍一个一个码起来，别再拆了 ,"https://wx4.sinaimg.cn/large/007gxfUnly1gbdsaiw8jyg30dz0dh7wi.gif,https://wx3.sinaimg.cn/large/007gxfUnly1gbdsjcscefj30qq10lb29.jpg,https://wx4.sinaimg.cn/large/007gxfUnly1gbdj3llp3pj33402c07wj.jpg",,,2020-01-29,iPhone客户端,0,0,0,呆在家里的我有多无聊,
4463208028646350,IqwkqAhjg,我担心的事 快递打烊+没咖啡豆了，结果翻箱倒柜还找到了两包豆子！！！没看懂是什么口味的，但是是小红帽没错啦 ,"https://wx4.sinaimg.cn/large/007gxfUnly1gb49am4umsj32c0340e81.jpg,https://wx4.sinaimg.cn/large/007gxfUnly1gb49e6ez28j30ty1bs1ky.jpg",,,2020-01-21,iPhone客户端,1,0,0,,
4462866256235448,Iqnrbqa7K,上午穿的伢子和晚上回家必须穿出的温度[冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝] 上海·上海虹桥火车站 ,"https://wx4.sinaimg.cn/large/007gxfUngy1gb365ctqwkj30n01pcdz5.jpg,https://wx2.sinaimg.cn/large/007gxfUngy1gb365arqyaj30n01pc4qq.jpg",,上海·上海虹桥火车站,2020-01-20,iPhone客户端,0,0,0,,
4462415679152514,IqbIrCoZc,李宇春 从很多影视作品中了解到的上个世纪女性从封建礼教枷锁中解放的几十年剧变是让我这一代小生最敬佩的事，而这个世纪姐姐代表的新时代女性对柔韧而刚性格的塑造和固化形象的突破是心中的小太阳🔆厦门中学女孩们的阿卡贝拉 很有爱的传递#李宇春 给女孩# 给女孩 #李宇春给女孩# （这个话题有没有空格挺让人纠结的）,"https://wx1.sinaimg.cn/large/007gxfUnly1gb1qgyomnzj30u011caha.jpg,https://wx4.sinaimg.cn/large/007gxfUnly1gb1qgyb3qrj30n01dsqv5.jpg,https://wx3.sinaimg.cn/large/007gxfUnly1gb1qgyveqlj30u02hftj1.jpg",,,2020-01-19,李宇春超话,0,0,0,"李宇春 给女孩,李宇春给女孩",
4461868540327269,IpXtY1n8x,我在左边看书你在右边画画，就默默的可以不用说话，没有大喜大悲，可能白头了依然就这样陪伴着……我室友跟我说，那只能养狗了很少听情歌今天却听哭了象牙舟 ,https://wx1.sinaimg.cn/large/007gxfUngy1gazzmlrcy5j30n00sn0yx.jpg,,,2020-01-17,iPhone客户端,1,2,0,,
4461090807659983,IpDfyw8I7,优化步骤后开始流水做业，然而这条流水线上只有我一个工人，感谢血液科和内分泌科各消化了我的一张板一个下午点了768个孔，一闭眼眼前都是小麻点……还有五天回家过年 ,https://wx3.sinaimg.cn/large/007gxfUngy1gaxi6rzdgoj33402c01kz.jpg,,,2020-01-15,iPhone客户端,2,0,0,,
4459325118244758,IoTjFyAPY,今天不打卡一定会很挫败。国外一天跑完八块胶的时间国内才两块，我也想买成品胶深深反思了一下，记忆最好是一次成形，尤其我这种图像记忆型的，出生后下半身青紫自己脑子直接把差异性青紫和pda点对点关联了尤其是儿科书pda那章差异性青紫蹲踞动作还历历在目，knowledge base 的错真的是轻轻松松的选择错误选项，特别是记忆模糊的那种自己残存的点对点中间的线还淡化了，再转变成一点对多点多点多点对一点二次记忆反而比新学的难当初不间断吐槽间断性夸夸群三个中两个在拼命刷题之后群风已然变成MDT可以考虑改名了考虑一下泥潭曳尾这个不错,"https://wx4.sinaimg.cn/large/007gxfUngy1garuxcv6szj30jl0sqwh3.jpg,https://wx1.sinaimg.cn/large/007gxfUngy1garvare6grj30gs07htaj.jpg,https://wx3.sinaimg.cn/large/007gxfUngy1garve6oy2rj30ge1dsjy3.jpg",,,2020-01-10,iPhone客户端,2,2,0,,
