id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4434113496449080,IejrLr3Hq,咖啡青年Coffee Youth Dayby 行走的咖啡地图也许不久的将来 你就是#国际咖啡青年节# 行走的咖啡地图walkingcoffeemap的微博视频 ,,"http://f.video.weibocdn.com/003wHFUqlx07ygu2wWta01041200gd6S0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578579929&ssig=nS6zVG1w2p&KID=unistore,video",,2019-11-02,iPhone X,22,1,3,国际咖啡青年节,
4458058308632648,IommqAdKg,新年的第二杯咖啡，是来的第四家@BlueBottleCoffee_JP 的乌干达。来自美国的Blue Bottle带来了美好的美式氛围，同时具备霓虹特有的细腻热情和迷の美丽花艺表现。日本·神户 ,"https://wx4.sinaimg.cn/large/006CcwFHly1gantxrecsdj34yg2sjb2a.jpg,https://wx3.sinaimg.cn/large/006CcwFHly1gantxt8y0ej32ww56oe83.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1gantxzmzasj356o2wwqv6.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1gantxupkj0j32ww56okjm.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1gantydhqmnj32mc4oanpe.jpg,https://wx3.sinaimg.cn/large/006CcwFHly1gantxwwpldj356o2wwx6q.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1ganty13b5xj32ww56onpd.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1gantxy9ju8j356o2wwnpd.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1gantxq1fksj32ww56o7wj.jpg",,日本·神户,2020-01-07,iPhone X,20,2,0,,BlueBottleCoffee_JP
4458046795464935,Iom3RmVG7,清迈一座烂尾楼改建成咖啡馆，反而有了一种世界末日的冷酷仙境之感。The Rectangle Coffee X TowerHang Dong ，Chiang Mai ，Thailand ,"https://wx2.sinaimg.cn/large/006CcwFHly1gansnqw1l5j30u011iwlw.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1gansnrhp5oj30u011i4bj.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1gansnrtrnvj30u011ijzw.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1gansnsfl7fj30u011iwmk.jpg,https://wx3.sinaimg.cn/large/006CcwFHly1gansnt1fljj30u011iwoq.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1gansnqm6gej30u011in55.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1gansnte8xxj30u011idn9.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1gansnttdjwj30u011htjp.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1gansnul5c9j30u011itig.jpg",,,2020-01-07,iPhone X,29,4,6,,
4457883510879866,IohOv3GTo,苏州最喜欢的咖啡馆之一Tommy Coffee有了新地址，人民路63号蓝文化产业园101，白天供应咖啡甜品，屋子里是主理人喜欢的户外复古陈列，Tommy也还是我们大家都爱的DJ，夜晚不定时会有独立音乐人的演出（蹦迪）！嘿 chill的咖啡生活@TOMMY__________ ,"https://wx3.sinaimg.cn/large/006CcwFHly1gan9wfguxkj30u018yamh.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1gan9wfumb6j30u018znaz.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1gan9wg1nmfj31h70u012v.jpg,https://wx3.sinaimg.cn/large/006CcwFHly1gan9wg8aduj313c0u0q9t.jpg,https://wx3.sinaimg.cn/large/006CcwFHly1gan9wgh2gkj30u0190grw.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1gan9wgtjtdj30u01ewk0q.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1gan9wh5ln8j31900u0dof.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1gan9whtwhfj31720u0guu.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1gan9wi832gj30u015wn65.jpg",,,2020-01-06,iPhone X,38,9,10,,TOMMY__________
4456938580598354,InTeq2vES,bahnhof自家焙煎珈琲工房 カフェ バーンホーフ @大阪豆单丰富的老派喫茶店里喝到了2020第一杯。被一杯深烘的肯尼亚惊艳，好喝到炸裂。看到豆单上新品推荐有云南豆的时候还小小骄傲了一下，我们终将会被时间看到。#行走与咖啡##大阪咖啡馆##翻滚吧！咖啡# 日本·大阪 ,"https://wx1.sinaimg.cn/large/006CcwFHgy1gak9d7h3ulj356o2wwhdu.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1gak9d92rkqj32ww56ox6p.jpg,https://wx2.sinaimg.cn/large/006CcwFHgy1gak9d5rmvfj32ww56ob29.jpg,https://wx1.sinaimg.cn/large/006CcwFHgy1gak9dedip5j32ww56o4qq.jpg,https://wx2.sinaimg.cn/large/006CcwFHgy1gak9dfz5naj32ww56ox6p.jpg,https://wx2.sinaimg.cn/large/006CcwFHgy1gak9dbnhmpj32ww56ox6p.jpg,https://wx1.sinaimg.cn/large/006CcwFHgy1gak9da7rfbj32ww56oqv5.jpg,https://wx2.sinaimg.cn/large/006CcwFHgy1gak9dcwmqwj32ww56okjl.jpg,https://wx1.sinaimg.cn/large/006CcwFHgy1gak9dgyjemj32ww56o1kx.jpg",,日本·大阪,2020-01-04,iPhone X,20,4,1,"行走与咖啡,大阪咖啡馆,翻滚吧！咖啡",大阪
4456413260476118,InFz81ZRk,发布了头条文章：《90后三十年喝咖啡史》  90后三十年喝咖啡史 ,,,,2020-01-02,微博 weibo.com,19,2,3,,
4455249529866097,Inbi8FoCB,☕️_millpour espresso@大阪坐在下雨天的街角，喝着咖啡，吃着吐司，跟已婚妇女聊着无聊的八卦，度过一个无所事事的冬日清晨☔️#行走与咖啡##大阪咖啡馆# 日本·大阪 ,"https://wx2.sinaimg.cn/large/006CcwFHgy1gaevey5mt7j32ww56ox6q.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1gaevfizkgkj32ww56ou0y.jpg,https://wx2.sinaimg.cn/large/006CcwFHgy1gaevf0vgxlj32ww56okjm.jpg,https://wx1.sinaimg.cn/large/006CcwFHgy1gaevf4qm8oj356o2wwx6q.jpg,https://wx1.sinaimg.cn/large/006CcwFHgy1gaevfqbiyxj356o2wwx6q.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1gaevf8xtv9j32ww56oe83.jpg,https://wx3.sinaimg.cn/large/006CcwFHgy1gaevffx6cej32ww56ou0y.jpg,https://wx1.sinaimg.cn/large/006CcwFHgy1gaevfcd3c5j34to2puhdu.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1gaevfn2opzj356o2wwb2b.jpg",,日本·大阪,2019-12-30,iPhone X,16,0,1,"行走与咖啡,大阪咖啡馆",大阪
4453740448463274,Imy28zvGq,@MannerCoffee南阳路 做咖啡给咖农们喝，用从上海空运来的牛奶，用跟Manner上海门店一样的意式拼配咖啡，这只叫做“香草冰激凌”的拼配里有版纳勐宋乡云澜庄园的咖啡豆，老韩跟咖农户们说：“这就是你们种的咖啡的味道，它很甜，很均衡，上海的客人们很喜欢，还有很多老外也特意来喝。希望以后你们种出更好的咖啡！”@MANNER官微 #行走与咖啡#,"https://wx4.sinaimg.cn/large/006CcwFHgy1gaa22f8znhj31400u04ez.jpg,https://wx3.sinaimg.cn/large/006CcwFHgy1gaa22fz27aj31400u00zx.jpg,https://wx3.sinaimg.cn/large/006CcwFHgy1gaa22i8gdqj31400u0tkl.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1gaa22go7u7j31400u0aiq.jpg,https://wx3.sinaimg.cn/large/006CcwFHgy1gaa22ix8pjj31400u0qbm.jpg,https://wx3.sinaimg.cn/large/006CcwFHgy1gaa22hdeqlj31400u0dm0.jpg,https://wx2.sinaimg.cn/large/006CcwFHgy1gaa22jrho9j31400u0459.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1gaa22ee45vj31400u0qk8.jpg,https://wx2.sinaimg.cn/large/006CcwFHgy1gaa22klqopj31400u0k1g.jpg",,,2019-12-26,iPhone X,41,5,8,行走与咖啡,"MannerCoffee南阳路,MANNER官微"
4453665957960035,Imw5ZxoLF,我们一行人在云澜咖啡庄园见到了电影《内心引力》里种咖啡的张老大，上海知青留在了西双版纳60年，从2005年开始种咖啡，在他的800亩地里，在海拔1900米的梯田上，有最珍贵的来自巴拿马的瑰夏和来自牙买加的紫叶铁皮卡。他说西双版纳有最好的雨水，有最好的温差和海拔，养护好土地，施好肥，是可以种出好咖啡的。未来两年，这里的新树种就会收成。老大说自己老了，尝不出风味，让我们摘一颗红果告诉他味道，我们告诉他这瑰夏的果肉像荔枝一样清甜，像蜂蜜一样醇厚悠长。@MANNER官微 @MannerCoffee南阳路 @地表潜行 @阿阿阿May啊 @bopular @麻迷子,"https://wx1.sinaimg.cn/large/006CcwFHgy1ga9tecgtyxj31400u0137.jpg,https://wx3.sinaimg.cn/large/006CcwFHgy1ga9te6o88fj31400u0wlm.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1ga9tehctdpj31400u0wqd.jpg,https://wx2.sinaimg.cn/large/006CcwFHgy1ga9ter21erj31400u04c7.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1ga9tewveivj31400u07cj.jpg,https://wx1.sinaimg.cn/large/006CcwFHgy1ga9tf4hn0tj30u0140k1a.jpg,https://wx3.sinaimg.cn/large/006CcwFHgy1ga9tfehgtwj31400u0tna.jpg,https://wx3.sinaimg.cn/large/006CcwFHgy1ga9tfjhn17j31400u0jwa.jpg,https://wx4.sinaimg.cn/large/006CcwFHgy1ga9tft11fzj31400u0arg.jpg",,,2019-12-26,iPhone X,40,3,12,,"MANNER官微,MannerCoffee南阳路,地表潜行,阿阿阿May啊,bopular,麻迷子"
4453427222085279,ImpSW8Ktx,Metal Hands 工厂店@北京 隐藏在东四胡同里的铁手咖啡师@MetalHandsCoffee 的新作品，是一个浓缩的咖啡世界了，一杯午后的咖啡，追着光看着画遥想着曾经的繁盛文化～#行走与咖啡#北京 ,"https://wx2.sinaimg.cn/large/006CcwFHly1ga92321ha7j32ww56okjn.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1ga922er52kj32rm4xou0y.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1ga922svv3zj32ww56oqv5.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1ga922lol47j356o2wwnpe.jpg,https://wx2.sinaimg.cn/large/006CcwFHly1ga922udi94j32ww56o7wi.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1ga922mzgzpj32ww56o1ky.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1ga922cv63oj356o2wwqv7.jpg,https://wx1.sinaimg.cn/large/006CcwFHly1ga922gcvo9j32ww56oe83.jpg,https://wx4.sinaimg.cn/large/006CcwFHly1ga922jz1kfj356o3ggb2g.jpg",,北京,2019-12-25,iPhone X,20,2,1,行走与咖啡,"北京,MetalHandsCoffee"
