id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4351022350563122,Hlpk72muC,今天是我的生日03月18日，来祝福我吧~,,,,2019-03-18,生日动态,7,0,0,,
4218740935418592,G7RxjmJCE,祝你生日快乐,,,,2018-03-18,生日动态,1,0,0,,
4086486078743614,EAhTFAGC2,祝你生日快乐,,,,2017-03-18,生日动态,3,0,2,,
3793190223795940,BD6iOfVuQ,もうすぐ第65回NHK紅白歌合戦！リハーサル中のNHKホール舞台裏から 西野カナさんと お届け！ ,https://ww4.sinaimg.cn/large/9de02c0djw1enqqzmt6m8j20sg11xq82.jpg,,,2014-12-29,微博 weibo.com,1,0,1,,
3793189662307463,BD6hU9Gh9,第65回NHK紅白歌合戦新聞圖輯 cr:logo 轉載請注明西野カナ香港後援會 #西野加奈##西野カナ##第65回NHK红白歌会# ,"https://ww2.sinaimg.cn/large/9de02c0djw1enqqwh4a2oj20i80nvtaa.jpg,https://ww3.sinaimg.cn/large/9de02c0djw1enqqwhkwaaj20hr0qoq4r.jpg,https://ww4.sinaimg.cn/large/9de02c0djw1enqqwi2n79j20hq0qomz6.jpg,https://ww3.sinaimg.cn/large/9de02c0djw1enqqwiipccj20ho0qowfx.jpg,https://ww3.sinaimg.cn/large/9de02c0djw1enqqwj52xuj20hs0qo0us.jpg,https://ww3.sinaimg.cn/large/9de02c0djw1enqqwjj8nlj20ci0irwfk.jpg,https://ww1.sinaimg.cn/large/9de02c0djw1enqqwkg3lej20hn0qoq4t.jpg,https://ww1.sinaimg.cn/large/9de02c0djw1enqqwlegg8j20i20qota4.jpg,https://ww2.sinaimg.cn/large/9de02c0djw1enqqwmffspj20hs0qoq50.jpg",,,2014-12-29,LG G3,5,0,6,"西野加奈,西野カナ,第65回NHK红白歌会",
3713005307191038,B5skiuaIu,★TV出演情報5/23(金)「MUSIC STATION」追加★ 2014/05/22 テレビ朝日 MUSIC STATION 5/23(金)20:00～生歌ゲスト出演 网页链接 ★☆「We Don't Stop」フル配信☆★ ＜レコチョク＞网页链接 ,,,,2014-05-22,iPhone客户端,2,0,0,,
3712798670774068,B5mX13fmY,今天是We don't stop的發售日 你們買了沒有？😆 #西野カナ #nishinokana #西野加奈 #wedontstop #single #jpop 网页链接 ,https://ww1.sinaimg.cn/large/9de02c0djw1egma5cyp88j20hs0hsq6m.jpg,,,2014-05-21,Instagram,2,1,1,"西野カナ ,西野加奈 ,single ",
3704412327723337,B1QMEwpbX,KANA CHANNEL Vol.18已經開始了～你們有在看嗎？ ,"https://ww1.sinaimg.cn/large/9de02c0djw1efvizlaojvj20qo0hsmzn.jpg,https://ww3.sinaimg.cn/large/9de02c0djw1efvizmzt0hj20qo0hsacm.jpg",,,2014-04-28,iPhone客户端,4,0,1,,
3704412084383002,B1QMgiodA,【Official Facebook Update】 本日20:00～「KANA CHANNEL」生配信します♪找不到网页 今日はこの記事にくれたコメントも番組中に紹介させて頂きます！ みんなぜひコメントくださいね♪ ☆★ニューシングル「We Don’t Stop」着うた配信中★☆ ,https://ww1.sinaimg.cn/large/9de02c0djw1efviyn3qm3j20k00qoq5y.jpg,,,2014-04-28,iPhone客户端,3,0,1,,
3702686090229467,B17Sp0XH5,【カナblog更新】 今から 今日は大きな舞台に出演させていただきます！ MINMIさんが誕生日にくれたブレスレット、お守りに また報告します！！#西野加奈#nishinokana##西野カナ# ,"https://ww1.sinaimg.cn/large/9de02c0djw1efq0ppk5dhj20h00mp0ur.jpg,https://ww1.sinaimg.cn/large/9de02c0djw1efq0pqturwj20hs0hsdiw.jpg",,,2014-04-24,iPhone客户端,8,1,4,西野加奈,
