id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3866668617335517,CrYm1uMiN,【吴敬琏：我不完全反对赌场，但我坚决反对没有规矩的赌场】吴敬琏：“我不完全反对赌场，但我坚决反对没有规矩的赌场。当年中国股市是一个很差的赌场，一个不讲信义不讲规矩的赌场，一个可以偷看别人底牌的赌场。现在中国股市有所改善，但市场规矩还时常被人破坏。”股市在吴敬琏眼里还是赌场吗 ,https://ww1.sinaimg.cn/large/910ad4c9gw1eu95uvasn3j20c849n1kx.jpg,,,2015-07-20,微博 weibo.com,138,59,106,,
3864607267673928,Cr6Jgwcl2,【吴敬琏：地方政府不能再指望房地产拉动GDP】吴敬琏表示，更多人关心楼市和股市，尤其炒楼的炒股的，恐怕只想向上，不想向下。有人问，我是炒楼，还是炒股，甚至还有人问，我是卖房炒股还是借款炒股?这种狂热的赌徒心态值得商榷。 网页链接 ,https://ww2.sinaimg.cn/large/910ad4c9jw1eu2l4i0dj9g209q0530su.gif,,,2015-07-14,iPhone 6,38,40,24,,
3849058705851925,CkAeWoylT,【吴敬琏：如何确立新常态？】如果过度使用货币政策，股市也容易出现泡沫膨胀甚至在泡沫最终爆破时导致严重危机。当前我国风险意识不强的新股民大量融资炒股。一旦发生问题，会影响社会稳定，穷人亏钱比富人亏钱更危险，绝不可以掉以轻心。网页链接 北京·中欧国际工商学院 ,https://ww4.sinaimg.cn/large/910ad4c9jw1esozebffo7j2050050jrg.jpg,,北京·中欧国际工商学院,2015-06-01,iPhone 6,48,26,39,,
3848222651250898,Ckeut5fpM,【吴敬琏评股市猛涨:我只能提醒大家谨慎】最近一段时间市场上出现了实体经济疲弱、股市猛涨的状况，这让我想起在农村，农忙的时候大家没空都埋头干活，农闲的时候大家有空就赌博。泡沫迟早是要破的，但什么时候破没有人知道，我只能提醒大家谨慎。经济不好的时候才有空赌博 ,https://ww3.sinaimg.cn/large/910ad4c9gw1esmbdl7wc5j20b408cwet.jpg,,,2015-05-30,微博 weibo.com,66,29,24,,
3782886903668945,ByMgyfosx,【吴敬琏：中国股市是一个没有规矩的赌场】著名经济学家吴敬琏表示，中国股市是一个没有规矩的市场，有人可以看别人牌，是一个没有规矩的赌场。现在经济面临的最大问题是缺乏效率，是结构存在着失衡，如果继续用投资拉动经济增长，造成的结果是产能过剩，需求不足。 吴敬琏：中国股市是一个没有规矩的赌场_财经_腾讯网 ,https://ww2.sinaimg.cn/large/910ad4c9gw1emthm7ody5j20c616h7cx.jpg,,,2014-12-01,微博 weibo.com,47,22,58,,
3782763402102836,ByJ3m8P2I,【吴敬琏：放松银根大规模刺激的坏处非常大】高投资支撑的超高速度增长已经不能维持，我们告别了狂飙突进的时代。我们应该采取平常心来对待经济增速的放缓，不能因为GDP的增速一放缓，就急急忙忙放松银根，用大规模的投资去刺激。因为多年的历史证明，它有很大坏处……全文：吴敬琏：放松银根大规模刺激的坏处非常大 ,https://ww1.sinaimg.cn/large/910ad4c9gw1emthh6fk8uj20c62yd1hx.jpg,,,2014-12-01,微博 weibo.com,20,11,19,,
3782758050239337,ByIUJ10gh,半年没更新了。还是舍不得，回来了。 ,,,,2014-12-01,微博 weibo.com,60,25,3,,
3698130681661554,AFaPi6Yfg,【吴敬琏：改革最重要问题是提高国民经济运行效率】3月22日，国务院发展研究中心研究员吴敬琏在中国发展高层论坛“改革优先序与短期增长风险”分论坛上发言时表示，我国最优先的改革应该是让市场经济体制进一步发挥作用，这其中最重要的问题是要提高国民经济运行的效率。网页链接 ,https://ww1.sinaimg.cn/large/910ad4c9jw1efbhju8pd3j20c82h1k6v.jpg,,,2014-04-11,微博 weibo.com,20,28,52,,
3641707662478899,Ahv0qaoSf,【吴敬琏：再不变革就老了】吴敬琏20世纪末曾经写过一本书，《改革：我们正在过大关》。我问他，十几年光阴逝去，这个大关现在过去了没有？“这个大关并没有过去，还在过大关。”那本书里的大关，就是政府部门和国有经济。从出书到现在，问题没有解决，反而愈演愈烈。 ,https://ww2.sinaimg.cn/large/910ad4c9jw1eabhgi2h19j20c80843yr.jpg,,,2013-11-06,微博 weibo.com,31,29,15,,
3636957445749542,AfvqMo7Iy,【吴敬琏：下一次改革关键是政治体制】未能完成的改革导致腐败成风，因为不负责任的官员从中国经济繁荣中渔利。这些所谓的寻租者希望中国这种依赖资源消耗的投资而不是消费的不平衡增长模式永远持续下去。这就导致了经济浪费和低效。 ,https://ww1.sinaimg.cn/large/910ad4c9jw1e9wbwj5nzog20c83437dv.gif,,,2013-10-24,微博 weibo.com,45,24,130,,
3636318401424538,AfeO45YAq,【吴敬琏再谈中国改革：有些人被改造了 被扭曲了】十八届三中全会召开在即，新一轮改革再次成为焦点。19日，众多学者在“于光远追思会”上对改革与发展发表了看法。吴敬琏认为，经过几十年的曲折坎坷历程，有些人被改造了，被扭曲了，丢掉了为建设独立、自由、民主中国的追求。 ,https://ww2.sinaimg.cn/large/910ad4c9jw1e9uahv9vh0j20fa09udg2.jpg,,,2013-10-22,微博 weibo.com,23,14,19,,
3627264321104848,AbrgI4Dq8,【2013欧亚经济论坛科技分会开幕】9月26日，蒋正华、吴敬琏、成思危等29位科学院院士同100多名相关国家的代表和专家学者及西安高新区企业代表等聚集西安，共同探讨气候、环境、可持续发展等科技话题。 ,https://ww4.sinaimg.cn/large/910ad4c9jw1e91enwoe3nj20e30af74y.jpg,,,2013-09-27,iPad客户端,9,3,4,,
