id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4188628424761251,FBbD4jYCn,丁燕2017年创作总结：发表1：2017年1期《天涯》发表长散文《在兰之州》2：2017年3月4日《晶报》发表散文《她们让我反观自身的命运》3：2017年3月《芙蓉》发表短篇小说《大姐总和我们不一...文字版>> 网页链接 （新浪长微博>> 网页链接） ,https://wx4.sinaimg.cn/large/46fba600ly1fmsafw2mcuj20c80u6js1.jpg,,,2017-12-24,新浪博客,6,3,1,,
4188628009876524,FBbCoFrkM,发表了博文《丁燕2017年创作总结》发表1：2017年1期《天涯》发表长散文《在兰之州》2：2017年3月4日《晶报》发表散文《她们让我反观自身的命运》3：2017年3月《芙蓉》发表短篇小说《大姐总和丁燕2017年创作总结 ,,,,2017-12-24,新浪博客,4,1,0,,
4188627523198682,FBbBCdq7E,发表了博文《丁燕2017年创作总结》发表1：2017年1期《天涯》发表长散文《在兰之州》2：2017年3月4日《晶报》发表散文《她们让我反观自身的命运》3:2017年3月《芙蓉》发表短篇小说《大姐总和丁燕2017年创作总结 ,,,,2017-12-24,新浪博客,3,1,2,,
4133725455027195,Fe9lTl5NN,发表了博文《丁燕2016年及2017年上半年创作情况》2016年第一：发表1：《最美的湖畔，最后的游牧》散文2万字刊《散文》海外版1期2：《工厂男孩》纪实3万字刊《天涯》2016年2期3：《那遥远的、丁燕2016年及2017年上半年创作情况 ,,,,2017-07-26,新浪博客,8,1,0,,
4133716953037107,Fe98bcK5B,发表了博文《丁燕2016年及2017年上半年创作情况》丁燕2016年及2017年上半年创作情况2016年第一：发表1：《最美的湖畔，最后的游牧》散文2万字刊《散文》海外版1期2：《工厂男孩》纪实3万字丁燕2016年及2017年上半年创作情况 ,,,,2017-07-26,新浪博客,2,1,0,,
4114651698786359,F699LARJt,«工厂男孩»出版一周年了。 ,"https://wx2.sinaimg.cn/large/46fba600gy1fg8abo9whfj20hs0hsjso.jpg,https://wx2.sinaimg.cn/large/46fba600gy1fg8aboicivj20dw0dwt9c.jpg,https://wx3.sinaimg.cn/large/46fba600gy1fg8abopnirj20e809jmz1.jpg,https://wx3.sinaimg.cn/large/46fba600gy1fg8abp1aooj20qo0zkju9.jpg,https://wx4.sinaimg.cn/large/46fba600gy1fg8abpajl6j20go0m840t.jpg,https://wx2.sinaimg.cn/large/46fba600gy1fg8abpin03j20jz0zkn0t.jpg,https://wx4.sinaimg.cn/large/46fba600gy1fg8abq3n7xj20d30m8jvt.jpg,https://wx4.sinaimg.cn/large/46fba600gy1fg8abqrauuj20d30m8td4.jpg,https://wx3.sinaimg.cn/large/46fba600gy1fg8abripfij20zk0qowk5.jpg",,,2017-06-03,荣耀7i 翻转吧视界,12,7,1,,
4103730029209521,F1z2aCDOF,«你好像一出生就人至中年»唯家乡不能不爱，那里埋葬着你的青春；从此你失家哀老，日渐乖戾念念不忘，书写一部爱情小说 ,https://wx4.sinaimg.cn/large/46fba600gy1ff9fztb5nej20j60sjagd.jpg,,,2017-05-04,荣耀7i 翻转吧视界,14,0,1,,
4103397281761423,F1qnu7oe3,分享诗人丁燕的博文图片：《哈密广播电视报》刊发《从哈密写到……》 《哈密广播电视报》刊发《从哈密写到……》 ,,,,2017-05-03,新浪博客,1,0,0,,
4103397235864667,F1qnpoBFp,发表了博文《《哈密广播电视报》刊发《从哈密写到……》》《哈密广播电视报》刊发《从哈密写到……》  查看图片,,,,2017-05-03,新浪博客,4,1,1,,
4103290126589895,F1nAErEkD,上海文艺出版社的这套“小文艺. 口袋书”，真的是棒棒哒~~~         #放在坤包里，利用各种小时间，见缝插针地……读起来！[嘿哈][嘿哈][嘿哈]# ,https://wx1.sinaimg.cn/large/46fba600gy1ff81gzfjpaj22eo37k4qw.jpg,,,2017-05-03,荣耀7i 翻转吧视界,5,0,0,放在坤包里，利用各种小时间，见缝插针地……读起来！[嘿哈][嘿哈][嘿哈],
4102106295856522,F0SNfozy2,这本书一版再版，文字还是当年我在乌鲁木齐所写。如今在岭南回望，不禁暗想，若重写新疆，会不会写出完全不同的版本？          #远方的神秘，绝非一本旅游书可以说得尽# ,"https://wx1.sinaimg.cn/large/46fba600gy1ff49i6wfa2j20qo1bennd.jpg,https://wx3.sinaimg.cn/large/46fba600gy1ff49iaunecj20qo1be4qp.jpg,https://wx1.sinaimg.cn/large/46fba600gy1ff49ieqpqqj20qo1bee81.jpg",,,2017-04-30,荣耀7i 翻转吧视界,5,1,1,远方的神秘，绝非一本旅游书可以说得尽,
4100441241989115,F0btG8lsv,“丁燕阿姨”也有铁粉啦~~~ ,https://wx1.sinaimg.cn/large/46fba600gy1feyya5xsdxj20u01hc7q1.jpg,,,2017-04-25,荣耀7i 翻转吧视界,10,2,0,,
4099647633029972,EFOhZcIew,“世界阅读日”前后，朗读了«棉被»«人间失格»«睡美人»……        #近期和日本作家较上了劲[偷笑][偷笑][偷笑]# ,"https://wx4.sinaimg.cn/large/46fba600gy1fewf4w27l4j20qo0zjn6a.jpg,https://wx3.sinaimg.cn/large/46fba600gy1fewf4xo15fj20qo0zkdsb.jpg,https://wx1.sinaimg.cn/large/46fba600gy1fewf4yycx5j20qo0zkn8u.jpg",,,2017-04-23,荣耀7i 翻转吧视界,0,0,0,近期和日本作家较上了劲[偷笑][偷笑][偷笑],
